Ms. Lee,at,staff room,inside,correct,-ing,homework,that time,#,suddenly,laugh,-en,one,sound,#,next to,(measure),(linker),Ms. Chan,see,she,laugh,to,face,also,red,all,#,then,ask,#,#,look,-ing,some,what,so,happy,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李老師,揞,住,個,嘴,，,笑,住,噉,話,：,「,頭先,收,嘅,作文,功課,係,『,我,的,志願,』,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lei5-lou5-si1,am2,zyu6,go3,zeoi2,#,siu3,zyu6,gam2,waa6,#,#,tau4-sin1,sau1,ge3,zok3-man2,gung1-fo3,hai6,#,ngo5,dik1,zi3-jyun6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms. Lee,cover,-ing,(measure),mouth,#,laugh,-ing,-ly,to say,#,#,just now,collect,(linker),composition,homework,is,#,I,’s,aspiration,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,然後,有,個,女,同學,寫,佢,嘅,志願,係,要,做,一,個,靚女,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jin4-hau6,jau5,go3,neoi5,tung4-hok6,se2,keoi5,ge3,zi3-jyun6,hai6,jiu3,zou6,jat1,go3,leng3-neoi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,then,have,(measure),female,student,write,she,’s,aspiration,is,to want,to do,one,(measure),pretty girl,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢,仲,話,等,到,十八,歲,就,要,去,參加,香港小姐,，,人細鬼大,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,keoi5,zung6,waa6,dang2,dou3,sap6-baat3,seoi3,zau6,jiu3,heoi3,caam1-gaa1,hoeng1-gong2-siu2-ze2,#,jan4-sai3-gwai2-daai6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,she,even,say,wait,until,eighteen,year-old,then,want,to go,join,Miss Hong Kong,#,a child acting like an adult,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李老師,望,住,自己,對,黑色,高踭鞋,，,繼續,話,：,「,其實,我,讀,小學,嗰陣,，,啲,頭髮,係,留,到,去,腰,㗎,，,因為,個個,大人,都,話,女仔,應該,要,留,長頭髮,，,而且,女仔,十八廿二,嘅,時候,係,最,靚,嘅,。,嗰時,我,好,羨慕,隔籬,屋,嘅,大姐姐,可以,着,住,靚,裙,去,行街,，,我,仲,試,過,偷偷哋,着,媽咪,嘅,高踭鞋,，,喺,屋企,扮,大人,噉,周圍,行,添,！,但係,我,依家,嘅,諗法,唔同,咗,。,」,,,,,,,,,,,
lei5-lou5-si1,mong6,zyu6,zi6-gei2,deoi3,hak1-sik1,gou1-zaang1-haai4,#,gai3-zuk6,waa6,#,#,kei4-sat6,ngo5,duk6,siu2-hok6,go2-zan6,#,di1,tau4-faat3,hai6,lau4,dou3,heoi3,jiu1,gaa3,#,jan1-wai6,go3-go3,daai6-jan4,dou1,waa6,neoi5-zai2,jing1-goi1,jiu3,lau4,coeng4-tau4-faat3,#,ji4-ce2,neoi5-zai2,sap6-baat3-jaa6-ji2,ge3,si4-hau6,hai6,zeoi3,leng3,ge3,#,go2-si4,ngo5,hou2,sin6-mou6,gaak3-lei4,uk1,ge3,daai6-ze4-ze2,ho2-ji5,zoek3,zyu6,leng3,kwan4,heoi3,haang4-gaai1,#,ngo5,zung6,si3,gwo3,tau1-tau1-dei2,zoek3,maa1-mi4,ge3,gou1-zaang1-haai4,#,hai2,uk1-kei2,baan6,daai6-jan4,gam2,zau1-wai4,haang4,tim1,#,daan6-hai6,ngo5,ji1-gaa1,ge3,nam2-faat3,m4-tung4,zo2,#,#,,,,,,,,,,,
Ms. Lee,stare,-ing,oneself,pair of,black,high heels,#,continue,to say,#,#,actually,I,study,primary school,that time,#,those,hair,is,keep,until,to go,waist,(particle),#,because,every,adult,all,say,girls,should,need,to keep,long hair,#,and,girls,eighteen to twenty-two years old,(linker),time,is,the most,beautiful,(particle),#,at that time,I,very,envy,next to,house,(linker),big sister,can,wear,-ing,beautiful,dress,to go,shopping,#,I,even,try,-ed,secretly,wear,mommy,’s,high heels,#,at,home,imitate,adult,-ly,everywhere,walk,(particle),#,but,I,now, 's,thought,different,-en,#,#,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,做,老師,成日,行行企企,，,着,高踭鞋,唔會,好,攰,咩,？,」,陳老師,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zou6,lou5-si1,seng4-jat6,haang4-haang4-kei5-kei5,#,zoek3,gou1-zaang1-haai4,m4-wui5,hou2,gui6,me1,#,#,can4-lou5-si1,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,being,teacher,always,walking and standing,#,wear,high heels,will not,very,tired,(particle),#,#,Ms. Chan,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李老師,話,：,「,着,高踭鞋,的確,唔係,一,件,舒服,嘅,事,，,不過,我,指,嘅,唔係,呢,方面,。,我,覺得,，,唔只,十八廿二,，,其實,女性,無論,去到,咩,年紀,，,或者,點樣,打扮,，,都,一樣,可以,好,靚,。,我,鍾意,依家,三十三,歲,嘅,自己,，,多過,當年,十八,歲,嘅,自己,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lei5-lou5-si1,waa6,#,#,zoek3,gou1-zaang1-haai4,dik1-kok3,m4-hai6,jat1,gin6,syu1-fuk6,ge3,si6,#,bat1-gwo3,ngo5,zi2,ge3,m4-hai6,ni1,fong1-min6,#,ngo5,gok3-dak1,#,m4-zi2,sap6-baat3-jaa6-ji2,#,kei4-sat6,neoi5-sing3,mou4-leon6,heoi3-dou3,me1,nin4-gei2,#,waak6-ze2,dim2-joeng2,daa2-baan3,#,dou1,jat1-joeng6,ho2-ji5,hou2,leng3,#,ngo5,zung1-ji3,ji1-gaa1,saam1-sap6-saam1,seoi3,ge3,zi6-gei2,#,do1-gwo3,dong1-nin4,sap6-baat3,seoi3,ge3,zi6-gei2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms. Lee,say,#,#,wear,high heels,indeed,is not,one,(measure),comfortable,(linker),matter,#,but,I,mean,(linker),is not,this,aspect,#,I,think,#,not only,eighteen to twenty-two years old,#,actually,female,whatever,reached,what,age,#,or,how,to dress up,#,also,the same,can,very,beautiful,#,I,like,now,thirty-three,year-old,(linker),myself,#,more than,in those years,eighteen,year-old,(linker),myself,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳老師,反問,：,「,你,唔會,覺得,後生,嗰時,身體,好,啲,，,皮膚,望,落,又,靚,啲,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can4-lou5-si1,faan2-man6,#,#,nei5,m4-wui5,gok3-dak1,hau6-saang1,go2-si4,san1-tai2,hou2,di1,#,pei4-fu1,mong6,lok6,jau6,leng3,di1,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms. Chan,ask in reply,#,#,you,will not,feel,young,that time,body,good,-er,#,skin,look,(particle),also,beautiful,-er,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李老師,話,：,「,講,外表,，,十八,歲,實係,比,三十三,歲,青春,㗎,！,但係,依家,成熟,咗,嘅,我,，,有,獨立,經濟,能力,，,亦都,比,以前,後生,嘅,我,有,智慧,同,信心,去,面對,唔同,難題,，,唔,再,只係,識,得,跟,其他,人,嗰,套,睇法,。,而且,我,比,以前,更加,識,得,照顧,自己,同,其他,人,嘅,需要,。,呢啲,都,係,另一,種,靚,嚟,……,呀,！,等,我,留,返,個,評語,畀,同學,，,『,靚女,』,唔,一定,淨係,十八,歲,先,可以,做,嘅,……,」
lei5-lou5-si1,waa6,#,#,gong2,ngoi6-biu2,#,sap6-baat3,seoi3,sat6-hai6,bei2,saam1-sap6-saam1,seoi3,cing1-ceon1,gaa3,#,daan6-hai6,ji1-gaa1,sing4-suk6,zo2,ge3,ngo5,#,jau5,duk6-lap6,ging1-zai3,nang4-lik6,#,jik6-dou1,bei2,ji5-cin4,hau6-saang1,ge3,ngo5,jau5,zi3-wai3,tung4,seon3-sam1,heoi3,min6-deoi3,m4-tung4,naan4-tai4,#,m4,zoi3,zi2-hai6,sik1,dak1,gan1,kei4-taa1,jan4,go2,tou3,tai2-faat3,#,ji4-ce2,ngo5,bei2,ji5-cin4,gang3-gaa1,sik1,dak1,ziu3-gu3,zi6-gei2,tung4,kei4-taa1,jan4,ge3,seoi1-jiu3,#,ni1-di1,dou1,hai6,ling6-jat1,zung2,leng3,lei4,#,aa3,#,dang2,ngo5,lau4,faan1,go3,ping4-jyu5,bei2,tung4-hok6,#,#,leng3-neoi2,#,m4,jat1-ding6,zing6-hai6,sap6-baat3,seoi3,sin1,ho2-ji5,zou6,ge3,#,#
Ms. Lee,say,#,#,say,appearance,#,eighteen,years-old,of course,compared to,thirty-three,years-old,young,(particle),#,but,now,mature,-en,(linker),I,#,have,independent,economic,ability,#,also,compared to,before,young,(linker),I,have,wisdom,and,confidence,to,to confront,different,difficult problems,#,not,again,just only,know,(suffix),follow,other,people,that,(measure),insight,#,and,I,compared to,before,more,know,(suffix),to look after,oneself,and,other,people,’s,needs,#,these,also,is,another,type of,beauty,(particle),#,(particle),#,let,me,leave,back,(measure),comment,to,student,#,#,pretty girl,#,not,necessarily,only,eighteen,years-old,then,can,be,(particle),#,#
