Wow!,#,David,to hit,to,one,(measure),very,big,of,strange,fish,#,(particle),(measure),strange,fish,some,tooth,very,sharp,#,(measure),kind,very,okay,human,afraid,#,David,afraid,to,at once,to want,tone,head,to leave,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,條,魚,細,細聲,噉,話,：,「,你,⋯⋯,你哋,好,啊,，,我,係,阿光,，,我,知道,你哋,揾,緊,公主,，,我,係,嚟,幫手,㗎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-zi1,tiu4,jyu4,sai3,sai3-seng1,gam2,waa6,#,#,nei5,#-#,nei5-dei6,hou2,aa3,#,ngo5,hai6,aa3-gwong1,#,ngo5,zi1-dou3,nei5-dei6,wan2,gan2,gung1-zyu2,#,ngo5,hai6,lai4,bong1-sau2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unexpectedly,(measure),fish,small,low voice,then,to say,#,#,you,#,you (plural),very,(particle),#,I,is,Kong,#,I,to know,you (plural),to find,-ing (continuous),princess,#,I,is,to come,to help,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 35],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
估,唔到,個,樣,咁,得,人,驚,嘅,阿光,，,原來,係,一,條,咁,內向,嘅,魚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu2,m4-dou2,go3,joeng6,gam3,dak1,Jan4,ging1,ge3,aa3-gwong1,#,jyun4-loi4,hai6,jat1,tiu4,gam3,noi6-hoeng3,ge3,jyu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to guess,cannot,(measure),kind,so,okay,human,afraid,of,Kong,#,it turns out,is,one,(measure),so,introvert,of,fish,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,游,吓,游,吓,，,終於,見到,公主,喇,！,佢,好似,俾,一,班,魚,捉住,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,jau4,haa5,jau4,haa5,#,zung1-jyu1,gin3-dou2,gung1-zyu2,laa3,#,keoi5,hou2-ci5,bei2,jat1,baan1,jyu4,zuk1-zyu6,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,to swim,a bit,swim,a bit,#,at last,to see,princess,already,#,he / she / it,seems,to give,one,class,fish,catch,-ed (perfective),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,好,嬲,，,大聲,嗌,：,「,你哋,好,放,咗,個,女仔,喇,喎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,hou2,nau1,#,daai6-seng1,aai3,#,#,nei5-dei6,hou2,fong3,zo2,go3,neoi5-zai2,laa3,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,very,angry,#,loudly,shout,#,#,you (plural),very,to put,-ed (perfective),(measure),girl,already,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,誤會,咗,啦,！,」,月亮,公主,即刻,游,出嚟,解釋,：,「,我,冇事,，,佢哋,唔係,壞,魚,嚟,㗎,！,事,源,係,我,諗住,而家,休,漁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,ng6-wui6,zo2,laa1,#,#,jyut6-loeng6,gung1-zyu2,zik1-hak1,jau4,ceot1-lai4,gaai2-sik1,#,#,ngo5,mou5-si6,#,keoi5-dei6,m4-hai6,waai6,jyu4,lai4,gaa3,#,si6,#,hai6,ngo5,nam2-zyu6,ji4-gaa1,jau1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you (plural),to misunderstand,-ed (perfective),(particle),#,#,moon,princess,at once,to swim,to come out,explain,#,#,I,alright,#,they,is not,bad,fish,to come,(particle),#,matter,#,is,I,thinking about,now,to stop,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期,，,唔,會,有,漁船,嚟,捉,魚,，,就,諗住,用,海,水,洗,下面,。,點知,有,條,漁船,行,過,，,仲,放,網,落,海,捉,魚,，,我,唔,小心,俾,個,魚,網,卡,住,咗,！,好彩,佢哋,見到,，,幫,我,咬,爛,咗,個,網,，,我,至,出,到,嚟,咋,⋯⋯,」
kei4,#,m4,wui5,jau5,jyu4-syun4,lai4,zuk1,jyu4,#,zau6,nam2-zyu6,jung6,hoi2,seoi2,sai2,ha6-min6,#,dim2-zi1,jau5,tiu4,jyu4-syun4,haang4,gwo3,#,zung6,fong3,mong5,lok6,hoi2,zuk1,jyu4,#,ngo5,m4,siu2-sam1,bei2,go3,jyu4,mong5,kaa1,zyu6,zo2,#,hou2-coi2,keoi5-dei6,gin3-dou2,#,bong1,ngo5,ngaau5,laan6,zo2,go3,mong5,#,ngo5,zi3,ceot1,dou3,lai4,zaa3,#-#,#
phase,#,not,will,have,fishing boat,to come,to catch,fish,#,as a result,thinking about,to use,sea,water,to wash,underneath,#,unexpectedly,have,(measure),fishing boat,to walk,to pass,#,still,to put,web,to fall,sea,to catch,fish,#,I,not,careful,to give,(measure),fish,web,stuck,to live,-ed (perfective),#,lucky,they,to see,#,to help,I,to bite,broken,-ed (perfective),(measure),web,#,I,to,to go out,to,to come,only,#,#
[Line 43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公主,講,講,吓,，,忍唔住,喊,咗,出嚟,：,「,依家,過度,捕魚,好,嚴重,，,佢哋,救,我,嗰時,，,我,見,身邊,好多,魚仔,都,⋯⋯,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gung1-zyu2,gong2,gong2,haa2,#,jan2-m4-zyu6,haam3,zo2,ceot1-lai4,#,#,ji1-gaa1,gwo3-dou6,bou6-jyu4,hou2,jim4-zung6,#,keoi5-dei6,gau3,ngo5,go2-si4,#,ngo5,gin3,san1-bin1,hou2-do1,jyu2-jai2,dou1,#-#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
princess,to say,to say,what?,#,cannot resist,to cry,-ed (perfective),to come out,#,#,now,too much,to fish,very,serious,#,they,to save,I,at that time,#,I,to meet,next to,many,Fishie,"all, also",#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,屋企人,都,係,漁民,，,聽到,佢,咁,講,，,唔多,唔少,都,有啲,愧,疚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,uk1-kei2-jan4,dou1,hai6,jyu4-man4,#,teng1-dou2,keoi5,gam3,gong2,#,m4-do1,m4-siu2,dou1,jau5-di1,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,family,"all, also",is,fisherman,#,to hear,he / she / it,so,to say,#,not many,not few,"all, also",a bit,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自,此,之後,，,佢,得閒,嗰陣,都,會,去,海邊,執,垃圾,，,希望,可以,鼓勵,到,更,多,人,保護,海洋,環境,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi6,#,zi1-hau6,#,keoi5,dak1-haan4,go2-zan6,dou1,wui5,heoi3,hoi2-bin1,zap1,laap6-saap3,#,hei1-mong6,ho2-ji5,gu2-lai6,dou2,gang3,do1,Jan4,bou2-wu6,hoi2-joeng4,waan4-ging2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneself,#,after,#,he / she / it,free,that time,"all, also",will,to go,seaside,pick up,trash,#,hope,can,encourage,(particle),even more,many,human,protect,ocean,environment,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
