husband,I,at,here,work,"all, also",is not,so,hard,,,,,
[5d],,,,,,,,,,,,,
我,匯,返去,啲,錢,你,數,清楚,唔好,斷估,,,,
ngo5,wui6,faan1-heoi3,di1,cin2,nei5,sou2,cing1-co2,m4-hou2,dyun3-gu2,,,,
I,transfer (money),back,those,money,you,count,clearly,do not,randomly guess,,,,
[6a],,,,,,,,,,,,,
我,唔喺度,嘅,日子,幫,我,照顧,好,父母,,,,,
ngo5,m4-hai2-dou6,ge3,jat6-zi2,bong1,ngo5,ziu3-gu3,hou2,fu6-mou5,,,,,
I,not here,(linker),days,help,I,look after,well,parents,,,,,
[6b],,,,,,,,,,,,,
仲有,仔女,啲,功課,幫手,睇下,有冇,做,好,,,,,
zung6-jau5,zai2-neoi2,di1,gung1-fo3,bong1-sau2,tai2-haa5,jau5-mou5,zou6,hou2,,,,,
also,children,’s,homework,help,to look,have or haven't,do,well,,,,,
[6c],,,,,,,,,,,,,
老闆,話,聖誕節,畀,我,放,足,三,個,星期,假,,,
lou5-baan2,waa6,sing3-daan3-zit3,bei2,ngo5,fong3,zuk1,saam1,go3,sing1-kei4,gaa3,,,
boss,say,Christmas,let,I,take (leave),all of the,three,(measure),week,holiday,,,
[6d],,,,,,,,,,,,,
我,已經,買,咗,機票,到時,你,先,出嚟,接,我,啦,,
ngo5,ji5-ging1,maai5,zo2,gei1-piu3,dou3-si4,nei5,sin1,ceot1-lei4,zip3,ngo5,laa1,,
I,already,buy,-en,flight ticket,by that time,you,then,come out,to pick,I,(particle),,
[7a],,,,,,,,,,,,,
好喇,講,住,咁,多,先,你,知道,我,愛,你哋,,,
hou2-laa3,gong2,zyu6,gam3,do1,sin1,nei5,zi1-dou3,ngo5,oi3,nei5-dei6,,,
okay!,say,-ing,like this,much,first,you,know,I,love,you (plural),,,
[7b],,,,,,,,,,,,,
我,要,瞓,喇,聽朝,六,點,做嘢,又,要,早起,,,
ngo5,jiu3,fan3,laa3,ting1-ziu1,luk6,dim2,zou6-je5,jau6,jiu3,zou2-hei2,,,
I,need to,sleep,(particle),tomorrow morning,six,o'clock,work,again,need to,wake up early,,,
[7c],,,,,,,,,,,,,
電話,收,咗,線,之後,我,都,嘆,咗,一口氣,,,,
din6-waa2,sau1,zo2,sin3,zi1-hau6,ngo5,dou1,taan3,zo2,jat1-hau2-hei3,,,,
telephone,end,-en,call,after,I,"all, also",sigh,-en,one breath,,,,
[7d],,,,,,,,,,,,,
試問,有,邊個,出嚟,做嘢,嘅,人,會,唔,掛住,屋企,,,
si3-man6,jau5,bin1-go3,ceot1-lei4,zou6-je5,ge3,jan4,wui5,m4,gwaa3-zyu6,uk1-kei2,,,
Ask yourself,have,who,come out,to work,(linker),people,will,not,miss,home,,,
[8a],,,,,,,,,,,,,
日復一日,，,我哋,做嘢,年復一年,,,,,,,,,
jat6-fuk6-jat1-jat6,#,ngo5-dei6,zou6-je5,nin4-fuk6-jat1-nin4,,,,,,,,,
day by day,#,we,work,year by year,,,,,,,,,
[8b],,,,,,,,,,,,,
幫,老闆,一,家,做嘢,已經,將近,十七,年,,,,,
bong1,lou5-baan2,jat1,gaa1,zou6-je5,ji5-ging1,zoeng1-gan6,sap6-cat1,nin4,,,,,
help,boss,one,family,work,already,nearly,seventeen,year,,,,,
[8c],,,,,,,,,,,,,
好,多謝,佢哋,一,家,由始至終,都,咁,信任,我,,,,
hou2,do1-ze6,keoi5-dei6,jat1,gaa1,jau4-ci2-zi3-zung1,dou1,gam3,seon3-jam6,ngo5,,,,
very,thank,they,one,family,from beginning to end,"all, also",so,trust,I,,,,
[8d],,,,,,,,,,,,,
由,阿B,啱啱,出世,畀,我,湊,到,而家,牛龜,咁,大個,,
jau4,aa3-bi1,ngaam1-ngaam1,ceot1-sai3,bei2,ngo5,cau3,dou3,ji4-gaa1,ngau4-gwai1,gam3,daai6-go3,,
by,baby,just,to be born,let,I,to look after,to,now,hulk,so,grown-up,,
[9a],,,,,,,,,,,,,
我,將,自己,最,美好,嘅,時光,貢獻,呢個,家,,,,
ngo5,zoeng1,zi6-gei2,zeoi3,mei5-hou2,ge3,si4-gwong1,gung3-hin3,nei1-go3,gaa1,,,,
I,take,myself,most,fine,(linker),time,to contribute,this (measure),family,,,,
[9b],,,,,,,,,,,,,
係,時候,要,返去,照顧,返,我,印尼,屋企,啦,,,,
hai6,si4-hau6,jiu3,faan1-heoi3,ziu3-gu3,faan1,ngo5,jan3-nei4,uk1-kei2,laa3,,,,
is,time,need to,go back,look after,back,I,Indonesia,home,(particle),,,,
[9c],,,,,,,,,,,,,
你哋,一家人,嗰,日,仲,特登,請假,一齊,送,我,機,,,
nei5-dei6,jat1-gaa1-jan4,go2,jat6,zung6,dak6-dang1,ceng2-gaa3,jat1-cai4,sung3,ngo5,gei1,,,
you (plural),whole family,that,day,even,deliberately,ask for leave,together,to send,I,flight,,,
[9d],,,,,,,,,,,,,
阿B,個,傻豬,仲,攬,住,我,喊,到,企,都,企,唔,起
aa3-bi1,go3,so4-zyu1,zung6,laam5,zyu6,ngo5,haam3,dou3,kei5,dou1,kei5,m4,hei2
baby,(measure),silly bun,even,hug,-ing,I,to cry,till,stand,"all, also",stand,not,up
[10a],,,,,,,,,,,,,
希望,你哋,揾到,一個,同樣,愛,你哋,嘅,姐姐,,,,,
hei1-mong6,nei5-dei6,wan2-dou2,jat1-go3,tung4-joeng2,oi3,nei5-dei6,ge3,ze4-ze1,,,,,
hope,you (plural),find,one (measure),similarly,love,you (plural),(linker),female helper,,,,,
[10b],,,,,,,,,,,,,
希望,你哋,會,好似,愛,我,一樣,噉樣,愛護,佢,,,,
hei1-mong6,nei5-dei6,wui5,hou2-ci5,oi3,ngo5,jat1-joeng6,gam2-joeng2,oi3-wu6,keoi5,,,,
hope,you (plural),will,seems,love,I,the same,that way,take good care of,she,,,,
[10c],,,,,,,,,,,,,
你哋,隨時,過嚟,揾,我,我,都,歡迎,你,光臨,,,,
nei5-dei6,ceoi4-si4,gwo3-lei4,wan2,ngo5,ngo5,dou1,fun1-jing4,nei5,gwong1-lam4,,,,
you (plural),at any moment,come over,to find,I,I,"all, also",welcome,you,to visit,,,,
[10d],,,,,,,,,,,,,
多謝,你哋,，,我,喺,呢個,世界上,嘅,另外,一家人,,,,
do1-ze6,nei5-dei6,#,ngo5,hai2,nei1-go3,sai3-gaai3-soeng6,ge3,ling6-ngoi6,jat1-gaa1-jan4,,,,
thank you,you (plural),#,I,at,this (measure),on earth,(linker),another,family,,,,
