Katherine,twist,-ing,(measure),face,#,mouth,"all, also",flat,also,in that way,#,slowly,use,index finger,lift,up,(measure),lunch box,cover,#,speedily,peek,-en,inside,one look,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,又,係,呢啲,！,」,嘉欣,大嗌,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau6,haai6,nei1-di1,#,#,gaa1-jan1,daai6-aai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,again,is,these,#,#,Katherine,shout,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咩事,？,咩事,？,」,周圍,嘅,同學,聽到,，,即刻,走,晒,過嚟,，,七嘴八舌,噉,一齊,關心,嘉欣,發生,咩事,：,「,嘉欣,，,你,做咩,大嗌,啊,？,嚇,到,我,個,心,而家,都,仲,卜卜,噉,跳,！,」,「,嘉欣,，,你,係唔係,整親,隻,手,啊,？,」,「,係唔係,有,咩,唔,開心,啊,？,」,「,係唔係,見到,小強,？,我,幫,你,捉住,佢,！,」,,,,,,,,
#,me1-si6,#,me1-si6,#,#,zau1-wai4,ge3,tung4-hok6,teng1-dou2,#,zik1-hak1,zau2,saai3,gwo3-lai4,#,cat1-zeoi2-baat3-sit3,gam2,jat1-cai4,gwaan1-sam1,gaa1-jan1,faat3-sang1,me1-si6,#,#,gaa1-jan1,#,nei5,zou6-me1,daai6-aai3,aa3,#,haak3,dou3,ngo5,go3,sam1,ji4-gaa1,dou1,zung6,buk4-buk2,gam2,tiu3,#,#,#,gaa1-jan1,#,nei5,hai6-m4-hai6,zing2-can1,zek3,sau2,aa3,#,#,#,hai6-m4-hai6,jau5,me1,m4,hoi1-sam1,aa3,#,#,#,hai6-m4-hai6,gin3-dou2,siu2-koeng4,#,ngo5,bong1,nei5,zuk1-zyu6,keoi5,#,#,,,,,,,,
#,what happened,#,what happened,#,#,surrounding,(linker),schoolmate,heard,#,immediately,go,all,come over,#,all talking over each other,-ly,together,concerned about,Katherine,happen,what matter,#,#,Katherine,#,you,why,shout,(particle),#,frighten,to the extent,I,(measure),heart,now,also,still,(sound of heart beating),that way,jump,#,#,#,Katherine,#,you,is it,hurt,(measure),hand,(particle),#,#,#,is it,have,something,not,happy,(particle),#,#,#,is it,saw,cockroach,#,I,help,you,catching,it,#,#,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉欣,係噉,擰頭,，,話,：,「,唔係,啊,、,唔係,啊,。,你哋,睇下,！,」,講,完,就,打開,個,飯盒,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-jan1,hai6-gam2,ning6-tau2,#,waa6,#,#,m4-hai6,aa3,#,m4-hai6,aa3,#,nei5-dei6,tai2-haa5,#,#,gong2,jyun4,zau6,daa2-hoi1,go3,faan6-hap2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine,keep,shake head,#,say,#,#,is not,(particle),#,is not,(particle),#,you (plural),take a look,#,#,say,finish,then,open,(measure),lunch box,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家,異口同聲,噉,嘩,咗,一下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1,ji6-hau2-tung4-seng1,gam2,waa1,zo2,jat1-haa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,unanimous,-ly,Wow!,-en,once,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,飯盒,入面,有,半,條,香噴噴,嘅,蒸,魚,，,上面,淋,咗,好多,鮮味,嘅,蒸魚豉油,，,一直,流,到,去,粒粒分明,嘅,白飯,上面,，,隔籬,仲有,幾,條,青翠,嘅,白烚,菜心,，,真係,睇,到,人,流晒口水,。,再,睇真啲,，,飯盒,隔籬,仲有,一,細,盒,飯後,小食,，,入面,有,個,蛋撻仔,同,兩,粒,脹卜卜,嘅,燒賣仔,。,,,,,,,,,,,,,,,,,,,
jyun4-loi4,faan6-hap2,jap6-min6,jau5,bun3,tiu4,hoeng1-pan3-pan3,ge3,zing1,jyu2,#,soeng6-min6,lam4,zo2,hou2-do1,sin1-mei6,ge3,zing1-jyu2-si6-jau4,#,jat1-zik6,lau4,dou3,heoi3,nap1-nap1-fan1-ming4,ge3,baak6-faan6,soeng6-min6,#,gaak3-lei4,zung6-jau5,gei2,tiu4,cing1-ceoi3,ge3,baak6-saap6,coi3-sam1,#,zan1-hai6,tai2,dou3,jan4,lau4-saai3-hau2-seoi2,#,zoi3,tai2-zan1-di1,#,faan6-hap2,gaak3-lei4,zung6-jau5,jat1,sai3,hap6,faan6-hau6,siu2-sik6,#,jap6-min6,jau5,go3,daan6-taat1-zai2,tung4,loeng4,nap1,zoeng3-buk1-buk1,ge3,siu1-maai2-zai2,#,,,,,,,,,,,,,,,,,,,
it turns out,lunch box,inside,have,half,(measure),smell good,(linker),steam,fish,#,above,drench,-en,a lot of,flavourful,(linker),soy sauce for steam fish,#,keep on,flow,arrive,to,well-definted grains,(linker),rice,on top of,#,aside,even have,several,(measure),verdant,(linker),blanched,Choy Sum,#,really,see,to the extent,people,all drooling,#,again,look closer,#,lunch box,aside,even have,one,small,box of,after meal,snack,#,inside,have,(measure),little egg tart,and,two,(measure),bulging,(linker),little Shumai (dim sum),#,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嘉欣,你,就,好,啦,，,午餐,咁,豐富,！,」,成,班,同學,都,好,羨慕,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gaa1-jan1,nei5,zau6,hou2,laa1,#,ng5-caan1,gam3,fung1-fu3,#,#,sing4,baan1,tung4-hok6,dou1,hou2,sin6-mou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Katherine,you,then,good,(particle),#,lunch,so,plentiful,#,#,whole,class of,schoolmate,also,very,envious,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,有,咩,好,喎,！,我,阿爸,成日,煮,埋,呢啲,普通,嘢,，,成日,都,食,㗎啦,，,太,悶,喇,！,我,都,想,好似,你哋,噉,，,食,下,日本,便當,，,食,下,印度,咖哩,，,食,下,印尼,炒飯,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau5,me1,hou2,wo3,#,ngo5,aa3-baa4,sing4-jat6,zyu2,maai4,nei1-di1,pou2-tung1,je5,#,sing4-jat6,dou1,sik6,gaa3-laa1,#,taai3,mun6,laa3,#,ngo5,dou1,soeng2,hou2-ci5,nei5-dei6,gam2,#,sik6,haa5,jat6-bun2,bin6-dong3,#,sik6,haa5,jan3-dou6,gaa3-lei1,#,sik6,haa5,jan3-nei4,caau2-faan6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,have,what,good,(particle),#,I,Dad,always,cook,also,these,ordinary,thing,#,always,"all, also",eat,(particle),#,too,boring,(particle),#,I,"all, also",want,like,you (plural),in this way,#,eat,a bit,Japanese,bento,#,eat,a bit,Indian,curry,#,eat,a bit,Indonesian,fried rice,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度裔,嘅,Meenu,一邊,打開,自己,嘅,飯盒,，,一邊,笑,住,講,：,「,話,又,唔可以,噉,講,。,你,都,知,我,爸爸,媽媽,係,印度人,，,所以,我,成日,食,印度,菜,，,噉,好,正常,吖,。,我,日日,食,，,又,唔,覺,悶,喎,！,不知,幾,好味道,——,」,話口未完,，,佢,就,哄,個,頭,埋,嘉欣,度,，,大力,索,咗,幾,下,：,「,不過,你,啲,蒸,魚,真係,好,香,……,」
jan3-dou6-jeoi6,ge3,Meenu,jat1-bin1,daa2-hoi1,zi6-gei2,ge3,faan6-hap2,#,jat1-bin1,siu3,zyu6,gong2,#,#,waa6,jau6,m4-ho2-ji5,gam2,gong2,#,nei5,dou1,zi1,ngo5,baa4-baa1,maa4-maa1,hai6,jan3-dou6-jan4,#,so2-ji5,ngo5,sing4-jat6,sik6,jan3-dou6,coi3,#,gam2,hou2,zing3-soeng4,aa1,#,ngo5,jat6-jat6,sik6,#,jau6,m4,gaau3,mun6,wo3,#,bat1-zi1,gei2,hou2-mei6-dou6,#,#,waa6-hau2-mei6-jyun4,#,keoi5,zau6,hung3,go3,tau4,maai4,gaa1-jan1,dou6,#,daai6-lik6,sok3,zo2,gei2,haa5,#,#,bat1-gwo3,nei5,di1,zing1,jyu2,zan1-hai6,hou2,hoeng1,#,#
Indian,(linker),Meenu,while,open,oneself,’s,lunch box,#,while,smile,-ing,say,#,#,speech,again,cannot,in this way,say,#,you,"all, also",know,I,father,mother,is,Indian,#,therefore,I,always,eat,Indian,cuisine,#,this way,very,normal,(particle),#,I,every day,eat,#,again,not,feel,bored,(particle),#,no one knows,how,delicious,#,#,immediately after,#,she,then,stick,(measure),head,close to,Katherine,there,#,great strength,smell,-en,several,time,#,#,however,you,those,steam,fish,really,very,fragrant,#,#
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中,日,混血兒,愛子,就,噉,講,：,「,你,覺得,我,嘅,日本,便當,好味,，,我,就,覺得,你,啲,燒賣,都,好味,。,不如,我哋,一齊,食,吖,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1,jat6,wan6-hyut3-ji4,oi3-zi2,zau6,gam2,gong2,#,#,nei5,gok3-dak1,ngo5,ge3,jat6-bun2,bin6-dong3,hou2-mei6,#,ngo5,zau6,gok3-dak1,nei5,di1,siu1-maai2,dou1,hou2-mei6,#,bat1-jyu4,ngo5-dei6,jat1-cai4,sik6,aa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,Janpanese,mixed-race,Aiko,then,in this way,say,#,#,you,think,I,’s,Japanese,bento,tasty,#,I,then,think,you,those,Shuimai (dim sum),also,tasty,#,how about,we,together,eat,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同,印尼,工人姐姐,情同姊弟,嘅,卓偉,即刻,護,住,自己,兜,飯,：,「,你,唔好,吼住,我,兜,飯,啊,！,係,姐姐,特登,朝早,起身,幫,我,煮,㗎,！,最多,下次,我,拜託,姐姐,整,多,兜,畀,你,啦,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung4,jan3-nei4,gung1-jan4-ze4-ze1,cing4-tung4-zi2-dai6,ge3,coek3-wai5,zik1-hak1,wu6,zyu6,zi6-gei2,dau1,faan6,#,#,nei5,m4-hou2,hau1-zyu6,ngo5,dau1,faan6,aa3,#,hai6,ze4-ze2,dak6-dang1,ziu1-zou2,hei2-san1,bong1,ngo5,zyu2,gaa3,#,zeoi3-do1,haa6-ci3,ngo5,baai3-tok3,ze2-ze2,zing2,do1,dau1,bei2,nei5,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
with,Indonesian,domestic helper,intimate like sister and brother,(linker),Jeffery,immediately,protect,-ing,oneself,(measure),rice,#,#,you,do not,targeting,I,(measure),rice,(particle),#,is,domestic helper,deliberately,morning,get up,help,I,cook,(particle),#,at most,next time,I,ask,domestic helper,make,more,(measure),for,you,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽,完,大家,噉,講,，,嘉欣,至,發現,原來,大家,都,只係,食,返,自己,嘅,家常便飯,，,而且,港式,小食,仲要,咁,受,大家,歡迎,𠻹,，,即刻,開心,返,晒,。,佢,以前,覺得,爸爸,煮,嘅,嘢食,好,悶,，,冇,人哋,咁,好食,咁,特別,，,不過,原來,唔同,地方,都,有,自己,嘅,飲食,習慣,同,特色,，,最,緊要,都,係,自己,啱,食,。,,,,,,,,,,,,,
teng1,jyun4,daai6-gaa1,gam2,gong2,#,gaa1-jan1,zi3,faat3-jin6,jyun4-loi4,daai6-gaa1,dou1,zi2-hai6,sik6,faan1,zi6-gei2,ge3,gaa1-soeng4-bin6-faan6,#,ji4-ce2,gong2-sik1,siu2-sik6,zung6-jiu3,gam3,sau6,daai6-gaa1,fun1-jing4,tim1,#,zik1-hak1,hoi1-sam1,faan1,saai3,#,keoi5,ji5-cin4,gok3-dak1,baa4-baa1,zyu2,ge3,je5-sik6,hou2,mun6,#,mou5,jan4-dei6,gam3,hou2-sik6,gam3,dak6-bit6,#,bat1-gwo3,jyun4-loi4,m4-tung4,dei6-fong1,dou1,jau5,zi6-gei2,ge3,jam2-sik6,zaap6-gwaan3,tung4,dak6-sik1,#,zeoi3,gan2-jiu3,dou1,hai6,zi6-gei2,ngaam1,sik6,#,,,,,,,,,,,,,
hear,finish,everyone,in this way,say,#,Katherine,then,find out,it turns out,everyone,"all, also",just only,eat,back,oneself,(linker),simple home-style meal,#,in addition,Hong Kong style,snack,even,so,by,everyone,welcome,(particle),#,immediately,happy,back,all,#,she,before,feel,father,cook,(linker),food,very,boring,#,don't have,others,so,tasty,so,special,#,however,it turns out,different,place,"all, also",have,oneself,(linker),dietary,habit,and,feature,#,most,important,"all, also",is,oneself,suitable,to eat,#,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,諗,到,呢,點,，,嘉欣,決定,唔,再,隱瞞,一個,秘密,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,nam2,dou3,nei1,dim2,#,gaa1-jan1,kyut3-ding6,m4,zoi3,jan2-mun4,jat1-go3,bei3-mat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
once,think,to,this,point,#,Katherine,decide,not,again,hide,one (measure),secret,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,想,一齊,食,唔係,唔得,，,不過,呢,兩,粒,燒賣,，,我,先,唔,會,畀,你哋,食,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,soeng2,jat1-cai4,sik6,m4-hai6,m4-dak1,#,bat1-gwo3,nei1,loeng4,nap1,siu1-maai2,#,ngo5,sin1,m4,wui5,bei2,nei5-dei6,sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you (plural),want,together,eat,is not,not okay,#,however,this,two,(meaasure),Shumai (dim sum),#,I,of course,not,will,give,you (plural),eat,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉欣,講,完,，,就,擘,大,口,一,啖,食,咗,粒,燒賣,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-jan1,gong2,jyun4,#,zau6,maak3,daai6,hau2,jat1,daam6,sik6,zo2,nap1,siu1-maai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine,say,finish,#,then,open,big,mouth,one,bite,eat,-en,(measure),Shumai (dim sum),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗯,，,好味道,！,其實,佢,最,鍾意,食,燒賣,，,只係,之前,一直,冇,畀人,知,。,下次,叫,爸爸,整,多,幾,粒,先,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ng1,#,hou2-mei6-dou6,#,kei4-sat6,keoi5,zeoi3,zung1-ji3,sik6,siu1-maai2,#,zi2-hai6,zi1-cin4,jat1-zik6,mou5,bei2-jan4,zi1,#,haa6-ci3,giu3,baa4-baa1,zing2,do1,gei2,nap1,sin1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
um,#,delicious,#,actually,she,most,like,to eat,Shumai (dim sum),#,just only,before,keep on,don't have,let people,know,#,next time,ask,father,make,more,several,(measure),then,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
