[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
觀塘,交通,日常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun1-tong4,gaau1-tung1,jat6-soeng4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwun Tong,traffic,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唉,，,我,又,塞,咗,喺度,差唔多,一個,鐘,喇,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aai3,#,ngo5,jau6,sak1,zo2,hai2-dou6,caa1-m4-do1,jat1-go3,zung1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigh!,#,I,again,get jammed,-en,right here,almost,one (measure),hour,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自從,要,去,觀塘,返工,開始,，,我,每日,都,要,為,放工,搭,咩,車,返,屯門,而,煩惱,。,啱啱,嚟,呢度,返工,嗰陣,，,我,係,搭,港鐵,嘅,，,不過,觀塘,港鐵,站,永遠,都係,咁,多,人,，,我,成日,都,要,排隊,等,幾,班,先,上,到,車,。,上,到,車,之後,，,一大班,人,塞,喺,車廂,入面,，,個,身,郁,都,郁,唔到,，,好,逼,好,辛苦,。,夏天,嘅,時候,，,呢個,空間,仲,會,瀰漫,住,一,大,陣,嘅,臭,汗,味,——,如果,企,喺,身邊,嗰個,咁啱,係,成,身,大汗,嘅,，,佢,一,逼,埋嚟,，,隨時,同,佢,有,肌膚之親,，,感覺,佢,啲,汗水,會,黐,晒,落,我,度,囉,……
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瞓,咗,一,段,時間,，,我,就,俾,好多,響銨,聲,嘈醒,。,我,擘大,眼,，,見到,前面,有,好多,架,車,停低,晒,。,我,再,望一望,周圍,熟識,嘅,建築,，,就,知道,我,仲,喺,觀塘,……,嗰陣,天色,已經,好,黑,，,我,睇一睇,錶,：,已經,係,8點,！,換言之,，,我,竟然,喺,觀塘,塞車,塞,咗,一個,半,鐘,！,最後,，,我,返,到,屯門,嗰時,已經,9點,幾,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fan3,zo2,jat1,dyun6,si4-gaan3,#,ngo5,zau6,bei2,hou2-do1,hoeng2-on1,seng1,cou4-seng2,#,ngo5,maak3-daai6,ngaan5,#,gin3-dou2,cin4-min6,jau5,hou2-do1,gaa3,ce1,ting4-dai1,saai3,#,ngo5,zoi3,mong6-jat1-mong6,zau1-wai4,suk6-sik1,ge3,gin3-zuk1,#,zau6,zi1-dou3,ngo5,zung6,hai2,gun1-tong4,#,go2-zan6,tin1-sik1,ji5-ging1,hou2,hak1,#,ngo5,tai2-jat1-tai2,biu1,#,ji5-ging1,hai6,baat3-dim2,#,wun6-jin4-zi1,#,ngo5,ging2-jin4,hai2,gun1-tong4,sak1-ce1,sak1,zo2,jat1-go3,bun3,zung1,#,zeoi3-hau6,#,ngo5,faan1,dou3,tyun4-mun4,go2-si4,ji5-ging1,gau2-dim2,gei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep,-en,one,period of,time,#,I,then,by,many,car honk,sound,wake up to noises,#,I,open wide,eye,#,see,front,have,many,(measure),car,stop,all,#,I,again,look a bit,surrounding,familiar,(linker),building,#,then,know,I,still,at,Kwun Tong,#,that time,colour of sky,already,very,black/dark,#,I,look a bit,watch,#,already,is,8 o'clock,#,in other words,#,I,surprisingly,at,Kwun Tong,traffic jam,jammed,-en,one (measure),half,hour,#,in the end,#,I,return,to,Tuen Mun,that time,already,9 o'clock,something,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疫情,關係,，,餐廳,夜晚,10點,後,冇得,堂食,，,所以,好多,餐廳,都係,9點半,左右,截單,。,我,揾,咗,好,耐,先,揾到,可以,外賣,嘅,餐廳,。,結果,，,我,返到,屋企,食,埋,飯,，,沖完涼,，,已經,成,11點,。,我,拿拿聲,瞓覺,，,準備,第二日,朝,九,晚,六,嘅,打工仔,生涯,——,我,發誓,以後,都,唔會,再,搭,巴士,返,屯門,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jik6-cing4,gwaan1-hai6,#,caan1-teng1,je6-maan5,sap6-dim2,hau6,mou5-dak1,tong4-sik6,#,so2-ji5,hou2-do1,caan1-teng1,dou1-hai6,gau2-dim2-bun3,zo2-jau2,zit6-daan1,#,ngo5,wan2,zo2,hou2,noi6,sin1,wan2-dou2,ho2-ji5,ngoi6-maai6,ge3,caan1-teng1,#,git3-gwo2,#,ngo5,faan1-dou3,uk1-kei2,sik6,maai4,faan6,#,cung1-jyun4-loeng4,#,ji5-ging1,sing4,sap6-jat1-dim2,#,ngo5,naa4-naa2-seng1,fan3-gaau3,#,zeon2-bei6,dai6-ji6-jat6,ziu1,gau2,maan5,luk6,ge3,daa2-gung1-zai2,sang1-ngaai4,#,ngo5,faat3-sai6,ji5-hau6,dou1,m4-wui5,zoi3,daap3,baa1-si2,faan1,tyun4-mun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandemic,because of,#,restaurant,night,10 o'clock,after,don't get to,dine in,#,therefore,many,restaurant,also is,half past nine,about,last order,#,I,find,-en,very,long time,then,find,can,take away,(linker),restaurant,#,as a result,#,I,arrive back at,home,eat,also,meal,#,finish bath/shower,#,already,almost,11 o'clock,#,I,hurrily,sleep,#,prepare,the next day,morning,nine,night,six,(linker),worker,career,#,I,swear,afterwards,"all, also",will not,again,take,bus,to return to,Tuen Mun,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,，,我,又,轉,返,搭,港鐵,。,好在,港鐵,後來,開通,咗,屯馬線,，,我,依家,只需,搭,到,鑽石山,轉,一,次,車,，,就,可以,直達,屯門,。,雖然,屯馬線,都係,好多,人,好,逼,，,而且,每,程,車費,貴,幾,蚊,，,但,至少,唔,使,塞車,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6-hai6-gam2,#,ngo5,jau6,zyun3,faan1,daap3,gong2-tit3,#,hou2-zoi6,gong2-tit3,hau6-loi4,hoi1-tung1,zo2,tyun4-maa5-sin3,#,ngo5,ji1-gaa1,zi2-seoi1,daap3,dou3,zyun3-sek6-saan1,zyun3,jat1,ci3,ce1,#,zau6,ho2-ji5,zik6-daat6,tyun4-mun4,#,seoi1-jin4,tyun4-maa5-sin3,dou1-hai6,hou2-do1,jan4,hou2,bik1,#,ji4-ce2,mui5,cing4,ce1-fai3,gwai3,gei2,man1,#,daan6,zi3-siu2,m4,sai2,sak1-ce1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just like that,#,I,again,turn,back,take,MTR,#,luckily,MTR,afterwards,open,-en,Tuen Ma Line,#,I,now,only need,to take,to,Diamond Hill,change,one,time,car,#,then,can,go straight to,Tuen Mun,#,although,Tuen Ma Line,also is,many,people,very,crowded,#,and that,every,journey,fare,expensive,a few,dollar,#,but,at least,not,need to,traffic jam,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,我,一如以往,打算,放工,搭,屯馬線,返屋企,，,點知,突然,收到,女朋友,message,——,我,一,睇,就,知,大鑊,，,我,唔記得,咗,約,咗,佢,今晚,7點鐘,睇戲,，,仲要,係,屯門,嘅,巴黎倫敦紐約米蘭戲院,！,我,即時,屈指一算,，,發現,無論,搭,巴士,定,港鐵,，,都,好,難,趕得切,。,於是,我,決定,放手一博,，,一,放工,就,馬上,搭,的士,去,屯門,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,ngo5,jat1-jyu4-ji5-wong5,daa2-syun3,fong3-gung1,daap3,tyun4-maa5-sin3,faan1-uk1-kei2,#,dim2-zi1,dat6-jin4,sau1-dou2,neoi5-pang4-jau5,message,#,ngo5,jat1,tai2,zau6,zi1,daai6-wok6,#,ngo5,m4-gei3-dak1,zo2,joek3,zo2,keoi5,gam1-maan5,cat1-dim2-zung1,tai2-hei3,#,zung6-jiu3,hai6,tyun4-mun4,ge3,baa1-lai4-leon4-deon1-nau2-joek3-mai5-laan4-hei3-jyun2,#,ngo5,zik1-si4,wat1-zi2-jat1-syun3,#,faat3-jin6,mou4-leon6,daap3,baa1-si2,ding6,gong2-tit3,#,dou1,hou2,naan4,gon2-dak1-cit3,#,jyu1-si6,ngo5,kyut3-ding6,fong3-sau2-jat1-bok3,#,jat1,fong3-gung1,zau6,maa5-soeng6,daap3,dik1-si2,heoi3,tyun4-mun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,I,as usual,plan to,off work,take,Tuen Ma Line,to go home,#,unexpectedly,suddenly,received,girlfriend,message,#,I,once,look,then,know,big trouble,#,I,forget,-en,invite,-en,she,tonight,7 o'clock,watch movie,#,even,is,Tuen Mun,(linker),Paris London New York Milano Cinema,#,I,immediately,do a bit of calculation,#,find out,no matter,take,bus,or,MTR,#,also,very,difficult,to make it in time,#,so,I,decide to,take one's chance,#,once,off work,then,immediately,take,taxi,to go to,Tuen Mun,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
結果,我,都係,逃唔出,觀塘,嘅,塞車,魔咒,：,唉,，,我,又,塞,咗,喺度,差唔多,一個,鐘,喇,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
git3-gwo2,ngo5,dou1-hai6,tou4-m4-ceot1,gun1-tong4,ge3,sak1-ce1,mo1-zau3,#,aai3,#,ngo5,jau6,sak1,zo2,hai2-dou6,caa1-m4-do1,jat1-go3,zung1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the end,I,also is,cannot escape,Kwun Tong,(linker),traffic jam,curse,#,Sigh!,#,I,again,jammed,-en,right here,almost,one (measure),hour,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
望住,的士,咪錶,係噉,跳,，,電話,係噉,彈出,一,條,一,條,女朋友,問,我,到,邊,嘅,轟炸,message,，,再,聽,住,時間,一,分,一,秒,過去,嘅,手錶,滴答,聲,，,我,開始,心驚膽跳,：,睇嚟,呢,程,車,嘅,代價,，,會,非常,沉重,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mong6-zyu6,dik1-si2,mai1-biu1,hai6-gam2,tiu3,#,din6-waa2,hai6-gam2,daan6-ceot1,jat1,tiu4,jat1,tiu4,neoi5-pang4-jau5,man6,ngo5,dou3,bin1,ge3,gwang1-zaa3,message,#,zoi3,teng1,zyu6,si4-gaan3,jat1,fan1,jat1,miu5,gwo3-heoi3,ge3,sau2-biu1,dik1-daap1,seng1,#,ngo5,hoi1-ci2,sam1-geng1-daam2-tiu3,#,tai2-lei4,nei1,cing4,ce1,ge3,doi6-gaa3,#,wui5,fei1-soeng4,cam4-zung6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staring,taxi,taximeter,keep doing,jump,#,phone,keep doing,pop up,one,(measure),one,(measure),girlfriend,ask,I,arrive,where,(linker),bombardment,message,#,again,listen,-ing,time,one,minute,one,second,pass,(linker),wristwatch,tik-tok,sound,#,I,begin,heart pounding from stress,#,it seems,this,journey,car,(linker),cost,#,will,very,heavy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
