[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ac,...,choo,#,#,Bheema,hit,-ed,(measure),big,sneeze,#,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,醒,咗,喇,！,佢,坐,起身,，,問,：,「,我,係,點,醒,㗎,？,」,,,,,,,,,,,,
Aa3-gou1,seng2,zo2,laa3,#,keoi5,co5,hei2-san1,#,man6,#,#,ngo5,hai6,dim2,seng2,gaa3,#,#,,,,,,,,,,,,
Bheema,wake up,-ed,already,#,it,sit,straight up,#,to ask,#,#,I,am,how,to wake up,(particle),#,#,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏蠅,答,佢,：,「,我,叫醒,你,㗎,！,你,想唔想,我,朝朝,都,噉樣,叫醒,你,啊,？,」,,,,,,,,,,
wu1-jing1,daap3,keoi5,#,#,ngo5,giu3-seng2,nei5,gaa3,#,nei5,soeng2-m4-soeng2,ngo5,ziu1-ziu1,dou1,gam2-joeng2,giu3-seng2,nei5,aa3,#,#,,,,,,,,,,
fly,reply,it,#,#,I,wake up,you,(particle),#,you,want or not want,I,every morning,also,in this way,wake up,you,(particle),#,#,,,,,,,,,,
[8c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,啊,！,」,阿高,答,佢,。,「,係,你,先,叫醒,到,我,咋,！,唔該,你,啊,！,」,,,,,,,,
#,hou2,aa3,#,#,Aa3-gou1,daap3,keoi5,#,#,hai6,nei5,sin1,giu3-seng2,dou2,ngo5,zaa3,#,m4-goi1,nei5,aa3,#,#,,,,,,,,
#,good,(particle),#,#,Bheema,reply,it,#,#,are,you,only,wake up,to,me,only,#,thank,you,(particle),#,#,,,,,,,,
[8d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏蠅,話,：,「,唔使客氣,！,噉,我哋,食,早餐,啦,！,」,,,,,,,,,,,,,,,,,,
wu1-jing1,waa6,#,#,m4-sai2-haak3-hei3,#,gam2,ngo5-dei6,sik6,zou2-caan1,laa1,#,#,,,,,,,,,,,,,,,,,,
fly,say,#,#,you're welcome,#,then,we,eat,breakfast,(particle),#,#,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿高,仲,瞓,緊,。,呢個,時候,，,有,隻,烏蠅,飛,落,阿高,個,鼻,度,。,「,乞,……,嚏,！,」,阿高,打,咗,個,大,乞嚏,。
Aa3-gou1,zung6,fan3,gan2,#,ni1-go3,si4-hau6,#,jau5,zek3,wu1-jing1,fei1,lok6,Aa3-gou1,go3,bei6,dou6,#,#,hat1,#,ci1,#,#,Aa3-gou1,daa2,zo2,go3,daai6,hat1-ci1,#
Bheema,still,sleep,-ing,#,this,moment,#,there is,(measure),fly,fly,fall,Bheema,(measure),nose,there,#,#,Ac,...,choo,#,#,Bheema,hit,-ed,(measure),big,sneeze,#
