today,afternoon,#,Sammy,as usual,prepare,well,dog food,#,plan to,feed,Wonka,to eat,lunch,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咦,？,旺財,呢,？,唔見,咗,嘅,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji2,#,wong6-coi4,ne1,#,m4-gin3,zo2,ge2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(surprised),#,Wonka,(particle),#,not seen,-en,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,大嗌,：,「,旺財,！,旺財,！,夠鐘,食飯,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam1-sam1,daai6-aai3,#,#,wong6-coi4,#,wong6-coi4,#,gau3-zung1,sik6-faan6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,shout,#,#,Wonka,#,Wonka,#,time to,have meal,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,四圍,揾,旺財,，,最後,發現,旺財,瞓,咗,喺,花園,地下,，,好,唔舒服,噉,。,,,,,,,,,,,,,,,,,,,,,,,
keoi5,sei3-wai4,wan2,wong6-coi4,#,zeoi3-hau6,faat3-jin6,wong6-coi4,fan3,zo2,hai2,faa1-jyun2,dei6-haa2,#,hou2,m4-syu1-fuk6,gam2,#,,,,,,,,,,,,,,,,,,,,,,,
she,around,find,Wonka,#,at the end,find out,Wonka,sleep,-en,at,garden,floor,#,very,not feeling well,in that way,#,,,,,,,,,,,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
院長,先生,即刻,帶,旺財,去,睇,獸醫,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun2-zoeng2,sin1-saang1,zik1-hak1,daai3,wong6-coi4,heoi3,tai2,sau3-ji1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Director,Mr.,immediately,bring,Wonka,to go,to see,vet,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
獸醫,托,一,托,眼鏡,，,話,：,「,旺財,已經,二十,歲,，,好,老,喇,。,狗,一,老,，,就,會,易,病,。,我,估計,，,佢,應該,仲有,幾,個月,生命,。,」,,,
sau3-ji1,tok3,jat1,tok3,ngaan5-geng2,#,waa6,#,#,wong6-coi4,ji5-ging1,ji6-sap6,seoi3,#,hou2,lou5,laa3,#,gau2,jat1,lou5,#,zau6,wui5,ji6,beng6,#,ngo5,gu2-gai3,#,keoi5,jing1-goi1,zung6-jau5,gei2,go3-jyut6,sang1-ming6,#,#,,,
vet,push upwards,one,push upwards,eyeglasses,#,say,#,#,Wonka,already,twenty,year-old,#,very,old,(particle),#,dog,once,old,#,then,will,easily,sick,#,I,estimate,#,it,should,still have,several,month(s),life,#,#,,,
[1i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,好,唔,開心,，,夜晚,一個人,睇,電視,，,唔,肯,同,其他,小朋友,講嘢,。,,,,,,,,,,,,,,,,,,,,,,,,
sam1-sam1,hou2,m4,hoi1-sam1,#,je6-maan5,jat1-go3-jan4,tai2,din6-si6,#,m4,hang2,tung4,kei4-taa1,siu2-pang4-jau5,gong2-je5,#,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,very,not,happy,#,night,alone,watch,television,#,not,eager,with,other,children,speak,#,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電視,做,緊,旅遊,節目,。,主持人,話,：,「,傳說,喺,喜瑪拉雅山,頂,有,一,種,藥,，,食,完,之後,咩,病,都,醫,得,好,，,仲,會,長生不老,！,」,,,,,,,
din6-si6,zou6,gan2,leoi5-jau4,zit3-muk6,#,zyu2-ci4-jan4,waa6,#,#,cyun4-syut3,hai2,hei2-maa5-laai1-ngaa5-saan1,ding2,jau5,jat1,zung2,joek6,#,sik6,jyun4,zi1-hau6,me1,beng6,dou1,ji1,dak1,hou2,#,zung6,wui5,coeng6-saang1-bat1-lou5,#,#,,,,,,,
television,do,-ing,tourism,programme,#,host,say,#,#,legend,at,Himalayas,top,have,one,type,medicine,#,eat,finish,after,what,illness,"all, also",cure,can,well,#,even,will,immortal,#,#,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,即刻,上網,搜尋,喜瑪拉雅山,嘅,資料,，,執,齊,食物,，,放,埋,旺財,入,書包,，,準備,岀發,。,,,,,,,,,,,,,,,,,,,,
sam1-sam1,zik1-hak1,soeng5-mong5,sau2-cam4,hei2-maa5-laai1-ngaa5-saan1,ge3,zi1-liu2,#,zap1,cai4,sik6-mat6,#,fong3,maai4,wong6-coi4,jap6,syu1-baau1,#,zeon2-bei6,ceot1-faat3,#,,,,,,,,,,,,,,,,,,,,
Sammy,immediately,go to the Internet,to search,Himalayas,(linker),information,#,pack,all,food,#,put,also,Wonka,into,schoolbag,#,ready,to set off,#,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去,到,門口,，,居然,撞,到,院長,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heoi3,dou3,mun4-hau2,#,geoi1-jin4,zong6,dou2,jyun2-zoeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrive,to,doorway,#,unexpectedly,hit,to,Director,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,咁,急,趕住,去,邊,呀,？,」,院長,攔,住,心心,。,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,gam3,gap1,gon2-zyu6,heoi3,bin1,aa3,#,#,jyun2-zoeng2,laan4,zyu6,sam1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,so,urgent,rush,to go,where,(particle),#,#,Director,block,-ing,Sammy,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,話,：,「,我,要,上山,揾,藥,救,旺財,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam1-sam1,waa6,#,#,ngo5,jiu3,soeng5-saan1,wan2,joek6,gau3,wong6-coi4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,say,#,#,I,want,to climb the mountain,to find,medicine,to save,Wonka,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
院長,好,有,耐性,噉,同,心心,講,：,「,嗰啲,只係,傳說,，,唔係,真,㗎,！,老,咗,就,會,病,，,病,咗,就,會,死,——,人,又好,，,狗,又好,，,大家,都,一樣,！,」
jyun2-zoeng2,hou2,jau5,noi6-sing3,gam2,tung4,sam1-sam1,gong2,#,#,go2-di1,zi2-hai6,cyun4-syut3,#,m4-hai6,zan1,gaa3,#,lou5,zo2,zau6,wui5,beng6,#,beng6,zo2,zau6,wui5,sei2,#,jan4,jau6-hou2,#,gau2,jau6-hou2,#,daai6-gaa1,dou1,jat1-joeng6,#,#
Director,very,have,patience,-ly,to,Sammy,say,#,#,those,just only,legend,#,is not,true,(particle),#,old,-en,then,will,sick,#,sick,-en,then,will,die,#,human,no matter,#,dog,no matter,#,everyone,"all, also",the same,#,#
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,唔忿氣,，,佢,唔理,院長,，,一,枝,箭,衝,去,火車站,。,就,噉樣,，,佢哋,一,人,一,狗,開始,咗,揾,萬能藥,嘅,旅程,。,,,,,,,,,,,,
sam1-sam1,m4-fan6-hei3,#,keoi5,m4-lei5,jyun2-zoeng2,#,jat1,zi1,zin3,cung1,heoi3,fo2-ce1-zaam6,#,zau6,gam2-joeng2,#,keoi5-dei6,jat1,jan4,jat1,gau2,hoi1-ci2,zo2,wan2,maan6-nang4-joek6,ge3,leoi5-cing4,#,,,,,,,,,,,,
Sammy,not resigning to,#,she,don't care,Director,#,one,(measure),arrow,rush,to,train station,#,then,in this way,#,they,one,person,one,dog,begin,-en,to find,Elixir,(linker),journey,#,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,喺,山腳,租,咗,一,隻,牛,。,隻,牛,揹,住,旺財,，,心心,拖,住,隻,牛,，,行,咗,一,個,星期,，,終於,由,山腳,行,到,山頂,。,,,,,,,
keoi5-dei6,hai2,saan1-goek3,zou1,zo2,jat1,zek3,ngau4,#,zek3,ngau4,me1,zyu6,wong6-coi4,#,sam1-sam1,to1,zyu6,zek3,ngau4,#,haang4,zo2,jat1,go3,sing1-kei4,#,zung1-jyu1,jau4,saan1-goek3,haang4,dou3,saan1-deng2,#,,,,,,,
they,at,foot of a hill,rent,-en,one,(measure),cow,#,(measure),cow,carry,-ing,Wonka,#,Sammy,drag,-ing,(measure),cow,#,walk,-en,one,(measure),week,#,at last,from,foot of a hill,walk,to,top of the hill,#,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山頂,有,個,和尚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saan1-deng2,jau5,go3,wo4-soeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top of the hill,have,(measure),Buddhist monk,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,問,和尚,：,「,你好,，,我哋,係,上嚟,求,藥,㗎,。,請問,呢度,係咪,有,萬能藥,？,」,,,,,,,,,,,,,,,,,,,,
sam1-sam1,man6,wo4-soeng2,#,#,nei5-hou2,#,ngo5-dei6,hai6,soeng5-lai4,kau4,joek6,gaa3,#,cing2-man6,nei1-dou6,hai6-mai6,jau5,maan6-nang4-joek6,#,#,,,,,,,,,,,,,,,,,,,,
Sammy,ask,Buddhist monk,#,#,how are you?,#,we,is,come up,to beg,medicine,(particle),#,May I ask,here,is or isn't,have,Elixir,#,#,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和尚,話,：,「,係,。,請,施主,過嚟,呢,邊,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo4-soeng2,waa6,#,#,hai6,#,cing2,si1-zyu2,gwo3-lei4,nei1,bin1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddhist monk,say,#,#,yes,#,please,benefactor,come over,this,side,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,去,到,一,個,公園,，,入面,有,好,靚,嘅,花,，,有,一,群,黑鼆鼆,嘅,禿鷹,，,地上面,仲有,隻,死,咗,嘅,貓仔,。,,,,,,,,,,,,
keoi5-dei6,heoi3,dou3,jat1,go3,gung1-jyun2,#,jap6-min6,jau5,hou2,leng3,ge3,faa1,#,jau5,jat1,kwan4,haak1-mang1-mang1,ge3,tuk1-jing1,#,dei6-soeng6-min6,zung6-jau5,zek3,sei2,zo2,ge3,maau1-zai2,#,,,,,,,,,,,,
they,go,to,one,(measure),park,#,inside,have,very,beautiful,(linker),flower,#,have,one,group of,dark and black,(linker),eagle,#,on the ground,still have,(measure),die,-en,(linker),kitten,#,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和尚,話,：,「,呢,隻,貓仔,啱啱,死,咗,冇耐,，,啲,禿鷹,好,快,就,會,食,咗,佢,。,」,,,,,,,,,,,,,,,,,,
wo4-soeng2,waa6,#,#,nei1,zek3,maau1-zai2,ngaam1-ngaam1,sei2,zo2,mou5-noi6,#,di1,tuk1-jing1,hou2,faai3,zau6,wui5,sik6,zo2,keoi5,#,#,,,,,,,,,,,,,,,,,,
Buddhist monk,say,#,#,this,(measure),kitten,just now,die,-en,not long,#,some,eagle,very,fast,then,will,eat,-en,it,#,#,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,既,愕然,又,震驚,，,話,：,「,點解,要,噉,做,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,
sam1-sam1,gei3,ngok6-jin4,jau6,zan3-ging1,#,waa6,#,#,dim2-gaai2,jiu3,gam2,zou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,also,shocked,also,amazed,#,say,#,#,why,need,in this way,to do,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和尚,話,：,「,呢個,就係,長生不老藥,。,禿鷹,食,咗,貓,，,貓,嘅,一部分,就,變,咗,禿鷹,，,另一,部分,變,咗,泥土,，,最後,會,開花,。,」,,,,,,,,,
wo4-soeng2,waa6,#,#,nei1-go3,zau6-hai6,coeng4-sang1-bat1-lou5-joek6,#,tuk1-jing1,sik6,zo2,maau1,#,maau1,ge3,jat1-bou6-fan6,zau6,bin3,zo2,tuk1-jing1,#,ling6-jat1,bou6-fan6,bin3,zo2,nai4-tou2,#,zeoi3-hau6,wui5,hoi1-faa1,#,#,,,,,,,,,
Buddhist monk,say,#,#,this one,is,Elixir,#,eagle,eat,-en,cat,#,cat,(linker),a part,then,change,-en,eagle,#,another,part,change,-en,soil,#,at the end,will,bloom,#,#,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,眼濕濕,，,話,：,「,我,想,永遠,同,旺財,一齊,，,唔想,佢,變成,禿鷹,！,唔想,佢,變成,花,！,」,,,,,,,,,,,,,,,,,
sam1-sam1,ngaan5-sap1-sap1,#,waa6,#,#,ngo5,soeng2,wing5-jyun5,tung4,wong6-coi4,jat1-cai4,#,m4-soeng2,keoi5,bin3-sing4,tuk1-jing1,#,m4-soeng2,keoi5,bin3-sing4,faa1,#,#,,,,,,,,,,,,,,,,,
Sammy,eyes filled with tears,#,say,#,#,I,want,forever,with,Wonka,together,#,don't want,it,become,eagle,#,don't want,it,become,flower,#,#,,,,,,,,,,,,,,,,,
[3i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和尚,話,：,「,人,會,老,，,會,病,，,病,就,會,死,。,狗,都,一樣,，,冇,辦法,改變,。,」,,,,,,,,,,,,,,,,
wo4-soeng2,waa6,#,#,jan4,wui5,lou5,#,wui5,beng6,#,beng6,zau6,wui5,sei2,#,gau2,dou1,jat1-joeng6,#,mou5,baan6-faat3,goi2-bin3,#,#,,,,,,,,,,,,,,,,
Buddhist monk,say,#,#,human,will,get old,#,will,get sick,#,sick,then,will,die,#,dog,"all, also",the same,#,no,way,to change,#,#,,,,,,,,,,,,,,,,
[3j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,好,失望,，,最後,同,旺財,一齊,落山,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam1-sam1,hou2,sat1-mong6,#,zeoi3-hau6,tung4,wong6-coi4,jat1-cai4,lok6-saan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,very,disappointed,#,at the end,with,Wonka,together,go down the hill,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喜瑪拉雅山,風景,優美,，,空氣,清新,，,白雪雪,噉,。,旺財,見到,好,開心,，,喺,雪,地,上面,跑嚟跑去,，,好似,突然,精靈,咗,好多,。,,,,,,,,,,,,,,
hei2-maa5-laai1-ngaa5-saan1,fung1-ging2,jau1-mei5,#,hung1-hei3,cing1-san1,#,baak6-syut1-syut1,gam2,#,wong6-coi4,gin3-dou2,hou2,hoi1-sam1,#,hai2,syut3,dei6,soeng6-min6,paau2-lai4-paau2-heoi3,#,hou2-ci5,dat6-jin4,zing1-ling4,zo2,hou2-do1,#,,,,,,,,,,,,,,
Himalayas,landscape,beautiful,#,air,fresh,#,snowy white,in that way,#,Wonka,saw,very,happy,#,at,snow,ground,above,run around,#,seems,suddenly,smart,-en,a lot,#,,,,,,,,,,,,,,
[3l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回程,路上,，,心心,見到,雪,地,上面,多,咗,好多,腳印,——,有,自己,嘅,，,有,旺財,嘅,。,,,,,,,,,,,,,,,,,,,,
wui4-cing4,lou6-soeng6,#,sam1-sam1,gin3-dou2,syut3,dei6,soeng6-min6,do1,zo2,hou2-do1,goek3-jan3,#,jau5,zi6-gei2,ge3,#,jau5,wong6-coi4,ge3,#,,,,,,,,,,,,,,,,,,,,
return trip,on the way,#,Sammy,saw,snow,ground,above,more,-en,many,footprint,#,have,oneself,(linker),#,have,Wonka,(linker),#,,,,,,,,,,,,,,,,,,,,
[3m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
返,到,孤兒院,，,心心,離遠,就,見到,院長,喺,門口,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faan1,dou3,gu1-ji4-jyun2,#,sam1-sam1,lei4-jyun5,zau6,gin3-dou2,jyun2-zoeng2,hai2,mun4-hau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return,to,orphanage,#,Sammy,from far away,already,saw,Director,at,doorway,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
院長,好,緊張,噉,跑,出嚟,，,大嗌,：,「,心心,！,旺財,！,你哋,終於,返嚟,喇,，,我,好,擔心,你哋,呀,！,」,,,,,,,,,,,,,,,
jyun2-zoeng2,hou2,gan2-zoeng1,gam2,paau2,ceot1-lai4,#,daai6-aai3,#,#,sam1-sam1,#,wong6-coi4,#,nei5-dei6,zung1-jyu1,faan1-lei4,laa3,#,ngo5,hou2,daam1-sam1,nei5-dei6,aa3,#,#,,,,,,,,,,,,,,,
Director,very,nervous,-ly,run,out,#,shout,#,#,Sammy,#,Wonka,#,you (plural),finally,come back,(particle),#,I,very,worry about,you (plural),(particle),#,#,,,,,,,,,,,,,,,
[3o],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,忍唔住,眼淚,，,話,：,「,院長,你,講,得,啱,，,呢個,世界,根本,就,冇,萬能藥,……,」,,,,,,,,,,,,,,,,,,,,
sam1-sam1,jan2-m4-zyu6,ngaan5-leoi6,#,waa6,#,#,jyun2-zoeng2,nei5,gong2,dak1,ngaam1,#,nei1-go3,sai3-gaai3,gan1-bun2,zau6,mou5,maan6-nang4-joek6,#,#,,,,,,,,,,,,,,,,,,,,
Sammy,cannot help,tear,#,say,#,#,Director,you,say,(suffix),correct,#,this one,world,firstly,just,don't have,Elixir,#,#,,,,,,,,,,,,,,,,,,,,
[3p],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
院長,聽到,都,心有戚戚焉,，,佢,攬,住,心心,，,心心,攬,住,旺財,，,三,個,攬,住,一齊,喊,，,喊,咗,好,耐,。,,,,,,,,,,,,,,
jyun2-zoeng2,teng1-dou2,dou1,sam1-jau5-cik1-cik1-jin4,#,keoi5,laam5,zyu6,sam1-sam1,#,sam1-sam1,laam5,zyu6,wong6-coi4,#,saam1,go3,laam5,zyu6,jat1-cai4,haam3,#,haam3,zo2,hou2,noi6,#,,,,,,,,,,,,,,
Director,heard,"all, also",strike a chord,#,he,hug,-ing,Sammy,#,Sammy,hug,-ing,Wonka,#,three,(measure),hug,-ing,together,to cry,#,cry,-en,very,long time,#,,,,,,,,,,,,,,
[3q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幾,個月,後,，,旺財,病,死,，,院長,將,佢,埋葬,喺,花園,。,冇幾耐,，,花園,開,咗,新,嘅,花,。,,,,,,,,,,,,,,,,,
gei2,go3-jyut6,hau6,#,wong6-coi4,beng6,sei2,#,jyun2-zoeng2,zoeng1,keoi5,maai4-zong3,hai2,faa1-jyun2,#,mou5-gei2-noi6,#,faa1-jyun2,hoi1,zo2,san1,ge3,faa1,#,,,,,,,,,,,,,,,,,
several,month(s),later,#,Wonka,sick,to die,#,Director,take,it,to bury,at,garden,#,not long,#,garden,bloom,-en,new,(linker),flower,#,,,,,,,,,,,,,,,,,
[3r],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,會,永遠,記得,旺財,。,」,院長,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,wui5,wing5-jyun5,gei3-dak1,wong6-coi4,#,#,jyun2-zoeng2,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,will,forever,remember,Wonka,#,#,Director,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同樣,，,心心,永遠,都會,記得,，,佢,同,旺財,去,過,喜瑪拉雅山,，,好,開心,，,好,幸福,，,雪,地,上面,有,過,佢哋,兩個,嘅,腳印,。,,,,,,,,,,,
tung4-joeng6,#,sam1-sam1,wing5-jyun5,dou1-wui5,gei3-dak1,#,keoi5,tung4,wong6-coi4,heoi3,gwo3,hei2-maa5-laai1-ngaa5-saan1,#,hou2,hoi1-sam1,#,hou2,hang6-fuk1,#,syut3,dei6,soeng6-min6,jau5,gwo3,keoi5-dei6,loeng5-go3,ge3,goek3-jan3,#,,,,,,,,,,,
similarly,#,Sammy,forever,will always,remember,#,she,and,Wonka,go,-ed,Himalayas,#,very,happy,#,very,blessed,#,snow,ground,above,have,-ed,they,two,(linker),footprint,#,,,,,,,,,,,
