#,again,in this way,to go down,#,so easily,the end of the world,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,開始,發散,啲,村民,去,揾,氣候,變化,嘅,原因,，,以為,噉,就,可以,好,快,解決,到,天氣,變,熱,嘅,問題,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,hoi1-ci2,faat3-saan3,di1,cyun1-man4,heoi3,wan2,hei3-hau6,bin3-faa3,ge3,jyun4-jan1,#,ji5-wai4,gam2,zau6,ho2-ji6,hou2,faai3,gaai2-kyut3,dou2,tin1-hei3,bin3,jit6,ge3,man6-tai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,to begin,to send out,some,villager,to go,to find,climate,change,’s,reason,#,to think (mistakenly),in this way,then,can,very,fast,to resolve,can,weather,to change,hot,(linker),question,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就,好似,大腦,受損,噉,之嘛,！,有,科學家,發現,原因,係,出自,車,用,鉛,油,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6,hou2-ci5,daai6-nou5,sau6-syun2,gam2,za1-maa3,#,jau5,fo1-hok6-gaa1,faat3-jin6,jyun4-jan1,hai6,ceot1-zi6,ce1,jung6,jyun4,jau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,to be similar,cerebrum,damaged,then,just,#,have,scientist,to find out,reason,is,come from,car,to use,lead,oil,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噉,只要,用,少,啲,、,或者,直頭,唔,畀人,用,佢,咪,得,囉,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam2,zi2-jiu3,jung6,siu2,di1,#,waak6-ze2,zik6-tau4,m4,bei2-jan4,jung6,keoi5,mai5,dak1,lo1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,so long as,to use,few,-er,#,or,in fact,not,by someone,to use,it,then,okay,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依家,佢哋,知道,温室氣體,係,氣候,變化,嘅,原因,，,噉咪,叫,啲,村民,唔好,放,咁,多,呢啲,氣體,囉,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-gaa1,keoi5-dei6,zi1-dou3,wan1-sat1-hei3-tai2,hai6,hei3-hau6,bin3-faa3,ge3,jyun4-jan1,#,gam2-mai6,giu3,di1,cyun1-man4,m4-hou2,fong3,gam3,do1,ni1-di1,hei3-tai2,lo1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
now,they,to know,greenhouse gases,is,climate,change,’s,reason,#,then,to call,some,villager,do not,to release,so,many,these,gas,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,原來,件,事,唔係,咁,簡單,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,jyun4-loi4,gin6,si6,m4-hai6,gam3,gaan2-daan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,it turns out,(measure),matter,is not,so,simple,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,好多,村民,平時,做開,嘅,事,，,好似,餐,餐,大魚大肉,、,坐飛機,旅行,、,喺,發電廠,發電,等等,，,全部,都會,放出,呢啲,氣體,，,啲,氣體,仲,會,留,喺,天空,幾,百,到,幾,千,年,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,hou2-do1,cyun1-man4,ping4-si4,zou6-hoi1,ge3,si6,#,hou2-ci5,caan1,caan1,daai6-jyu4-daai6-juk6,#,co5-fei1-gei1,leoi5-hang4,#,hai2,faat3-din6-cong2,faat3-din6,dang2-dang2,#,cyun4-bou6,dou1-wui6,fong3-ceot1,ni1-di1,hei3-tai2,#,di1,hei3-tai2,zung6,wui5,lau4,hai2,tin1-hung1,gei2,baak3,dou3,gei2,cin1,nin4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,many,villager,normally,to usually do,(linker),matter,#,just like,meal,meal,meaty diet,#,to ride a plane,trip,#,at,power plant,to generate electricity,etc.,#,all,also will,to release,these,gas,#,some,gas,still,will,to stay,at,sky,several,hundred,to,several,thousand,year,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啲,村民,今日,放,嘅,二氧化碳,，,會,喺,二,、,三十,年,後,至,會,影響,到,個,氣温,。,即使,佢哋,而家,開始,用,少,啲,碳,，,等,啲,氣體,整下,又,少,啲,，,整下,又,少,啲,噉,，,但,都,要,等,返,幾,十,年,，,個,氣候,至,會,開始,識得,慢慢,變,返,正常,。,,,,,,,,
di1,cyun1-man4,gam1-jat6,fong3,ge3,ji6-joeng5-faa3-taan3,#,wui5,hai2,ji6,#,saam1-sap6,nin4,hau6,zi3,wui5,jing2-hoeng2,dou3,go3,hei3-wan1,#,zik1-si2,keoi5-dei6,ji4-gaa1,hoi1-ci2,jung6,siu2,di1,taan3,#,dang2,di1,hei3-tai2,zing2-haa6,jau6,siu2,di1,#,zing2-haa6,jau6,siu2,di1,gam2,#,daan6,dou1,jiu3,dang2,faan1,gei2,sap6,nin4,#,go3,hei3-hau6,zi3,wui5,hoi1-ci2,sik1-dak1,maan6-maan2,bin3,faan1,zing3-soeng4,#,,,,,,,,
some,villager,today,to put,(linker),carbon dioxide,#,will,at,twenty,#,thirty,year,after,then,will,influence,to,(measure),air temperature,#,even if,they,now,to begin,to use,few,-er,carbon,#,to wait,some,gas,to make,again,few,-er,#,to make,again,few,-er,then,#,but,"all, also",need to,to wait,about,several,ten,year,#,(measure),climate,then,will,to begin,can,slowly,to change,to return,normal,#,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就,好似,人,瞓覺,噉樣,，,一開始,瞓,入,被竇,嗰時,，,張,牀,都,仲係,凍冰冰,嘅,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6,hou2-ci5,jan4,fan3-gaau3,gam2-joeng2,#,jat1-hoi1-ci2,fan3,jap6,pei5-dau3,go2-si4,#,zoeng1,cong4,dou1,zung6-hai6,dung3-bing1-bing1,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,to be similar,human,to sleep,in this way,#,at the begining,to sleep,to enter,under a quilt,at that time,#,(measure),bed,"all, also",still,ice-cold,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,因為,人,嘅,身體,會,放出,熱力,，,所以,張,牀,會,慢慢,跟住,啲,熱力,變,熱,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,jan1-wai6,jan4,ge3,san1-tai2,wui5,fong3-ceot1,jit6-lik6,#,so2-ji5,zoeng1,cong4,wui5,maan6-maan2,gan1-zyu6,di1,jit6-lik6,bin3,jit6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,because,human,’s,body,will,to release,heat,#,therefore,(measure),bed,will,slowly,to follow,some,heat,to change,hot,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啲,熱力,俾,張,被,冚,住,出,唔到,去,，,分分鐘,熱,到,個,人,出晒汗,都,瞓唔着,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di1,jit6-lik6,bei2,zoeng1,pei5,kam2,zyu6,ceot1,m4-dou2,heoi3,#,fan1-fan1-zung1,jit6,dou3,go3,jan4,ceot1-saai3-hon6,dou1,fan3-m4-zoek3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
some,heat,to give,(measure),quilt,to cover,-ing,to go out,cannot,to go,#,possibly,hot,to,(measure),person,sweaty,"all, also",cannot sleep,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同樣,道理,，,當,啲,村民,餐,餐,都,大魚大肉,、,坐飛機,旅行,、,喺,發電廠,發電,嘅,時候,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung4-joeng2,dou6-lei5,#,dong1,di1,cyun1-man4,caan1,caan1,dou1,daai6-jyu4-daai6-juk6,#,co5-fei1-gei1,leoi5-hang4,#,hai2,faat3-din6-cong2,faat3-din6,ge3,si4-hau6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
similar,principle,#,as,some,villager,meal,meal,"all, also",meaty diet,#,to ride a plane,trip,#,at,power plant,to generate electricity,(linker),time,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 35],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,放出,嘅,氣體,就,會,喺,空中,形成,一,層,好似,被,噉,嘅,嘢,，,冚,住,地球村,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,fong3-ceot1,ge3,hei3-tai2,zau6,wui5,hai2,hung1-zung1,jing4-sing4,jat1,cang4,hou2-ci5,pei5,gam2,ge3,je5,#,kam2,zyu6,dei6-kau4-cyun1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,to release,(linker),gas,then,will,at,in the air,to form,one,layer,seems,quilt,in this way,(linker),thing,#,to cover,-ing,global village,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 37],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
由,太陽,吸,返嚟,嘅,熱力,、,加上,地球村,本身,嘅,熱力,，,都,俾,張,被,冚,住,出,唔到,去,，,條,村,就,會,變,得,越嚟越熱,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau4,taai3-joeng4,kap1,faan1-lei4,ge3,jit6-lik6,#,gaa1-soeng5,dei6-kau4-cyun1,bun2-san1,ge3,jit6-lik6,#,dou1,bei2,zoeng1,pei5,kam2,zyu6,ceot1,m4-dou2,heoi3,#,tiu4,cyun1,zau6,wui5,bin3,dak1,jyut6-lei4-jyut6-jit6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by,sun,to absorb,to come back,(linker),heat,#,plus,global village,itself,’s,heat,#,"all, also",to give,(measure),quilt,to cover,-ing,to go out,cannot,to go,#,(measure),village,then,will,to change,(suffix),hotter and hotter,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 38],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然,佢哋,仲有,海,，,可以,幫手,吸,下,熱,同,部分,嘅,二氧化碳,，,但係,噉,吸,法,，,等,個,海,都,熱,埋,，,海洋,生物,死,埋,，,都,扭轉,唔到,個,氣候,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seoi1-jin4,keoi5-dei6,zung6-jau5,hoi2,#,ho2-ji5,bong1-sau2,kap1,haa5,jit6,tung4,bou6-fan6,ge3,ji6-joeng5-faa3-taan3,#,daan6-hai6,gam2,kap1,faat3,#,dang2,go3,hoi2,dou1,jit6,maai4,#,hoi2-joeng4,sang1-mat6,sei2,maai4,#,dou1,nau2-zyun3,m4-dou2,go3,hei3-hau6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
although,they,still have,sea,#,can,to help,to absorb,a bit,hot,and,part,of,carbon dioxide,#,but,in this way,to absorb,method,#,to wait,(measure),sea,"all, also",hot,also,#,ocean,creature,to die,also,#,"all, also",to turn back,cannot,(measure),climate,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
受,氣候變化,影響,嘅,唔止,係,個,海,，,仲有,森林,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sau6,hei3-hau6-bin3-faa3,jing2-hoeng2,ge3,m4-zi2,hai6,go3,hoi2,#,zung6-jau5,sam1-lam4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by,climate change,influence,(particle),not only,is,(measure),sea,#,still have,woods,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因為,個,地,熱,到,乾爭爭,，,地球村,各地,每,年,都,發生,唔少,山火,，,好似,舊年,嘅,澳洲,山火,就,死,咗,五,億,隻,動物,。,睇到,樹熊,BB,嘅,喊,聲,，,啲,村民,真係,心,都,悒,埋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan1-wai6,go3,dei6,jit6,dou3,gon1-zang1-zang1,#,dei6-kau4-cyun1,gok3-dei6,mui5,nin4,dou1,faat3-sang1,m4-siu2,saan1-fo2,#,hou2-ci6,gau6-nin2,ge3,ou3-zau1,saan1-fo2,zau6,sei2,zo2,ng5,jik1,zek3,dung6-mat6,#,tai2-dou2,syu6-hung4,bi4-bi1,ge3,haam3,seng1,#,di1,cyun1-man4,zan1-hai6,sam1,dou1,ap1,maai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
because,(measure),land,hot,to,very dry,#,global village,everywhere,every,year,"all, also",to happen,not few,wildfire,#,seems,last year,(linker),Australia,wildfire,then,to die,-en,five,100M,(measure),animal,#,to see,Koala,baby,’s,crying,sound,#,some,villager,really,heart,"all, also",heart broken,also,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最,慘,嘅,係,，,呢啲,都,只係,個,開始,咋,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeoi3,caam2,ge3,hai6,#,ni1-di1,dou1,zi2-hai6,go3,hoi1-ci2,zaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
most,miserable,(linker),is,#,these,"all, also",just only,(measure),beginning,only,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,科學家,話,，,喺,嚟緊,一百,年,，,地球村,嘅,氣温,會,上升,攝氏,1.4,到,5.6,度,！,如果,唔想,個,氣温,升,到,咁,高,，,想,個,升幅,守,住,喺,1.5,度,嘅話,，,啲,村民,每,年,就,要,放,少,15%,嘅,二氧化碳,。,,,,,,,,,,,,,,,,,,,,,
jau5,fo1-hok6-gaa1,waa6,#,hai2,lei4-gan2,jat1-baak3,nin4,#,dei6-kau4-cyun1,ge3,hei3-wan1,wui5,soeng6-sing1,sip3-si6,jat1-dim2-sei3,dou3,ng5-dim2-luk6,dou6,#,jyu4-gwo2,m4-soeng2,go3,hei3-wan1,sing1,dou3,gam3,gou1,#,soeng2,go3,sing1-fuk1,sau2,zyu6,hai2,jat1-dim2-ng5,dou6,ge3-waa6,#,di1,cyun1-man4,mui5,nin4,zau6,jiu3,fong3,siu2,sap6-ng5-percent,ge3,ji6-joeng5-faa3-taan3,#,,,,,,,,,,,,,,,,,,,,,
have,scientist,to say,#,at,coming,one hundred,year,#,global village,(linker),air temperature,will,to rise,Celsius,1.4,to,5.6,degree,#,if,don't want,(measure),air temperature,to rise,to,so,high,#,to want,(measure),the increase,to guard,-ing,at,1.5,degree,if,#,some,villager,every,year,then,need to,to release,few,15%,(linker),carbon dioxide,#,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
即使,要求,再,低,啲,，,畀,你,升,夠,2,度,，,啲,村民,每,年,都,要,放,少,5%,左右,嘅,碳,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zik1-si2,jiu1-kau4,zoi3,dai1,di1,#,bei2,nei5,sing1,gau3,loeng2,dou6,#,di1,cyun1-man4,mui5,nin4,dou1,jiu3,fong3,siu2,ng5-percent,zo2-jau2,ge3,taan3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
even if,requirement,again,low,-er,#,to give,you,to rise,enough,2,degree,#,some,villager,every,year,"all, also",need to,to release,few,5%,about,(linker),carbon,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係真唔係呀,？,」,對上一次,放,咁,少,二氧化碳,，,講緊,都,已經,係,三十,年,前,嘅,事,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6-zan1-m4-hai6-aa3,#,#,deoi3-soeng6-jat1-ci3,fong3,gam3,siu2,ji6-joeng5-faa3-taan3,#,gong2-gan2,dou1,ji5-ging1,hai6,saam1-sap6,nin4,cin4,ge3,si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,really,#,#,last time,to release,so,few,carbon dioxide,#,talking about,"all, also",already,is,thirty,year,before,(linker),matter,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,唔得,都,要,試,到,得,，,天氣,再,熱,落去,，,啲,冰,融,融,下,，,海洋,水位,就,會,越,升,越,高,，,好多,住,得,近,海,嘅,村民,為咗,驚,水浸,，,個個,都,要,搬,入,內陸,。,而,內陸,一啲,原本,都叫做,肥沃,嘅,土地,，,都會,開始,乾,到,變,沙漠,，,慢慢,糧食,、,經濟,同,難民,問題,都會,出現,！
daan6-hai6,m4-dak1,dou1,jiu3,si3,dou3,dak1,#,tin1-hei3,zoi3,jit6,lok6-heoi3,#,di1,bing1,jung4,jung4,haa5,#,hoi2-joeng4,seoi2-wai2,zau6,wui5,jyut6,sing1,jyut6,gou1,#,hou2-do1,zyu6,dak1,gan6,hoi2,ge3,cyun1-man4,wai6-zo2,geng1,seoi2-zam3,#,go3-go3,dou1,jiu3,bun1,jap6,noi6-luk6,#,ji4,noi6-luk6,jat1-di1,jyun4-bun2,dou1-giu3-zou6,fei4-juk1,ge3,tou2-dei6,#,dou1-wui6,hoi1-ci2,gon1,dou3,bin3,saa1-mok6,#,maan6-maan2,loeng4-sik6,#,ging1-zai3,tung4,naan6-man4,man6-tai4,dou1-wui6,ceot1-jin6,#
but,not okay,"all, also",need to,to try,to,okay,#,weather,again,hot,to go down,#,some,ice,to melt,to melt,-ing,#,ocean,water level,then,will,more,to rise,more,high,#,many,to live,(suffix),near,sea,(linker),villager,in order to,afraid,flooding,#,everyone,"all, also",need to,to move,in ,inland,#,and,inland,some,originally,seems to be,fertile,(linker),land,#,also will,to begin,dry,to,to change,desert,#,slowly,food,#,economy,and,refugee,question,also will,to appear,#
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我哋,再,唔,做嘢,，,去,到,2100,年,，,個,氣温,升,夠,4,度,都似,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5-dei6,zoi3,m4,zou6-je5,#,heoi3,dou3,ji6-jat1-ling4-ling4,nin4,#,go3,hei3-wan1,sing1,gau3,sei3,dou6,dou1-ci5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,"we, us",again,not,to work,#,to go,to,2100,year,#,(measure),air temperature,to rise,enough,#,degree,probably,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 58],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
需,知道,，,個,氣温,淨係,升,3,度,，,人類,都,生存,唔到,！,喺,呢個,moment,，,啲,村民,要,爆,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seoi1,zi1-dou3,#,go3,hei3-wan1,zing6-hai6,sing1,saam1,dou6,#,jan4-leoi6,dou1,sang1-cyun4,m4-dou2,#,hai2,ni1-go3,#,#,di1,cyun1-man4,jiu3,baau3,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need,to know,#,(measure),air temperature,only,to rise,#,degree,#,human beings,"all, also",survive,cannot,#,at,this one,moment,#,some,villager,to want,burst out,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
各地,村民,開始,動員,大量,人手,，,想,喺,短,時間,內,起,好多,好多,嘅,太陽能,同,風力發電機,、,高鐵,同,電動車,等等,，,實行,全面,改,用,再生能源,，,力圖,救,救,氣候,、,救,救,佢哋,嘅,屋企,！,但係,要,起,呢啲,基建,，,啲,村民,變相,又,要,放,更,多,嘅,二氧化碳,……,,,,,,,,,,,,,
gok3-dei6,cyun1-man4,hoi1-ci2,dung6-jyun4,daai6-loeng6,jan4-sau2,#,soeng2,hai2,dyun2,si4-gaan3,noi6,hei2,hou2-do1,hou2-do1,ge3,taai3-joeng4-nang4,tung4,fung1-lik6-faat3-din6-gei1,#,gou1-tit3,tung4,din6-dung6-ce1,dang2-dang2,#,sat6-hang4,cyun4-min6,goi2,jung6,zoi3-sang1-nang4-jyun4,#,lik6-tou4,gau3,gau3,hei3-hau6,#,gau3,gau3,keoi5-dei6,ge3,uk1-kei2,#,daan6-hai6,jiu3,hei2,ni1-di1,gei1-gin3,#,di1,cyun1-man4,bin3-soeng3,jau6,jiu3,fong3,gang3,do1,ge3,ji6-joeng5-faa3-taan3,#,,,,,,,,,,,,,
