[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海底,世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoi2-dai2,sai3-gaai3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea bed,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,天氣,好好,，,藍天,白,雲,，,好,適合,出,海,！,我,同,教練,由,西貢,搭,船,出發,，,準備,去,潛水,！,我,最,鍾意,睇,關於,海,嘅,書,，,覺得,海底,世界,一定,好,靚,，,所以,一直,都,想,試,下,潛水,。,今,次,終於,有,機會,喇,，,我,好,緊張,！,聽講,海,入面,啲,魚,好,靚,，,所以,我,帶,埋,部,防水,相機,，,諗住,影,多啲,靚,相,。
呢度,除咗,魚,多,，,仲有,好多,珊瑚,。,而且,啲,珊瑚,就,好似,魚,嘅,屋企,噉,，,好多,魚,仔,都,匿埋,喺度,。,我,記得,睇,啲,書,話,過,，,魚,仔,會,揀,同,自己,顏色,一樣,嘅,珊瑚,匿埋,，,呢啲,就,叫,保護,色,。,不過,，,如果,我哋,慢慢,睇,真,啲,，,其實,都,可以,揾到,佢哋,。,,,,,,,,,,,,,,,,
nei1-dou6,ceoi4-zo2,jyu2,do1,#,zung6-jau5,hou2-do1,saan1-wu4,#,ji4-ce2,di1,saan1-wu4,zau6,hou2-ci5,jyu2,ge3,uk1-kei2,gam2,#,hou2-do1,jyu2,zai2,dou1,nei1-maai4,hai2-dou6,#,ngo5,gei3-dak1,tai2,di1,syu1,waa6,gwo3,#,jyu2,zai2,wui5,gaan2,tung4,zi6-gei2,ngaan4-sik1,jat1-joeng6,ge3,saan1-wu4,nei1-maai4,#,nei1-di1,zau6,giu3,bou2-wu6,sik1,#,bat1-gwo3,#,jyu4-gwo2,ngo5-dei6,maan6-maan2,tai2,zan1,di1,#,kei4-sat6,dou1,ho2-ji5,wan2-dou2,keoi5-dei6,#,,,,,,,,,,,,,,,,
here,except,fish,many,#,still have,many,coral,#,and that,some,coral,as a result,seems,fish,’s,home,then,#,many,fish,son,also,to hide,right here,#,I,to remember,to look,some,book,to say,-en,#,fish,son,will,to pick,and,oneself,colour,the same,(linker),coral,hide,#,these,as a result,to call,protect,colour,#,only,#,if,we,slowly,to look,true,-er,#,actually,also,can,find,they,#,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,望還望,，,記得,要,同,啲,魚仔,保持,距離,。,因為,佢哋,可能,有,毒,，,會,整,傷,我哋,，,所以,唔好,手多多,掂,佢哋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,mong6-waan4-mong6,#,gei3-dak1,jiu3,tung4,di1,jyu2-zai2,bou2-ci4,keoi5-lei4,#,jan1-wai6,keoi5-dei6,ho2-nang4,jau5,duk6,#,wui5,zing2,soeng1,ngo5-dei6,#,so2-ji5,m4-hou2,sau2-do1-do1,dim3,keoi5-dei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,to look only,#,to remember,to want,and,some,little fish,to keep,distance,#,because,they,possible,have,poison,#,will,to make,hurt,us,#,therefore,do not,handsy,touch,they,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咁,多,魚,之中,，,我,最,鍾意,嘅,就,係,橙,白,色,嘅,小丑魚,。,以前,我,睇,電視,見到,佢哋,，,已經,覺得,好,靚,！,今,次,我,好,好彩,，,可以,親眼,見到,幾,條,小丑魚,，,所以,即刻,幫,佢哋,影相,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam3,do1,jyu2,zi1-zung1,#,ngo5,zeoi3,zung1-ji3,ge3,zau6,hai6,caang2,baak6,sik1,ge3,siu2-caau2-jyu2,#,ji5-cin4,ngo5,tai2,din6-si6,gin3-dou2,keoi5-dei6,#,ji5-ging1,gok3-dak1,hou2,leng3,#,gam1,ci3,ngo5,hou2,hou2-coi2,#,ho2-ji5,can1-ngaan5,gin3-dou2,gei2,tiu4,siu2-caau2-jyu2,#,so2-ji5,zik1-hak1,bong1,keoi5-dei6,jing2-soeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,many,fish,among,#,I,most,to like,(linker),as a result,is,orange,white,colour,(linker),clownfish,#,in the past,I,to look,television,to see,they,#,already,to feel,very,good-looking,#,this,time,I,very,lucky,#,can,with one's own eyes,to see,a few,(measure),clownfish,#,therefore,at once,to help,they,take picture,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啱啱,影,完,相,，,我,就,見到,有,條,大,魚,食,緊,啲,細,魚,！,再,睇,多,一陣,，,先,知道,大,魚,唔係,想,食,細,魚,，,而,係,細,魚,幫,緊,大,魚,洗,牙,！,原來,魚,同,人,一樣,，,都,會,互相,幫助,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaam1-ngaam1,jing2,jyun4,soeng2,#,ngo5,zau6,gin3-dou2,jau5,tiu4,daai6,jyu2,sik6,gan2,di1,sai3,jyu2,#,zoi3,tai2,do1,jat1-zan6,#,sin1,zi1-dou3,daai6,jyu2,m4-hai6,soeng2,sik6,sai3,jyu2,#,ji4,hai6,sai3,jyu2,bong1,gan2,daai6,jyu2,sai2,ngaa4,#,jyun4-loi4,jyu2,tung4,jan4,jat1-joeng6,#,dou1,wui5,wu6-soeng1,bong1-zo6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just now,take,finish,photograph,#,I,as a result,to see,have,(measure),big,fish,to eat,-ing,some,small,fish,#,again,to look,more,a while,#,just,know,big,fish,is not,to want,to eat,small,fish,#,and,is,small,fish,to help,-ing,big,fish,to wash,tooth,#,it turns out,fish,and,human,the same,#,also,will,each other,to help,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,繼續,游,，,見到,更,多,嘅,魚,同,珊瑚,。,突然,，,有,隻,八爪魚,喺,珊瑚,中間,彈,出嚟,！,原來,，,佢,係,伏匿匿,高手,，,成日,匿埋,嚇,人,一,跳,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,gai3-zuk6,jau4,#,gin3-dou2,gang3,do1,ge3,jyu2,tung4,saan1-wu4,#,dat6-jin4,#,jau5,zek3,baat3-zaau2-jyu4,hai2,saan1-wu4,zung1-gaan1,daan6,ceot1-lai4,#,jyun4-loi4,#,keoi5,hai6,buk6-nei1-nei1,gou1-sau2,#,sing4-jat6,nei1-maai4,haak3,jan4,jat1,tiu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,to continue,to swim,#,to see,even more,many,(linker),fish,and,coral,#,suddenly,#,have,(measure),octopus,at,coral,middle,pop,to come out,#,it turns out,#,it,is,hide-and-seek,master,#,always,hide,frighten,human,one,to jump,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間,差唔多,，,我哋,開始,游,返,上,船,。,期間,，,我哋,又,見到,一,隻,海龜,。,佢,喺度,望,嚟,望,去,，,唔,知,揾,緊,啲,咩,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si4-gaan3,caa1-m4-do1,#,ngo5-dei6,hoi1-ci2,jau4,faan2,soeng5,syun4,#,kei4-gaan1,#,ngo5-dei6,jau6,gin3-dou2,jat1,zek3,hoi2-gwai1,#,keoi5,hai2-dou6,mong6,lai4,mong6,heoi3,#,m4,zi1,wan2,gan2,di1,me1,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,almost,#,we,to begin,to swim,to return,go up,ship,#,period of time,#,we,again,to see,one,(measure),turtle,#,it,right here,to look,to come,to look,to go,#,not,to know,to find,-ing,some,what,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,一,條,好,大,嘅,魔鬼魚,好似,飛機,噉,喺,我,頭,上,飛快,游,過,。,我,即刻,影,多,張,相,，,之後,就,跟住,教練,游,返,上,水,面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,jat1,tiu4,hou2,daai6,ge3,mo1-gwai2-jyu2,hou2-ci5,fei1-gei1,gam2,hai2,ngo5,tau4,soeng6,fei1-faai3,jau4,gwo3,#,ngo5,zik1-hak1,jing2,do1,zoeng1,soeng2,#,zi1-hau6,zau6,gan1-zyu6,gaau3-lin6,jau4,faan1,soeng5,seoi2,min2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,one,(measure),very,big,(linker),devil fish,seems,airplane,in this way,at,I,head,above,very fast,to swim,to pass,#,I,at once,take,more,(measure),photograph,#,after,then,follow,coach,to swim,to return,go up,water,surface,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,海,入面,有,好多,好,特別,嘅,魚,，,潛水,真係,好,好玩,啊,！,我,好,想,快啲,再,潛水,，,去,睇,多啲,唔同,嘅,海洋,生物,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,hoi2,jap6-min6,jau5,hou2-do1,hou2,dak6-bit6,ge3,jyu2,#,cim4-seoi2,zan1-hai6,hou2,hou2-waan2,aa3,#,ngo5,hou2,soeng2,faai3-di1,zoi3,cim4-seoi2,#,heoi3,tai2,do1-di1,m4-tung4,ge3,hoi2-joeng4,sang1-mat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,sea,inside,have,many,very,special,(linker),fish,#,to dive,really,very,fun,(particle),#,I,really,want to,faster,again,dive,#,to go,to look,more,different,(linker),ocean,creature,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
