[Line 13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,最,衰,都,係,你,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zeoi3,seoi1,dou1,hai6,nei5,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,most,bad,"all, also",is,you,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,你,先,啱,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6,nei5,sin1,ngaam1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,is,you,is,correct,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鬧,得,仲,嘈,過,之前,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naau6,dak1,zung6,cou4,gwo3,zi1-cin4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to scold,to the extent,even,noisy,-er,before,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,阿心,一,推,，,阿家,跌,低,，,撞,到,後面,一,樣,嘢,。,,,,,,,,,,,,,,,,,,,,,,
dim2-zi1,Aa3-sam1,jat1,teoi1,#,Aa3-gaa1,dit3,dai1,#,zong6,dou2,hau6-min6,jat1,joeng6,je5,#,,,,,,,,,,,,,,,,,,,,,,
unexpectedly,Ah-Sum,one,push,#,Ah-Ka,to fall,down,#,to hit,(marker),behind,one,type,thing,#,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿家,一,望,，,係,一,個,骷髏骨,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-gaa1,jat1,mong6,#,hai6,jat1,go3,fu1-lou4-gwat1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Ka,one,to look,#,is,one,(measure),skeleton,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿家,嘅,屋企人,都,比較,保守,，,好少,講,死,呢啲,唔老嚟,嘅,嘢,，,所以,佢,嚇,咗,一,跳,。,,,,,,,,,,,,,,,,
Aa3-gaa1,ge3,uk1-kei2-jan4,dou1,bei2-gaau3,bou2-sau2,#,hou2-siu2,gong2,sei2,nei1-di1,m4-lou5-lai2,ge3,je5,#,so2-ji5,keoi5,haak3,zo2,jat1,tiu3,#,,,,,,,,,,,,,,,,
Ah-Ka,(linker),family,"all, also",comparatively,conservative,#,rarely,to talk about,death,these,unlucky,(linker),thing,#,therefore,she,frighten,-en,one,to jump,#,,,,,,,,,,,,,,,,
[Line 21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,都,嚇,到,跌,低,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-sam1,dou1,haak3,dou3,dit3,dai1,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Sum,"all, also",frighten, to the extent,to fall,down,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,佢,見,到,阿家,想,喊,想,喊,噉,嘅,樣,，,突然,記得,阿家,好,驚,骨頭,，,佢,即刻,捉住,阿家,隻,手,，,話,：,「,唔使,驚,，,有,我,喺度,！,」
daan6,keoi5,gin3,dou2,Aa3-gaa1,soeng2,haam3,soeng2,haam3,gam2,ge3,joeng2,#,dat6-jin4,gei3-dak1,Aa3-gaa1,hou2,geng1,gwat1-tau4,#,keoi5,zik1-hak1,zuk1-zyu6,Aa3-gaa1,zek3,sau2,#,waa6,#,#,m4-sai2,geng1,#,jau5,ngo5,hai2-dou6,#,#
but,she,see,(marker),Ah-Ka,to want,to cry,to want,to cry,that way,(linker),face,#,all at once,to remember,Ah-Ka,very,afraid,bone,#,she,immediately,grabbing,Ah-Ka,(measure),hand,#,to say,#,#,no need,afraid,#,have,I,right here,#,#
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,阿家,個,心,開始,定,返,啲,，,就,問,阿心,：,「,噉,我哋,而家,點,做,好,？,」,,,,,,,,,,,,,
gwo3,zo2,jat1-zan6,#,Aa3-gaa1,go3,sam1,hoi1-ci2,ding6,faan2,di1,#,zau6,man6,Aa3-sam1,#,#,gam2,ngo5-dei6,ji4-gaa1,dim2,zou6,hou2,#,#,,,,,,,,,,,,,
to pass,-en,a while,#,Ah-Ka,(measure),heart,to begin,to calm down,to return,a bit,#,then,to ask,Ah-Sum,#,#,then,"we, us",now,how,to do,good,#,#,,,,,,,,,,,,,
[Line 25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一嚟,佢,仲係,有啲,驚,個,骨頭,，,二嚟,係,驚,畀,老師,鬧,。,,,,,,,,,,,,,,,,,,,,,,,
jat1-lei4,keoi5,zung6-hai6,jau5-di1,geng1,go3,gwat1-tau4,#,ji6-lei4,hai6,geng1,bei2,lou5-si1,naau6,#,,,,,,,,,,,,,,,,,,,,,,,
first,she,still,a bit,afraid,(measure),bone,#,second,is,afraid,(passive),teacher,to scold,#,,,,,,,,,,,,,,,,,,,,,,,
[Line 26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我哋,砌,返,好,佢,啦,！,」,阿心,拎,住,啲,骨頭,開始,砌,。,,,,,,,,,,,,,,,,,,,,,
#,ngo5-dei6,cai3,faan2,hou2,keoi5,laa1,#,#,Aa3-sam1,ling1,zyu6,di1,gwat1-tau4,hoi1-ci2,cai3,#,,,,,,,,,,,,,,,,,,,,,
#,"we, us",to build,to return,good,it,(particle),#,#,Ah-Sum,to take,-ing,(measure),bone,to begin,build,#,,,,,,,,,,,,,,,,,,,,,
[Line 27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,爸爸,係,醫生,，,細細個,就,教,佢,唔少,身體,知識,。,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-sam1,baa4-baa1,hai6,ji1-sang1,#,sai3-sai3-go3,zau6,gaau3,keoi5,m4-siu2,san1-tai2,zi3-sik1,#,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Sum,father,is,doctor,#,very young,then,to teach,she,not few,body,knowledge,#,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見,到,阿家,一頭霧水,個,樣,，,阿心,笑,咗,出嚟,：,「,你,跟住,我,做,就,得,㗎,喇,！,」,,,,,,,,,,,,,,,
gin3,dou2,Aa3-gaa1,jat1-tau4-mou6-seoi2,go3,joeng2,#,Aa3-sam1,siu3,zo2,ceot1-lei4,#,#,nei5,gan1-zyu6,ngo5,zou6,zau6,dak1,gaa3,laa3,#,#,,,,,,,,,,,,,,,
see,(marker),Ah-Ka,confused,(measure),face,#,Ah-Sum,to laugh,-en,to come out,#,#,you,follow,I,to do,then,okay,(particle),already,#,#,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿家,好似,明,啲,又,唔明,啲,噉,，,阿心,好,畀心機,噉,教,佢,點,做,……,,,,,,,,,,,,,,,,,,,,
Aa3-gaa1,hou2-ci6,ming4,di1,jau6,m4-ming4,di1,gam2,#,Aa3-sam1,hou2,bei2-sam1-gei1,gam2,gaau3,keoi5,dim2,zou6,#,,,,,,,,,,,,,,,,,,,,
Ah-Ka,seems,to understand,some,again,not to understand,some,that way,#,Ah-Sum,very,devoted,that way,to teach,she,how,to do,#,,,,,,,,,,,,,,,,,,,,
[Line 32],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿家,一,開始,都,仲係,有啲,抗拒,嘅,，,之後,就,慢慢,變,得,冇,咁,驚青,喇,！,,,,,,,,,,,,,,,,,,,
Aa3-gaa1,jat1,hoi1-ci2,dou1,zung6-hai6,jau5-di1,kong3-keoi5,ge3,#,zi1-hau6,zau6,maan6-maan2,bin3,dak1,mou5,gam3,geng1-ceng1,laa3,#,,,,,,,,,,,,,,,,,,,
Ah-Ka,once,to begin,"all, also",still,a bit,to resist,(particle),#,afterwards,then,slowly,to change,to become,not,so,afraid,already,#,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,好似,唔記得,咗,，,係,咩,事,要,嚟,醫療室,，,又,係,咩,事,要,砌,返,好,呢啲,骨頭,，,佢哋,淨係,一心一意,要,完成,呢個,「,工程,」,……,,,,,
keoi5-dei6,hou2-ci5,m4-gei3-dak1,zo2,#,hai6,me1,si6,jiu3,lei4,ji1-liu4-sat1,#,jau6,hai6,me1,si6,jiu3,cai3,faan2,hou2,nei1-di1,gwat1-tau4,#,keoi5-dei6,zing6-hai6,jat1-sam1-jat1-ji3,jiu3,jyun4-sing4,nei1-go3,#,gung1-cing4,#,#,,,,,
they,seem,to forget,-en,#,is,what,matter,need to,to come,medical room,#,again,is,what,matter,to want,to build,to return,good,these,bone,#,they,only,wholeheartedly,to want,to accomplish,this one,#,engineering project,#,#,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,「,啪,！,」,佢哋,差唔多,砌,好,晒,，,爭,最後,個,頭,就,搞掂,！,,,,,,,,,,,,,,,,,,,,
,#,paak1,#,#,keoi5-dei6,caa1-m4-do1,cai3,hou2,saai3,#,zaang1,zeoi3-hau6,go3,tau4,zau6,gaau2-dim6,#,,,,,,,,,,,,,,,,,,,,
#,#,pop,#,#,they,almost,build,good,all,#,to compete,at the end,(measure),head,as a result,done,#,,,,,,,,,,,,,,,,,,,,
[Line 37],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,呢,一,下,，,一個人,上去,砌,係,最,有,滿足感,嘅,，,所以,佢哋,都,不約而同,話,：,「,不如,你,上去,砌,吖,？,」,,,,,,,,,,
zeoi3-hau6,nei1,jat1,haa5,#,jat1-go3-jan4,soeng5-heoi3,cai3,hai6,zeoi3,jau5,mun5-zuk1-gam2,ge3,#,so2-ji6,keoi5-dei6,dou1,bat1-joek3-ji4-tung4,waa6,#,#,bat1-jyu4,nei5,soeng5-heoi3,cai3,aa1,#,#,,,,,,,,,,
at the end,this,one,time,#,alone,to go up,to build,is,most,have,satisfaction,(particle),#,therefore,they,"all, also",coincidentally,to say,#,#,how about,you,to go up,to build,(particle),#,#,,,,,,,,,,
[Line 38],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,聽,完,都,笑,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,teng1,jyun4,dou1,siu3,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,to hear,to finish,"all, also",to laugh,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 39],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,阿家,搖搖頭,：,「,都,係,你,上去,啦,！,如果,冇,你,喺,度,，,我哋,都,完成,唔到,。,」,,,,,,,,,,,,,,,
zeoi3-hau6,Aa3-gaa1,jiu4-jiu4-tau4,#,#,dou1,hai6,nei5,soeng5-heoi3,laa1,#,jyu4-gwo2,mou5,nei5,hai2,dou6,#,ngo5-dei6,dou1,jyun4-sing4,m4-dou2,#,#,,,,,,,,,,,,,,,
at the end,Ah-Ka,to shake head,#,#,"all, also",is,you,to go up,(particle),#,if,to not have,you,at,here,#,"we, us","all, also",accomplish,cannot,#,#,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,笑,住,拎,個,骷髏頭,上去,砌,，,阿家,就,喺,下面,扶,住,張,櫈,。,,,,,,,,,,,,,,,,,,,,
Aa3-sam1,siu3,zyu6,ling1,go3,fu1-lou4-tau4,soeng5-heoi3,cai3,#,Aa3-gaa1,zau6,hai2,haa6-min6,fu4,zyu6,zoeng1,dang3,#,,,,,,,,,,,,,,,,,,,,
Ah-Sum,to laugh,-ing,to take,(measure),skeleton,to go up,to build,#,Ah-Ka,then,at,below,to hold,-ing,(measure),chair,#,,,,,,,,,,,,,,,,,,,,
[Line 42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,啪,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,paak1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,pop,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,次,唔係,阿心,跌親,，,而,係,佢哋,喺度,「,Give,me,Five,」,！,,,,,,,,,,,,,,,,,,,,,,
nei1,ci3,m4-hai6,Aa3-sam1,dit3-can1,#,ji4,hai6,keoi5-dei6,hai2-dou6,#,#,#,#,#,#,,,,,,,,,,,,,,,,,,,,,,
this,time,is not,Ah-Sum,to fall down,#,and,is,they,right here,#,#,#,#,#,#,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
望住,佢哋,一齊,完成,嘅,大作,，,佢哋,開心,到,攬,住,對方,。,,,,,,,,,,,,,,,,,,,,,,,,
mong6-zyu6,keoi5-dei6,jat1-cai4,jyun4-sing4,ge3,daai6-zok3,#,keoi5-dei6,hoi1-sam1,dou3,laam5,zyu6,deoi3-fong1,#,,,,,,,,,,,,,,,,,,,,,,,,
staring,they,together,to accomplish,(linker),masterpiece,#,they,happy,to the extent,to hug,-ing,each other,#,,,,,,,,,,,,,,,,,,,,,,,,
[Line 46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,個,時候,，,老師,返,咗,嚟,——,佢哋,先,記得,之前,發生,嘅,事,……,,,,,,,,,,,,,,,,,,,,,
nei1,go3,si4-hau6,#,lou5-si1,faan1,zo2,lei4,#,keoi5-dei6,sin1,gei3-dak1,zi1-cin4,faat3-sang1,ge3,si6,#,,,,,,,,,,,,,,,,,,,,,
this,(measure),time,#,teacher,to return,-en,to come,#,they,then,to remember,before,to happen,(linker),matter,#,,,,,,,,,,,,,,,,,,,,,
[Line 47],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,望,一,望,個,骷髏頭,，,再,望住,佢哋,：,「,你哋,friend,返,嗱,？,係噉,嘅話,，,我,就,請,你哋,食,雪糕,啦,！,」,,,,,,,,,
lou5-si1,mong6,jat1,mong6,go3,fu1-lou4-tau4,#,zoi3,mong6-zyu6,keoi5-dei6,#,#,nei5-dei6,#,faan1,naa4,#,hai6-gam2,ge3-waa2,#,ngo5,zau6,ceng2,nei5-dei6,sik6,syut3-gou1,laa1,#,#,,,,,,,,,
teacher,to look,one,to look,(measure),skeleton,#,again,staring,they,#,#,you (plural),#,back,(particle),#,it's the case,if,#,I,then,to invite,you (plural),to eat,ice cream,(particle),#,#,,,,,,,,,
[Line 48],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,同,阿家,你,眼,望,我,眼,，,然後,跟住,老師,出,學校,。,,,,,,,,,,,,,,,,,,,,,,,
Aa3-sam1,tung4,Aa3-gaa1,nei5,ngaan5,mong6,ngo5,ngaan5,#,jin4-hau6,gan1-zyu6,lou5-si1,ceot1,hok6-haau6,#,,,,,,,,,,,,,,,,,,,,,,,
Ah-Sum,and,Ah-Ka,you,eye,to look,I,eye,#,then,and then,teacher,to go out,school,#,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,老師,，,其實,我哋,啱先,——,」,阿心,忍唔住,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lou5-si1,#,kei4-sat6,ngo5-dei6,ngaam1-sin1,#,#,Aa3-sam1,jan2-m4-zyu6,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,teacher,#,actually,"we, us",just now,,#,Ah-Sum,cannot resist,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 51],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,好,叻,喎,，,識,得,將,個,骷髏骨,砌,返,好,。,」,老師,神神秘秘,噉,笑,咗,一,笑,。,,,,,,,,,,,,,,
#,nei5-dei6,hou2,lek1,wo3,#,sik1,dak1,zoeng1,go3,fu1-lou4-gwat1,cai3,faan1,hou2,#,#,lou5-si1,san4-san4-bei1-bei1,gam2,siu3,zo2,jat1,siu3,#,,,,,,,,,,,,,,
#,you (plural),very,brilliant,(particle),#,to know,how,to take,(measure),skeleton,to build,to return,good,#,#,teacher,mysteriously,then,to laugh,-en,one,to laugh,#,,,,,,,,,,,,,,
[Line 52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,對唔住,啊,，,我哋,唔係,有心,整,跌,佢,㗎,……,」,阿心,講,講,下,發現,有啲,唔對路,——,,,,,,,,,,,,,,,,,
#,deoi3-m4-zyu6,aa3,#,ngo5-dei6,m4-hai6,jau5-sam1,zing2,dit3,keoi5,gaa3,#,#,Aa3-sam1,gong2,gong2,haa5,faat3-jin6,jau5-di1,m4-deoi3-lou6,#,,,,,,,,,,,,,,,,,
#,Sorry!,(particle),#,"we, us",is not,intentional,to make,to fall,it,(particle),#,#,Ah-Sum,to say,to say,a bit,to discover,a bit,something is wrong,#,,,,,,,,,,,,,,,,,
[Line 53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,老師,你,知,我哋,整,跌,咗,個,骷髏骨,嘅,？,」,阿家,企,咗,起身,。,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,lou5-si1,nei5,zi1,ngo5-dei6,zing2,dit3,zo2,go3,fu1-lou4-gwat1,ge2,#,#,Aa3-gaa1,kei5,zo2,hei2-san1,#,,,,,,,,,,,,,,,,,,,
#,why,teacher,you,to know,"we, us",to make,to fall,-en,(measure),skeleton,(particle),#,#,Ah-Ka,to stand,-en,to get up,#,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你哋,又,估,唔,估,到,點解,老師,會,知,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5-dei6,jau6,gu2,m4,gu2,dou2,dim2-gaai2,lou5-si1,wui5,zi1,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
you (plural),again,to guess,not,to guess,to,why,teacher,can,to know,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,
