[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朝早,，,太陽,出嚟,，,熱,醒,咗,蟲仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziu1-zou2,#,taai3-joeng4,ceot1-lai4,#,jit6,seng2,zo2,Cung4-Zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morning,#,the sun,come out,#,hot,to wake up,-ed,Caterpillar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟲仔,醒,咗,之後,，,望,住,鏡,入面,嘅,自己,，,青B B,、,黃色,一點點,，,就,覺得,自己,唔靚,。,,,,,,,,,,,,,,,,,,,,,,,,
蟲仔,唔明,牛,伯伯,講,緊,咩,。,「,噉,我,靚唔靚,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cung4-Zai2,m4-ming4,ngau4,baak3-baak3,gong2,gan2,me1,#,#,gam2,ngo5,leng3-m4-leng3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,don't understand,cow,uncle,say,-ing,what,#,#,then,I,beautiful or not beautiful,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,靚,。,」,蟲仔,好,開心,，,然後,返,咗,屋企,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,leng3,#,#,Cung4-Zai2,hou2,hoi1-sam1,#,jin4-hau6,faan1,zo2,uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,beautiful,#,#,Caterpillar,very,happy,#,then,go back,-ed,home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,爸爸,，,媽媽,，,我,靚唔靚,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,baa4-baa1,#,maa4-maa1,#,ngo5,leng3-m4-leng3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,father,#,mother,#,I,beautiful or not beautiful,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,靚,。,你,大個,咗,之後,，,一定,好,靚,。,」,原來,，,蟲仔,嘅,爸爸,媽媽,係,蝴蝶,啊,。,,,,,,,,,,,,,,,,,,,,,,,
#,leng3,#,nei5,daai6-go3,zo2,zi1-hau6,#,jat1-ding6,hou2,leng3,#,#,jyun4-loi4,#,Cung4-Zai2,ge3,baa4-baa1,maa4-maa1,hai6,wu4-dip2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,
#,beautiful,#,you,grow up,-ed,after,#,sure,very,beautiful,#,#,it turns out,#,Caterpillar, 's,father,mother,are,butterfly,(particle),#,,,,,,,,,,,,,,,,,,,,,,,
