because,he,parents,very,early,then,die,-en,#,he,don't have,people,can,to depend on,#,one day,#,he,go,-en,river,side,fishing,#,thinking about,eat,fish,to feed oneself,#,at,this (measure),time,#,he,saw,one,(measure),wash clothes,(linker),old woman,#,old woman,saw,Han Xin,(measure),tummy,hungry,to,flat,all,#,then,feed,he,to eat rice,#,in succession,several,ten,day,"all, also",is,in this way,#,until,old woman,wash,all,those,clothes,#,Han Xin,very,touched,#,he,to,old woman,say,#,#,you,so,look after,I,#,future,I,surely,will,well,repay,you,#,#,old woman,then say,#,#,I,treat,you,to eat rice,#,is,because,I,see,you,pitiful,#,I,not,need,you,repay,I,#,I,only,need,you,try one's best,to conduct oneself,#,#,Han Xin,feel,very,ashamed,#,since then,#,Han Xin,seriously,read,books on warcraft,#,practice,martial arts,#,determine,have to,be,one (measure),useful,(linker),person,#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一排,，,韓信,遇到,一,位,蝦蝦霸霸,嘅,少爺,。,呢,位,少爺,話,：,「,你,生,到,牛高馬大,，,又,帶刀,佩劍,，,其實,你,只係,一個,冇膽鬼,。,」,之後,仲,當眾,侮辱,佢,，,話,：,「,你,夠膽,就,一,劍,拮,死,我,；,唔,夠膽,就,瓹,我,褲襠,底,過去,啦,！,」,韓信,心諗,：,「,如果,我,攞,劍,拮,佢,，,殺,咗,人,就,要,坐監,。,噉樣,做,好,唔,抵,，,都係,唔,殺,佢,好,啲,。,」,之後,韓信,真係,瓹,佢,褲襠,底,。,周圍,睇熱鬧,嘅,人,都,笑,佢,細膽,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,jat1-paai4,#,hon4-seon3,jyu6-dou2,jat1,wai2,haa1-haa1-baa3-baa3,ge3,siu3-je4,#,ni1,wai2,siu3-je4,waa6,#,#,nei5,saang1,dou3,ngau4-gou1-maa5-daai6,#,jau6,daai3-dou1,pui3-gim3,#,kei4-sat6,nei5,zi2-hai6,jat1-go3,mou5-daam2-gwai2,#,#,zi1-hau6,zung6,dong1-zung3,mou5-juk6,keoi5,#,waa6,#,#,nei5,gau3-daam2,zau6,jat1,gim3,gat1,sei2,ngo5,#,m4,gau3-daam2,zau6,gyun1,ngo5,fu3-long6,dai2,gwo3-heoi3,laa1,#,#,hon4-seon3,sam1-nam2,#,#,jyu4-gwo2,ngo5,lo2,gim3,gat1,keoi5,#,saat3,zo2,jan4,zau6,jiu3,co5-gaam1,#,gam2-joeng2,zou6,hou2,m4,dai2,#,dou1-hai6,m4,saat3,keoi5,hou2,di1,#,#,zi1-hau6,hon4-seon3,zan1-hai6,gyun1,keoi5,fu3-long6,dai2,#,zau1-wai4,tai2-jit6-naau6,ge3,jan4,dou1,siu3,keoi5,sai3-daam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pass,-en,a period of time,#,Han Xin,bump into,one,(measure),bully harassing people,(linker),young master,#,this,(measure),young master,say,#,#,you,grow up,to,"herculean, ""tall as a bull and large as a horse""",#,again,carry blade,carry sword,#,actually,you,just only,one (measure),coward,#,#,after,even,in front of people,insult,he,#,say,#,#,you,have the guts,then,one,sword,stab,die,I,#,not,have the guts,then,crawl under,I,crotch,under,over,(particle),#,#,Han Xin,think,#,#,if,I,take,sword,stab,he,#,kill,-en,people,then,have to,go to jail,#,this way,do,very,not,worth,#,it's better ,not,kill,he,good,-er,#,#,after,Han Xin,really,crawl under,he,crotch,under,#,surrounding,watch the spectacle,(linker),people,"all, also",laugh,he,timid,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,，,韓信,做,咗,劉邦,嘅,將軍,。,當時,劉邦,只係,一個,小,王,，,冇,能力,統一,天下,。,劉邦,又,覺得,韓信,好,普通,，,所以,只係,畀,佢,做,個,小,將軍,。,於是,有,一,晚,，,韓信,決定,離開,劉邦,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-loi4,#,hon4-seon3,zou6,zo2,lau4-bong1,ge3,zoeng1-gwan1,#,dong1-si4,lau4-bong1,zi2-hai6,jat1-go3,siu2,wong4,#,mou5,nang4-lik6,tung2-jat1,tin1-haa6,#,lau4-bong1,jau6,gok3-dak1,hon4-seon3,hou2,pou2-tung1,#,so2-ji5,zi2-hai6,bei2,keoi5,zou6,go3,siu2,zoeng1-gwan1,#,jyu1-si6,jau5,jat1,maan5,#,hon4-seon3,kyut3-ding6,lei4-hoi1,lau4-bong1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,#,Han Xin,be,-en,Liu Bang,’s,general,#,then,Liu Bang,just only,one (measure),small,king,#,don't have,ability,to unite,the world,#,Liu Bang,also,think,Han Xin,very,ordinary,#,therefore,just only,give,he,to be,(measure),small,general,#,so,have,one,night,#,Han Xin,decide,to leave,Liu Bang,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丞相,蕭何,知道,之後,，,就,即刻,騎,馬,追,韓信,返嚟,。,劉邦,知道,就,好,嬲,：,「,逃走,嘅,將軍,有,幾,十,個,，,點解,你,偏偏,要,追,韓信,？,」,蕭何,話,：,「,如果,你,甘心,做,一個,小,王,，,你,可以,唔要,韓信,；,但,如果,你,要,一統,天下,，,冇,韓信,你,就,做,唔到,！,」,劉邦,知道,錯,在,自己,，,於是,封,咗,韓信,做,大,將軍,。,最終,，,喺,韓信,嘅,幫助,下,，,劉邦,成功,統一,天下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sing4-soeng3,siu1-ho4,zi1-dou3,zi1-hau6,#,zau6,zik1-hak1,ke4,maa5,zeoi1,hon4-seon3,faan1-lai4,#,lau4-bong1,zi1-dou3,zau6,hou2,nau1,#,#,tou4-zau2,ge3,zoeng1-gwan1,jau5,gei2,sap6,go3,#,dim2-gaai2,nei5,pin1-pin1,jiu3,zeoi1,hon4-seon3,#,#,siu1-ho4,waa6,#,#,jyu4-gwo2,nei5,gam1-sam1,zou6,jat1-go3,siu2,wong4,#,nei5,ho2-ji5,m4-jiu3,hon4-seon3,#,daan6,jyu4-gwo2,nei5,jiu3,jat1-tung2,tin1-haa6,#,mou5,hon4-seon3,nei5,zau6,zou6,m4-dou2,#,#,lau4-bong1,zi1-dou3,co3,zoi6,zi6-gei2,#,jyu1-si6,fung1,zo2,hon4-seon3,zou6,daai6,zoeng1-gwan1,#,zeoi3-zung1,#,hai2,hon4-seon3,ge3,bong1-zo6,haa6,#,lau4-bong1,sing4-gung1,tung2-jat1,tin1-haa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prime minister,Xiao He,know,after,#,then,immediately,ride,horse,chase,Han Xin,back,#,Liu Bang,know,then,very,angry,#,#,desert,(linker),general,have,several,ten,(measure),#,why,you,against expectation,have to,chase,Han Xin,#,#,Xiao He,say,#,#,if,you,feel satisfied,to be,one (measure),small,king,#,you,can,no need,Han Xin,#,but,if,you,have to,to unite,the world,#,don't have,Han Xin,you,then,do,cannot,#,#,Liu Bang,know,wrong,at,oneself,#,so,assign,-en,Han Xin,to be,big,general,#,eventually,#,at,Han Xin,(linker),help,under,#,Liu Bang,succeed,to unite,the world,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓信,功,成,之後,，,始終,冇,忘記,當初,幫,佢,嘅,婆婆,。,佢,返,鄉下,揾,返,嗰,位,婆婆,，,畀,咗,一千,兩,黃金,佢,──,呢個,就係,成語,「,一飯千金,」,嘅,由來,。,當然,，,韓信,都,冇,忘記,當初,想,害,佢,嗰,位,少爺,。,嗰,位,少爺,見,返,韓信,，,知道,人哋,做,咗,大,將軍,，,嚇,到,手,震,腳,震,，,咩,都,講,唔到,。,點知,韓信,竟然,話,：,「,雖然,你,當眾,羞辱,過,我,，,但,亦,因為,噉,，,我,至,識,得,忍辱負重,，,仲,成就,咗,今日,嘅,我,。,所以,我,唔,會,報仇,，,仲,會,以德報怨,，,畀,個,官,你,做,。,」,,,,,,,,,,,,,,,,,,,,,,
hon4-seon3,gung1,sing4,zi1-hau6,#,ci2-zung1,mou5,mong4-gei3,dong1-co1,bong1,keoi5,ge3,po4-po2,#,keoi5,faan1,hoeng1-haa2,wan2,faan1,go2,wai2,po4-po2,#,bei2,zo2,jat1-cin1,loeng5,wong4-gam1,keoi5,#,ni1-go3,zau6-hai6,sing4-jyu5,#,jat1-faan6-cin1-gam1,#,ge3,jau4-loi4,#,dong1-jin4,#,hon4-seon3,dou1,mou5,mong4-gei3,dong1-co1,soeng2,hoi6,keoi5,go2,wai2,siu3-je4,#,go2,wai2,siu3-je4,gin3,faan1,hon4-seon3,#,zi1-dou3,jan4-dei6,zou6,zo2,daai6,zoeng1-gwan1,#,haak3,dou3,sau2,zan3,goek3,zan3,#,me1,dou1,gong2,m4-dou2,#,dim2-zi1,hon4-seon3,ging2-jin4,waa6,#,#,seoi1-jin4,nei5,dong1-zung3,sau1-juk6,gwo3,ngo5,#,daan6,jik6,jan1-wai6,gam2,#,ngo5,zi3,sik1,dak1,jan2-juk6-fu6-zung6,#,zung6,sing4-zau6,zo2,gam1-jat6,ge3,ngo5,#,so2-ji5,ngo5,m4,wui5,bou3-sau4,#,zung6,wui5,ji5-dak1-bou3-jyun3,#,bei2,go3,gun1,nei5,zou6,#,#,,,,,,,,,,,,,,,,,,,,,,
Han Xin,accomplishment,achieve,after,#,after all,don't have,forget,at the beginning,help,he,(linker),old woman,#,he,return,countryside,find,back,that,(measure),old woman,#,give,-en,one thousand,tael,gold,he,#,this (measure),which is,idiom,#,one meal worths a thousand taels of gold,#,(linker),origin,#,of course,#,Han Xin,also,don't have,forget,at the beginning,want to,harm,he,that,(measure),young master,#,that,(measure),young master,see,back,Han Xin,#,know,others,be,-en,big,general,#,frighten,to,hand,shake,"foot, leg",shake,#,what,"all, also",say,cannot,#,unexpectedly,Han Xin,to one's surprise,say,#,#,although,you,in front of people,insult,-ed,I,#,but,also,because,this,#,I,then,know,(suffix),endure humiliation for long-term accomplishment,#,even,accomplish,-en,today,(linker),I,#,therefore,I,not,will,revenge,#,even,will,to repay evil with kindness,#,give,(measure),high official,you,to be,#,#,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓信,一生人,入面,，,影響,佢,最,大,嘅,有,三,個,人,，,分別,係,婆婆,、,少爺,，,同埋,蕭何,。,如果,你,係,韓信,？,你,又,會,點,報答,佢哋,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hon4-seon3,jat1-sang1-jan4,jap6-min6,#,jing2-hoeng2,keoi5,zeoi3,daai6,ge3,jau5,saam1,go3,jan4,#,fan1-bit6,hai6,po4-po2,#,siu3-je4,#,tung4-maai4,siu1-ho4,#,jyu4-gwo2,nei5,hai6,hon4-seon3,#,nei5,jau6,wui5,dim2,bou3-daap3,keoi5-dei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Xin,whole life,inside,#,influence,he,most,big,(linker),have,three,(measure),people,#,separately,is,old woman,#,young master,#,and,Xiao He,#,if,you,is,Han Xin,#,you,also,will,how,to repay,they,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
