but,he,and,younger sister,to get,-en,up,very,long time,#,mother,also,still,not yet,to get up,#,younger sister,to feel,a bit,don't make sense,#,then,to go,to feel,mother,(measure),head,#,a bit,hot,#,he,immediately,to say,to,Fung,to know,#,Fung,to see,mother,so,not feeling well,#,to decide,today,to stay,at,home,#,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,打電話,畀,隊長,：,「,喂,，,阿魚,啊,，,我,想,講,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,daa2-din6-waa2,bei2,deoi6-zoeng2,#,#,wai2,#,aa3-jyu2,aa4,#,ngo5,soeng2,gong2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,call on phone,to,captain,#,#,Hello,#,Yu,(particle),#,I,to want,to say,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿風,！,咁啱,我,都,想,打畀,你,，,今日,場,比賽,我哋,一定,要,贏,！,到時,你,記得,mark,住,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Aa3-fung1,#,gam3-ngaam1,ngo5,dou1,soeng2,daa2-bei2,nei5,#,gam1-jat6,coeng4,bei2-coi3,ngo5-dei6,jat1-ding6,jiu3,jeng4,#,dou3-si4,nei5,gei3-dak1,#,zyu6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Fung,#,coincidentally,I,also,to want,to call,you,#,today,(measure),competition,we,sure,to need,to win,#,by that time,you,to remember,mark,-ing,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔係呀,，,阿魚,，,唔好意思,呀,！,其實,我,想,講,我,屋企,突然,有,啲,事,，,今日,嚟,唔到,比賽,呀,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-hai6-aa3,#,aa3-jyu2,#,m4-hou2-ji3-si1,aa3,#,kei4-sat6,ngo5,soeng2,gong2,ngo5,uk1-kei2,dat6-jin4,jau5,di1,si6,#,gam1-jat6,lai4,m4-dou2,bei2-coi3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,No,#,Yu,#,Sorry!,(particle),#,actually,I,to want,to say,I,home,suddenly,have,some,matter,#,today,to come,cannot,competition,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿魚,先,係,呆,咗,下,，,然後,好,嬲,噉,話,：,「,吓,，,你,依家,先,嚟,講,？,我哋,之前,仲,練,咗,咁,耐,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-jyu2,sin1,hai6,ngoi4,zo2,haa5,#,jin4-hau6,hou2,nau1,gam2,waa6,#,#,haa2,#,nei5,ji1-gaa1,sin1,lai4,gong2,#,ngo5-dei6,zi1-cin4,zung6,lin6,zo2,gam3,noi6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu,first,is,surprised,-en,a bit,#,then,very,angry,-ly,to say,#,#,what?,#,you,now,first,to come,to say,#,we,before,still,to train,-en,so,long time,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿風,終於,話,：,「,我,媽媽,病,咗,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-fung1,zung1-jyu1,waa6,#,#,ngo5,maa4-maa1,beng6,zo2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fung,finally,to say,#,#,I,mother,sick,-en,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,……,噉,冇,辦法,啦,，,你,照顧,好,伯母,……,波,幾時,都,有得,打,，,但,媽媽,就,淨係,得,一個,……,」,跟住,佢哋,就,收,咗,線,。,,,,,,,,,,,,,,,,,,,,,,,
#,o5,#,gam2,mou5,baan6-faat3,laa1,#,nei5,ziu3-gu3,hou2,baak3-mou5,#,bo1,gei2-si4,dou1,jau5-dak1,daa2,#,daan6,maa4-maa1,zau6,zing6-hai6,dak1,jat1-go3,#,#,gan1-zyu6,keoi5-dei6,zau6,sau1,zo2,sin3,#,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,then,don't have,way,(particle),#,you,look after,well,aunt,#,ball,whenever,also,get to,to play,#,but,mother,then,only,have,one,#,#,and then,they,then,to end,-en,the call,#,,,,,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實,阿風,比,任何,人,都,想,去,比賽,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei4-sat6,Aa3-fung1,bei2,jam6-ho4,jan4,dou1,soeng2,heoi3,bei2-coi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actually,Fung,than,any,person,"all, also",to want,to go,competition,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿風,望,一,望,細妹,，,有,少少,苦笑,噉,講,：,「,呢次,到,我哋,幫手,準備,今晚,嘅,團年飯,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-fung1,mong6,jat1,mong6,sai3-mui2,#,jau5,siu2-siu2,fu2-siu3,gam2,gong2,#,#,ni1-ci3,dou3,ngo5-dei6,bong1-sau2,zeon2-bei6,gam1-maan5,ge3,tyun4-nin4-faan6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fung,to look,one,to look,younger sister,#,have,a bit,forced smile,-ly,to say,#,#,this time,to,we,to help,to prepare,tonight,(linker),reunion dinner,already,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿風,開,雪櫃,，,見到,媽媽,已經,一早,準備,好,晒,食材,，,心,都,定,啲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-fung1,hoi1,syut3-gwai6,#,gin3-dou2,maa4-maa1,ji5-ging1,jat1-zou2,zeon2-bei6,hou2,saai3,sik6-coi4,#,sam1,dou1,ding6,di1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fung,to open,refrigerator,#,to see,mother,already,early on,to prepare,well,all,ingredient,#,heart,"all, also",calm,-er,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,阿風,見到,一個,個,大大小小,嘅,煲,就,嚇,咗,一,跳,：,咁,多,個,煲,，,係咪,各,有,唔同,用法,㗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6,Aa3-fung1,gin3-dou2,jat1-go3,go3,daai6-daai6-siu2-siu2,ge3,bou1,zau6,haak3,zo2,jat1,tiu3,#,gam3,do1,go3,bou1,#,hai6-mai6,gok3,jau5,m4-tung4,jung6-faat3,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,Fung,to see,one,(measure),big and small,(linker),pot,then,frighten,-en,one,to jump,#,so,many,(measure),pot,#,is or isn't,each,have,different,directions of use,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,望,一,望,牀,上,嘅,媽媽,，,細細聲,同,自己,打氣,：,「,唔理,喇,！,由,細,到,大,睇,媽媽,整,過,咁,多,次,，,你,一定,做,到,嘅,，,阿風,！,」,,,,,,,,,,,,,,,,,,
keoi5,mong6,jat1,mong6,cong4,soeng6,ge3,maa4-maa1,#,sai3-sai3-seng1,tung4,zi6-gei2,daa2-hei3,#,#,m4-lei5,laa3,#,jau4,sai3,dou3,daai6,tai2,maa4-maa1,zing2,gwo3,gam3,do1,ci3,#,nei5,jat1-ding6,zou6,dou2,ge3,#,Aa3-fung1,#,#,,,,,,,,,,,,,,,,,,
he,to look,one,to look,bed,above,(linker),mother,#,small and low voice,with,oneself,cheer up,#,#,don't care,already,#,from,young,to,old,to look,mother,to make,-ed,so,many,time,#,you,sure,to do,can,(particle),#,Fung,#,#,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
揀,咗,啲,啱用,嘅,煲,之後,，,依家,要,處理,食材,。,細妹,寫低,食材,同,份量,，,阿風,就,跟住,放,落,煲,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaan2,zo2,di1,aam1-jung6,ge3,bou1,zi1-hau6,#,ji1-gaa1,jiu3,cyu2-lei5,sik6-coi4,#,sai3-mui2,se2-dai1,sik6-coi4,tung4,fan6-loeng6,#,Aa3-fung1,zau6,gan1-zyu6,fong3,lok6,bou1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to pick up,-en,some,useful,(linker),pot,after,#,now,need to,to deal with,ingredient,#,younger sister,jot down,ingredient,and,quantity/weight,#,Fung,then,to follow,to put,down,pot,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,幾,個鐘,，,突然,，,房,入面,傳,出,媽媽,嘅,叫聲,：,「,死喇,！,我,仲,未,整,團年飯,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,gei2,go3-zung1,#,dat6-jin4,#,fong2,jap6-min6,cyun4,ceot1,maa4-maa1,ge3,giu3-seng1,#,#,sei2-laa3,#,ngo5,zung6,mei6,zing2,tyun4-nin4-faan6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to pass,-en,several,hour(s),#,suddenly,#,room,inside,to pass,out,mother,’s,call,#,#,Oh no,#,I,still,not yet,to make,reunion dinner,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叮噹,、,叮噹,！,」,媽媽,聽到,門鐘,聲,，,就,即刻,起身,去,開門,，,門,外面,已經,嚟,咗,好多,親戚,喇,！,媽媽,唯有,坦白,話,：,「,唔好意思,呀,！,我,仲,未,……,」,,,,,,,,,,,,,,,,,
#,ding1-dong1,#,ding1-dong1,#,#,maa4-maa1,teng1-dou2,mun4-zung1,seng1,#,zau6,zik1-hak1,hei2-san1,heoi3,hoi1-mun4,#,mun4,ngoi6-min6,ji5-ging1,lai4,zo2,hou2-do1,can1-cik1,laa3,#,maa4-maa1,wai4-jau5,taan2-baak6,waa6,#,#,m4-hou2-ji3-si1,aa3,#,ngo5,zung6,mei6,#,#,,,,,,,,,,,,,,,,,
#,ding dong ,#,ding dong,#,#,mother,to hear,doorbell,sound,#,then,immediately,to get up,to go,to open the door,#,door,outside,already,to come,-en,many,relative,already,#,mother,only,to confess,to say,#,#,Sorry!,(particle),#,I,still,not yet,#,#,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,香,呀,！,辛苦你,準備,咁,多,嘢食,喇,！,」,啲,親戚,聞,得,飯,香,嚟,，,都,唔理,得,媽媽,想,講,咩,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,hoeng1,aa3,#,san1-fu2-nei5,zeon2-bei6,gam3,do1,je5-sik6,laa3,#,#,di1,can1-cik1,man4,dak1,faan6,hoeng1,lai4,#,dou1,m4-lei5,dak1,maa4-maa1,soeng2,gong2,me1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,very,smell good,(particle),#,thanks for your effort,to prepare,so,many,food,already,#,#,those,relative,to smell,(suffix),meal,good smell,(particle),#,"all, also",don't care,(suffix),mother,to want,to say,what,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,見到,阿風,同,細妹,煮,嘅,飯,，,即刻,跑,過去,攬,住,佢哋,，,同,親戚,講,：,「,辛苦,我,兩個,仔女,先,啱,，,呢,餐,係,佢哋,整,㗎,！,」,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,gin3-dou2,Aa3-fung1,tung4,sai3-mui2,zyu2,ge3,faan6,#,zik1-hak1,paau2,gwo3-heoi3,laam2,zyu6,keoi5-dei6,#,tung4,can1-cik1,gong2,#,#,san1-fu2,ngo5,loeng5-go3,zai2-neoi2,sin1,ngaam1,#,nei1,caan1,hai6,keoi5-dei6,zing2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,
mother,to see,Fung,and,younger sister,cook,(linker),meal,#,immediately,to run,to go over,to hug,-ing,they,#,with,relative,to say,#,#,thanks for the effort,I,two,children,then,correct,#,this,meal,is,they,to make,(particle),#,#,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿風,有啲,唔好意思,，,細細聲,話,：,「,唔,辛苦,，,我哋,大個仔,大個女,喇嘛,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-fung1,jau5-di1,m4-hou2-ji3-si1,#,sai3-sai3-seng1,waa6,#,#,m4,san1-fu2,#,ngo5-dei6,daai6-go3-zai2,daai6-go3-neoi2,laa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fung,a bit,embarrased,#,small and low voice,to say,#,#,not,hard,#,we,big boy,big girl,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿風,突然,覺得,，,幫,到,媽媽,手,嘅話,，,打,少,一,場,波,，,其實,都,冇,咩嘢,吖,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-fung1,dat6-jin4,gok3-dak1,#,bong1,dou2,maa4-maa1,sau2,ge3-waa3,#,daa2,siu2,jat1,coeng4,bo1,#,kei4-sat6,dou1,mou5,me1-je5,aa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fung,suddenly,to feel,#,to help,can,mother,hand,if,#,to play,few,one,(measure),ball,#,actually,"all, also",don't have,any matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
