ngo5-dei6,jat1-cai4,tai2,faa1,#,jat1-cai4,tai2,syu6,#,ngo5-dei6,jat1-cai4,daai6-giu3,daai3-siu3,#,jau6,paau2,paau2,tiu3,tiu3,#,juk1,lai4,juk1,heoi3,zan1-hai6,hou2,hoi1-sam1,#
we,together,to look,flower,#,together,to look,tree,#,we,together,shout,to laugh,#,also,to run,to run,to jump,to jump,#,to move,to come,to move,to go,really,very,happy,#
[Line 23],,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,話,：,「,喂,，,坐,一陣,啦,！,」,,,,,,,,,,,,,,,,,
po4-po2,waa6,#,#,wai3,#,co5,jat1-zan6,laa1,#,#,,,,,,,,,,,,,,,,,
grandmother,to say,#,#,Hey!,#,to sit,a while,(particle),#,#,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,
而家,婆婆,同埋,佢,隻,貓,喺,電話,度,——,,,,,,,,,,,,,,,,,,
ji4-gaa1,po4-po2,tung4-maai4,keoi5,zek3,maau1,hai2,din6-waa2,dou6,#,,,,,,,,,,,,,,,,,,
now,grandmother,and,she,(measure),cat,at,telephone,place,#,,,,,,,,,,,,,,,,,,
[Line 27],,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,問,：,「,你,話,天空,個,月亮,係唔係,又,大,又,靚,？,」,,,,,,,,,,,,
po4-po2,man6,#,#,nei5,waa6,tin1-hung1,go3,jyut6-loeng6,hai6-m4-hai6,jau6,daai6,jau6,leng3,#,#,,,,,,,,,,,,
grandmother,to ask,#,#,you,to say,sky,(measure),moon,is it?,also ,big,also,beautiful,#,#,,,,,,,,,,,,
[Line 28],,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,答,：,「,我哋,呢度,個,月亮,未,出嚟,，,而家,只係,晏晝,，,天空,有,太陽,冇,月亮,。,」,,,,,,
maa4-maa1,daap3,#,#,ngo5-dei6,ni1-dou6,go3,jyut6-loeng6,mei6,ceot1-lai4,#,ji4-gaa1,zi2-hai6,aan3-zau3,#,tin1-hung1,jau5,taai3-joeng4,mou5,jyut6-loeng6,#,#,,,,,,
mother,to reply,#,#,we,here,(measure),moon,not yet,to come out,#,now,just only,afternoon,#,sky,have,sun,don't have,moon,#,#,,,,,,
