this,time,#,younger,son,Cao Chong,then say,#,#,very,simple,(particle),#,let,I,come,(particle),#,#,Cao Chong,put,-en,one (measure),bronze,mirror,at,(measure),pheasant,in front of,#,pheasant,saw,bronze,mirror,inside,have,(measure),very,beautiful,(linker),pheasant,#,pheasant,in order to,with,it,compete,beauty,#,then,begin,to dance,#,unexpectedly,mirror,inside,(linker),pheasant,follow,together,to dance,#,in the end,#,pheasant,dance,-en,very,long time,"all, also",not,stop,#,because,it,want,to wait,mirror,inside,that,(measure),to stop,#,it,then,willing to,to stop,#,since then,#,everyone,"all, also",think,Cao Chong,really is,one,(measure),prodigy,#
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後嚟,，,又,有,人,送,咗,一,隻,大笨象,畀,曹操,。,曹操,佢哋,個個,都,冇,見,過,大笨象,，,佢,見,淨係,象腿,都,已經,有,一,條,柱,咁,粗,，,覺得,大笨象,真係,好,大隻,。,佢,喺度,諗,：,唔知,呢,隻,大笨象,有,幾,重,呢,？,於是,佢,就,問,大臣,，,睇,下,有冇,方法,可以,量度,呢,隻,大笨象,嘅,重量,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-lei4,#,jau6,jau5,jan4,sung3,zo2,jat1,zek3,daai6-ban6-zoeng6,bei2,cou4-cou1,#,cou4-cou1,keoi5-dei6,go3-go3,dou1,mou5,gin3,gwo3,daai6-ban6-zoeng6,#,keoi5,gin3,zing6-hai6,zoeng6-teoi2,dou1,ji5-ging1,jau5,jat1,tiu4,cyu5,gam3,cou1,#,gok3-dak1,daai6-ban6-zoeng6,zan1-hai6,hou2,daai6-zek3,#,keoi5,hai2-dou6,nam2,#,m4-zi1,nei1,zek3,daai6-ban6-zoeng6,jau5,gei2,cung5,ne1,#,jyu1-si6,keoi5,zau6,man6,daai6-san4,#,tai2,haa5,jau5-mou5,fong1-faat3,ho2-ji5,loeng4-dok6,nei1,zek3,daai6-ban6-zoeng6,ge3,cung5-loeng6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,#,again,have,people,send,-en,one,(measure),elephant,to,Cao Cao,#,Cao Cao,they,everyone,"all, also",never,see,-ed,elephant,#,he,see,only,elephant leg,"all, also",already,have,one,(measure),pole,so,thick,#,think,elephant,really,very,big,#,he,right here,think,#,don't know,this,(measure),elephant,have,how,heavy,(particle),#,so,he,then,ask,minister,#,see,a bit,have or haven't,method,can,measure,this,(measure),elephant,’s,weight,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一,位,大臣,話,：,「,大笨象,又,大隻,又,重,，,要,做,一個,超級,巨型,嘅,稱,，,先,可以,量,到,佢,嘅,重量,。,」,曹操,笑,住,答,：,「,噉,個,稱,咪,仲,大,過,間,屋,？,邊,有,可能,做到,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,jat1,wai2,daai6-san4,waa6,#,#,daai6-ban6-zoeng6,jau6,daai6-zek3,jau6,cung5,#,jiu3,zou6,jat1-go3,ciu1-kap1,geoi6-jing4,ge3,cing3,#,sin1,ho2-ji5,loeng6,dou2,keoi5,ge3,cung5-loeng6,#,#,cou4-cou1,siu3,zyu6,daap3,#,#,gam2,go3,cing3,mai6,zung6,daai6,gwo3,gaan1,uk1,#,bin1,jau5,ho2-nang4,zou6-dou3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,one,(measure),minister,say,#,#,elephant,also,big,also,heavy,#,need to,make,one,super,giant,(linker),scale,#,then,can,measure,(suffix),it,(linker),weight,#,#,Cao Cao,laugh,-ing,reply,#,#,this way,(measure),scale,then,even,big,than,(measure),house,#,how,have,possible,can do,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
另一,位,大臣,話,：,「,大笨象,係,生,嘅,，,就算,造,到,咁,大個,稱,，,大笨象,都,未必,肯,乖乖,企,上去,。,計我話,，,殺,咗,隻,大笨象,，,切開,一嚿嚿,，,咁,就,量,到,幾,重,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling6-jat1,wai2,daai6-san4,waa6,#,#,daai6-ban6-zoeng6,hai6,saang1,ge3,#,zau6-syun3,zou6,dou2,gam3,daai6-go3,cing3,#,daai6-ban6-zoeng6,dou1,mei6-bit1,hang2,gwaai1-gwaai1,kei5,soeng5-heoi3,#,gai3-ngo5-waa6,#,saat3,zo2,zek3,daai6-ban6-zoeng6,#,cit3-hoi1,jat1-gau2-gau6,#,gam3,zau6,loeng4,dou2,gei2,cung5,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
another,(measure),minister,say,#,#,elephant,is,live,(particle),#,even if,make,(suffix),so,big (measure),scale,#,elephant,"all, also",not necessarily,willing to,well-behaved,stand,go on,#,in my view,#,kill,-en,(measure),elephant,#,cut open,piece by piece,#,so,then,measure,(suffix),how,heavy,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家,一致,否決,呢個,方法,——,為咗,量,大笨象,嘅,重量,，,就,要,殺,咗,佢,，,噉,做,實在,太,唔,人道,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1,jat1-zi3,fau2-kyut3,ni1-go3,fong1-faat3,#,wai6-zo2,loeng4,daai6-ban6-zoeng6,ge3,cung5-loeng6,#,zau6,jiu3,saat3,zo2,keoi5,#,gam2,zou6,sat6-zoi6,taai3,m4,jan4-dou6,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,unanimously,object,this,method,#,in order to,measure,elephant,(linker),weight,#,then,need to,kill,-en,it,#,this way,to do,really,too,not,humane,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,有,個,細路,走,出嚟,，,原來,係,曹沖,。,佢,話,：,「,要,量,隻,大笨象,有,幾,重,，,好,簡單,啫,，,等,我,話,畀,你哋,知,點,做,啦,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,jau5,go3,sai3-lou6,zau2,ceot1-lai4,#,jyun4-loi4,hai6,cou4-cung1,#,keoi5,waa6,#,#,jiu3,loeng4,zek3,daai6-ban6-zoeng6,jau5,gei2,cung5,#,hou2,gaan2-daan1,ze1,#,dang2,ngo5,waa6,bei2,nei5-dei6,zi1,dim2,zou6,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,time,#,have,(measure),kid,walk,out,#,it turns out,is,Cao Chong,#,he,say,#,#,need to,weigh,(measure),elephant,have,how,heavy,#,very,simple,(particle),#,let,I,tell,to,you (plural),to know,how,to do,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首先,準備,一,隻,木,船,，,放,隻,大笨象,上去,。,大笨象,咁,重,，,水位,一定,好,深,。,揾到,個,水位,之後,，,再,派,人,喺,船,上,刻,一個,記號,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sau2-sin1,zeon2-bei6,jat1,zek3,muk6,syun4,#,fong3,zek3,daai6-ban6-zoeng6,soeng5-heoi3,#,daai6-ban6-zoeng6,gam3,cung5,#,seoi2-wai2,jat1-ding6,hou2,sam1,#,wan2-dou2,go3,seoi2-wai2,zi1-hau6,#,zoi3,paai3,jan4,hai2,syun4,soeng6,hak1,jat1-go3,gei3-hou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first of all,prepare,one,(measure),wood,ship,#,put,(measure),elephant,go on,#,elephant,so,heavy,#,water level,surely,very,deep,#,find,(measure),water level,after,#,again,send,people,at,ship,above,engrave,one (measure),mark,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,好多,大臣,都,仲,未,明白,曹沖,想,點,。,佢哋,問,：,「,噉,之後,點,做,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,hou2-do1,daai6-san4,dou1,zung6,mei6,ming4-baak6,cou4-cung1,soeng2,dim2,#,keoi5-dei6,man6,#,#,gam2,zi1-hau6,dim2,zou6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,time,#,many,minister,"all, also",still,not yet,understand,Cao Chong,want,how,#,they,ask,#,#,then,after,how,to do,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹沖,接住,講,：,「,之後,就,拉,返,隻,大笨象,出嚟,，,再,逐啲,逐啲,放,木頭,上去,，,直到,隻,船,去,返,之前,嘅,水位,先好,停,。,最後,攞,返,啲,木頭,出嚟,，,分開,磅,下,幾,重,，,加埋,咪,知,隻,大笨象,幾,重,囉,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cou4-cung1,zip3-zyu6,gong2,#,#,zi1-hau6,zau6,laai1,faan1,zek3,daai6-ban6-zoeng6,ceot1-lai4,#,zoi3,zuk6-di1,zuk6-di1,fong3,muk6-tau4,soeng5-heoi3,#,zik6-dou3,zek3,syun4,heoi3,faan1,zi1-cin4,ge3,seoi2-wai2,sin1-hou2,ting4,#,zeoi3-hau6,lo2,faan1,di1,muk6-tau4,ceot1-lai4,#,fan1-hoi1,bong6,haa5,gei2,cung5,#,gaa1-maai4,mai6,zi1,zek3,daai6-ban6-zoeng6,gei2,cung5,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cao Chong,continue,to say,#,#,after,then,pull,back,(measure),elephant,out,#,again,bit by bit,bit by bit,put,log,go on,#,until,(measure),ship,go,back,before,(linker),water level,then,stop,#,finally,take,back,those,log,out,#,separate,weigh,a bit,how,heavy,#,add together,then,know,(measure),elephant,how,heavy,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,眾,大臣,依家,先,恍然大悟,！,佢哋,好,慚愧,，,因為,佢哋,做,大人,嘅,，,都,唔及,一個,五,六,歲,嘅,細路,聰明,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,zung3,daai6-san4,ji1-gaa1,sin1,fong2-jin4-daai6-ng6,#,keoi5-dei6,hou2,caam4-kwai5,#,jan1-wai6,keoi5-dei6,zou6,daai6-jan4,ge3,#,dou1,m4-kap6,jat1-go3,ng5,luk6,seoi3,ge3,sai3-lou6,cung1-ming4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,multitude,minister,now,then,suddenly realize,#,they,very,ashamed,#,because,they,being,adult,(particle),#,"all, also",not as good as,one (measure),five,six,years old,(linker),kid,intelligent,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自古英雄出少年,，,所以,做,大人,嘅,，,千祈,咪,睇小,細路,！,做,細,嘅,，,都,唔好,睇小,自己,——,有時,細路仔,睇,嘢,，,比,大人,仲要,透徹,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi6-gu2-jing1-hung4-ceot1-siu3-nin4,#,so2-ji5,zou6,daai6-jan4,ge3,#,cin1-kei4,mai5,tai2-siu2,sai3-lou6,#,zou6,sai3,ge3,#,dou1,m4-hou2,tai2-siu2,zi6-gei2,#,jau5-si4,sai3-lou6-zai2,tai2,je5,#,bei2,daai6-jan4,zung6-jiu3,tau3-cit3,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"from ancient times, heroes have come from youngsters",#,therefore,being,adult,(particle),#,definitely,don't,look down on,kid,#,being,young,(particle),#,"all, also",do not,look down on,oneself,#,sometimes,little kid,see,thing,#,compare to,adult,even more,thorough,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
