[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
父,「,子,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu6,#,zi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,#,son,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
禮拜六,，,朝早,六,點,半,，,我,起身,去,廁所,。,行,過,客廳,，,老豆,已經,起,咗,身,，,開,住,電視,，,坐,喺,梳化,睇,新聞,。,「,早晨,啊,阿仔,。,」,佢,喺,機場,做,維修,，,日日,返,十,幾,個,鐘頭,。,照計,呢個,時間,，,佢,應該,已經,出,咗,門,返工,。,「,……,早晨,。,」
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,做咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zou6-me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,what,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,不如,陪,老豆,去,食,個,早餐,？,」,吓,，,咁,突然,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,bat1-jyu4,pui4,lou5-dau6,heoi3,sik6,go3,zou2-caan1,#,#,haa2,#,gam3,dat6-jin4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,how about,accompany,dad,to go,eat,(measure),breakfast,#,#,what?,#,so,sudden,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,唔係,要,返工,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,m4-hai6,jiu3,faan1-gung1,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,is not,have to,go to work,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,今日,請,咗,假,。,」,老豆,係,工作狂,，,責任心,好,重,，,我,未,見,過,佢,請假,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,gam1-jat6,ceng2,zo2,gaa2,#,#,lou5-dau6,hai6,gung1-zok3-kwong4,#,zaak3-jam6-sam1,hou2,cung5,#,ngo5,mei6,gin3,gwo3,keoi5,ceng2-gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,today,take,-en,leave,#,#,dad,is,workaholic,#,sense of duty,very,heavy,#,I,not yet,see,-ed,he,ask for leave,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,想,食,嘅話,都,得,嘅,……,」,我,當,去,食,宵夜,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,soeng2,sik6,ge3-waa2,dou1,dak1,ge2,#,#,ngo5,dong3,heoi3,sik6,siu1-je2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,want,to eat,if,also,okay,(particle),#,#,I,act like this is ,go,to eat,midnight snack,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刷,好,牙,，,洗,完,面,，,換,埋,衫,，,先至,六,點,十,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caat3,hou2,ngaa4,#,sai2,jyun4,min6,#,wun6,maai4,saam1,#,sin1-zi3,luk6,dim2,sap6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brush,well,tooth,#,wash,finish,face,#,change,also,clothes,#,then,six,o'clock,fifty,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,諗住,去,邊,間,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,nam2-zyu6,heoi3,bin1,gaan1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,thinking about,to go,which,(measure),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇所謂,啊,，,你,揀,？,」,於是,我,帶,咗,老豆,去,街口,嗰,間,茶餐廳,，,夠,近,，,而且,得,佢,開,咁,早,。,一,坐低,，,老豆,就,遞,咗,個,餐牌,畀,我,：,「,睇,下,想,食,啲,咩,？,」,,,,,,,,,,,,,,,,,,
#,mou5-so2-wai6,aa1,#,nei5,gaan2,#,#,jyu1-si6,ngo5,daai3,zo2,lou5-dau6,heoi3,gaai1-hau2,go2,gaan1,caa4-caan1-teng1,#,gau3,kan5,#,ji4-ce2,dak1,keoi5,hoi1,gam3,zou2,#,jat1,co5-dai1,#,lou5-dau6,zau6,dai6,zo2,go3,caan1-paai2,bei2,ngo5,#,#,tai2,haa5,soeng2,sik6,di1,me1,#,#,,,,,,,,,,,,,,,,,,
#,doesn't matter,(particle),#,you,choose,#,#,just like that,I,bring,-en,dad,to go,street corner,that,(measure),Hong Kong-style cafe,#,sufficiently,close,#,and that,only,it,open,so,early,#,once,sit down,#,dad,then,hand,-en,(measure),menu,to,I,#,#,look,a bit,want,to eat,some,what,#,#,,,,,,,,,,,,,,,,,,
[1l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,諗,好,咗,㗎喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,nam2,hou2,zo2,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,think,well,-en,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咁,快,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam3,faai3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so,fast,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,成日,嚟,，,記得,晒,有,咩,食,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,seng4-jat6,lei4,#,gei3-dak1,saai3,jau5,me1,sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,always,come,#,remember,all,have,what,to eat,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1o],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,，,係呀,……,好,好食,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,o2,#,hai6-aa3,#,hou2,hou2-sik6,gaa4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,really?,#,very,tasty,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1p],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔,差,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4,caa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,not,bad,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,嗌,咗,一,碗,沙嗲,牛肉,麪,，,飲,凍,檸水,；,佢,嗌,咗,一,碗,腿,蛋,通,，,飲,凍,奶茶,。,佢,好似,好,鍾意,飲,奶茶,，,屋企,擺,咗,一,包,包,奶茶,粉,，,我,每,朝,起身,都會,見到,垃圾桶,有,一,包,。,,,,,,,,,,,,,,,
ngo5,aai3,zo2,jat1,wun2,saa3-de1,ngau4-juk6,min6,#,jam2,dung3,ning2-seoi2,#,keoi5,aai3,zo2,jat1,wun2,teoi2,daan2,tung1,#,jam2,dung3,naai5-caa4,#,keoi5,hou2-ci5,hou2,zung1-ji3,jam2,naai5-caa4,#,uk1-kei2,baai2,zo2,jat1,baau1,baau1,naai5-caa4,fan2,#,ngo5,mui5,ziu1,hei2-san1,dou1-wui5,gin3-dou2,laap6-saap3-tung2,jau5,jat1,baau1,#,,,,,,,,,,,,,,,
I,order,-en,one,bowl of,Satay,beef,noodles,#,drink,iced,lemon water,#,he,order,-en,one,bowl of,ham,egg,macaroni,#,drink,iced,milk tea,#,he,seem,very,like to,drink,milk tea,#,home,put,-en,one,packet,packet of,milk tea,powder,#,I,every,morning,get up,also will,see,trash bin,have,one,packet,#,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,伙記,，,加,多,份,西多士,吖,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,fo2-gei3,#,gaa1,do1,fan6,sai1-do1-si2,aa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Buddy,#,add,more,(measure),french toast,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,好,肚餓,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,hou2,tou5-ngo6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,very,hungry,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔係呀,，,我,驚,你,唔,夠,飽,吖嘛,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-hai6-aa3,#,ngo5,geng1,nei5,m4,gau3,baau2,aa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no,#,I,afraid,you,not,enough,full,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,一,碗,麪,夠,㗎喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jat1,wun2,min6,gau3,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,one,bowl of,noodles,enough,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,欸,，,多士,可以,兩份,食,嘅啫,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ei3,#,do1-si2,ho2-ji5,loeng5-fan2,sik6,ge3-ze1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sigh,#,toast,can,shared between two people,to eat,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啲,嘢食,好,快,到,，,然後,我哋,都,食,得,好,專心,，,一,句,偈,都,冇,傾,，,氣氛,有啲,尷尬,。,最後,係,老豆,第一,個,出聲,：,「,你,真係,夠,飽,？,」,佢,已經,切,好,份,西多士,，,留,咗,半,份,畀,我,，,但,我,始終,都,冇,掂,過,份,多士,。,,,,,
di1,je5-sik6,hou2,faai3,dou3,#,jin4-hau6,ngo5-dei6,dou1,sik6,dak1,hou2,zyun1-sam1,#,jat1,geoi3,gai2,dou1,mou5,king1,#,hei3-fan1,jau5-di1,gaam3-gaai3,#,zeoi3-hau6,hai6,lou5-dau6,dai6-jat1,go3,ceot1-seng1,#,#,nei5,zan1-hai6,gau3,baau2,#,#,keoi5,ji5-ging1,cit3,hou2,fan6,sai1-do1-si2,#,lau4,zo2,bun3,fan6,bei2,ngo5,#,daan6,ngo5,ci2-zung1,dou1,mou5,dim3,gwo3,fan6,do1-si2,#,,,,,
those,food,very,fast,arrive,#,then,we,"all, also",eat,(suffix),very,focus,#,one,sentence,chat,"all, also",don't have,chat,#,atmosphere,a bit,embarrassing,#,in the end,is,dad,first,(measure),voice out,#,#,you,really,sufficiently,full,#,#,he,already,cut,well,(measure),french toast,#,keep,-en,half,(measure),to,I,#,but,I,still,"all, also",don't have,touch,-ed,(measure),toast,#,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,OK,啊,，,夠,㗎喇,。,」,等陣,食,太,飽,就,唔使,瞓,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ou1-kei1,aa3,#,gau3,gaa3-laa3,#,#,dang2-zan6,sik6,taai3,baau2,zau6,m4-sai2,fan3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,okay,(particle),#,enough,(particle),#,#,later on,eat,too,full,then,no need,to sleep,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,……,噉,我,食,埋,佢,啦,。,」,印象中,佢,好似,好,憎,人,食淨嘢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,o3,#,gam2,ngo5,sik6,maai4,keoi5,laa1,#,#,jan3-zoeng6-zung1,keoi5,hou2-ci5,hou2,zang1,jan4,sik6-zing6-je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,then,I,eat,also,it,(particle),#,#,I remember that,he,seem,very,hate,people,have leftovers ,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢度,啲,嘢食,真係,唔錯,，,唔怪之得,你,——,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei1-dou6,di1,je5-sik6,zan1-hai6,m4-co3,#,m4-gwaai3-zi1-dak1,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,  ,those,food,really,not bad,#,no wonder,you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,埋單,囉,？,」,我,打斷,咗,老豆,，,佢,亦,窒,咗,窒,：,「,吓,！,而家,先,七,點,八,，,好,早,咋喎,！,不如,陪,老豆,踩,返,轉,單車,哩,？,」,我,平時,成日,約,人,踩單車,，,屋企,都,擺,咗,架,幾,貴,嘅,單車,。,,,,,,,,,,,,
#,maai4-daan1,lo3,#,#,ngo5,daa2-tyun5,zo2,lou5-dau6,#,keoi5,jik6,zat6,zo2,zat6,#,#,haa2,#,ji4-gaa1,sin1,cat1,dim2,baat3,#,hou2,zou2,zaa3-wo3,#,bat1-jyu4,pui4,lou5-dau6,caai2,faan1,zyun3,daan1-ce1,le4,#,#,ngo5,ping4-si4,seng4-jat6,joek3,jan4,caai2-daan1-ce1,#,uk1-kei2,dou1,baai2,zo2,gaa3,gei2,gwai3,ge3,daan1-ce1,#,,,,,,,,,,,,
#,check the bill,(particle),#,#,I,interrupt,-en,dad,#,he,also,halt,-en,halt,#,#,what?,#,now,just,seven,o'clock,forty,#,very,early,(particle),#,how about,accompany,dad,ride,back,(measure),bicycle,(particle),#,#,I,usually,all the times,invite,people,ride bicycle,#,home,"all, also",put,-en,(measure),quite,expensive,(linker),bicycle,#,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,啱啱,至,食飽,，,唔,踩,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngaam1-ngaam1,zi3,sik6-baau2,#,m4,caai2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,just now,then,eat until full,#,not,ride,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,……,一係,去,公園,散步,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,#,jat1-hai6,heoi3,gung1-jyun2,saan3-bou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,then,#,what about,go to,park,go for a walk,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,真係,有啲,攰,，,想,返屋企,瞓覺,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,zan1-hai6,jau5-di1,gui6,#,soeng2,faan1-uk1-kei2,fan3-gaau3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,really,a bit,tired,#,want to,go home,to sleep,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老豆,冇,再,講,啲,咩,，,就,攞,咗,張,單,去,埋,。,返,到,屋企,，,我,直接,返,房,攤,上,牀,，,望住,天花板,——,嗰陣,啱啱好,八,點,。,老豆,成,朝,都,好,古怪,。,定係,佢,份人,不嬲,都係,噉,，,只係,我,見,得,佢,太,少,，,唔,了解,佢,？,,,,,,,
lou5-dau6,mou5,zoi3,gong2,di1,me1,#,zau6,lo2,zo2,zoeng1,daan1,heoi3,maai4,#,faan1,dou3,uk1-kei2,#,ngo5,zik6-zip3,faan1,fong2,taan1,soeng5,cong4,#,mong6-zyu6,tin1-faa1-baan2,#,go2-zan2,ngaam1-ngaam1-hou2,baat3,dim2,#,lou5-dau6,seng4,ziu1,dou1,hou2,gu2-gwaai3,#,ding6-hai6,keoi5,fan6-jan4,bat1-lau1,dou1-hai6,gam2,#,zi2-hai6,ngo5,gin3,dak1,keoi5,taai3,siu2,#,m4,liu5-gaai2,keoi5,#,,,,,,,
dad,don't have,again,say,some,(particle),#,then,take,-en,(measure),bill,to go,pay,#,return,to,home,#,I,directly,return,room,lay,onto,bed,#,staring,ceiling,#,that time,exactly,eight,o'clock,#,dad,whole,morning,"all, also",very,weird,#,or,he,personality,all along,also is,this way,#,it is just that,I,see,(suffix),he,too,little,#,not,understand,he,#,,,,,,,
