actually,#,I,talking about,that,Chan Hoi Kei,"all, also",just only,one,(measure),ordinary,(linker),primary school,fifth,grade,pupil,#,should,with,you,know,that,almost the same,(particle),#,however,#,this,girl,next to,(linker),people,always is,can,very,easily,in that way,take,she,memorise,at,(measure),heart,there,#,Chan Hoi Kei,#,Chan Hoi Kei,#,very,affectionate,-ly,shout,she,(measure),name,#,she,then,will,smiling,-ly,respond to,you,#,#,what,matter,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,，,最近,，,陳凱琪,為咗,一,件,事,感到,有啲,煩惱,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,#,zeoi3-gan6,#,can4-hoi2-kei4,wai6-zo2,jat1,gin6,si6,gam2-dou3,jau5-di1,faan4-nou5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,recently,#,Chan Hoi Kei,in order to,one,(measure),matter,feel,a bit,worries,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,一個,學期,，,學校,嚟,咗,一,位,肥,老師,。,佢,外表,望落去,好似,個,博士,，,塊,面,成,個,波,噉,，,戴,住,一,副,橢圓形,嘅,眼鏡,，,眼鏡,細,細,副,，,眼鏡,下面,有,一,對,好,細,嘅,眼,，,佢,唔使,瞇,起,對,眼,都,覺得,佢,好似,瞇,起,對,眼,噉,嘅,樣,，,眼神,好,慈祥,，,但,又,有啲,呆呆笨笨,噉,。,佢,每日,着,啲,衫,都,一樣,︰,吊帶褲,，,加,件,白,藍,格,恤衫,，,恤衫,下,突出,佢,嗰,條,又,肥,又,白,嘅,頸,同,兩,對,肥,手臂,。,對,手臂,有,好多,好多,摺,。,呢,位,老師,姓,魯,，,同學,都,叫,佢,做,魯老師,。,的確,，,佢,又,真係,好,老,㗎喇,。,老,老師,，,喺,啲,小朋友,心目中,，,呢個,名,仲係,唔,夠,佢,真人,老,。,,,,,,,,,,,,
ni1,jat1-go3,hok6-kei4,#,hok6-haau6,lei4,zo2,jat1,wai2,fei4,lou5-si1,#,keoi5,ngoi6-biu2,mong6-lok6-heoi3,hou2-ci5,go3,bok3-si6,#,faai3,min6,seng4,go3,bo1,gam2,#,daai3,zyu6,jat1,fu3,to5-jyun4-jing4,ge3,ngaan5-geng2,#,ngaan5-geng2,sai3,sai3,fu3,#,ngaan5-geng2,haa6-min6,jau5,jat1,deoi3,hou2,sai3,ge3,ngaan5,#,keoi5,m4-sai2,mi1,hei2,deoi3,ngaan5,dou1,gok3-dak1,keoi5,hou2-ci5,mi1,hei2,deoi3,ngaan5,gam2,ge3,joeng2,#,ngaan5-san4,hou2,ci4-coeng4,#,daan6,jau6,jau5-di1,ngoi4-ngoi4-ban6-ban6,gam2,#,keoi5,mui5-jat6,zoek3,di1,saam1,dou1,jat1-joeng6,#,diu3-daai2-fu3,#,gaa1,gin6,baak6,laam4,gaak3,seot1-saam1,#,seot1-saam1,haa6,dat6-ceot1,keoi5,go2,tiu4,jau6,fei4,jau6,baak6,ge3,geng2,tung4,loeng5,deoi3,fei4,sau2-bei3,#,deoi3,sau2-bei3,jau5,hou2-do1,hou2-do1,zip3,#,ni1,wai2,lou5-si1,sing3,lou5,#,tung4-hok6,dou1,giu3,keoi5,zou6,lou5-lou5-si1,#,dik1-kok3,#,keoi5,jau6,zan1-hai6,hou2,lou5,gaa3-laa3,#,lou5,lou5-si1,#,hai2,di1,siu2-pang4-jau5,sam1-muk6-zung1,#,ni1-go3,meng2,zung6-hai6,m4,gau3,keoi5,zan1-jan4,lou5,#,,,,,,,,,,,,
this,one (measure),semester,#,school,come,-en,one,(measure),fat,teacher,#,he,appearance,look like,seems,(measure),Dr,#,piece of,face,like,(measure),ball,in that way,#,wear,-ing,one,set of,oval,(linker),eyeglasses,#,eyeglasses,small,small,set,#,eyeglasses,below,have,one,pair of,very,small,(linker),eye,#,he,no need,squint,up,pair of,eye,also,feel,he,seems,squint,up,pair of,eye,in that way,(linker),face,#,expression in eyes,very,kind,#,but,also,a bit,dull and vapid,in that way,#,he,every day,wear,those,clothes,"all, also",the same,#,suspended pants,#,add,(measure),white,blue,checked,shirt,#,shirt,below,outstand,he,that,(measure),also,fat,also,pale,(linker),neck,and,two,pair of,fat,arm,#,pair of,arm,have,many,many,fold,#,this,(measure),teacher,surname,Lo,#,schoolmate,"all, also",call,he,to be,Mr. Lo,#,indeed,#,he,also,really,very,old,(particle),#,old,teacher,#,at,those,children,in one's heart,#,this,name,still,not,enough,he,real person,old,#,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,傳聞,話,魯老師,係,學校,嘅,前,校長,。,有,傳聞,話,魯老師,係,現任,校長,嘅,老爺,，,噉,即係,現任,校長,係,前,校長,嘅,新抱,？,(,媽,啊,！,我,好,亂,呀,！,),更,有,傳聞,話,魯老師,其實,係,校監,，,嚟,教,三,個月,視察,下,環境,……,傳聞,吱吱吱,噉,喺,校園,細細聲,揚開,去,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,cyun4-man4,waa6,lou5-lou5-si1,hai6,hok6-haau6,ge3,cin4,haau6-zoeng2,#,jau5,cyun4-man4,waa6,lou5-lou5-si1,hai6,jin6-jam6,haau6-zoeng2,ge3,lou5-je4,#,gam2,zik1-hai6,jin6-jam6,haau6-zoeng2,hai6,cin4,haau6-zoeng2,ge3,san1-pou5,#,,maa1,aa3,#,ngo5,hou2,lyun6,aa3,#,,gang3,jau5,cyun4-man4,waa6,lou5-lou5-si1,kei4-sat6,hai6,haau6-gaam1,#,lai4,gaau3,saam1,go3-jyut6,si6-caat3,haa5,waan4-ging2,#,cyun4-man4,zi1-zi1-zi1,gam2,hai2,haau6-jyun4,sai3-sai3-seng1,joeng4-hoi1,heoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,rumour,say,Mr. Lo,is,school,’s,former,principal,#,have,rumour,say,Mr. Lo,is,present,principal,’s,father in law,#,then,that means,present,principal,is,former,principal,’s,daughter in law,#,#,Mum,(particle),#,I,very,confused,(particle),#,#,even more,have,rumour,say,Mr. Lo,actually,is,school chancellor,#,come,to teach,three,month(s),to inspect,a bit,environment,#,rumour,squeak squeak squeak,that way,at,campus,low voice,spread,away,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳凱琪,關心,嘅,唔係,呢啲,嗰啲,傳聞,，,而,係,……,呢,一個,魯老師,啊,，,佢,真係,太,老,喇,，,居然,唔記得,佢,個,名,。,陳凱琪,認為,自己,都,算,係,明白事理,，,要求,合理,。,佢,只不過,要求,一,位,一,星期,教,佢,九,堂,中文,嘅,老師,記住,佢,個,名,，,而且,，,仲係,喺,魯老師,教,咗,一個,月,之後,先至,有,呢個,要求,。,每一次,，,陳凱琪,舉手,答,問題,，,魯老師,都,淨係,話,︰,「,嗰,位,黑鼆鼆,嘅,同學,，,係,，,你,，,請,你,回答,啦,。,」,或者,，,連,「,黑鼆鼆,」,都,慳返,，,淨係,用,佢,嗰,隻,肥,手指,指,住,坐,喺,課室,中間,嘅,陳凱琪,，,示意,佢,答,問題,。,魯老師,記得,張永達,，,佢,記得,趙文芳,，,佢,又,記得,吳康明,，,硬係,唔記得,陳凱琪,呢個,名,，,陳凱琪,覺得,有啲,悶悶不樂,。,,,,,,,,,,,,,,
can4-hoi2-kei4,gwaan1-sam1,ge3,m4-hai6,ni1-di1,go2-di1,cyun4-man4,#,ji4,hai6,#,ni1,jat1-go3,lou5-lou5-si1,aa3,#,keoi5,zan1-hai6,taai3,lou5,laa3,#,geoi1-jin4,m4-gei3-dak1,keoi5,go3,meng2,#,can4-hoi2-kei4,jing6-wai4,zi6-gei2,dou1,syun3,hai6,ming4-baak6-si6-lei5,#,jiu1-kau4,hap6-lei5,#,keoi5,zi2-bat1-gwo3,jiu1-kau4,jat1,wai2,jat1,sing1-kei4,gaau3,keoi5,gau2,tong4,zung1-man2,ge3,lou5-si1,gei3-zyu6,keoi5,go3,meng2,#,ji4-ce2,#,zung6-hai6,hai2,lou5-lou5-si1,gaau3,zo2,jat1-go3,jyut6,zi1-hau6,sin1-zi3,jau5,ni1-go3,jiu1-kau4,#,mui5-jat1-ci3,#,can4-hoi2-kei4,geoi2-sau2,daap3,man6-tai4,#,lou5-lou5-si1,dou1,zing6-hai6,waa6,#,#,go2,wai2,haak1-mang1-mang1,ge3,tung4-hok6,#,hai6,#,nei5,#,cing2,nei5,wui4-daap3,laa1,#,#,waak6-ze2,#,lin4,#,haak1-mang1-mang1,#,dou1,haan1-faan1,#,zing6-hai6,jung6,keoi5,go2,zek3,fei4,sau2-zi2,zi2,zyu6,co5,hai2,fo3-sat1,zung1-gaan1,ge3,can4-hoi2-kei4,#,si6-ji3,keoi5,daap3,man6-tai4,#,lou5-lou5-si1,gei3-dak1,zoeng1-wing5-daat6,#,keoi5,gei3-dak1,ziu6-man4-fong1,#,keoi5,jau6,gei3-dak1,ng4-hong1-ming4,#,ngaang6-hai6,m4-gei3-dak1,can4-hoi2-kei4,ni1-go3,meng2,#,can4-hoi2-kei4,gok3-dak1,jau5-di1,mun6-mun6-bat1-lok6,#,,,,,,,,,,,,,,
Chan Hoi Kei,concerned about,(linker),is not,these,those,rumour,#,and,is,#,this,one (measure),Mr. Lo,(particle),#,ge,really,too,old,(particle),#,unexpectedly,forget,she,(measure),name,#,Chan Hoi Kei,consider,oneself,also,sort of,is,understanding and empathetic,#,request,resonable,#,she,only,request,one,(measure),one,week,teach,she,nine,class,Chinese,(linker),teacher,memorise,she,(measure),name,#,and that,#,still,at,Mr. Lo,teach,-en,one (measure),month,after,only when,have,this,request,#,everytime,#,Chan Hoi Kei,raise hand,answer,question,#,Mr. Lo,"all, also",only,say,#,#,that,(measure),dark (in colour),(linker),schoolmate,#,is,#,you,#,please,you,answer,(particle),#,#,or,#,even,#,dark (in colour),#,"all, also",save,#,only,use,he,that,(measure),fat,finger,point,-ing,sit,at,classroom,middle,(linker),Chan Hoi Kei,#,signal to ,she,answer,question,#,Mr. Lo,remember,Cheung Wing Tat,#,he,remember,Chiu Man Fong,#,he,also,remember,Ng Hong Ming,#,always,forget,Chan Hoi Kei,this,name,#,Chan Hoi Kei,feel,a bit,sullen,#,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳凱琪,希望,魯老師,能夠,記住,佢,個,名,。,佢,試過,喺,小息,嘅,時候,跑,到,魯老師,面前,，,叫,魯老師,以後,唔好,再,叫,佢,做,「,黑鼆鼆,嘅,同學,」,，,要,叫,佢,「,陳凱琪,」,。,魯老師,係噉,講,對唔住,，,解釋,話,佢,教,嘅,學生,太,多,，,有時,好,難,記住,每,一個,學生,嘅,名,，,但係,佢,應承,今次,佢,會,記住,，,仲,用,手,輕輕,拍,下,陳凱琪,個,頭,，,叫,一,聲,「,陳凱琪,」,。,陳凱琪,好,滿意,噉,走開,咗,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can4-hoi2-kei4,hei1-mong6,lou5-lou5-si1,nang4-gau3,gei3-zyu6,keoi5,go3,meng2,#,keoi5,si3-gwo3,hai2,siu2-sik1,ge3,si4-hau6,paau2,dou3,lou5-lou5-si1,min6-cin4,#,giu3,lou5-lou5-si1,ji5-hau6,m4-hou2,zoi3,giu3,keoi5,zou6,#,haak1-mang1-mang1,ge3,tung4-hok6,#,#,jiu3,giu3,keoi5,#,can4-hoi2-kei4,#,#,lou5-lou5-si1,hai6-gam2,gong2,deoi3-m4-zyu6,#,gaai2-sik1,waa6,keoi5,gaau3,ge3,hok6-saang1,taai3,do1,#,jau5-si4,hou2,naan4,gei3-zyu6,mui5,jat1-go3,hok6-saang1,ge3,meng2,#,daan6-hai6,keoi5,jing1-sing4,gam1-ci3,keoi5,wui5,gei3-zyu6,#,zung6,jung6,sau2,heng6-heng1,paak3,haa5,can4-hoi2-kei4,go3,tau4,#,giu3,jat1,seng1,#,can4-hoi2-kei4,#,#,can4-hoi2-kei4,hou2,mun5-ji3,gam2,zau2-hoi1,zo2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan Hoi Kei,hope,Mr. Lo,able to,memorise,she,(measure),name,#,she,tried,at,recess,(linker),time,run,to,Mr. Lo,in front of,#,ask,Mr. Lo,afterwards,do not,again,call,she,to be,#,dark (in colour),(linker),schoolmate,#,#,have to,call,she,#,Chan Hoi Kei,#,#,Mr. Lo,keep doing,say,Sorry,#,explain,say,he,teach,(linker),pupil,too,many,#,sometimes,very,difficult,to memorise,every,one (measure),pupil,’s,name,#,but,he,promise,this time,he,will,memorise,#,even,use,hand,softly,pat,a bit,Chan Hoi Kei,(measure),head,#,call,one,sound,#,Chan Hoi Kei,#,#,Chan Hoi Kei,very,satisfied,-ly,go away,-en,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,，,過,咗,兩,日,，,魯老師,好,明顯,已經,唔記得,咗,佢,個,名,。,當,佢,想,叫,陳凱琪,答,問題,嘅,時候,，,佢,話,到,嘴,邊,又,講,唔,出嚟,嘅,神情,已經,出賣,咗,佢,。,於是,魯老師,又,會,裝模作樣,噉,去,揾,下,個,座位表,，,但,又,揾,唔到,喎,。,最後,佢,惟有,叫,另一,位,同學,黃靜儀,答,問題,，,而,黃靜儀,根本,冇,舉,過,手,！,同一,日,嘅,晏晝,，,第二,節,中文,課,，,魯老師,甚至乎,已經,唔記得,晒,上晝,發生,嘅,事,，,直接,叫,陳凱琪,做,「,嗰,位,女,同學,」,。,陳凱琪,唔好意思,喺,全,班,面前,提醒,老師,佢,自己,個,名,，,但,佢,喺,個,心,度,係噉,諗,，,要,諗,到,個,方法,叫,魯老師,記住,佢,個,名,。,,,,,,,,,,,,,,,,,,,,,,,,,
