have,one time,relative,gathering,go,he,home,#,I,even,saw,he,at,(measure),room,inside,headstand,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
當時,我,鼓起,勇氣,問,佢,做咩,喺度,倒立,，,佢,有啲,尷尬,噉,笑,咗,一,笑,，,然後,吞吞吐吐,噉,話,：,「,我,、,我,唔係,倒立,。,其,、,其實,呢,，,我,做,緊,呢啲,係,叫,『,瑜伽,』,⋯⋯,」,佢,講,到,一半,抬頭,望下,我,，,見到,我,好似,幾,有,興趣,噉,，,就,繼續,講,：,「,瑜伽,係,一,種,運動,嚟,，,係,喺,呢,塊,瑜伽,蓆,上面,做,嘅,，,Lucy,你,想唔想,試下,？,」
dong1-si4,ngo5,gu2-hei2,jung5-hei3,man6,keoi5,zou6-me1,hai2-dou6,dou2-laap6,#,keoi5,jau5-di1,gaam3-gaai3,gam2,siu3,zo2,jat1,siu3,#,jin4-hau6,tan1-tan1-tou3-tou3,gam2,waa6,#,#,ngo5,#,ngo5,m4-hai6,dou2-laap6,#,kei4,#,kei4-sat6,ne1,#,ngo5,zou6,gan2,nei1-di1,hai6,giu3,#,jyu4-gaa1,#,#,#,keoi5,gong2,dou3,jat1-bun3,toi4-tau4,mong6-haa5,ngo5,#,gin3-dou2,ngo5,hou2-ci5,gei2,jau5,hing3-ceoi3,gam2,#,zau6,gai3-zuk6,gong2,#,#,jyu4-gaa1,hai6,jat1,zung2,wan6-dung6,lei4,#,hai6,hai2,nei1,faai3,jyu4-gaa1,zek6,soeng6-min6,zou6,ge3,#,Lucy,nei5,soeng2-m4-soeng2,si3-haa5,#,#
at that time,I,raise,courage,to ask,he,why,right here,headstand,#,he,a bit,embarrassed,-ly,smile,-en,one,smile,#,then,mumble,-ly,say,#,#,I,#,I,is not,headstand,#,ac-,#,actually,(particle),#,I,do,-ing,these,is,called,#,Yoga,#,#,#,he,say,to,half,look up,take a look,I,#,saw,I,seem,quite,have,interest,in that way,#,then,continue,to say,#,#,Yoga,is,one,type,sports,(particle),#,is,at,(particle),piece,Yoga,mat,above,do,(particle),#,Lucy,you,want or not,try it ,#,#
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,佢,好,有,耐性,噉,教,咗,我,一啲,簡單,嘅,瑜伽,動作,。,雖然,我,仲,未,學,到,倒立,，,但係,做,完,啲,拉筋,動作,之後,，,個人,好似,舒服,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,keoi5,hou2,jau5,noi6-sing3,gam2,gaau3,zo2,ngo5,jat1-di1,gaan2-daan1,ge3,jyu4-gaa1,dung6-zok3,#,seoi1-jin4,ngo5,zung6,mei6,hok6,dou3,dou2-laap6,#,daan6-hai6,zou6,jyun4,di1,laai1-gan1,dung6-zok3,zi1-hau6,#,go3-jan4,hou2-ci5,syu1-fuk6,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,he,very,have,patience,in that way,teach,-en,I,some,simple,(linker),Yoga,movement,#,although,I,still,not yet,learn,to the extent,headstand,#,but,do,finish,some,stretching,movement,after,#,the body,seems,comfortable,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,佢,間唔中,都會,嚟,同,我,玩,，,我哋,一齊,唱歌,、,跳舞,、,食嘢,、,同,狗狗,玩,⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,keoi5,gaan3-m4-zung1,dou1-wui5,lei4,tung4,ngo5,waan2,#,ngo5-dei6,jat1-cai4,coeng3-go1,#,tiu3-mou5,#,sik6-je5,#,tung4,gau2-gau2,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,he,occasionally,will also,come,with,I,play,#,we,together,sing song,#,dance,#,eat,#,with,puppy,play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,仲,發現,堂叔,原來,好,鍾意,小朋友,㗎,！,你,一定,估唔到,我,係,點樣,發現,呢,件,事,嘅,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,zung6,faat3-jin6,tong4-suk1,jyun4-loi4,hou2,zung1-ji3,siu2-pang4-jau5,gaa3,#,nei5,jat1-ding6,gu2-m4-dou2,ngo5,hai6,dim2-joeng2,faat3-jin6,nei1,gin6,si6,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,even,find out,uncle,it turns out,very,like,children,(particle),#,you,surely,cannot guess,I,is,how to,find out,this,(measure),matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,我,行,過,佢,間,房,，,見到,佢,竟然,將,一,拃,糖,掉,出,窗,外面,！,嗰度,有,啄啄糖,、,椰子,糖,、,花生,糖,、,波板糖,、,瑞士糖,、,拖肥糖,⋯⋯,然後,就,聽到,樓下,一,堆,小朋友,嘅,歡呼,聲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-jat1-jat6,ngo5,haang4,gwo3,keoi5,gaan1,fong2,#,gin3-dou2,keoi5,ging2-jin4,zoeng1,jat1,zaa6,tong2,deu6,ceot1,coeng1,ngoi6-min6,#,go2-dou6,jau5,doeng1-doeng1-tong2,#,je4-zi2,tong2,#,faa1-sang1,tong2,#,bo1-baan2-tong2,#,seoi6-si6-tong2,#,to1-fei2-tong2,#,jin4-hau6,zau6,teng1-dou2,lau4-haa6,jat1,deoi1,siu2-pang4-jau5,ge3,fun1-fu1,seng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one day,I,walk,pass,he,(measure),room,#,saw,he,to one's surprise,take,one,(measure),candy,throw,out,window,outside,#,there,have,deuk deuk tong (traditional candy),#,coconut,candy,#,peanut,candy,#,lollipop,#,Sugas,#,Toffee,#,then,then,heard,downstairs,one,pile,children,(linker),cheer,sound,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,我,至,知道,，,原來,佢,每日,都會,喺,街口,間,小學,放學,嘅,時候,拋,啲,糖,出去,畀,小朋友,。,我,問,佢,點解,唔,落,街,親手,畀,啲,糖,小朋友,，,佢,話,佢,怕醜,喎,——,原來,佢,唔係,奇怪,，,只係,有,少少,怕醜,，,唔,敢,同,生埗人,講嘢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-loi4,ngo5,zi3,zi1-dou3,#,jyun4-loi4,keoi5,mui5-jat6,dou1-wui5,hai2,gaai1-hau2,gaan1,siu2-hok6,fong3-hok6,ge3,si4-hau6,paau1,di1,tong2,ceot1-heoi3,bei2,siu2-pang4-jau5,#,ngo5,man6,keoi5,dim2-gaai2,m4,lok6,gaai1,can1-sau2,bei2,di1,tong2,siu2-pang4-jau5,#,keoi5,waa6,keoi5,paa3-cau2,wo5,#,jyun4-loi4,keoi5,m4-hai6,kei4-gwaai3,#,zi2-hai6,jau5,siu2-siu2,paa3-cau2,#,m4,gam2,tung4,saang1-bou2-jan4,gong2-je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,I,then,know,#,it turns out,he,every day,also will,at,street corner,(measure),primary school,after school,(linker),time,throw,some,candy,out,to give,children,#,I,ask,he,why,not,go down,street,personally,give,those,candy,children,#,he,say,he,shy,(particle),#,it turns out,he,is not,strange,#,just only,have,a bit,shy,#,not,dare,with,stranger,talk,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堂叔,仲,會,每,次,都,特登,留,返,一,粒,我,最,鍾意,嘅,花街,拖肥糖,畀,我,。,佢,真係,好,錫,我,㗎,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tong4-suk1,zung6,wui5,mui5,ci3,dou1,dak6-dang1,lau4,faan1,jat1,nap1,ngo5,zeoi3,zung1-ji3,ge3,faa1-gaai1,to1-fei2-tong2,bei2,ngo5,#,keoi5,zan1-hai6,hou2,sek3,ngo5,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,even,will,every,time,"all, also",deliberately,leave,back,one,(measure),I,most,like,(linker),Quality Street,Toffee,for,I,#,he,really,very,fond of,I,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,有,一,次,，,堂叔,好,唔舒服,，,佢,肚痛,到,面,都,青,埋,，,嘢,都,講唔到,，,啲,大人,就,決定,帶,佢,去,醫院,。,我,好,緊張,噉,想,跟,埋去,，,但係,啲,大人,唔,畀,。,堂叔,只係,望,住,我,笑,咗,一,笑,，,捉,一,捉,我,隻,手,就,俾人,帶,走,咗,——,嗰,次,係,我哋,最後,一,次,見面,。,,,,,,,,,,,,,,,,
hau6-loi4,jau5,jat1,ci3,#,tong4-suk1,hou2,m4-syu1-fuk6,#,keoi5,tou5-tung3,dou3,min6,dou1,ceng1,maai4,#,je5,dou1,gong2-m4-dou2,#,di1,daai6-jan4,zau6,kyut3-ding6,daai3,keoi5,heoi3,ji1-jyun2,#,ngo5,hou2,gan2-zoeng1,gam2,soeng2,gan1,maai4-heoi3,#,daan6-hai6,di1,daai6-jan4,m4,bei2,#,tong4-suk1,zi2-hai6,mong6,zyu6,ngo5,siu3,zo2,jat1,siu3,#,zuk1,jat1,zuk1,ngo5,zek3,sau2,zau6,bei2-jan4,daai3,zau2,zo2,#,go2,ci3,hai6,ngo5-dei6,zeoi3-hau6,jat1,ci3,gin3-min6,#,,,,,,,,,,,,,,,,
afterwards,have,one,time,#,uncle,very,not feeling well,#,he,stomachache,to,face,all,green,also,#,thing,"all, also",cannot say,#,those,adult,then,decide,take,he,to,hospital,#,I,very,nervous,-ly,want to,follow,go over,#,but,those,adult,not,allow,#,uncle,just only,stare,-ing,I,smile,-en,one,smile,#,catch,one,catch,I,(measure),hand,then,by someone,take,away,-en,#,that,time,is,we,last,one,time,meet,#,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一排,，,我,又,去,咗,堂叔,屋企,。,佢,間,房,有,好多,我哋,一齊,影,嘅,相,，,同埋,我哋,一齊,畫,嘅,畫,。,望,住,相,入面,嘅,堂叔,，,望,住,佢,嘅,瑜伽,蓆,，,我,有,一,種,講唔出,嘅,感覺,，,個,心,好似,穿,咗,一個,窿,噉,。,我,好,掛住,堂叔,，,就,諗住,周圍,揾下,，,睇下,有冇,啲,嘢,可以,帶,走,作為,紀念,。,,,,,,,,,,,
gwo3,zo2,jat1-paai2,#,ngo5,jau6,heoi3,zo2,tong4-suk1,uk1-kei2,#,keoi5,gaan1,fong2,jau5,hou2-do1,ngo5-dei6,jat1-cai4,jing2,ge3,soeng2,#,tung4-maai4,ngo5-dei6,jat1-cai4,waak6,ge3,waa2,#,mong6,zyu6,soeng2,jap6-min6,ge3,tong4-suk1,#,mong6,zyu6,keoi5,ge3,jyu4-gaa1,zek6,#,ngo5,jau5,jat1,zung2,gong2-m4-ceot1,ge3,gam2-gok3,#,go3,sam1,hou2-ci5,cyun1,zo2,jat1-go3,lung1,gam2,#,ngo5,hou2,gwaa3-zyu6,tong4-suk1,#,zau6,nam2-zyu6,zau1-wai4,wan2-haa5,#,tai2-haa5,jau5-mou5,di1,je5,ho2-ji5,daai3,zau2,zok3-wai4,gei2-nim6,#,,,,,,,,,,,
pass,-en,a while,#,I,again,go,-en,uncle,home,#,he,(measure),room,have,many,we,together,shoot,(linker),photograph,#,and,we,together,draw,(linker),drawing,#,stare,-ing,photograph,inside,(linker),uncle,#,stare,-ing,he,’s,Yoga,mat,#,I,have,one,type,wordless,(linker),feeling,#,(measure),heart,seems,puncture,-en,one (measure),hole,in that way,#,I,very,miss,uncle,#,then,thinking about,surrounding,search a bit,#,take a look,have or haven't,some,thing,can,take,away,to regard as,to commemorate,#,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,衣櫃,入面,，,我,揾到,堂叔,嘅,白色,套裝,。,佢,原本,有,兩,條,褲,，,每日,輪流,着,嘅,，,但,依家,得返,一,條,燙,到,好,直,嘅,褲,。,我,小心翼翼,噉,摺,返,好,條,褲,、,再,擺,返,入,衣櫃,嘅,時候,，,無意中,見到,一個,裝,住,糖,嘅,玻璃樽,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,ji1-gwai6,jap6-min6,#,ngo5,wan2-dou2,tong4-suk1,ge3,baak6-sik1,tou3-zong1,#,keoi5,jyun4-bun2,jau5,loeng5,tiu4,fu3,#,mui5-jat6,leon4-lau2,zoek3,ge3,#,daan6,ji1-gaa1,dak1-faan1,jat1,tiu4,tong3,dou3,hou2,zik6,ge3,fu3,#,ngo5,siu2-sam1-jik6-jik6,gam2,zip3,faan1,hou2,tiu4,fu3,#,zoi3,baai2,faan1,jap6,ji1-gwai6,ge3,si4-hau6,#,mou4-ji3-zung1,gin3-dou2,jat1-go3,zong1,zyu6,tong2,ge3,bo1-lei4-zeon1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,closet,inside,#,I,found,uncle,’s,white,suit,#,he,originally,have,two,(measure),pants,#,every day,take turns,wear,(particle),#,but,now,only have,one,(measure),iron,to the extent,very,straight,(linker),pants,#,I,very carefully,-ly,fold,back,well,(measure),pants,#,again,put,back,into,closet,(linker),time,#,accidentally,saw,one (measure),carry,-ing,candy,(linker),glass bottle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔知,點解,我,一,見到,個,玻璃樽,，,啲,眼淚,就,開始,流,落嚟,。,我,捧,咗,個,樽,出嚟,。,諗起,堂叔,以前,每日,都會,拋,啲,糖,出去,畀,小朋友,，,同埋,一定,會,留,返,一,粒,花街,拖肥糖,畀,我,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-zi1,dim2-gaai2,ngo5,jat1,gin3-dou2,go3,bo1-lei4-zeon1,#,di1,ngaan5-leoi6,zau6,hoi1-ci2,lau4,lok6-lei4,#,ngo5,bung2,zo2,go3,zeon1,ceot1-lei4,#,nam2-hei3,tong4-suk1,ji5-cin4,mui5-jat6,dou1-wui5,paau1,di1,tong2,ceot1-heoi3,bei2,siu2-pang4-jau5,#,tung4-maai4,jat1-ding6,wui5,lau4,faan1,jat1,nap1,faa1-gaai1,to1-fei2-tong2,bei2,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't know,why,I,once,saw,(measure),glass bottle,#,those,tear,then,begin,to flow,down,#,I,hold,-en,(measure),bottle,out,#,think of,uncle,before,every day,also will,throw,some,candy,out,to,children,#,and,surely,will,leave,back,one,(measure),Quality Street,Toffee,to,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叮噹,叮噹,～,叮噹,叮噹,～,」,放學,喇,，,但係,已經,再,冇人,派糖,畀,啲,小朋友,⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding1-dong3,ding1-dong3,#,ding1-dong3,ding1-dong3,#,#,fong3-hok6,laa3,#,daan6-hai6,ji5-ging1,zoi3,mou5-jan4,paai3-tong2,bei2,di1,siu2-pang4-jau5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding dong,ding dong,#,ding dong,ding dong,#,#,after school,(particle),#,but,already,again,no one,deliver candy,to,those,children,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,諗,咗,一,諗,，,隨手,拎,咗,一,拃,糖,拋,出,窗,外,。,再次,聽到,小朋友,嘅,歡呼,聲,，,我,都,好似,開心,返,少少,。,而,我,嗰,粒,花街,拖肥糖,，,仲係,同,之前,一樣,咁,好味,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,nam2,zo2,jat1,nam2,#,ceoi4-sau2,ling1,zo2,jat1,zaa6,tong2,paau1,ceot1,coeng1,ngoi6,#,zoi3-ci3,teng1-dou2,siu2-pang4-jau5,ge3,fun1-fu1,seng1,#,ngo5,dou1,hou2-ci5,hoi1-sam1,faan1,siu2-siu2,#,ji4,ngo5,go2,nap1,faa1-gaai1,to1-fei2-tong2,#,zung6-hai6,tung4,zi1-cin4,jat1-joeng6,gam3,hou2-mei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,think,-en,one,think,#,casually,take,-en,one,(measure),candy,throw,out,window,outside,#,again,heard,children,(linker),cheer,sound,#,I,also,seem,happy,back,a bit,#,and,I,that,(measure),Quality Street,Toffee,#,still,with,before,the same,so,tasty,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
