[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,有,少少,嬲,，,話,：,「,你,都,成,四十,歲,人,，,就算,放假,都,唔好,去,咁,遠,！,放假,應該,留,喺,香港,，,同,老公,仔女,一齊,玩,吖嘛,——,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,jau5,siu2-siu2,nau1,#,waa6,#,#,nei5,dou1,seng4,sei3-sap6,seoi3,jan4,#,zau6-syun3,fong3-gaa3,dou1,m4-hou2,heoi3,gam3,jyun5,#,fong3-gaa3,jing1-goi1,lau4,hai2,hoeng1-gong2,#,tung4,lou5-gung1,zai2-neoi2,jat1-cai4,waan2,aa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,have,a bit,angry,#,say,#,#,you,"all, also",almost,forty,year-old,person,#,even if,holiday,"all, also",do not,go,so,far,#,holiday,should,stay,at,Hong Kong,#,with,husband,children,together,to play,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,好,快,就,收,咗,線,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,hou2,faai3,zau6,sau1,zo2,sin3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,very,fast,then,end,-en,call,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,唔理,所有,人,嘅,反對,，,收拾,好,行李,，,一個,星期,之後,就,到,咗,尼泊爾,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,m4-lei5,so2-jau5,jan4,ge3,faan2-deoi3,#,sau1-sap6,hou2,hang4-lei5,#,jat1-go3,sing1-kei4,zi1-hau6,zau6,dou3,zo2,nei4-pok3-ji5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,ignore,all,people,(linker),opposition,#,put in order,good,baggage,#,one (measure),week,after,then,arrive,-en,Nepal,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,揀,咗,一,間,平價,嘅,旅館,入住,，,打聽,好,喜馬拉雅山,嘅,行山,路線,，,準備,出發,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,gaan2,zo2,jat1,gaan1,peng4-gaa3,ge3,leoi5-gun2,jap6-zyu6,#,daa2-ting3,hou2,hei2-maa5-laai1-ngaa5-saan1,ge3,haang4-saan1,lou6-sin3,#,zeon2-bei6,ceot1-faat3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,choose,-en,one,(measure),cheap,(linker),hotel,move in,#,to ask about,well,Himalaya,(linker),hiking,route,#,ready to,start,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,旅館,門口,，,鈴子,畀,一個,二十,歲,左右,嘅,女仔,截停,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,leoi5-gun2,mun4-hau2,#,ling4-zi2,bei2,jat1-go3,ji6-sap6,seoi3,zo2-jau2,ge3,neoi5-zai2,zit6-ting4,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,hotel,doorway,#,Suzuko,by,one (measure),twenty,age,about,(linker),girl,stop,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少女,話,：,「,請問,你,係咪,香港人,？,係咪,都係,去,喜馬拉雅山,揾,雪豹,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu3-neoi5,waa6,#,#,ceng2-man6,nei5,hai6-mai6,hoeng1-gong2-jan4,#,hai6-mai6,dou1-hai6,heoi3,hei2-maa5-laai1-ngaa5-saan1,wan2,syut3-paau3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
young girl,say,#,#,May I ask,you,is or isn't,Hongkonger,#,is or isn't,also is,go to,Himalaya,look for ,snow leopard,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,話,係,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,waa6,hai6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,say,is,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少女,話,：,「,我,都係,！,不如,一齊,去,吖,？,我,叫,小花,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu3-neoi5,waa6,#,#,ngo5,dou1-hai6,#,bat1-jyu4,jat1-cai4,heoi3,aa1,#,ngo5,giu3,siu2-faa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
young girl,say,#,#,I,too is,#,how about,together,to go,(particle),#,I,am called,Hana,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1o],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,覺得,無所謂,，,就,同,小花,一齊,上山,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,gok3-dak1,mou4-so2-wai6,#,zau6,tung4,siu2-faa1,jat1-cai4,soeng5-saan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,feel,does not matter,#,then,and,Hana,together,go up the mountain,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小花,一邊,行,，,一邊,不停,講嘢,：,「,呢度,冬天,可以,去,到,零下,四十,度,㗎,！,而家,係,夏天,，,我哋,先,可以,上嚟,睇,雪豹,！,聽講,好,難,揾到,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-faa1,jat1-bin1,haang4,#,jat1-bin1,bat1-ting4,gong2-je5,#,#,nei1-dou6,dung1-tin1,ho2-ji5,heoi3,dou3,ling4-haa6,sei3-sap6,dou6,gaa3,#,ji4-gaa1,hai6,haa6-tin1,#,ngo5-dei6,sin1,ho2-ji5,soeng5-lei4,tai2,syut3-paau3,#,teng1-gong2,hou2,naan4,wan2-dou2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,while,walking,#,while,without stop,speaking,#,#,here,winter,can,go,to,below zero,forty,degree,(particle),#,now,is,summer,#,we,then,can,come up,to see,snow leopard,#,heard that,very,difficult,find,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,話,：,「,我,以前,去,過,零下,二十,度,嘅,地方,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,waa6,#,#,ngo5,ji5-cin4,heoi3,gwo3,ling4-haa6,ji6-sap6,dou6,ge3,dei6-fong1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,say,#,#,I,before,go,-ed,below zero,twenty,degree,(linker),place,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小花,好,震驚,：,「,真,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-faa1,hou2,zan3-ging1,#,#,zan1,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,very,amazed,#,#,really,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,：,「,係,啊,，,喺,俄羅斯,。,當時,我,同,你,一樣,都係,啱啱,大學,畢業,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,#,#,hai6,aa3,#,hai2,ngo4-lo4-si1,#,dong1-si4,ngo5,tung4,nei5,jat1-joeng6,dou1-hai6,ngaam1-ngaam1,daai6-hok6,bat1-jip6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,#,#,is,(particle),#,at,Russia,#,at that time,I,and,you,the same,also is,just now,university,graduate,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小花,話,：,「,噉,你,而家,咪,已經,去,過,好多,地方,囉,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-faa1,waa6,#,#,gam2,nei5,ji4-gaa1,mai6,ji5-ging1,heoi3,gwo3,hou2-do1,dei6-fong1,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,say,#,#,then,you,now,not,already,go,-ed,many,place,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,無奈,噉,話,：,「,噉,又,唔係,。,我,畢業,冇幾耐,就,結婚,生,BB,，,之後,好少,去,旅行,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,mou4-noi6,gam2,waa6,#,#,gam2,jau6,m4-hai6,#,ngo5,bat1-jip6,mou5-gei2-noi2,zau6,git3-fan1,saang1,bi4-bi1,#,zi1-hau6,hou2-siu2,heoi3,leoi5-hang4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,have no alternative,-ly,say,#,#,then,also,is not,#,I,graduate,not long,then,get married,birth,baby,#,after,rarely,go,travel,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行,下,行,下,，,佢哋,見到,一,群,鹿,。,鈴子,覺得,雪豹,一定,會,嚟,揾,獵物,，,就,打算,匿,喺,附近,等,睇,雪豹,。,小花,揾到,一,舊,大,石,，,佢哋,就係,匿埋,喺,大,石,後面,。,,,,,,,,,,,,,,,,,,,,,
haang4,haa5,haang4,haa5,#,keoi5-dei6,gin3-dou2,jat1,kwan4,luk2,#,ling4-zi2,gok3-dak1,syut3-paau3,jat1-ding6,wui5,lei4,wan2,lip6-mat6,#,zau6,daa2-syun3,nei1,hai2,fu6-gan6,dang2,tai2,syut3-paau3,#,siu2-faa1,wan2-dou2,jat1,gau6,daai6,sek6,#,keoi5-dei6,zau6-hai6,nei1-maai4,hai2,daai6,sek6,hau6-min6,#,,,,,,,,,,,,,,,,,,,,,
walk,a bit,walk ,a bit,#,they,saw,one,group of,deer,#,Suzuko,feel,snow leopard,surely,will,come,look for,prey,#,then,plan to,hide,at,nearby,to wait,to see,snow leopard,#,Hana,found,one,(measure),big,rock,#,they,then is,hide,at,big,rock,behind,#,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,喺,背囊,攞,咗,個,三文治,出嚟,，,分,咗,一半,畀,小花,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,hai2,bui3-nong4,lo2,zo2,go3,saam1-man4-zi6,ceot1-lei4,#,fan1,zo2,jat1-bun3,bei2,siu2-faa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,at,backpack,take,-en,(measure),sandwich,out,#,divide,-en,half,to,Hana,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小花,一路,食,一路,講,：,「,我,將來,一定,要,去,好多,好多,地方,！,你,都係,！,你,有,幾耐,冇,去,長途,旅行,喇,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-faa1,jat1-lou6,sik6,jat1-lou6,gong2,#,#,ngo5,zoeng1-loi4,jat1-ding6,jiu3,heoi3,hou2-do1,hou2-do1,dei6-fong1,#,nei5,dou1-hai6,#,nei5,jau5,gei2-noi6,mou5,heoi3,coeng4-tou4,leoi5-hang4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,while,to eat,while,say,#,#,I,future,surely,want to,go,many,many,place,#,you,too is,#,you,have,how long,don't have,go,long distance,travel,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,話,：,「,大大話話,都,有,十,年,喇,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,waa6,#,#,daai6-daai6-waa6-waa6,dou1,jau5,sap6,nin4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,say,#,#,At the very least,"all, also",have,ten,year,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,好,忙,，,除咗,返工,，,仲要,照顧,仔女,，,有,十,幾,年,連,上,興趣,班,嘅,時間,都,冇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,hou2,mong4,#,ceoi4-zo2,faan1-gung1,#,zung6-jiu3,ziu3-gu3,zai2-neoi2,#,jau5,sap6,gei2,nin4,lin4,soeng5,hing3-ceoi3,baan1,ge3,si4-gaan3,dou1,mou5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,very,busy,#,except,go to work,#,still need to,look after,children,#,have,ten,several,year,even,attend,interest,class,(linker),time,"all, also",don't have,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,話,：,「,我,有,十,幾,年,冇,為,自己,打算,過,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,waa6,#,#,ngo5,jau5,sap6,gei2,nin4,mou5,wai6,zi6-gei2,daa2-syun3,gwo3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,say,#,#,I,have,ten,several,year,don't have,for,oneself,plan,-ed,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家,靜靜,欣賞,山,上,美景,同埋,小,鹿,你追我逐,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1,zing6-zing2,jan1-soeng2,saan1,soeng6,mei5-ging2,tung4-maai4,siu2,luk2,nei5-zeoi1-ngo5-zuk6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,quietly,appreciate,hill,top,beautiful scenery,and,small,deer,chasing each other,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,小花,感嘆,：,「,喜馬拉雅山,真係,好,！,喺,呢度,收,唔到,電話,，,上,唔到,網,，,我哋,淨係,需要,考慮,自己,開唔開心,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,jat1-zan6,#,siu2-faa1,gam2-taan3,#,#,hei2-maa5-laai1-ngaa5-saan1,zan1-hai6,hou2,#,hai2,nei1-dou6,sau1,m4-dou2,din6-waa2,#,soeng5,m4-dou2,mong5,#,ngo5-dei6,zing6-hai6,seoi1-jiu3,haau2-leoi6,zi6-gei2,hoi1-m4-hoi1-sam1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pass,-en,a while,#,Hana,sigh,#,#,Himalaya,really,good,#,at,here,receive,cannot,telephone,#,access,cannot,internet,#,we,only,need to,consider,oneself,happy or not,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2o],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,話,：,「,係,啊,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling4-zi2,waa6,#,#,hai6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuko,say,#,#,is,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2p],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小花,又,問,：,「,你,覺得,平時,幸唔幸福,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-faa1,jau6,man6,#,#,nei5,gok3-dak1,ping4-si4,hang6-m4-hang6-fuk1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,again,ask,#,#,you,feel,usually,happy or not,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴子,諗,咗,一陣,，,話,：,「,我,覺得,幸福,好,短暫,。,就好似,結婚,噉,，,最,幸福,就係,新婚,嗰,段,日子,。,嗰陣,仲,會,對,將來,嘅,生活,有,期盼,——,我,覺得,嗰,種,期待,嘅,感覺,就係,幸福,。,」,,,,,,,,,,,,,,,,,,
ling4-zi2,nam2,zo2,jat1-zan6,#,waa6,#,#,ngo5,gok3-dak1,hang6-fuk1,hou2,dyun2-zaam6,#,zau6-hou2-ci5,git3-fan1,gam2,#,zeoi3,hang6-fuk1,zau6-hai6,san1-fan1,go2,dyun6,jat6-zi2,#,go2-zan2,zung6,wui5,deoi3,zoeng1-loi4,ge3,sang1-wut6,jau5,kei4-paan3,#,ngo5,gok3-dak1,go2,zung2,kei4-doi6,ge3,gam2-gok3,zau6-hai6,hang6-fuk1,#,#,,,,,,,,,,,,,,,,,,
Suzuko,think,-en,a while,#,say,#,#,I,feel,happiness,very,fleeting,#,just like,getting married,in that way,#,most,happy,which is,newly-wed,that,period of,days,#,that time,even,will,to,future,(linker),living,have,anticipation,#,I,think,that,type,expectation,(linker),feeling,then is,happiness,#,#,,,,,,,,,,,,,,,,,,
[2r],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小花,：,「,就好似,入,大學,之前,嗰個,暑假,，,好,興奮,，,好,期待,噉,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-faa1,#,#,zau6-hou2-ci5,jap6,daai6-hok6,zi1-cin4,go2-go3,syu2-gaa3,#,hou2,hing1-fan5,#,hou2,kei4-doi6,gam2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,#,#,just like,enter,university,before,that (measure),summer vacation,#,very,excited,#,very,looking forward to sth,in that way,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,啊,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,is,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
