[3d],,,,,,,,,,,,,
星期一,二,三,四,五,六,都,有,唔少得,星期日,。,,,
sing1-kei4-jat1,ji6,saam1,sei3,ng5,luk6,dou1,jau5,m4-siu2-dak1,sing1-kei4-jat6,#,,,
Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,"all, also",have,cannot leave out,Sunday,#,,,
[4a],,,,,,,,,,,,,
後生仔,傾下計,啦,我,見,你,咁,勤力,。,,,,,
hau6-saang1-zai2,king1-haa5-gai3,laa1,ngo5,gin3,nei5,gam3,kan4-lik6,#,,,,,
young people,chat a while,(particle),I,see,you,so,diligent,#,,,,,
[4b],,,,,,,,,,,,,
每日,戴,晒,口罩,送,外賣,呢,我,有,叫,嚟,食,。,
mui5-jat6,daai3,saai3,hau2-zaau3,sung3,ngoi6-maai6,le5,ngo5,jau5,giu3,lei4,sik6,#,
every day,put on,all,mask,to deliver,take out,(particle),I,have,order,to,eat,#,
[4c],,,,,,,,,,,,,
聽講,你,頭先,返,完,學,都,冇,返,到,屋企,。,,
teng1-gong2,nei5,tau4-sin1,faan1,jyun4,hok6,dou1,mou5,faan1,dou3,uk1-kei2,#,,
heard that,you,just now,go,finish,school,"all, also",haven't,return,arrive,home,#,,
[4d],,,,,,,,,,,,,
而家,又,排隊,等,單,，,你,冇,做功課,就,知死,！,,
ji4-gaa1,jau6,paai4-deoi2,dang2,daan1,#,nei5,mou5,zou6-gung1-fo3,zau6,zi1-sei2,#,,
now,again,queue,to wait,order,#,you,didn't,do homework,then,know it's very bad,#,,
[5a],,,,,,,,,,,,,
咩話,！,屋企人,做嘢,揾錢,你,希望,都,幫手,？,,,,
me1-waa2,#,uk1-kei2-jan4,zou6-je5,wan2-cin2,nei5,hei1-mong6,dou1,bong1-sau2,#,,,,
What?,#,family,work,to make money,you,hope,"all, also",to help,#,,,,
[5b],,,,,,,,,,,,,
因為,爸爸,媽媽,辛苦,做嘢,養活,一,家,咁,多口,？,,,
jan1-wai6,baa4-baa1,maa4-maa1,san1-fu2,zou6-je5,joeng5-wut6,jat1,gaa1,gam3,do1-hau2,#,,,
because,father,mother,hard,work,to raise,one,family,so,many members,#,,,
[5c],,,,,,,,,,,,,
月尾,睇下,個,銀包,得返,啲,銀仔,你,點樣,維持,生計,？,,
jyut6-mei5,tai2-haa5,go3,ngan4-baau1,dak1-faan1,di1,ngan2-zai2,nei5,dim2-joeng2,wai4-ci4,sang1-gai3,#,,
the end of the month,take a look,(measure),wallet,only have,some,coins,you,how to,maintain,livelihood,#,,
[5d],,,,,,,,,,,,,
所以,你,細細個,就,要,識,照顧,自己,香港,乜嘢,都,貴,。,
so2-ji5,nei5,sai3-sai3-go3,zau6,jiu3,sik1,ziu3-gu3,zi6-gei2,hoeng1-gong2,mat1-je5,dou1,gwai3,#,
therefore,you,young and small,then,need to,know,to look after,oneself,Hong Kong,everything,"all, also",expensive,#,
[6a],,,,,,,,,,,,,
慢慢,你,就,會,習慣,香港人,做嘢,嘅,節奏,。,,,,
maan6-maan2,nei5,zau6,wui5,zaap6-gwaan3,hoeng1-gong2-jan4,zou6-je5,ge3,zit3-zau3,#,,,,
slowly,you,then,will,get used to,Hongkongers,work,(linker),rhythm,#,,,,
[6b],,,,,,,,,,,,,
你,一個,肥仔,做,得,兩,年,我,包保,你,會,瘦,。,
nei5,jat1-go3,fei4-zai2,zou6,dak1,loeng5,nin4,ngo5,baau1-bou2,nei5,wui5,sau3,#,
you,one (measure),fat boy,do,(suffix),two,year,I,promise,you,will,thin,#,
[6c],,,,,,,,,,,,,
香港人,平均,工時,講緊,每個,星期,四十八,個鐘,。,,,,,
hoeng1-gong2-jan4,ping4-gwan1,gung1-si4,gong2-gan2,mui5-go3,sing1-kei4,sei3-sap6-baat3,go3-zung1,#,,,,,
Hongkongers,average,working hour(s),talking about,every (measure),week,forty-eight,hour(s),#,,,,,
[6d],,,,,,,,,,,,,
仲有,好多,朝,九,晚,九,未,做,晒,都,唔使旨意,放工,。,
zung6-jau5,hou2-do1,ziu1,gau2,maan5,gau2,mei6,zou6,saai3,dou1,m4-sai2-zi2-ji3,fong3-gung1,#,
in addition,many,morning,nine,night,nine,not yet,do,all,"all, also",don't expect,off work,#,
[7a],,,,,,,,,,,,,
廣東話,係,比較,難,學,香港人,又,比較,涼薄,。,,,,
gwong2-dung1-waa2,hai6,bei2-gaau3,naan4,hok6,hoeng1-gong2-jan4,jau6,bei2-gaau3,loeng4-bok6,#,,,,
Cantonese,is,comparatively,difficult,to learn,Hongkongers,again,comparatively,cold and mean,#,,,,
[7b],,,,,,,,,,,,,
但係,嚟,咗,就,要,適應,唔好,用,你,把,尺,去,量度,。
daan6-hai6,lei4,zo2,zau6,jiu3,sik1-jing3,m4-hou2,jung6,nei5,baa2,cek3,heoi3,loeng4-dok6,#
but,come,-en,then,need to,adapt,do not,use,you,(measure),ruler,to,measure,#
[7c],,,,,,,,,,,,,
唔同,嘅,人,有,唔同,原因,你,終於,嚟,到,香港,。,,
m4-tung4,ge3,jan4,jau5,m4-tung4,jyun4-jan1,nei5,zung1-jyu1,lei4,dou3,hoeng1-gong2,#,,
different,(linker),people,have,different,reason,you,eventually,come,arrive,Hong Kong,#,,
[7d],,,,,,,,,,,,,
噉,就,疊埋心水,融入,香港,睇下,咩嘢,叫做,劏房,。,,,,
gam2,zau6,dip6-maai4-sam1-seoi2,jung4-jap6,hoeng1-gong2,tai2-haa5,me1-je5,giu3-zou6,tong1-fong2,#,,,,
so,then,resigned,blend into,Hong Kong,take a look,what,to be called,subdivided housing,#,,,,
[8a],,,,,,,,,,,,,
細路,一日,一日,長大,，,最,緊要,唔好,驚,會,失敗,。,,
sai3-lou6,jat1-jat6,jat1-jat6,zoeng2-daai6,#,zeoi3,gan2-jiu3,m4-hou2,geng1,wui5,sat1-baai6,#,,
kid,one day,one day,grow up,#,most,important,do not,be afraid,will,fail,#,,
[8b],,,,,,,,,,,,,
就算,唔識,路,又,唔識,講,你,都,試下,多啲,落,街,。,
zau6-syun3,m4-sik1,lou6,jau6,m4-sik1,gong2,nei5,dou1,si3-haa5,do1-di1,lok6,gaai1,#,
even if,don't know,road,also,don't know,speak,you,"all, also",try a bit,more,to go down,street,#,
[8c],,,,,,,,,,,,,
講,錯,唔好,怕,，,下次,講,返,啱,就,得,啦,。,
gong2,co3,m4-hou2,paa3,#,haa6-ci3,gong2,faan1,ngaam1,zau6,dak1,laa1,#,
speak,wrong,do not,be afraid,#,next time,speak,back,correct,then,okay,(particle),#,
[8d],,,,,,,,,,,,,
最,怕,你,睇,錯,地址,送,錯,外賣,噉,就,唔好,喇,。
zeoi3,paa3,nei5,tai2,co3,dei6-zi2,sung3,co3,ngoi6-maai6,gam2,zau6,m4-hou2,laa3,#
most,fear,you,look,wrong,address,send,wrong,take out,in this way,then,not good,(particle),#
