[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
植物,王國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zik6-mat6,wong4-gwok3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,話,只要,種,多啲,樹,，,樹,王國,就,會,畀,張,入場券,你,入去,睇下,佢哋,嘅,世界,。,媽咪,話,入面,有,好多,識,行,嘅,樹,，,啲,河,水,仲,識,唱歌,，,周圍,都,充滿,歡笑,聲,。,我,細細個,就,聽到,入晒迷,，,如果,我,爬,上,一,樖,識,行,嘅,樹,，,噉,佢,咪,可以,帶,我,周圍,去,？,哈哈,，,人哋,騎,馬,，,我,就,騎,樹,，,諗起,都,興奮,……
ngo5,zo2,mong6,mong6,#,jau6,mong6,mong6,#,jau6,mong6-haa5,tin1,#,jau6,mong6-haa5,dei6,#,me1-si6,dou1,mou5,faat3-sang1,#,ngo5,jau6,caai2-haa5,di1,nai4,#,m4-tung1,m4,gau3,ping4,#,mou5,wo3,#,zau1-wai4,me1-si6,dou1,mou5,#,ngo5,tau4-dap1-dap1,gam2,faan1-uk1-kei2,#,jat1,jat6,#,loeng5,jat6,#,saam1,jat6,#,seng4,go3-jyut6,dou1,mou5-si6,faat3-sang1,#,,,,,,,,,,,,,,,,,,,,,,,,
I,left,look,look,#,right,look,look,#,again,look,sky,#,again,look,ground,#,what matter,"all, also",don't,happen,#,I,again,step,some,mud,#,could it be,not,enough,flat,#,don't have,(particle),#,surrounding,what matter,"all, also",don't have,#,I,lower one's head,-ly,go home,#,one,day,#,two,day,#,three,day,#,whole,month(s),"all, also",nothing,happen,#,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔通,媽咪,只係,想,我,種,多啲,樹,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-tung1,maa1-mi4,zi2-hai6,soeng2,ngo5,zung6,do1-di1,syu6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
could it be,mommy,just only,want,I,plant,more,tree,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,一,年,過去,。,喺,我,生日,嘅,前,一,晚,，,我,準備,瞓覺,嘅,時候,，,突然,聽到,後面,有,咯咯,嘅,敲,窗,聲,。,我,擰轉頭,，,咩,都,冇,。,可能,係,聽,錯,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau6,jat1,nin4,gwo3-heoi3,#,hai2,ngo5,saang1-jat6,ge3,cin4,jat1,maan5,#,ngo5,zeon2-bei6,fan3-gaau3,ge3,si4-hau6,#,dat6-jin4,teng1-dou2,hau6-min6,jau5,gok4-gok4,ge3,haau1,coeng1,seng1,#,ngo5,ning6-zyun2-tau4,#,me1,dou1,mou5,#,ho2-nang4,hai6,teng1,co3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again,one,year,pass,#,at,I,birthday,(linker),before,one,night,#,I,prepare,to sleep,(linker),time,#,suddenly,heard,behind,have,(sound),(linker),knock,window,sound,#,I,turn head,#,what,"all, also",don't have,#,possible,is,hear,wrong,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咯咯,。,又,有,兩下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gok4-gok4,#,jau6,jau5,loeng5-haa5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(sound),#,again,have,twice,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今次,我,行埋去,睇真啲,——,唔通,有,雀仔,？,定係,太,大風,，,有,雜物,撞到,窗,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-ci3,ngo5,haang4-maai4-heoi3,tai2-zan1-di1,#,m4-tung1,jau5,zoek3-zai2,#,ding6-hai6,taai3,daai6-fung1,#,jau5,zaap6-mat6,zong6-dou2,coeng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this time,I,go over,to see clearer,#,could it be,have,bird,#,or,too,windy,#,have,odds and ends,hit,window,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都,唔係,，,我,見到,一塊,樹葉,，,一塊,黃,黃,藍,藍,嘅,枯,葉,。,我,拎,喺,手,，,忽然,塊,葉,講嘢,：,「,求下,你,，,救下,我哋,，,我哋,就快,要,亡國,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dou1,m4-hai6,#,ngo5,gin3-dou2,jat1-faai3,syu6-jip6,#,jat1-faai3,wong4,wong4,laam4,laam4,ge3,fu1,jip6,#,ngo5,ling1,hai2,sau2,#,fat1-jin4,faai3,jip6,gong2-je5,#,#,kau4-haa5,nei5,#,gau3-haa5,ngo5-dei6,#,ngo5-dei6,zau6-faai3,jiu3,mong4-gwok3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"all, also",is not,#,I,saw,a piece of,leaf,#,a piece of,yellow,yellow,blue,blue,(linker),withered,leaf,#,I,take,at,hand,#,suddenly,piece of,leaf,speaking,#,#,beg,you,#,save,we,#,we,soon,become,a perished nation,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,嚇,一,嚇,，,仔細,一,睇,，,原來,塊,葉,係,有,眼耳口鼻,，,仲有,手手腳腳,！,我,即刻,諗起,媽咪,講,過,嘅,樹,王國,，,就,話,：,「,你哋,係,樹,王國,？,發生,咩事,啊,？,有,咩,我,可以,幫手,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,haak3,jat1,haak3,#,zi2-sai3,jat1,tai2,#,jyun4-loi4,faai3,jip6,hai6,jau5,ngaan5-ji5-hau2-bei6,#,zung6-jau5,sau2-sau2-goek3-goek3,#,ngo5,zik1-hak1,nam2-hei3,maa1-mi4,gong2,gwo3,ge3,syu6,wong4-gwok3,#,zau6,waa6,#,#,nei5-dei6,hai6,syu6,wong4-gwok3,#,faat3-sang1,me1-si6,aa3,#,jau5,me1,ngo5,ho2-ji5,bong1-sau2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,frighten,one,frighten,#,carefully,once,look,#,it turns out,piece of,leaf,is,have,"eyes, ears, mouth, nose",#,also have,hands and feet,#,I,immediately,think of,mommy,say,-ed,(linker),tree,kingdom,#,then,say,#,#,you (plural),is,tree,kingdom,#,happen,what matter,(particle),#,have,what,I,can,help,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,樹,王國,？,唔係,啊,，,我哋,係,植物,王國,，,快啲,嚟,啦,，,冇,時間,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,syu6,wong4-gwok3,#,m4-hai6,aa3,#,ngo5-dei6,hai6,zik6-mat6,wong4-gwok3,#,faai3-di1,lai4,laa1,#,mou5,si4-gaan6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,tree,kingdom,#,no,(particle),#,we,is,plant,kingdom,#,faster,come,(particle),#,don't have,time,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樹葉,人仔細細,，,但,好,大力,，,佢,一,掹,，,我,就,向,前,飛,，,仲要,飛,得,超,快,，,快,到,咩,都,望,唔到,。,當,我,企,返,穩,嘅,時候,，,我,已經,喺,一,個,幾乎,俾,藍色,淹沒,嘅,世界,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syu6-jip6,jan4-zai2-sai3-sai3,#,daan6,hou2,daai6-lik6,#,keoi5,jat1,mang1,#,ngo5,zau6,hoeng3,cin4,fei1,#,zung6-jiu3,fei1,dak1,ciu1,faai3,#,faai3,dou3,me1,dou1,mong6,m4-dou2,#,dong1,ngo5,kei5,faan1,wan2,ge3,si4-hau6,#,ngo5,ji5-ging1,hai2,jat1,go3,gei1-fu4,bei2,laam4-sik1,jim1-mut6,ge3,sai3-gaai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leaf,small like a child,#,but,very,great strength,#,it,one,pull,#,I,then,towards,front,fly,#,even,fly,(suffix),super,fast,#,fast,till,whatever,"all, also",see,cannot,#,when,I,stand,back,steadily,(linker),time,#,I,already,at,one,(measure),almost,by,blue,submerge,(linker),world,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢度,係,植物,王國,？,我,以為,應該,係,多啲,綠色,，,至少,唔,應該,係,藍色,？,」,我,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei1-dou6,hai6,zik6-mat6,wong4-gwok3,#,ngo5,ji5-wai4,jing1-goi1,hai6,do1-di1,luk6-sik1,#,zi3-siu2,m4,jing1-goi1,hai6,laam4-sik1,#,#,ngo5,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,here,is,plant,kingdom,#,I,thought,should,be,more,green,#,at least,not,should,be,blue,#,#,I,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,植物,王國,入面,，,唔單止,全部,路人,嘅,衫褲,係,藍色,，,就,連,地板,、,建築,全部,都,係,藍色,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,zik6-mat6,wong4-gwok3,jap6-min6,#,m4-daan1-zi2,cyun4-bou6,lou6-jan4,ge3,saam1-fu3,hai6,laam4-sik1,#,zau6,lin4,dei6-baan2,#,gin3-zuk1,cyun4-bou6,dou1,hai6,laam4-sik1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,plant,kingdom,inside,#,not only,all,pedestrian,(linker),clothes,is,blue,#,then,even,floor,#,building,all,"all, also",is,blue,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
葉仔,好,慘,噉,話,：,「,唉,，,人類,世界,越嚟越少,大,樹,，,連帶,我哋,植物,王國,都,受,影響,，,大家,越嚟越,唔,開心,，,慢慢,所有,嘢,都,變,晒,做,唔,開心,嘅,藍色,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jip6-zai2,hou2,caam2,gam2,waa6,#,#,aai3,#,jan4-leoi6,sai3-gaai3,jyut6-lei4-jyut6-siu2,daai6,syu6,#,lin4-daai3,ngo5-dei6,zik6-mat6,wong4-gwok3,dou1,sau6,jing2-hoeng2,#,daai6-gaa1,jyut6-lei4-jyut6,m4,hoi1-sam1,#,maan6-maan2,so2-jau5,je5,dou1,bin3,saai3,zou6,m4,hoi1-sam1,ge3,laam4-sik1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little leaf,very,miserable,-ly,say,#,#,Sigh!,#,human beings,world,fewer and fewer,big,tree,#,lead to,we,plant,kingdom,"all, also",get,influenced,#,everyone,more and more,not,happy,#,slowly,all,thing,"all, also",change,all,to be,not,happy,(linker),blue,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,我,有,咩,可以,幫到,你哋,？,你,帶,我,嚟,一定,有,原因,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,ngo5,jau5,me1,ho2-ji5,bong1-dou2,nei5-dei6,#,nei5,daai3,ngo5,lai4,jat1-ding6,jau5,jyun4-jan1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,then,I,have,what,can,help,you (plural),#,you,bring,I,to come,surely,have,reason,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,留意,咗,你,好,耐,，,知道,你,係,一,個,好,愛,大自然,嘅,人,，,每,年,都會,種,樹,。,」,葉仔,拉,住,我,不斷,行,：,「,只要,你,同,我哋,國王,講,，,呢個,世界,仲有,人類,係,愛,大自然,嘅,，,國王,一定,會,對,人類,有,返,信心,，,大家,都,會,開心,返,！,」,,,,,,,,,,,,,,,,,,,
#,ngo5,lau4-ji3,zo2,nei5,hou2,noi6,#,zi1-dou3,nei5,hai6,jat1,go3,hou2,oi3,daai6-zi6-jin4,ge3,jan4,#,mui5,nin4,dou1-wui5,zung6,syu6,#,#,jip6-zai2,laai1,zyu6,ngo5,bat1-dyun6,haang4,#,#,zi2-jiu3,nei5,tung4,ngo5-dei6,gwok3-wong4,gong2,#,nei1-go3,sai3-gaai3,zung6-jau5,jan4-leoi6,hai6,oi3,daai6-zi6-jin4,ge3,#,gwok3-wong4,jat1-ding6,wui5,deoi3,jan4-leoi6,jau5,faan1,seon3-sam1,#,daai6-gaa1,dou1,wui5,hoi1-sam1,faan1,#,#,,,,,,,,,,,,,,,,,,,
#,I,notice,-en,you,very,long time,#,know,you,is,one,(measure),very,love,nature,(linker),people,#,every,year,always will,plant,tree,#,#,Little leaf,pull,-ing,I,continuously,walk,#,#,so long as,you,with,we,king,say,#,this,world,still have,human beings,is,love,nature,(particle),#,king,surely,will,to,human beings,have,back,confidence,#,everyone,"all, also",will,happy,back,#,#,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話咁快,，,葉仔,就,帶,我,嚟,到,國王,面前,。,國王,連,鬍鬚,都係,藍色,嘅,，,成,堂,眉,都,垂,晒,落嚟,，,睇落,好似,隨時,都會,喊,噉,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waa6-gam3-faai3,#,jip6-zai2,zau6,daai3,ngo5,lai4,dou3,gwok3-wong4,min6-cin4,#,gwok3-wong4,lin4,wu4-sou1,dou1-hai6,laam4-sik1,ge3,#,seng4,tong4,mei4,dou1,seoi4,saai3,lok6-lai4,#,tai2-lok6,hou2-ci5,ceoi4-si4,dou1-wui5,haam3,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so quick,#,Little leaf,then,bring,I,to come,to,king,in front of,#,king,even,beard,also is,blue,(particle),#,whole,(measure),eyebrows,"all, also",droop,all,down,#,look into it,seems,at any moment,also will,cry,in that way,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,人類,，,你,嚟,做咩,呀,？,」,國王,好,虛弱,噉,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jan4-leoi6,#,nei5,lai4,zou6-me1,aa3,#,#,gwok3-wong4,hou2,heoi1-joek6,gam2,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,human beings,#,you,come,for what,(particle),#,#,king,very,weak,-ly,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,國王,，,你好,。,我,聽講,你,對,人類,冇,晒,信心,，,不過,其實,有,唔少,人,都,仲,好,鍾意,大自然,，,好,努力,噉,保護,你哋,！,就好似,我,噉,，,我,自,四,歲,開始,，,每,年,都會,種,一,樖,樹,，,聽日,就係,第十,年,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gwok3-wong4,#,nei5-hou2,#,ngo5,teng1-gong2,nei5,deoi3,jan4-leoi6,mou5,saai3,seon3-sam1,#,bat1-gwo3,kei4-sat6,jau5,m4-siu2,jan4,dou1,zung6,hou2,zung1-ji3,daai6-zi6-jin4,#,hou2,nou5-lik6,gam2,bou2-wu6,nei5-dei6,#,zau6-hou2-ci5,ngo5,gam2,#,ngo5,zi6,sei3,seoi3,hoi1-ci2,#,mui5,nin4,dou1-wui5,zung6,jat1,po1,syu6,#,ting1-jat6,zau6-hai6,dai6-sap6,nin4,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,king,#,how are you,#,I,heard that,you,towards,human beings,don't have,all,confidence,#,however,actually,have,not few,people,"all, also",still,very,like,nature,#,very,try one's best,in that way,protect,you (plural),#,just like,I,in this way,#,I,from,four,year-old,begin,#,every,year,always will,plant,one,(measure),tree,#,tomorrow,is,tenth,year,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國王,呢個,時候,先,抬起,頭,，,佢,望,住,我,話,：,「,不過,你,一個人,嘅,力量,咁,少,，,得嗰,十,樖,樹,有,咩,用,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
