[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寵物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung2-mat6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,係,嘉瑩,，,我,今日,就,六,歲,生日,喇,！,媽咪,好,錫,我,，,幫,我,搞,咗,個,生日,派對,。,媽咪,準備,咗,好多,嘢食,，,仲有,一個,好,大,嘅,生日,蛋糕,。,我,邀請,咗,好多,同學,同,我,一齊,玩,，,佢哋,都,話,會,嚟,同,我,慶祝,，,仲,話,會,送,生日,禮物,畀,我,添,！,唔知,佢哋,會,送,啲,咩,呢,？,不過,，,我,知道,媽咪,會,送,啲,咩,畀,我,做,生日,禮物,－,就係,我,一直,都,好,想,要,嘅,寵物,！,我,好,鍾意,動物,，,唔知,媽咪,會,送,咩,寵物,畀,我,呢,？
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噉,不如,騎,犀牛,啦,！,犀牛,跑,得,快,，,肯定,唔,怕,會,遲到,。,但係,佢,嘅,身體,好似,坦克車,咁,硬,，,跑,起上嚟,可能,會,撞,爛,好多,嘢,，,會,連累,媽咪,要,賠錢,……,我,諗,，,犀牛,都係,唔好,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam2,bat1-jyu4,ke4,sai1-ngau4,laa1,#,sai1-ngau4,paau2,dak1,faai3,#,hang2-ding6,m4,paa3,wui5,ci4-dou3,#,daan6-hai6,keoi5,ge3,san1-tai2,hou2-ci5,taan2-hak1-ce1,gam3,ngaang6,#,paau2,hei2-soeng5-lai4,ho2-nang4,wui5,zong6,laan6,hou2-do1,je5,#,wui5,lin4-leoi6,maa1-mi4,jiu3,pui4-cin2,#,ngo5,nam2,#,sai1-ngau4,dou1-hai6,m4-hou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,how about,ride,rhinoceros,(particle),#,rhinoceros,run,(suffix),fast,#,surely,not,afraid,will,late,#,but,it,’s,body,seems,tank,so,hard,#,run,start,possible,will,hit,broken,many,thing,#,will,implicate,mommy,have to,pay the damages,#,I,think,#,rhinoceros,also is,not good,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
況且,我,屋企,又,唔,夠,大,，,大笨象,同,犀牛,都,唔,可以,住,喺度,。,睇嚟,媽咪,唔,會,送,大笨象,或者,犀牛,畀,我,㗎喇,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fong3-ce2,ngo5,uk1-kei2,jau6,m4,gau3,daai6,#,daai6-ban6-zoeng6,tung4,sai1-ngau4,dou1,m4,ho2-ji5,zyu6,hai2-dou6,#,tai2-lai4,maa1-mi4,m4,wui5,sung3,daai6-ban6-zoeng6,waak6-ze2,sai1-ngau4,bei2,ngo5,gaa3-laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
besides,I,home,also,not,enough,big,#,elephant,and,rhinoceros,"all, also",not,can,live,right here,#,seems,mommy,not,will,give,elephant,or,rhinoceros,to,I,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噉,會唔會,係,鱷魚,呢,？,但係,，,佢,好似,要,住,喺,多,水,嘅,地方,，,噉,會唔會,霸,住,沖涼房,呢,？,噉樣,嘅話,，,我,同,屋企人,都,沖唔到涼,，,好,唔,乾淨,喎,。,我,諗,，,鱷魚,都係,唔好,喇,。,要,睇,鱷魚,嘅話,，,都係,去,濕地,公園,揾,貝貝,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam2,wui5-m4-wui5,hai6,ngok6-jyu4,ne1,#,daan6-hai6,#,keoi5,hou2-ci5,jiu3,zyu6,hai2,do1,seoi2,ge3,dei6-fong1,#,gam2,wui5-m4-wui5,baa3,zyu6,cung1-loeng4-fong2,ne1,#,gam2-joeng2,ge3-waa3,#,ngo5,tung4,uk1-kei5-jan4,dou1,cung1-m4-dou2-loeng4,#,hou2,m4,gon1-zeng6,wo3,#,ngo5,nam2,#,ngok6-jyu4,dou1-hai6,m4-hou2,laa3,#,jiu3,tai2,ngok6-jyu4,ge3-waa3,#,dou1-hai6,heoi3,sap1-dei6,gung1-jyun2,wan2,bui3-bui3,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,will or will not,is,crocodile,(particle),#,but,#,it,seems,have to,live,at,many,water,(linker),place,#,then,will or will not,occupy,-ing,bathroon,(particle),#,in this way,if,#,I,and,family,"all, also",cannot shower,#,very,not,clean,(particle),#,I,think,#,crocodile,also is,not good,(particle),#,have to,look,crocodile,if,#,also is,go to,wetland,park,to find,Pui Pui the crocodile,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔通,係,箭豬,?,佢,又,細,隻,，,又,唔使,霸,住,浴室,。,不過,，,佢,身上,啲,箭,好似,仙人掌,噉,，,會,拮,到,人,好,痛,。,萬一,我,唔,小心,掂,到,佢,，,可能,會,畀,佢,拮,傷,，,好,危險,。,我,諗,，,箭豬,都係,唔,適合,做,寵物,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-tung1,hai6,zin3-zyu1,#,keoi5,jau6,sai3,zek3,#,jau6,m4-sai2,baa3,zyu6,juk6-sat1,#,bat1-gwo3,#,keoi5,san1-soeng6,di1,zin3,hou2-ci5,sin1-jan4-zoeng2,gam2,#,wui5,gat1,dou2,jan4,hou2,tung3,#,maan6-jat1,ngo5,m4,siu2-sam1,dim6,dou2,keoi5,#,ho2-nang4,wui5,bei2,keoi5,gat1,soeng1,#,hou2,ngai4-him2,#,ngo5,nam2,#,zin3-zyu1,dou1-hai6,m4,sik1-hap6,zou6,cung2-mat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
could it be,is,porcupine,#,it,also,small,(measure),#,also,no need,occupy,-ing,bathroom,#,however,#,it,on body,those,arrow,seems,cactus,that way,#,will,sting,(suffix),people,very,painful,#,in case,I,not,careful,touch,(suffix),it,#,possible,will,by,it,sting,injured,#,very,dangerous,#,I,think,#,porcupine,also is,not,suitable,to be,pet,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點都好,，,希望,媽咪,唔好,送,臭鼬鼠,畀,我,啦,——,因為,佢哋,真係,好,臭,啊,！,不過,，,媽咪,都,好,怕,臭味,，,所以,佢,應該,唔,會,送,臭鼬鼠,嘅,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-dou1-hou2,#,hei1-mong6,maa1-mi4,m4-hou2,sung3,cau3-jau6-syu2,bei2,ngo5,laa1,#,jan1-wai6,keoi5-dei6,zan1-hai6,hou2,cau3,aa3,#,bat1-gwo3,#,maa1-mi4,dou1,hou2,paa3,cau3-mei6,#,so2-ji5,keoi5,jing1-goi1,m4,wui5,sung3,cau3-jau6-syu2,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anyway,#,hope,mommy,do not,give,skunk,to,I,(particle),#,because,they,really,very,smelly,(particle),#,however,#,mommy,also,very,afraid of,bad smell,#,therefore,she,should,not,will,give,skunk,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仲有,我,最,驚,嘅,獅子,！,雖然,佢哋,有,個,好,型,嘅,花名,－,「,萬獸之王,」,，,不過,佢哋,好,兇猛,，,我,唔,敢,行,近,佢哋,。,而且,，,獅子,係,肉食性,動物,，,萬一,我,唔記得,餵飽,佢哋,，,後果,好,難,想像,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung6-jau5,ngo5,zeoi3,geng1,ge3,si1-zi2,#,seoi1-jin4,keoi5-dei6,jau5,go3,hou2,jing4,ge3,faa1-meng2,#,#,maan6-sau3-zi1-wong4,#,#,bat1-gwo3,keoi5-dei6,hou2,hung1-maang5,#,ngo5,m4,gam2,haang4,kan5,keoi5-dei6,#,ji4-ce2,#,si1-zi2,hai6,juk6-sik6-sing3,dung6-mat6,#,maan6-jat1,ngo5,m4-gei3-dak1,wai3-baau2,keoi5-dei6,#,hau6-gwo2,hou2,naan4,soeng2-zoeng6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still have,I,most,afraid of,(linker),lion,#,although,they,have,(measure),very,cool,(linker),nickname,#,#,King of the Beasts,#,#,however,they,very,fierce,#,I,not,dare,walk,close,they,#,moreoever,#,lion,is,carnivorous,animal,#,in case,I,forget to,feed,they,#,aftermath,very,difficult,to imagine,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
題外話,：,雖然,我,唔,敢,接近,獅子,，,不過,就,好,鍾意,行,獅子山,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai4-ngoi6-waa6,#,seoi1-jin4,ngo5,m4,gam2,zip3-gan6,si1-zi2,#,bat1-gwo3,zau6,hou2,zung1-ji3,haang4,si1-zi2-saan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
off topic,#,although,I,not,dare to,approach,lion,#,however,then,very,like,to walk,Lion Rock,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噉,唔通,係,蛇,?,我,記得,媽咪,話,過,，,隻,寵物,會,成日,抱,住,我,——,蛇,就係,會,成日,圍,住,啲,嘢,，,好似,抱,住,佢哋,噉,。,但係,，,我,怕,條,蛇,會,圍,得,太,大力,，,圍,到,我,抖唔到氣,……,同埋,，,如果,佢,啲,牙,有,毒,，,可能,會,令,我,受傷,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam2,m4-tung1,hai6,se4,#,ngo5,gei3-dak1,maa1-mi4,waa6,gwo3,#,zek3,cung2-mat6,wui5,sing4-jat6,pou5,zyu6,ngo5,#,se4,zau6-hai6,wui5,sing4-jat6,wai4,zyu6,di1,je5,#,hou2-ci5,pou5,zyu6,keoi5-dei6,gam2,#,daan6-hai6,#,ngo5,paa3,tiu4,se4,wui5,wai4,dak1,taai3,daai6-lik6,#,wai4,dou3,ngo5,tau2-m4-dou2-hei3,#,tung4-maai4,#,jyu4-gwo2,keoi5,di1,ngaa4,jau5,duk6,#,ho2-nang4,wui5,ling6,ngo5,sau6-soeng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,could it be,is,snake,#,I,remember,mommy,say,-ed,#,(measure),pet,will,all the time,hug,-ing,I,#,snake,which is,will,all the time,surround,-ing,some,thing,#,seems,hug,-ing,they,in that way,#,but,#,I,afraid of,(measure),snake,will,surround,(suffix),too,great strength,#,surround,till,I,cannot breathe,#,and,#,if,it,those,teeth,have,poison,#,possible,will,make,I,injured,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
數嚟數去,，,好似,咩,動物,都,唔,啱,我,。,究竟,，,媽咪,會,送,咩,動物,畀,我,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sou2-lai4-sou2-heoi3,#,hou2-ci5,me1,dung6-mat6,dou1,m4,ngaam1,ngo5,#,gau3-ging2,#,maa1-mi4,wui5,sung3,me1,dung6-mat6,bei2,ngo5,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counting back and forth,#,seems,what,animal,"all, also",not,suitable,I,#,exactly,#,mommy,will,give,what,animal,to,I,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,汪,－,汪,－,汪,－,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wong1,#,wong1,#,wong1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(bark),#,(bark),#,(bark),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咦,！,呢啲,吠,聲,，,唔通,我,嘅,寵物,係,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji2,#,nei1-di1,fai6,seng1,#,m4-tung1,ngo5,ge3,cung2-mat6,hai6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look!,#,these,bark,sound,#,could it be,I,’s,pet,is,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
係,狗仔,！,係,一,隻,好,可愛,嘅,黑白,斑點狗,啊,！,雖然,佢,唔,可以,送,我,返學,，,但,佢,可以,陪,我,一齊,玩,！,而且,佢,細,細,隻,，,可以,住,喺,我,屋企,。,仲有,，,佢,唔,會,傷害,我,！,媽咪,話,佢,叫,皮皮,，,叫,我,以後,要,多啲,同,皮皮,一齊,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai6,gau2-zai2,#,hai6,jat1,zek3,hou2,ho2-oi3,ge3,hak1-baak6,baan1-dim2-gau2,aa3,#,seoi1-jin4,keoi5,m4,ho2-ji5,sung3,ngo5,faan1-hok6,#,daan6,keoi5,ho2-ji5,pui4,ngo5,jat1-cai4,waan2,#,ji4-ce2,keoi5,sai3,sai3,zek3,#,ho2-ji5,zyu6,hai2,ngo5,uk1-kei2,#,zung6-jau5,#,keoi5,m4,wui5,soeng1-hoi6,ngo5,#,maa1-mi4,waa6,keoi5,giu3,pei4-pei4,#,giu3,ngo5,ji5-hau6,jiu3,do1-di1,tung4,pei4-pei4,jat1-cai4,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,puppy,#,is,one,(measure),very,cute,(linker),black and white,Dalmatian,(particle),#,although,it,not,can,send,I,to go to school,#,but,it,can,accompany,I,together,play,#,and that,it,small,small,(measure),#,can,live,at,I,home,#,also,#,it,not,will,hurt,I,#,mommy,say,it,is called,Billy,#,ask,I,afterwards,have to,more,with,Billy,together,play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
