你,估下,，,海龜,有冇,尾,？,海龜,係,有,尾,㗎,！,海龜,條,尾,又,係,好,短,，,同,豬仔,條,尾,好,唔同,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5,gu2-haa2,#,hoi2-gwai1,jau5-mou5,mei5,#,hoi2-gwai1,hai6,jau5,mei5,gaa3,#,hoi2-gwai1,tiu4,mei5,jau6,hai6,hou2,dyun2,#,tung4,zyu1-zai2,tiu4,mei5,hou2,m4-tung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,to guess,#,turtle,have-or-haven't,tail,#,turtle,is,have,tail,(particle),#,turtle,(measure),tail,also,is,very,short,#,and,piggy,(measure),tail,very,different,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咦,，,海龜,呢,？,唔見,咗,海龜,喎,！,啊,！,佢,爬,緊,去,個,大海,度,！,好,夜,喇,，,海龜,都,唔,瞓,。,佢,同,佢,啲,細佬,細妹,一齊,爬,入,海,。,一啲,都,唔,易,㗎,！,哎吔,！,啲,浪,一個,接,一個,打,埋嚟,。,啲,小,海龜,又,要,再,爬,過,喇,。,佢哋,好,用,力,噉,爬,……
ji2,#,hoi2-gwai1,ne1,#,m4-gin3,zo2,hoi2-gwai1,wo3,#,aa3,#,keoi5,paa4,gan2,heoi3,go3,daai6-hoi2,dou6,#,hou2,je6,laa3,#,hoi2-gwai1,dou1,m4,fan3,#,keoi5,tung4,keoi5,di1,sai3-lou2,sai3-mui2,jat1-cai4,paa4,jap6,hoi2,#,jat1-di1,dou1,m4,ji6,gaa3,#,ai1-jaa3,#,di1,long6,jat1-go3,zip3,jat1-go3,daa2,maai4-lai4,#,di1,siu2,hoi2-gwai1,jau6,jiu3,zoi3,paa4,gwo3,laa3,#,keoi5-dei6,hou2,jung6,lik6,gam2,paa4,#
Look!,#,turtle,(particle),#,to lose,-en,turtle,(particle),#,(particle),#,it,to climb,-ing,to go,(measure),ocean,place,#,very,night,already,#,turtle,"all, also",not,to sleep,#,it,with,it,’s,younger brother,younger sister,together,to climb,to enter,sea,#,a bit,"all, also",not,easy,(particle),#,Oh!,#,those,wave,one,to catch,one,to hit,to come over,#,those,small,turtle,again,need to,again,to climb,to pass,already,#,they,very,to use,energy,-ly,to climb,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
睇下,！,佢哋,喺,個,海,入面,喇,！,啲,海水,有,少少,凍,……,但,啲,海龜,話咁快,就,唔見,晒,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai2-haa2,#,keoi5-dei6,hai2,go3,hoi2,jap6-min6,laa3,#,di1,hoi2-seoi2,jau5,siu2-siu2,dung3,#,daan6,di1,hoi2-gwai1,waa6-gam3-faai3,zau6,m4-gin3,saai3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look！,#,they,at,(measure),sea,inside,already,#,those,sea water,have,a bit,cold,#,but,those,turtle,fast,then,to lose,all,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
