he,continue,to walk,#,continue,to walk,#,saw,many,ant,go,all,out,ground surface,#,lift,-ing,many,food,#,saw,elephant,#,heard,they,say,oneself,so,big,#,don't know,have,what,place,can,live,#,saw,giraffe,#,giraffe,say,they,so,visible,#,once,step out,woods,then,will,by people,discover,#,although,those,animal,worry about,(linker),thing,different,#,but,the same,(linker),is,#,they,once,saw,Chiu Ying,#,then,move back,to,very,back,very,back,#,leave,(suffix),very,fast,very,fast,#,Chiu Ying,not,understand,#,obviously,everyone,usually,always will,chat,#,why,today,once,bump into,then,turn around,go,#,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,究竟,發生,咩事,？,點解,啲,動物,會,咁,不安,？,」,超英,細細聲,問,自己,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gau3-ging2,faat3-sang1,me1-si6,#,dim2-gaai2,di1,dung6-mat6,wui5,gam3,bat1-on1,#,#,ciu1-jing1,sai3-sai3-seng1,man6,zi6-gei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,exactly,happen,what matter,#,why,those,animal,will,so,uneasy,#,#,Chiu Ying,small and low voice,ask,oneself,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,繼續,揾,喊聲,，,終於,發現,喊,緊,嘅,原來,係,一,棵,樹,。,呢,棵,樹,叫,阿澤,，,唔知,點解,冇,晒,頭髮,，,剩得,光禿禿,嘅,身體,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,gai3-zuk6,wan2,haam3-seng1,#,zung1-jyu1,faat3-jin6,haam3,gan2,ge3,jyun4-loi4,hai6,jat1,po1,syu6,#,nei1,po1,syu6,giu3,aa3-zaak6,#,m4-zi1,dim2-gaai2,mou5,saai3,tau4-faat3,#,zing6-dak1,gwong1-tuk1-tuk1,ge3,san1-tai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,continue,to find,sobbing,#,finally,find out,cry,-ing,(linker),it turns out,is,one,(measure),tree,#,this,(measure),tree,is called,Chaak,#,don't know,why,don't have,all,hair,#,leaving only,bare,(linker),body,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,啲,動物,個個,都,話,要,搬屋,，,以後,我哋,咩,都,冇,喇,……,」,阿澤,喊,住,噉,同,超英,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,di1,dung6-mat6,go3-go3,dou1,waa6,jiu3,bun1-uk1,#,ji5-hau6,ngo5-dei6,me1,dou1,mou5,laa3,#,#,aa3-zaak6,haam3,zyu6,gam2,tung4,ciu1-jing1,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,those,animal,everyone,"all, also",say,have to,moving house,#,afterwards,we,what,"all, also",don't have,(particle),#,#,Chaak,cry,-ing,-ly,to,Chiu Ying,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,發生,咩事,？,點解,佢哋,要,走,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,faat3-sang1,me1-si6,#,dim2-gaai2,keoi5-dei6,jiu3,zau2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,happen,what matter,#,why,they,have to,leave,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,海豚,千里傳音,同,我哋,講,，,有,人類,打算,夷平,呢度,嚟,起樓,，,樹木,就,會,斬,落嚟,運,去,北方,做,柴,燒,。,就,連,野豬,都,俾人,捉,嘅,捉,、,殺,嘅,殺,——,明明,呢度,至,係,佢哋,屋企,，,但,啲,人,竟然,反過嚟,話,係,野豬,入侵,咗,佢哋,嘅,生活,，,話,係,野豬,傷害,佢哋,！,我哋,究竟,做,錯,啲,咩,，,點解,啲,人類,要,噉樣,對,我哋,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hoi2-tyun4,cin1-lei5-cyun4-jam1,tung4,ngo5-dei6,gong2,#,jau5,jan4-leoi6,daa2-syun3,ji4-peng4,nei1-dou6,lai4,hei2-lau2,#,syu6-muk6,zau6,wui5,zaam2,lok6-lei4,wan6,heoi3,bak1-fong1,zou6,caai4,siu1,#,zau6,lin4,je5-zyu1,dou1,bei2-jan4,zuk1,ge3,zuk1,#,saat3,ge3,saat3,#,ming4-ming4,nei1-dou6,zi3,hai6,keoi5-dei6,uk1-kei2,#,daan6,di1,jan4,ging2-jin4,faan2-gwo3-lai4,waa6,hai6,je5-zyu1,jap6-cam1,zo2,keoi5-dei6,ge3,sang1-wut6,#,waa6,hai6,je5-zyu1,soeng1-hoi6,keoi5-dei6,#,ngo5-dei6,gau3-ging2,zou6,co3,di1,me1,#,dim2-gaai2,di1,jan4-leoi6,jiu3,gam2-joeng2,deoi3,ngo5-dei6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dolphin,transmit voice over thousand miles,to,we,say,#,have,human beings,plan to,flatten,here,to,build house,#,trees,then,will,cut,down,transport,to,the North,to be,firewood,to burn,#,then,even,wild boar,"all, also",by people,catch,(linker),catch,#,kill,(linker),kill,#,obviously,here,then,is,they,home,#,but,those,human,to one's surprise,turn backwards,say,is,wild boar,invade,-en,they,’s,life,#,say,is,wild boar,harm,they,#,we,exactly,do,wrong,some,what,#,why,those,human beings,have to,in this way,treat,we,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
等,到,阿澤,情緒,稍,有,緩和,，,超英,就,問,：,「,噉,所以,啲,動物,就,唔,敢,再,住,喺度,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dang2,dou3,aa3-zaak6,cing4-seoi5,saau2,jau5,wun6-wo4,#,ciu1-jing1,zau6,man6,#,#,gam2,so2-ji5,di1,dung6-mat6,zau6,m4,gam2,zoi3,zyu6,hai2-dou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wait,till,Chaak,emotion,a little,have,settled,#,Chiu Ying,then,ask,#,#,then,therefore,those,animal,then,not,dare,again,live,right here,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,都,唔,敢,呀,，,但,我哋,走,唔到,……,爸爸,媽媽,話,啲,動物,走,晒,嘅話,，,樹木,冇,晒,佢哋,啲,糞便,做,養份,，,就,會,唔,夠,營養,，,就算,啲,人類,唔,斬,樹,，,呢,片,樹林,遲早,都會,走向,衰亡,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,dou1,m4,gam2,aa3,#,daan6,ngo5-dei6,zau2,m4-dou2,#,baa4-baa1,maa4-maa1,waa6,di1,dung6-mat6,zau2,saai3,ge3-waa6,#,syu6-muk6,mou5,saai3,keoi5-dei6,di1,fan3-bin6,zou6,joeng5-fan6,#,zau6,wui5,m4,gau3,jing4-joeng5,#,zau6-syun3,di1,jan4-leoi6,m4,zaam2,syu6,#,nei1,pin3,syu6-lam4,ci4-zou2,dou1-wui5,zau2-hoeng3,seoi1-mong4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,"all, also",not,dare,(particle),#,but,we,leave,cannot,#,father,mother,say,those,animal,leave,all,if,#,trees,don't have,all,they,’s,droppings,for,nutrient,#,then,will,not,enough,nutrition,#,even if,those,human beings,not,cut,tree,#,this,(measure),woods,sooner,all will,move towards,death and decline,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超英,聽到,好,傷心,，,唔知,點樣,安慰,阿澤,。,佢,見到,其他,花草樹木,，,全部,都,愁眉苦面,。,超英,諗起,一直以嚟,同,大家,相處,嘅,時光,，,諗起,自己,由細到大,都,係,喺,呢度,生活,，,同,每,一,位,都係,好朋友,；,但,今時今日,，,竟然,要,睇住,佢哋,一個,一個,噉,離開,，,睇住,呢個,山頭,一點,一點,噉,消失,……,山頭,教,咗,佢,好多,知識,，,畀,咗,佢,好多,難忘,嘅,經歷,，,但,今日,佢,好似,咩,都,做,唔到,，,亦,冇力,阻止,自私,嘅,人,嘅,惡行,……,,,,,,,,,,,,,,,,,,,,,,,,,,
ciu1-jing1,teng1-dou2,hou2,soeng1-sam1,#,m4-zi1,dim2-joeng2,on1-wai3,aa3-zaak6,#,keoi5,gin3-dou2,kei4-taa1,faa1-cou2-syu6-muk6,#,cyun4-bou6,dou1,sau4-mei4-fu2-min6,#,ciu1-jing1,nam2-hei3,jat1-zik6-ji5-lai4,tung4,daai6-gaa1,soeng1-cyu2,ge3,si4-gwong1,#,nam2-hei2,zi6-gei2,jau4-sai3-dou3-daai6,dou1,hai6,hai2,nei1-dou6,sang1-wut6,#,tung4,mui5,jat1,wai2,dou1-hai6,hou2-pang4-jau5,#,daan6,gam1-si4-gam1-jat6,#,ging2-jin4,jiu3,tai2-zyu6,keoi5-dei6,jat1-go3,jat1-go3,gam2,lei4-hoi1,#,tai2-zyu6,nei1-go3,saan1-tau4,jat1-dim2,jat1-dim2,gam2,siu1-sat1,#,saan1-tau4,gaau3,zo2,keoi5,hou2-do1,zi3-sik1,#,bei2,zo2,keoi5,hou2-do1,naan4-mong4,ge3,ging1-lik6,#,daan6,gam1-jat6,keoi5,hou2-ci5,me1,dou1,zou6,m4-dou2,#,jik6,mou5-lik6,zo2-zi2,zi6-si1,ge3,jan4,ge3,ok3-hang6,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiu Ying,heard,very,sad,#,don't know,how to,comfort,Chaak,#,he,saw,other,"flowers, grass and trees",#,all,"all, also",wearing sad faces,#,Chiu Ying,think of,since forever,and,everyone,get along,(linker),time,#,think of,oneself,from childhood to adulthood,"all, also",is,at,here,live,#,with,every,one,(measure),always is,good friends,#,but,nowadays,#,to one's surprise,have to,watch,they,one (measure),one (measure),in this way,leave,#,seeing,this (measure),mountaintop,a bit,a bit,in that way,disappear,#,mountaintop,teach,-en,he,many,knowledge,#,give,-en,he,many,unforgettable,(linker),experience,#,but,today,he,seems,what,"all, also",do,cannot,#,also,powerless,stop,selfish,(linker),people,(linker),evil deeds,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,佢,只能夠,默默,攞,起,相機,，,好好,影低,呢度,嘅,一事一物,。,佢,執起,一,棵,毋忘我,，,温柔,噉,講,︰,「,聽日,嘅,事,冇人,知道,，,我哋,能夠,做,嘅,，,就係,過,好,今日,。,就,好似,我哋,而家,呼吸,緊,嘅,新鮮,空氣,，,我哋,就,趁,佢,仲係,美好,嘅,時候,，,好好,把握,同,享受,啦,。,噉,將來,就算,係,俾,風,吹走,，,都,起碼,叫做,有,過,美好,回憶,，,留,有,努力,活,過,嘅,證據,……,」,佢,遠遠,望到,鹿仔,，,又,向,佢,大嗌,︰,「,喂,！,呢度,仲有,啲,草,，,仲係,好,靚,㗎,，,你哋,要,食,多啲,呀,！,」
nei1-go3,si4-hau6,#,keoi5,zi2-nang4-gau3,mak6-mak6,lo2,hei2,soeng2-gei1,#,hou2-hou2,jing2-dai1,nei1-dou6,ge3,jat1-si6-jat1-mat6,#,keoi5,zap1-hei2,jat1,po1,mou4-mong4-ngo5,#,wan1-jau4,gam2,gong2,#,#,ting1-jat6,ge3,si6,mou5-jan4,zi1-dou3,#,ngo5-dei6,nang4-gau3,zou6,ge3,#,zau6-hai6,gwo3,hou2,gam1-jat6,#,zau6,hou2-ci5,ngo5-dei6,ji4-gaa1,fu1-kap1,gan2,ge3,san1-sin1,hung1-hei3,#,ngo5-dei6,zau6,can3,keoi5,zung6-hai6,mei5-hou2,ge3,si4-hau6,#,hou2-hou2,baa2-ak1,tung4,hoeng2-sau6,laa1,#,gam2,zoeng1-loi4,zau6-syun3,hai6,bei2,fung1,ceoi1-zau2,#,dou1,hei2-maa5,giu3-zou6,jau5,gwo3,mei5-hou2,wui4-jik1,#,lau4,jau5,nou5-lik6,wut6,gwo3,ge3,zing3-geoi3,#,#,keoi5,jyun5-jyun5,mong6-dou2,luk2-zai2,#,jau6,hoeng3,keoi5,daai6-aai3,#,#,wai3,#,nei1-dou6,zung6-jau5,di1,cou2,#,zung6-hai6,hou2,leng3,gaa3,#,nei5-dei6,jiu3,sik6,do1-di1,aa3,#,#
this,time,#,he,can only,silently,take,up,camera,#,well,take down,here,(linker),everything,#,he,pick up,one,(measure),Forget-me-not,#,gentle and soft,-ly,say,#,#,tomorrow,(linker),matter,no one,know,#,we,able to,do,(linker),#,which is,pass,well,today,#,then,seems,we,now,breath,-ing,(linker),fresh,air,#,we,then,take advantage of,it,still,fine,(linker),time,#,well,grasp,and,enjoy,(particle),#,then,future,even if,is,by,wind,blow away,#,"all, also",at least,to be called,have,-ed,fine,memory,#,keep,have,try one's best,live,-ed,(linker),evidence,#,#,he,far away,saw,little deer,#,also,towards,it,shout,#,#,Hey!,#,here,still have,some,grass,#,still,very,beautiful,(particle),#,you (plural),have to,eat,more,(particle),#,#
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,行,到,太陽,落山,，,佢,對,住,山頭,影,完,佢,今日,嘅,最後,一,幅,相,，,就,大嗌,︰,「,我,相信,有一日,，,你哋,會,返嚟,同,我哋,重聚,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,haang4,dou3,taai3-joeng4,lok6-saan1,#,keoi5,deoi3,zyu6,saan1-tau4,jing2,jyun4,keoi5,gam1-jat6,ge3,zeoi3-hau6,jat1,fuk1,soeng2,#,zau6,daai6-aai3,#,#,ngo5,soeng1-seon3,jau5-jat1-jat6,#,nei5-dei6,wui5,faan1-lei4,tung4,ngo5-dei6,cung5-zeoi6,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finally,walk,to,sun,set,#,he,towards,-ing,mountaintop,take,finish,he,today,(linker),last,one,(measure),photograph,#,then,shout,#,#,I,believe,one day,#,you (plural),will,come back,with,we,reunite,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
