suddenly,ring,one,(measure),very,noisy,(linker),sound,#,is,what,sound,(particle),#,could it be,airplane,appear,problem,#,if,is,then,big trouble,(particle),#,I,need to,urgent,landing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叮,－,叮,－,叮,－,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding1,#,ding1,#,ding1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding,#,ding,#,ding,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聲音,越嚟越大,，,而且,越嚟越快,，,搞到,我,好,緊張,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sing1-jam1,jyut6-lei4-jyut6-daai6,#,ji4-ce2,jyut6-lei4-jyut6-faai3,#,gaau2-dou3,ngo5,hou2,gan2-zoeng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sound,louder and louder,#,and that,faster and faster,#,made,I,very,nervous,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,擘大,眼,，,原來,啱啱,係,發夢,。,我,嘅,飛機,夢,發,咗,好多,年,，,因為,我,嘅,夢想,就係,成為,飛機師,。,每當,我,諗起,家姐,話,，,飛機師,可以,揸,飛機,周圍,去,，,又,可以,同,靚,靚,空姐,做,同事,，,我,就,好,想,做,飛機師,！,之前,每,次,瞓醒,，,發現,自己,只係,發夢,，,我,都會,有啲,失望,。,不過,今次,我,完全,冇,失望,，,仲,好,興奮,！,因為,今日,係,一個,好,重要,嘅,日子,！,,,,,,,,,,,,,
ngo5,maak3-daai6,ngaan5,#,jyun4-loi4,ngaam1-ngaam1,hai6,faat3-mung6,#,ngo5,ge3,fei1-gei1,mung6,faat3,zo2,hou2-do1,nin4,#,jan1-wai6,ngo5,ge3,mung6-soeng2,zau6-hai6,sing4-wai4,fei1-gei1-si1,#,mui5-dong1,ngo5,nam2-hei2,gaa1-ze1,waa6,#,fei1-gei1-si1,ho2-ji5,zaa1,fei1-gei1,zau1-wai4,heoi3,#,jau6,ho2-ji5,tung4,leng3,leng3,hung1-ze2,zou6,tung4-si6,#,ngo5,zau6,hou2,soeng2,zou6,fei1-gei1-si1,#,zi1-cin4,mui5,ci3,fan3-seng2,#,faat3-jin6,zi6-gei2,zi2-hai6,faat3-mung6,#,ngo5,dou1-wui5,jau5-di1,sat1-mong6,#,bat1-gwo3,gam1-ci3,ngo5,jyun4-cyun4,mou5,sat1-mong6,#,zung6,hou2,hing1-fan5,#,jan1-wai6,gam1-jat6,hai6,jat1-go3,hou2,zung6-jiu3,ge3,jat6-zi2,#,,,,,,,,,,,,,
I,open up,eye,#,it turns out,just now,is,dreaming,#,I,’s,airplane,dream,dream,-en,many,year,#,because,I,’s,dream,is,become,pilot,#,every time,I,think of,elder sister,say,#,pilot,can,drive,airplane,everywhere,go,#,also,can,with,pretty,pretty,female flight attendant,to be,colleague,#,I,then,really,want,to be,pilot,#,before,every,time,wake up,#,find out,oneself,just only,dreaming,#,I,alway will,a bit,disappointed,#,only,this time,I,completely,don't have,disappointed,#,even,very,excited,#,because,today,is,one (measure),very,important,(linker),day,#,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,係,我,第一,次,搭,飛機,嘅,日子,！,雖然,我,仲,未,做到,飛機師,，,不過,有得,搭,飛機,我,都,好,開心,！,希望,可以,坐,到,窗邊位,啦,，,噉,我,就,可以,望,到,天空,嘅,風景,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,hai6,ngo5,dai6-jat1,ci3,daap3,fei1-gei1,ge3,jat6-zi2,#,seoi1-jin4,ngo5,zung6,mei6,zou6-dou2,fei1-gei1-si1,#,bat1-gwo3,jau5-dak1,daap3,fei1-gei1,ngo5,dou1,hou2,hoi1-sam1,#,hei1-mong6,ho2-ji5,co5,dou2,coeng1-bin1-wai2,laa1,#,gam2,ngo5,zau6,ho2-ji5,mong6,dou2,tin1-hung1,ge3,fung1-ging2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,is,I,first,time,take,airplane,(linker),day,#,although,I,still,not yet,became,pilot,#,however,get to,take,airplane,I,also,very,happy,#,hope,can,sit,can,window seat,(particle),#,in this way,I,then,can,see,can,sky,(linker),view,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,帶,我,嚟,到,香港國際機場,，,呢度,好,大,好,靚,好多,人,。,有啲,人,好,開心,噉,接機,，,有啲,人,就,喊,住,噉,送機,。,我,問,媽媽,，,點解,啲人,會,喊,。,媽媽,話,因為,佢哋,要,同,至親,好友,分別,，,冇得,成日,見到,對方,，,唔捨得,所以,喊,。,媽媽,拖,住,我,隻,手,，,望,住,一,架,啱啱,起飛,嘅,飛機,。,佢,話,佢,當年,就係,噉樣,目送,朋友,飛,走,，,佢,好,掛住,啲,朋友,。,而家,佢,一,有,機會,就,會,飛,去,揾,佢哋,。
maa4-maa1,daai3,ngo5,lei4,dou3,hoeng1-gong2-gwok3-zai3-gei1-coeng4,#,nei1-dou6,hou2,daai6,hou2,leng3,hou2-do1,jan4,#,jau5-di1,jan4,hou2,hoi1-sam1,gam2,zip3-gei1,#,jau5-di1,jan4,zau6,haam3,zyu6,gam2,sung3-gei1,#,ngo5,man6,maa4-maa1,#,dim2-gaai2,di1-jan4,wui5,haam3,#,maa4-maa1,waa6,jan1-wai6,keoi5-dei6,jiu3,tung4,zi3-can1,hou2-jau5,fan1-bit6,#,mou5-dak1,seng4-jat6,gin3-dou2,deoi3-fong1,#,m4-se2-dak1,so2-ji5,haam3,#,maa4-maa1,to1,zyu6,ngo5,zek3,sau2,#,mong6,zyu6,jat1,gaa3,ngaam1-ngaam1,hei2-fei1,ge3,fei1-gei1,#,keoi5,waa6,keoi5,dong1-nin4,zau6-hai6,gam2-joeng2,muk6-sung3,pang4-jau5,fei1,zau2,#,keoi5,hou2,gwaa3-zyu6,di1,pang4-jau5,#,ji4-gaa1,keoi5,jat1,jau5,gei1-wui6,zau6,wui5,fei1,heoi3,wan2,keoi5-dei6,#
mother,bring,I,come,to,Hong Kong International Airport,#,here,very,big,very,beautiful,many,people,#,some,people,very,happy,-ly,pick sb. at airport,#,some,people,then,cry,-ing,in that way,see sb. off at airport,#,I,ask,mother,#,why,those people,will,cry,#,mother,say,because,they,need to,with,closest,good friend,part way,#,don't get to,always,see,each other,#,unwilling to part,therefore,cry,#,mother,hold,-ing,I,(measure),hand,#,stare,-ing,one,(measure),just now,take off,(linker),airplane,#,she,say,she,in those years,is,in this way,to watch as sb departs,friend,fly,to leave,#,she,very,miss,those,friend,#,now,she,once,have,chance,then,will,fly,to go,find,they,#
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,候機室,等,咗,好,耐,，,我哋,終於,可以,上,機,喇,！,我,好,開心,，,好,想,快啲,知道,自己,坐,咩,位,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,hau6-gei1-sat1,dang2,zo2,hou2,noi6,#,ngo5-dei6,zung1-jyu1,ho2-ji5,soeng5,gei1,laa3,#,ngo5,hou2,hoi1-sam1,#,hou2,soeng2,faai3-di1,zi1-dou3,zi6-gei2,co5,me1,wai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,waiting area,wait,-en,very,long time,#,we,finally,can,get on,plane,(particle),#,I,very,happy,#,really,want,faster,to know,oneself,sit,what,seat,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,望,咗,望,登機證,上面,嘅,座位,編號,，,就,帶,我,揾,位,，,點知,最後,真係,畀,我,坐,到,窗邊位,！,再,過,多,一陣,，,飛機,終於,起飛,。,我,望,住,出面,嘅,嘢,變,得,越嚟越細,，,最後,得,返,藍天,白雲,。,然後,，,我,聽到,一,把,熟悉,嘅,聲音,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,mong6,zo2,mong6,dang1-gei1-zing3,soeng6-min6,ge3,zo6-wai2,pin1-hou6,#,zau6,daai3,ngo5,wan2,wai2,#,dim2-zi1,zeoi3-hau6,zan1-hai6,bei2,ngo5,co5,dou2,coeng1-bin1-wai2,#,zoi3,gwo3,do1,jat1-zan6,#,fei1-gei1,zung1-jyu1,hei2-fei1,#,ngo5,mong6,zyu6,ceot1-min6,ge3,je5,bin3,dak1,jyut6-lei4-jyut6-sai3,#,zeoi3-hau6,dak1,faan1,laam4-tin1,baak6-wan4,#,jin4-hau6,#,ngo5,teng1-dou2,jat1,baa2,suk6-sik1,ge3,sing1-jan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,look,-en,look,boarding pass,on top,(linker),seat,number,#,then,bring,I,find,seat,#,unexpectedly,at the end,really,let,I,sit,can,window seat,#,again,pass,more,a while,#,airplane,finally,take off,#,I,stare,-ing,outside,(linker),thing,change,(suffix),smaller and smaller,#,at the end,have,only,blue sky,white cloud,#,then,#,I,heard,one,(measure),familiar,(linker),voice,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,各位,旅客,大家好,，,呢個,係,嚟自,機長,嘅,廣播,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gok3-wai2,leoi5-haak3,daai6-gaa1-hou2,#,nei1-go3,hai6,lai4-zi6,gei1-zoeng2,ge3,gwong2-bo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,everybody,traveler,Hi everyone,#,this,is,from,captain,’s,broadcast,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,望,住,媽媽,，,媽媽,亦都,笑,住,噉,望,我,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,mong6,zyu6,maa4-maa1,#,maa4-maa1,jik6-dou1,siu3,zyu6,gam2,mong6,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,stare,-ing,mother,#,mother,also,smile,-ing,-ly,look,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,驚唔驚喜,？,意唔意外,？,係,你,家姐,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ging1-m4-ging1-hei2,#,ji3-m4-ji3-ngoi6,#,hai6,nei5,gaa1-ze1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,surprised or not,#,unexpected or not,#,is,you,elder sister,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,竟然,第一,次,搭,飛機,就,坐,到,家姐,做,機長,嘅,航班,！,媽媽,成日,同,我,講,，,家姐,係,點樣,成為,一,位,飛機師,，,我,一直,都,覺得,佢,好,叻,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,ging2-jin4,dai6-jat1,ci3,daap3,fei1-gei1,zau6,co5,dou2,gaa1-ze2,zou6,gei1-zoeng2,ge3,hong4-baan1,#,maa4-maa1,seng4-jat6,tung4,ngo5,gong2,#,gaa1-ze1,hai6,dim2-joeng2,sing4-wai4,jat1,wai2,fei1-gei1-si1,#,ngo5,jat1-zik6,dou1,gok3-dak1,keoi5,hou2,lek1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,turns out,first,time,take,airplane,then,sit,can,elder sister,be,captain,(linker),flight,#,mother,always,to,I,say,#,elder sister,is,how to,become,one,(measure),pilot,#,I,keep on,"all, also",think,she,very,brilliant,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話說,家姐,細個,嘅,時候,，,就,已經,成日,拎,住,紙,飛機,，,話,自己,係,機長,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waa6-syut3,gaa1-ze1,sai3-go3,ge3,si4-hau6,#,zau6,ji5-ging1,seng4-jat6,ling1,zyu6,zi2,fei1-gei1,#,waa6,zi6-gei2,hai6,gei1-zoeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's said that,elder sister,young,(linker),time,#,then,already,always,take,-ing,paper,airplane,#,say,oneself,is,captain,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,會,睇,好多,關於,飛機,嘅,書,，,了解,飛機,歷史,，,又,學,整,模型,飛機,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,wui5,tai2,hou2-do1,gwaan1-jyu1,fei1-gei1,ge3,syu1,#,liu5-gaai2,fei1-gei1,lik6-si2,#,jau6,hok6,zing2,mou4-jing4,fei1-gei1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,will,read,many,regarding,airplane,(linker),book,#,understand,airplane,history,#,again,learn,to make,model,airplane,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,佢,仲,報讀,埋,飛行,學院,。,佢,好,努力,，,用,好多,時間,學習,，,目標,只有,一個,－,成為,女,飛機師,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-loi4,keoi5,zung6,bou3-duk6,maai4,fei1-hang4,hok6-jyun2,#,keoi5,hou2,nou5-lik6,#,jung6,hou2-do1,si4-gaan6,hok6-zaap6,#,muk6-biu1,zi2-jau5,jat1-go3,#,sing4-wai4,neoi5,fei1-gei1-si1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,she,even,apply for (courses),also,flight,college,#,she,very,try one's best,#,use,many,time,study,#,aim,only have,one (measure),#,become,female,pilot,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,，,佢,夢想成真,！,佢,成日,將,機上,嘅,趣事,話,我,知,，,影響,到,我,都,好,想,好似,佢,噉,，,成為,一個,飛機師,。,今日,都,係,佢,第一,次,載,我,同,媽媽,起飛,，,唔知,佢,呢,刻,嘅,心情,係,點,嘅,呢,？,我,相信,有朝一日,，,我,會,同,家姐,一齊,坐,喺,機長室,，,一齊,起飛,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeoi3-hau6,#,keoi5,mung6-soeng2-sing4-zan1,#,keoi5,seng4-jat6,zoeng1,gei1-soeng6,ge3,ceoi3-si6,waa6,ngo5,zi1,#,jing2-hoeng2,dou3,ngo5,dou1,hou2,soeng2,hou2-ci5,keoi5,gam2,#,sing4-wai4,jat1-go3,fei1-gei1-si1,#,gam1-jat6,dou1,hai6,keoi5,dai6-jat1,ci3,zoi3,ngo5,tung4,maa4-maa1,hei2-fei1,#,m4-zi1,keoi5,nei1,hak1,ge3,sam1-cing4,hai6,dim2,ge3,ne1,#,ngo5,soeng1-seon3,jau5-ziu1-jat1-jat6,#,ngo5,wui5,tung4,gaa1-ze1,jat1-cai4,co5,hai2,gei1-zoeng2-sat1,#,jat1-cai4,hei2-fei1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at the end,#,she,dream comes true,#,she,always,take,on the plane,(linker),interesting story,tell,I,to know,#,influence,(suffix),I,also,really,want,be like,she,in that way,#,become,one (measure),pilot,#,today,also,is,she,first,time,carry,I,and,mother,take off,#,don't know,she,this,moment,(linker),feelings,is,how,(particle),(particle),#,I,believe,someday,#,I,will,with,elder sister,together,sit,at,cockpit,#,together,take off,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
