mommy,bring,me,to go,to,one,have,many,stone,(linker),place,#,we,step on,-ing,several,(measure),big,stone,to walk,down,underground,#,there,have,one,hole,#,inside,very,dark,#,compare to,night,more,dark,#,I,pull,-ing,mommy,don't want,to walk,inward,#,she,say,#,#,have,sunshine,at,your,back,#,again,have,me,walking,in,front,#,no need,to fear,(particle),#,#
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窿,入面,好,靜,，,我,聽到,自己,個,心,跳,得,好,快,，,就,捉,實,媽咪,繼續,向,前,行,。,冇,幾耐,，,前面,變,得,好,光,。,媽咪,話,我哋,已經,嚟,到,窿,嘅,另,一邊,，,爬,上去,就,係,出口,。,佢,又,話,，,呢個,窿,叫做,「,張保仔洞,」,。,,,,,,
lung1,jap6-min6,hou2,zing6,#,ngo5,teng1-dou2,zi6-gei2,go3,sam1,tiu3,dak1,hou2,faai3,#,zau6,zuk1,sat6,maa1-mi4,gai3-zuk6,hoeng3,cin4,haang4,#,mou5,gei2-noi6,#,cin4-min6,bin3,dak1,hou2,gwong1,#,maa1-mi4,waa6,ngo5-dei6,ji5-ging1,lai4,dou3,lung1,ge3,ling6,jat1-bin1,#,paa4,soeng5-heoi3,zau6,hai6,ceot1-hau2,#,keoi5,jau6,waa6,#,nei1-go3,lung1,giu3-zou6,#,zoeng1-bou2-zai2-dung6,#,#,,,,,,
hole,inside,very,quiet,#,I,can hear,myself,(measure),heart,beat,(suffix),very,fast,#,then,grab,tight,mommy,to continue,towards,front,to walk,#,not,some time,#,front,become,(suffix),very,bright,#,mommy,say,we,already,arrive,at,hole,(linker),another,one side,#,climb,up,then,is,exit,#,she,again,say,#,this one,hole,is called,#,Cheung Po Tsai Cave,#,#,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夜晚,準備,上,船,嘅,時候,，,媽咪,叫,我,𩓥,高,頭,望下,。,天空,上面,佈滿,星星,，,我,問,：,「,點解,平時,冇,咁,多,星星,嘅,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
je6-maan5,zeon2-bei6,soeng5,syun4,ge3,si4-hau6,#,maa1-mi4,giu3,ngo5,ngok6,gou1,tau4,mong6-haa5,#,tin1-hung1,soeng6-min6,bou3-mun5,sing1-sing1,#,ngo5,man6,#,#,dim2-gaai2,ping4-si4,mou5,gam3,do1,sing1-sing1,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,prepare,to board,ship,(linker),time,#,mommy,call,me,raise,up,head,to look,#,sky,above,full of,star,#,I,ask,#,#,why,usually,don't have,so,many,star,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,話,：,「,因為,香港,夜晚,有,太,多,燈,着,住,，,燈光,掩蓋,咗,星星,嘅,微,光,，,即係,人哋,講,嘅,光,污染,。,呢度,係,離島,，,冇,呢個,問題,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,waa6,#,#,jan1-wai6,hoeng1-gong2,je6-maan5,jau5,taai3,do1,dang1,zoek6,zyu6,#,dang1-gwong1,jim2-koi3,zo2,sing1-sing1,ge3,mei4,gwong1,#,zik1-hai6,jan4-dei6,gong2,ge3,gwong1,wu1-jim5,#,nei1-dou6,hai6,lei4-dou2,#,mou5,nei1-go3,man6-tai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,say,#,#,because,Hong Kong,night,have,too,many,lamp,turn on,-ing,#,lamplight,cover up,-en,star,‘s,little,light,#,that means,others,say,(linker),light,pollution,#,here,is,island,#,don't have,this one,problem,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,第一,次,覺得,夜晚,黑,係,咁,靚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,dai6-jat1,ci3,gok3-dak1,je6-maan5,hak1,hai6,gam3,leng3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,first,time,feel,night,dark,is,so,beautiful,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,，,媽咪,夜晚,唔,喺度,，,婆婆,嚟,睇住,我,。,我,眼光光,，,婆婆,問,我,做咩,事,唔,肯,瞓覺,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,#,maa1-mi4,je6-maan5,m4,hai2-dou6,#,po4-po2,lai4,tai2-zyu6,ngo5,#,ngo5,ngaan5-gwong1-gwong1,#,po4-po2,man6,ngo5,zou6-me1,si6,m4,hang2,fan3-gaau3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,#,mommy,night,not,here,#,grandma,come,to look after,me,#,I,keep opening eyes,#,grandma,ask,me,what,matter,not,eager,to sleep,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,話,我,怕,黑,，,冇,媽咪,陪,住,會,瞓,唔,着,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,waa6,ngo5,paa3,hak1,#,mou5,maa1-mi4,pui4,zyu6,wui5,fan3,m4,zoek6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,say,I,fear,dark,#,don't have,mommy,accompany,-ing,will,sleep,not,(suffix),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,指住,窗,邊,，,話,：,「,你,數下,附近,有,幾多,盞,開,住,嘅,燈,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,zi2-zyu6,coeng1,bin1,#,waa6,#,#,nei5,sou2-haa5,fu6-gan6,jau5,gei2-do1,zaan2,hoi1,zyu6,ge3,dang1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandma,point at,window,edge,#,say,#,#,you,count,nearby,have,how many,(measure),switch on,-ing,(linker),lamp,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,、,二,、,三,、,四,、,五,、,六,、,七,、,八,⋯⋯,我,數,唔,曬,，,有,好多,盞,燈,着,住,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,#,ji6,#,saam1,#,sei3,#,ng5,#,luk6,#,cat1,#,baat3,#,ngo5,sou2,m4,saai3,#,jau5,hou2-do1,zaan2,dang1,zoek6,zyu6,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,#,two,#,three,#,four,#,five,#,six,#,seven,#,eight,#,I,count,not,all,#,have,many,(measure),lamp,turn on,-ing,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,出面,有,幾多,盞,燈,開,住,，,就,有,幾多,個,人,同,你,一樣,未,瞓覺,。,黑鼆鼆,嗰陣,，,喺,你,身邊,一定,仲有,光,，,即使,可能,好,微弱,⋯⋯,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ceot1-min6,jau5,gei2-do1,zaan2,dang1,hoi1,zyu6,#,zau6,jau5,gei2-do1,go3,jan4,tung4,nei5,jat1-joeng6,mei6,fan3-gaau3,#,hak1-mang1-mang1,go2-zan6,#,hai2,nei5,san1-bin1,jat1-ding6,zung6-jau5,gwong1,#,zik1-si2,ho2-nang4,hou2,mei4-joek6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,outside,have,how many,(measure),lamp,switch on,-ing,#,then,have,how many,(measure),people,with,you,the same,not yet,sleep,#,extremely black and dark,that time,#,at,your,nearby,sure,still have,light,#,even if,possible,very,feeble,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好似,星星,噉,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2-ci5,sing1-sing1,gam2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,look like,star,then,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,聰明,呀,。,除咗,星星,，,呢度,仲有,好多,人,陪,住,你,，,包括,返,緊,工,嘅,媽咪,。,時間,會,過渡,，,黑鼆鼆,之後,，,朝早,點都,會,嚟,，,周圍,又,會,光,返,晒,。,所以,——,」,,,,,,,,,,,,,,,,,,,,,,
#,hou2,cung1-ming4,aa3,#,ceoi4-zo2,sing1-sing1,#,nei1-dou6,zung6-jau5,hou2-do1,jan4,pui4,zyu6,nei5,#,baau1-kut3,faan1,gan2,gung1,ge3,maa1-mi4,#,si4-gaan3,wui5,gwo3-dou6,#,hak1-mang1-mang1,zi1-hau6,#,ziu1-zou2,dim2-dou1,wui5,lai4,#,zau1-wai4,jau6,wui5,gwong1,faan1,saai3,#,so2-ji5,#,#,,,,,,,,,,,,,,,,,,,,,,
#,very,clever,(particle),#,except,star,#,here,still have,many,people,accompany,-ing,you,#,including,go,-ing,work,(linker),mommy,#,time,will,pass,#,extremely black and dark,after,#,morning,for sure,will,come,#,surrounding,again,will,bright,back,all,#,therefore,#,#,,,,,,,,,,,,,,,,,,,,,,
[Line 22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所以,，,夜晚,黑,一啲,都,唔,可怕,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-ji5,#,je6-maan5,hak1,jat1-di1,dou1,m4,ho2-paa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therefore,#,night,dark,some,"all, also",not,horrible,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
