nei1-go3,si4-hau6,#,jau5,ling6-jat1,wai2,baak3-baak3,#,keoi5,giu3-zou6,zi3-sau2,#,zi3-sau2,siu3,zyu6,gam2,zo2-zi2,jyu4-gung1,#,#,nei5,taai3,m4,cung1-ming4,laa3,#,nei5,ji4-gaa1,ji5-ging1,gau2-sap6,gei2,seoi3,#,dak1-faan1,gei2-nin4,ming6,#,syu3,ngo5,dak1-zeoi6-gong2-geoi3,#,nei5,lin4,saan1,soeng6-min6,ge3,cou2,dou1,m4,gau3-lik6,mang1,#,jau6,dim2,ho2-nang4,caan2-peng4,nei1,loeng5,zo6,saan1,ne1,#,#,jyu4-gung1,coeng4,taan3,jat1-hau2-hei3,#,waa6,#,#,nei5,zan1-hai6,mang4-sak1,#,mang4-sak1,dou3,mou5-dak1-gau3,#,zau6-syun3,ngo5,sei2,zo2,#,ngo5,zung6-jau5,go3,zai2,#,ngo5,go3,zai2,sei2,zo2,#,ngo5,dou1,zung6-jau5,go3,syun1,#,go3,syun1,jau6,wui5,zoi3,saang1,zai2,#,ngo5,di1,zi2-zi2-syun1-syun1,mou4-kung4-mou4-zeon6,#,ji4,go2,loeng5,zo6,saan1,jau6,m4,wui5,jyut6,bin3,jyut6,gou1,#,jau6,sai2-mat1,sau4,ngo5-dei6,caan2-m4-ping4,keoi5-dei6,ne1,#,#,zi3-sau2,zik1-si4,aa2-hau2-mou4-jin4,#,mou4-cung4,faan2-bok3,#,,,,,,,,,,,,,,,,,,,,,
this,time,#,have,another,(measure),old man,#,he,is called,Wise Old Man,#,Wise Old Man,laugh,-ing,-ly,to stop,Foolish Old Man,#,#,you,too,not,intelligent,(particle),#,you,now,already,ninety,something,year-old,#,only have,few years,life,#,pardon,I,say something offensive,#,you,even,mountain,above,(linker),grass,"all, also",not,enough strength,to pull,#,again,how,possible,flatten,this,two,(measure),mountain,(particle),#,#,Foolish Old Man,long,sigh,in one breath,#,to say,#,#,you,really,stubborn,#,stubborn,to,unsavable,#,even if,I,to die,-en,#,I,still have,(measure),son,#,I,(measure),son,to die,-en,#,I,"all, also",still have,(measure),grandson,#,(measure),grandson,again,will,again,sire,son,#,I,some,descendants,endless,#,and,that,two,(measure),mountain,again,not,will,the more,to change,the more,tall,#,again,why need to,worry,we,cannot flatten,they,this,#,#,Wise Old Man,now,left speechless,#,have no way to,argue back,#,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,好,耐,好,耐,，,又,有,一個,叫,陳公,嘅,神射手,，,佢,射箭,好,勁,，,世上,冇人,能,及,，,所以,佢,成日,睇唔起,人,。,有一日,，,佢,喺,自己,屋企,個,花園,射箭,。,有,位,賣,油,伯伯,經過,見到,，,就,放低,油,樽,，,企,喺度,睇,佢,射箭,，,呢,位,伯伯,睇,咗,好,耐,都,唔,走,。,陳公,射,十,支,箭,，,居然,中,咗,九,支,。,伯伯,睇,完,之後,只係,微微,點頭,，,冇乜,表示,，,似乎,覺得,陳公,都係,碎料,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,hou2,noi6,hou2,noi6,#,jau6,jau5,jat1-go3,giu3,can4-gung1,ge3,san4-se6-sau2,#,keoi5,se6-zin3,hou2,ging6,#,sai3-soeng6,mou5-jan4,nang4,kap6,#,so2-ji5,keoi5,sing4-jat6,tai2-m4-hei2,jan4,#,jau5-jat1-jat6,#,keoi5,hai2,zi6-gei2,uk1-kei2,go3,faa1-jyun2,se6-zin3,#,jau5,wai2,maai6,jau4,baak3-baak3,ging1-gwo3,gin3-dou2,#,zau6,fong3-dai1,jau4,zeon1,#,kei5,hai2-dou6,tai2,keoi5,se6-zin3,#,nei1,wai2,baak3-baak3,tai2,zo2,hou2,noi6,dou1,m4,zau2,#,can4-gung1,se6,sap6,zi1,zin3,#,geoi1-jin4,zung3,zo2,gau2,zi1,#,baak3-baak3,tai2,jyun4,zi1-hau6,zi2-hai6,mei4-mei4,dim2-tau4,#,mou5-mat1,biu2-si6,#,ci5-fu4,gok3-dak1,can4-gung1,dou1-hai6,seoi3-liu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pass,-en,very,long time,very,long time,#,again,have,one (measure),called,Chen Yaozi,(linker),godlike archer,#,he,archery,very,superb,#,on earth,no one,can,compare,#,therefore,he,all the time,look down on,people,#,one day,#,he,at,one's own,home,(measure),garden,shoot arrows,#,have,(measure),sell,oil,old man,pass by,see,#,then,put down,oil,bottle,#,stand,right here,watch,he,shoot arrows,#,this,(measure),old man,watch,-en,very,long time,"all, also",not,leave,#,Chen Yaozi,shoot,ten,(measure),arrow,#,unexpectedly,hit,-en,nine,(measure),#,old man,look,finish,after,only,a little bit,nod,#,not really,express,#,seem,to feel,Chen Yaozi,also is,mediocre,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳公,問,伯伯,：,「,你,識唔識,射箭,？,我,射箭,係咪,好,勁,呢,？,」,伯伯,話,：,「,有,咩,咁,巴閉,？,你,只不過,係,熟手,咋嘛,。,」,陳公,聽,完,之後,好,嬲,，,佢,話,：,「,你,竟然,睇唔起,我,射箭,嘅,技術,！,你,又,有,咩,咁,巴閉,呀,？,」,伯伯,話,：,「,唔係,話,睇唔起,你,，,因為,我,嘅,技術,……,」,伯伯,隨即,拎,咗,一個,葫蘆,放,喺,地下,，,又,放,一個,銅錢,喺,葫蘆,口,上面,。,佢,斟,咗,一,殼,油,，,再,穿過,銅錢,口,，,慢慢,倒,入去,個,葫蘆,入面,。,成,殼,油,斟,晒,喇,，,個,銅錢,都,冇,濕,到,。,伯伯,話,：,「,你,睇,，,我,做,呢啲,都,只係,因為,我,熟手,咋,。,」,陳公,見識,到,伯伯,嘅,本事,，,就,笑,住,送,走,呢,位,賣,油,伯伯,。
can4-gung1,man6,baak3-baak3,#,#,nei5,sik1-m4-sik1,se6-zin3,#,ngo5,se6-zin3,hai6-mai6,hou2,ging6,ne1,#,#,baak3-baak3,waa6,#,#,jau5,me1,gam3,baa1-bai3,#,nei5,zi2-bat1-gwo3,hai6,suk6-sau2,za1-ma3,#,#,can4-gung1,teng1,jyun4,zi1-hau6,hou2,nau1,#,keoi5,waa6,#,#,nei5,ging2-jin4,tai2-m4-hei2,ngo5,se6-zin3,ge3,gei6-seot6,#,nei5,jau6,jau5,me1,gam3,baa1-bai3,aa3,#,#,baak3-baak3,waa6,#,#,m4-hai6,waa6,tai2-m4-hei2,nei5,#,jan1-wai6,ngo5,ge3,gei6-seot6,#,#,baak3-baak3,ceoi4-zik1,ling1,zo2,jat1-go3,wu4-lou4,fong3,hai2,dei6-haa2,#,jau6,fong3,jat1-go3,tung4-cin4,hai2,wu4-lou4,hau2,soeng6-min6,#,keoi5,zam1,zo2,jat1,hok3,jau4,#,zoi3,cyun1-gwo3,tung4-cin4,hau2,#,maan6-maan2,dou2,jap6-heoi3,go3,wu4-lou4,jap6-min6,#,sing4,hok3,jau4,zam1,saai3,laa3,#,go3,tung4-cin4,dou1,mou5,sap1,dou3,#,baak3-baak3,waa6,#,#,nei5,tai2,#,ngo5,zou6,nei1-di1,dou1,zi2-hai6,jan1-wai6,ngo5,suk6-sau2,zaa3,#,#,can4-gung1,gin3-sik1,dou3,baak3-baak3,ge3,bun2-si6,#,zau6,siu3,zyu6,sung3,zau2,nei1,wai2,maai6,jau4,baak3-baak3,#
Chen Yaozi,ask,old man,#,#,you,know or not,archery,#,I,archery,is or isn't,very,superb,(particle),#,#,old man,say,#,#,have,what,so,amazing,#,you,just only,is,well practised,(particle),#,#,Chen Yaozi,listen,finish,after,very,angry,#,he,say,#,#,you,to one's surprise,look down on,I,archery,(linker),skill,#,you,also,have,what,so,amazing,(particle),#,#,old man,say,#,#,is not,say,look down on,you,#,because,I,’s,skill,#,#,old man,immediately,take,-en,one (measure),gourd,put,at,floor,#,also,put,one (measure),copper coin,at,gourd,mouth/opening,above,#,he,pour,-en,one,(measure),oil,#,again,go through,copper coin,mouth/opening,#,slowly,pour,into,(measure),gourd,inside,#,whole,(measure),oil,pour,all,(particle),#,(measure),copper coin,"all, also",don't have,wet,(suffix),#,old man,say,#,#,you,look,#,I,do,these,"all, also",only is,because,I,well practised,(particle),#,#,Chen Yaozi,see and learn of,(suffix),old man,’s,ability,#,then,smile,-ing,send,away,this,(measure),sell,oil,old man,#
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
究竟,咩,係,聰明,智慧,？,係,有,口才,？,定係,轉數,夠,快,？,一個人,有,口才,，,但係,佢,唔,一定,有,內涵,；,一個人,可以,有,急智,，,但,睇,嘢,唔,一定,長遠,。,唯有,勤力,，,先,可以,將,人,嘅,潛能,發揮,到,極致,——,正所謂,勤能補拙,，,熟能生巧,，,噉,先,係,智慧,之,道,。,你哋,又,點睇,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-ging2,me1,hai6,cung1-ming4,zi3-wai3,#,hai6,jau5,hau2-coi4,#,ding6-hai6,zyun3-sou3,gau3,faai3,#,jat1-go3-jan4,jau5,hau2-coi4,#,daan6-hai6,keoi5,m4,jat1-ding6,jau5,noi6-haam4,#,jat1-go3-jan4,ho2-ji5,jau5,gap1-zi3,#,daan6,tai2,je5,m4,jat1-ding6,coeng4-jyun5,#,wai4-jau5,kan4-lik6,#,sin1,ho2-ji5,zoeng1,jan4,ge3,cim4-nang4,faat3-fai1,dou3,gik6-zi3,#,zing3-so2-wai6,kan4-nang4-bou2-zyut3,#,suk6-nang4-saang1-haau2,#,gam2,sin1,hai6,zi3-wai3,zi1,dou6,#,nei5-dei6,jau6,dim2-tai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exactly,what,is,intelligence,wisdom,#,is,have,talent of speaking,#,or,thinking speed,enough,fast,#,a person,have,talent of speaking,#,but,he,not,surely,have,character,#,a person,can,have,quick wit,#,but,see,thing,not,surely,long-term,#,only,diligence,#,then,can,take,people,(linker),potential,bring into play,to,optimum,#,Quoting...,diligence can make up for inaptitude,#,practice makes perfect,#,this way,then,is,wisdom,’s,principle,#,you (plural),also,how to see,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
