this one,time,#,emperor,send,-en,a person,to go,to handle,deluge,#,this,person,saw,surrounding,"all, also",by,water,flood,to,cannot see,land,#,then,buiid,-en,many,wall,#,thinking about,block,-ing,those,deluge,#,only,those,deluge,too,powerful,#,wash,collapse,all,those,wall,#,emperor,very,angry,#,angry,to the extent,make,he,exile,-en,to,one (measure),called,Yu Shan,(linker),place,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,人,大難不死,，,仲,變,咗,做,一,隻,黃,熊,。,後來,佢,肚,入面,有,咗,BB,，,呢個,BB,就係,大禹,。,大禹,長大,之後,，,皇帝,就,命令,佢,繼承,佢,爸爸,未,完成,嘅,任務,。,於是,佢,下定決心,，,一定,要,平息,呢,場,超級,大,洪水,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,jan4,daai6-naan6-bat1-sei2,#,zung6,bin3,zo2,zou6,jat1,zek3,wong4,hung4,#,hau6-loi4,keoi5,tou5,jap6-min6,jau5,zo2,bi4-bi1,#,nei1-go3,bi4-bi1,zau6-hai6,daai6-jyu5,#,daai6-jyu5,zoeng2-daai6,zi1-hau6,#,wong4-dai3,zau6,ming6-ling6,keoi5,gai3-sing4,keoi5,baa4-baa1,mei6,jyun4-sing4,ge3,jam6-mou6,#,jyu1-si6,keoi5,haa6-ding6-kyut3-sam1,#,jat1-ding6,jiu3,ping4-sik1,nei1,coeng4,ciu1-kap1,daai6,hung4-seoi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,person,survive the great ordeal,#,even,change,-en,to be,one,(measure),yellow,bear,#,afterwards,he,tummy,inside,have,-en,baby,#,this,baby,which is,Dayu,#,Dayu,grow up,after,#,emperor,then,order,he,to inherit,he,father,not yet,accomplish,(linker),mission,#,so,he,determine,#,surely,have to,quell,this,(measure),super,big,deluge,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大禹,首先,去,調查,洪水,係咩,一,回,事,。,佢,爬,上,一,座,又,一,座,高山,，,視察,洪水,有,幾,勁,，,同埋,佢,係,點樣,流動,。,爬,咗,無數,咁,多,座,高山,後,，,大禹,終於,知道,要,點樣,平息,呢,場,洪水,——,佢,爸爸,係,靠,起,圍牆,去,防止,洪水,漫延,，,但,失敗,咗,，,所以,大禹,決定,用,疏導,嘅,方法,去,平息,洪水,。,,,,,,,,,,,,,,,,,,,,,
daai6-jyu5,sau2-sin1,heoi3,diu6-caa4,hung4-seoi2,hai6-me1,jat1,wui4,si6,#,keoi5,paa4,soeng6,jat1,zo6,jau6,jat1,zo6,gou1-saan1,#,si6-caat3,hung4-seoi2,jau5,gei2,ging6,#,tung4-maai4,keoi5,hai6,dim2-joeng2,lau4-dung6,#,paa4,zo2,mou4-sou3,gam3,do1,zo6,gou1-saan1,hau6,#,daai6-jyu5,zung1-jyu1,zi1-dou3,jiu3,dim2-joeng2,ping4-sik1,nei1,coeng4,hung4-seoi2,#,keoi5,baa4-baa1,hai6,kaau3,hei2,wai4-coeng4,heoi3,fong4-zi2,hung4-seoi2,maan6-jin4,#,daan6,sat1-baai6,zo2,#,so2-ji5,daai6-jyu5,kyut3-ding6,jung6,so1-dou6,ge3,fong1-faat3,heoi3,ping4-sik1,hung4-seoi2,#,,,,,,,,,,,,,,,,,,,,,
Dayu,first of all,go to,investigate,deluge,is what,one,(measure),matter,#,he,climb,up,one,(measure),again,one,(measure),high mountain,#,inspect,deluge,have,how,powerful,#,and,it,is,how to,flow,#,climb,-en,countless,so,many,(measure),high mountain,after,#,Dayu,finally,know,have to,how to,quell,this,(measure),deluge,#,he,father,is,depend on,build,wall,to,prevent,deluge,spread,#,but,fail,-en,#,therefore,Dayu,decided,to use,drain,(linker),method,to,quell,deluge,#,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中國,一共,有,九,條,最,主要,嘅,河流,，,大禹,決定,先,從,呢,九,條,河流,入手,。,佢,掘,走,九,條,河流,旁邊,啲,泥沙,，,河,水,開始,流,入,支流,。,大禹,繼續,掘,，,一直,掘,到,東,面,嘅,大海,。,最後,九,條,河流,嘅,水,都,流,咗,入,東,面,嘅,大海,。,大功告成,之後,，,終於,見,返,陸地,喇,！,大禹,仲,趕走,埋,啲,咬,人,嘅,蛇,同,龍,。,大家,終於,有,地,起屋,耕田,，,有得,食,有得,住,喇,！
zung1-gwok3,jat1-gung6,jau5,gau2,tiu4,zeoi3,zyu2-jiu3,ge3,ho4-lau4,#,daai6-jyu5,kyut3-ding6,sin1,cung4,nei1,gau2,tiu4,ho4-lau4,jap6-sau2,#,keoi5,gwat6,zau2,gau2,tiu4,ho4-lau4,pong4-bin1,di1,nai4-saa1,#,ho4,seoi2,hoi1-ci2,lau4,jap6,zi1-lau4,#,daai6-jyu5,gai3-zuk6,gwat6,#,jat1-zik6,gwat6,dou3,dung1,min6,ge3,daai6-hoi2,#,zeoi3-hau6,gau2,tiu4,ho4-lau4,ge3,seoi2,dou1,lau4,zo2,jap6,dung1,min6,ge3,daai6-hoi2,#,daai6-gung1-gou3-sing4,zi1-hau6,#,zung1-jyu1,gin3,faan1,luk6-dei6,laa3,#,daai6-jyu5,zung6,gon2-zau2,maai4,di1,ngaau5,jan4,ge3,se4,tung4,lung4,#,daai6-gaa1,zung1-jyu1,jau5,dei6,hei2-uk1,gaang1-tin4,#,jau5-dak1,sik6,jau5-dak1,zyu6,laa3,#
China,in total,have,nine,(measure),most,main,(linker),river,#,Dayu,decide,first,from,this,nine,(measure),river,to start with,#,he,dig,away,nine,(measure),river,side,those,silt,#,river,water,begin,flow,into,tributary,#,Dayu,continue,to dig,#,keep on,dig,to,east,side,(linker),ocean,#,at the end,nine,(measure),river,(linker),water,"all, also",flow,-en,into,east,side,(linker),ocean,#,Accomplishing a great feat,after,#,finally,see,back,land,(particle),#,Dayu,even,expel,also,those,bite,people,(linker),snake,and,dragon,#,everyone,finally,have,land,build house,farm,#,get to,eat,get to,live,(particle),#
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大禹,用,咗,十,年,去,平息,呢,場,大,洪水,。,呢,十,年,間,，,佢,三,過,家門,，,遇到,老婆,生,BB,，,佢,顧唔到,；,佢,個,仔,叫,佢,，,佢,都,唔得閒,入屋,。,皇帝,為咗,感謝,大禹,嘅,努力,付出,，,最後,仲,讓,咗,個,帝位,畀,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-jyu5,jung6,zo2,sap6,nin4,heoi3,ping4-sik1,nei1,coeng4,daai6,hung4-seoi2,#,nei1,sap6,nin4,gaan1,#,keoi5,saam1,gwo3,gaa1-mun4,#,jyu6-dou2,lou5-po4,saang1,bi4-bi1,#,keoi5,gu3-m4-dou2,#,keoi5,go3,zai2,giu3,keoi5,#,keoi5,dou1,m4-dak1-haan4,jap6-uk1,#,wong4-dai3,wai6-zo2,gam2-ze6,daai6-jyu5,ge3,nou5-lik6,fu6-ceot1,#,zeoi3-hau6,zung6,joeng6,zo2,go3,dai3-wai6,bei2,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayu,use,-en,ten,year,to,quell,this,(measure),big,deluge,#,this,ten,year,in between,#,he,three,pass by,home's entrance,#,encounter,wife,birth,baby,#,he,cannot take care,#,he,(measure),son,call,he,#,he,"all, also",not available,enter the house,#,emperor,in order to,thank,Dayu,’s,effort,contribution,#,in the end,even,give away,-en,(measure),emperor title,to,he,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
