[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一日,，,高老師,教,大家,畫畫,。,佢,要求,所有,同學,都,畫,一,張,一樣,嘅,畫,，,上面,要,有,紅色,太陽,、,藍色,河流,同,綠色,山,。,不過,欣欣,嘅,朋友,小明,覺得,太陽,應該,係,黃色,嘅,，,於是,用,咗,黃色,筆,嚟,畫,。,結果,小明,同,思思,一樣,，,俾,高老師,狠狠,鬧,咗,一,餐,，,事後,仲要,罰,留堂,。,從此,班上,同學,都,唔,夠膽,唔,聽,高老師,話,，,每日,返學,都,小心翼翼,，,驚,做,錯,事,會,俾,佢,鬧,。
jau5,jat1-jat6,#,gou1-lou5-si1,gaau3,daai6-gaa1,waak6-waa2,#,keoi5,jiu1-kau4,so2-jau5,tung4-hok6,dou1,waak6,jat1,zoeng1,jat1-joeng6,ge3,waa2,#,soeng6-min6,jiu3,jau5,hung4-sik1,taai3-joeng4,#,laam4-sik1,ho4-lau4,tung4,luk6-sik1,saan1,#,bat1-gwo3,Jan1-jan1,ge3,pang4-jau5,Siu2-ming4,gok3-dak1,taai3-joeng4,jing1-goi1,hai6,wong4-sik1,ge3,#,jyu1-si6,jung6,zo2,wong4-sik1,bat1,lai4,waak6,#,git3-gwo2,Siu2-ming4,tung4,Si1-si1,jat1-joeng6,#,bei2,gou1-lou5-si1,han2-han2,naau6,zo2,jat1,caan1,#,si6-hau6,zung6-jiu3,fat6,lau4-tong4,#,cung4-ci2,baan1-soeng6,tung4-hok6,dou1,m4,gau3-daam2,m4,teng1,gou1-lou5-si1,waa6,#,mui5-jat6,faan1-hok6,dou1,siu2-sam1-jik6-jik6,#,geng1,zou6,co3,si6,wui5,bei2,keoi5,naau6,#
have,one-day,#,Mr Ko,teach,everyone,drawing,#,he,require,all,schoolmate,"all, also",to draw,one,(measure),the same,(linker),drawing,#,on top,need to,have,red,sun,#,blue,river,and,green,hill,#,only,Yanny,’s,friend,Ming,feel,sun,should,is,yellow,(particle),#,so,use,-en,yellow,pen,to,to draw,#,result,Ming,and,Cecilia,the same,#,(passive),Mr Ko,badly,scold,-en,one,(measure),#,afterthat,even,punish,detention class,#,since then,in the class,schoolmate,"all, also",not,have the guts to,not,listen to,Mr Ko,instruction,#,every day,go to school,"all, also",very carefully,#,afraid,to do,wrong,matter,will,(passive),he,scold,#
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,，,班上,嚟,咗,一,位,新,同學,，,佢,叫,小光,，,係,一,位,插班生,。,佢,身,穿,紅色,短裙,，,頭,上,紥,咗,條,高,馬尾,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hau6-loi4,#,baan1-soeng5,lei4,zo2,jat1,wai2,san1,tung4-hok6,#,keoi5,giu3,Siu2-gwong1,#,hai6,jat1,wai2,caap3-baan1-sang1,#,keoi5,san1,cyun1,hung4-sik1,dyun2-kwan4,#,tau4,soeng5,zaat3,zo2,tiu4,gou1,maa5-mei5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afterwards,#,in the class,come,-en,one,(measure),new,schoolmate,#,she,is called,Gywneth,#,is,one,(measure),transfer student,#,she,body,wear,red,short skirt,#,head,above,tie,-en,(measure),high,ponytail,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高老師,馬上,同,佢,講,，,返學,要,着,校服,，,頭髮,唔,可以,紥,到,散修修,。,而且,，,要,聽,晒,老師,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gou1-lou5-si1,maa5-soeng6,tung4,keoi5,gong2,#,faan1-hok6,jiu3,zoek3,haau6-fuk6,#,tau4-faat3,m4,ho2-ji5,zaat3,dou3,saan2-sau1-sau1,#,ji4-ce2,#,jiu3,teng1,saai3,lou5-si1,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Ko,immediately,with,she,say,#,go to school,need,to wear,school uniform,#,hair,not,can,tie,to,loose,#,and that,#,need,to listen to,all,teacher,instruction,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,日,午飯,時間,，,欣欣,同,其他,同學,都,勸,小光,要,聽,高老師,話,：,「,佢,好,惡,㗎,！,」,「,係呀,！,仲有,咪,亂,問,問題,呀,，,一個,唔,小心,就,要,受罰,㗎喇,！,」,小光,覺得,好,奇怪,：,有,問題,點解,唔,問,得,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go2,jat6,ng5-faan6,si4-gaan3,#,Jan1-jan1,tung4,kei4-taa1,tung4-hok6,dou1,hyun3,Siu2-gwong1,jiu3,teng1,gou1-lou5-si1,waa6,#,#,keoi5,hou2,ok3,gaa3,#,#,#,hai6-aa3,#,zung6-jau5,mai5,lyun6,man6,man6-tai4,aa3,#,jat1-go3,m4,siu2-sam1,zau6,jiu3,sau6-fat6,gaa3-laa3,#,#,Siu2-gwong1,gok3-dak1,hou2,kei4-gwaai3,#,jau5,man6-tai4,dim2-gaai2,m4,man6,dak1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,day,lunch,time,#,Yanny,and,other,schoolmate,"all, also",advise,Gywneth,need,to listen to,Mr Ko,instruction,#,#,he,very,fierce,(particle),#,#,#,right,#,also,don't,randomly,ask,question,(particle),#,once,not,careful,then,need,to get punished,(particle),#,#,Gywneth,feel,very,strange,#,have,question,why,not,ask,can,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二日,，,小光,真係,着,返,校服,，,紥,返,好,條,辮,先,返學,。,不過,佢,喺,數學,堂,發現,高老師,計,錯,數,，,於是,舉手,講,畀,老師,聽,。,高老師,好,嬲,，,就,罰,佢,午飯,要,自己,一個,入,特別,課室,食,，,唔,可以,同,其他,同學,傾偈,。,午飯,嗰陣,，,佢,自己,一邊,食飯,，,一邊,苦思,自己,做,錯,咗,啲,咩,。,其他,同學,喺,窗口,見到,小光,自己,一個,，,覺得,佢,好,慘,。,,,,,,,,
dai6-ji6-jat6,#,Siu2-gwong1,zan1-hai6,zoek3,faan1,haau6-fuk6,#,zaat3,faan1,hou2,tiu4,bin1,sin1,faan1-hok6,#,bat1-gwo3,keoi5,hai2,sou3-hok6,tong4,faat3-jin6,gou1-lou5-si1,gai3,co3,sou3,#,jyu1-si6,geoi2-sau2,gong2,bei2,lou5-si1,teng1,#,gou1-lou5-si1,hou2,nau1,#,zau6,fat6,keoi5,ng5-faan6,jiu3,zi6-gei2,jat1-go3,jap6,dak6-bit6,fo3-sat1,sik6,#,m4,ho2-ji5,tung4,kei4-taa1,tung4-hok6,king1-gai2,#,ng5-faan6,go2-zan2,#,keoi5,zi6-gei2,jat1-bin1,sik6-faan6,#,jat1-bin1,fu2-si1,zi6-gei2,zou6,co3,zo2,di1,me1,#,kei4-taa1,tung4-hok6,hai2,coeng1-hau2,gin3-dou2,Siu2-gwong1,zi6-gei2,jat1-go3,#,gok3-dak1,keoi5,hou2,caam2,#,,,,,,,,
the second day,#,Gywneth,really,wear,back,school uniform,#,tie,back,well,(measure),ponytail,then,go to school,#,only,she,at,mathematics,class,find out,Mr Ko,calculate,wrong,math,#,so,raise hand,say,to,teacher,to hear,#,Mr Ko,very,angry,#,then,punish,she,lunch,need,oneself,alone,to enter,special,classroom,to eat,#,not,can,with,other,schoolmate,chat,#,lunch,that time,#,she,oneself,on one hand,have meal,#,on one hand,think deeply,oneself,do,wrong,-en,some,what,#,other,schoolmate,at,window,see,Gywneth,oneself,one,#,feel,she,very,miserable,#,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
諗,咗,一,輪,，,小光,都係,覺得,自己,冇錯,，,有,問題,就,應該,問,！,於是,佢,繼續,舉手,問,高老師,問題,。,其他,同學,聽到,小光,繼續,勇於,發問,，,自己,又,有,好多,嘢,想,問,喎,，,於是,舉手,問,問題,嘅,人,越嚟越多,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nam2,zo2,jat1,leon4,#,Siu2-gwong1,dou1-hai6,gok3-dak1,zi6-gei2,mou5-co3,#,jau5,man6-tai4,zau6,jing1-goi1,man6,#,jyu1-si6,keoi5,gai3-zuk6,geoi2-sau2,man6,gou1-lou5-si1,man6-tai4,#,kei4-taa1,tung4-hok6,teng1-dou2,Siu2-gwong1,gai3-zuk6,jung5-jyu1,faat3-man6,#,zi6-gei2,jau6,jau5,hou2-do1,je5,soeng2,man6,wo3,#,jyu1-si6,geoi2-sau2,man6,man6-tai4,ge3,jan4,jyut6-lei4-jyut6-do1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
think,-en,one,round,#,Gywneth,also ,feel,oneself,correct,#,have,question,then,should,ask,#,so,she,continue,raise hand,to ask,Mr Ko,question,#,other,schoolmate,heard,Gywneth,continue,bravely,ask questions,#,oneself,again,have,many,thing,want,to ask,(particle),#,so,raise hand,to ask,question,(linker),people,more and more,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高老師,好,嬲,，,佢,將,發問,嘅,同學,全部,趕,出,班房,。,班房,入面,得返,好少,學生,，,佢哋,全部,都,唔,敢,再,出聲,，,只好,靜靜地,聽,老師,教書,。,其實,欣欣,都,有,嘢,想,問,，,但係,眼見,同學仔,一個,一個,受罰,，,佢,內心,好,掙扎,。,最後,，,欣欣,忍唔住,舉手,問,：,「,老師,，,點解,佢哋,問,問題,要,受罰,嘅,？,」,,,,,,,,,,,,,,,,,,,,,,,
gou1-lou5-si1,hou2,nau1,#,keoi5,zoeng1,faat3-man6,ge3,tung4-hok6,cyun4-bou6,gon2,ceot1,baan1-fong2,#,baan1-fong2,jap6-min6,dak1-faan1,hou2-siu2,hok6-saang1,#,keoi5-dei6,cyun4-bou6,dou1,m4,gam2,zoi3,ceot1-seng1,#,zi2-hou2,zing6-zing2-dei2,teng1,lou5-si1,gaau3-syu1,#,kei4-sat6,Jan1-jan1,dou1,jau5,je5,soeng2,man6,#,daan6-hai6,ngaan5-gin3,tung4-hok6-zai2,jat1-go3,jat1-go3,sau6-fat6,#,keoi5,noi6-sam1,hou2,zang1-zaat3,#,zeoi3-hau6,#,Jan1-jan1,jan2-m4-zyu6,geoi2-sau2,man6,#,#,lou5-si1,#,dim2-gaai2,keoi5-dei6,man6,man6-tai4,jiu3,sau6-fat6,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,
Mr Ko,very,angry,#,he,take,ask questions,(linker),schoolmate,all,expel,out,classroom,#,classroom,inside,left,very few,pupil,#,they,all,"all, also",not,dare,again,voice out,#,have no choice but,quietly,listen to,teacher,teaching,#,actually,Yanny,"all, also",have,thing,want,to ask,#,but,witness,little schoolmate,one,one,get punished,#,she,at heart,very,struggle,#,at the end,#,Yanny,cannot resist,raise hand,to ask,#,#,teacher,#,why,they,ask,question,need,to get punished,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,，,連,欣欣,都,俾,高老師,趕,埋,出,班房,。,終於,，,班房,入面,除咗,高老師,，,再,冇,其他,聲音,。,高老師,覺得,好,開心,，,因為,再,冇人,夠膽,唔,聽,佢,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zau6-hai6-gam2,#,lin4,Jan1-jan1,dou1,bei2,gou1-lou5-si1,gon2,maai4,ceot1,baan1-fong2,#,zung1-jyu1,#,baan1-fong2,jap6-min6,ceoi4-zo2,gou1-lou5-si1,#,zoi3,mou5,kei4-taa1,sing1-jam1,#,gou1-lou5-si1,gok3-dak1,hou2,hoi1-sam1,#,jan1-wai6,zoi3,mou5-jan4,gau3-daam2,m4,teng1,keoi5,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as a result,#,even,Yanny,"all, also",(passive),Mr Ko,expel,also,out,classroom,#,at last,#,classroom,inside,except,Mr Ko,#,again,don't have,other,sound,#,Mr Ko,feel,very,happy,#,because,again,no one,have the guts to,not,listen to,he,instruction,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
與此同時,，,班房,外面,嘅,同學,都,仲,未,放棄,問,問題,，,佢哋,圍埋,一齊,討論,各自,想,知道,嘅,事,。,佢哋,越,講,越,興高采烈,，,欣欣,而家,先,知,同,其他,人,討論,問題,係,一,件,咁,開心,嘅,事,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu5-ci2-tung4-si4,#,baan1-fong2,ngoi6-min6,ge3,tung4-hok6,dou1,zung6,mei6,fong3-hei3,man6,man6-tai4,#,keoi5-dei6,wai4-maai4,jat1-cai4,tou2-leon6,gok3-zi6,soeng2,zi1-dou3,ge3,si6,#,keoi5-dei6,jyut6,gong2,jyut6,hing3-gou1-coi2-lit6,#,Jan1-jan1,ji4-gaa1,sin1,zi1,tung4,kei4-taa1,jan4,tou2-leon6,man6-tai4,hai6,jat1,gin6,gam3,hoi1-sam1,ge3,si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at the same time,#,classroom,outside,(linker),schoolmate,"all, also",still,not yet,give up,to ask,question,#,they,surround,together,to discuss,individually,want,to know,(linker),matter,#,they,more,say,more,excited,#,Yanny,now,then,know,with,other,people,discuss,question/problem,is,one,(measure),so,happy,(linker),thing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
另一邊廂,，,校長,喺,佢哋,背後,偷,聽,緊,佢哋,講嘢,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling6-jat1-bin1-soeng1,#,haau6-zoeng2,hai2,keoi5-dei6,bui3-hau6,tau1,teng1,gan2,keoi5-dei6,gong2-je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on the other side,#,headmaster,at,their,back,to sneak,listen to,-ing,they,saying,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
落堂,鐘,響,，,高老師,出,班房,，,意外,見到,班,學生,喺度,圍,住,校長,問,問題,！,佢,諗住,過去,鬧,班,學生,，,點知,發現,校長,竟然,喺度,逐一,解答,緊,佢哋,嘅,問題,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lok6-tong4,zung1,hoeng2,#,gou1-lou5-si1,ceot1,baan1-fong2,#,ji3-ngoi6,gin3-dou2,baan1,hok6-saang1,hai2-dou6,wai4,zyu6,haau6-zoeng2,man6,man6-tai4,#,keoi5,nam2-zyu6,gwo3-heoi3,naau6,baan1,hok6-saang1,#,dim2-zi1,faat3-jin6,haau6-zoeng2,ging2-jin4,hai2-dou6,zuk6-jat1,gaai2-daap3,gan2,keoi5-dei6,ge3,man6-tai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
