[0],,,,,,,,,,,,,,,,,,,,,,,
咩,聲,嚟,㗎,？,,,,,,,,,,,,,,,,,,,
me1,seng1,lai4,gaa3,#,,,,,,,,,,,,,,,,,,,
what,sound,(particle),(particle),#,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,
有一日,，,貓仔,、,鹿仔,、,同埋,松鼠仔,喺,公園,行,。,,,,,,,,,,,,
keoi5-dei6,saam1,go3,gan1-zyu6,di1,seng1,haang4,heoi3,cou2-cung4,go2-dou6,#,haang4-haang4-haa5,#,keoi5-dei6,jau6,teng1-dou2,di1,seng1,#,,,,,
they,three,(measure),follow,those,sound,to walk,to,bush,there,#,while walking,#,they,again,heard,some,sound,#,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,
「,啦,啦,啦,啦,啦,⋯⋯,」,,,,,,,,,,,,,,,,
#,laa1,laa1,laa1,laa1,laa1,#,#,,,,,,,,,,,,,,,,
#,la,la,la,la,la,#,#,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,
鹿仔,問,：,「,又,有,喇,！,係唔係,黑色,㗎,？,」,,,,,,,,,,,
luk2-zai2,man6,#,#,jau6,jau5,laa3,#,hai6-m4-hai6,hak1-sik1,gaa3,#,#,,,,,,,,,,,
little deer,ask,#,#,again,have,(particle),#,is it,black,(particle),#,#,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,
松鼠仔,話,：,「,係唔係,白色,㗎,？,」,,,,,,,,,,,,,,,
cung4-syu2-zai2,waa6,#,#,hai6-m4-hai6,baak6-sik1,gaa3,#,#,,,,,,,,,,,,,,,
little squirrel,say,#,#,is it,white,(particle),#,#,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,
貓仔,答,：,「,唔係,啊,，,係,啡色,㗎,！,」,,,,,,,,,,,,
maau1-zai2,daap3,#,#,m4-hai6,aa3,#,hai6,fe1-sik1,gaa3,#,#,,,,,,,,,,,,
kitty,reply,#,#,is not,(particle),#,is,brown,(particle),#,#,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,
佢哋,三,個,跟住,啲,聲,行,。,行行下,，,佢哋,又,聽到,啲,聲,：,「,啦,啦,啦,啦,啦,⋯⋯,」
keoi5-dei6,saam1,go3,gan1-zyu6,di1,seng1,haang4,#,haang4-haang4-haa5,#,keoi5-dei6,jau6,teng1-dou2,di1,seng1,#,#,laa1,laa1,laa1,laa1,laa1,#,#
they,three,(measure),follow,those,sound,to walk,#,while walking,#,they,again,heard,some,sound,#,#,la,la,la,la,la,#,#
[7a],,,,,,,,,,,,,,,,,,,,,,,
鹿仔,問,：,「,又,有,喇,！,係唔係,有,人,講嘢,啊,？,」,,,,,,,,,
luk2-zai2,man6,#,#,jau6,jau5,laa3,#,hai6-m4-hai6,jau5,jan4,gong2-je5,aa3,#,#,,,,,,,,,
little deer,ask,#,#,again,have,(particle),#,is it,have,people,speaking,(particle),#,#,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,
松鼠仔,話,：,「,係唔係,喊,聲,啊,？,」,,,,,,,,,,,,,,
cung4-syu2-zai2,waa6,#,#,hai6-m4-hai6,haam3,seng1,aa3,#,#,,,,,,,,,,,,,,
little squirrel,say,#,#,is it,crying,sound,(particle),#,#,,,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,
貓仔,答,：,「,唔係,啊,，,係,有,人,唱歌,啊,！,」,,,,,,,,,,
maau1-zai2,daap3,#,#,m4-hai6,aa3,#,hai6,jau5,jan4,coeng3-go1,aa3,#,#,,,,,,,,,,
kitty,reply,#,#,is not,(particle),#,is,have,people,sing song,(particle),#,#,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,
佢哋,三,個,企,喺,草叢,入面,傾計,。,,,,,,,,,,,,,,,
keoi5-dei6,saam1,go3,kei5,hai2,cou2-cung4,jap6-min6,king1-gai2,#,,,,,,,,,,,,,,,
they,three,(measure),stand,at,bush,inside,chat,#,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,
鹿仔,問,：,「,係唔係,兔仔,呢,？,」,,,,,,,,,,,,,,,
luk2-zai2,man6,#,#,hai6-m4-hai6,tou3-zai2,ne1,#,#,,,,,,,,,,,,,,,
little deer,ask,#,#,is it,little rabbit,(particle),#,#,,,,,,,,,,,,,,,
[8c],,,,,,,,,,,,,,,,,,,,,,,
松鼠仔,話,：,「,係唔係,雀仔,呢,？,」,,,,,,,,,,,,,,,
cung4-syu2-zai2,waa6,#,#,hai6-m4-hai6,zoek3-zai2,ne1,#,#,,,,,,,,,,,,,,,
little squirrel,say,#,#,is it,bird,(particle),#,#,,,,,,,,,,,,,,,
[8d],,,,,,,,,,,,,,,,,,,,,,,
貓仔,答,：,「,唔係,啊,，,係,⋯⋯,」,,,,,,,,,,,,,,
maau1-zai2,daap3,#,#,m4-hai6,aa3,#,hai6,#,#,,,,,,,,,,,,,,
kitty,reply,#,#,is not,(particle),#,is,#,#,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,
「,啦,啦,啦,啦,啦,⋯⋯,」,,,,,,,,,,,,,,,,
#,laa1,laa1,laa1,laa1,laa1,#,#,,,,,,,,,,,,,,,,
#,la,la,la,la,la,#,#,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,
佢哋,三,個,一齊,行,過去,，,話,：,「,係,驢仔,唱歌,啊,！,我哋,都,一齊,唱歌,啦,！,」,,
keoi5-dei6,saam1,go3,jat1-cai4,haang4,gwo3-heoi3,#,waa6,#,#,hai6,lou4-zai2,coeng3-go1,aa3,#,ngo5-dei6,dou1,jat1-cai4,coeng3-go1,laa1,#,#,,
they,three,(measure),together,walk,to go over,#,say,#,#,is,little donkey,sing song,(particle),#,we,"all, also",together,sing song,(particle),#,#,,
