ran and ran,#,Cookies,see,there is,kind of,thing,very,funny,#,play,-ed,one,(measure),hour,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,二筒,真係,跑,咗,出去,，,然後,仲,見到,隻,蝸牛,。,二筒,好,鍾意,同,人,比賽,，,想,睇下,同,蝸牛,邊個,行,得,快啲,。,「,你,行,快啲,啦,，,等,你,等,到,想,瞓,喇,。,」
gan1-zyu6,Ji6-Tung4,zan1-hai6,paau2,zo2,ceot1-heoi3,#,jin4-hau6,zung6,gin3-dou2,zek3,wo1-ngau4,#,Ji6-Tung4,hou2,zung1-ji3,tung4,jan4,bei2-coi3,#,soeng2,tai2-haa5,tung4,wo1-ngau4,bin1-go3,haang4,dak1,faai3-di1,#,#,nei5,haang4,faai3-di1,laa1,#,dang2,nei5,dang2,dou3,soeng2,fan3,laa3,#,#
and then,Cookies,really,run,-ed,out,#,then,even,see,(measure),snail,#,Cookies,really,like,with,people,compete,#,want to,see,with,snail,who,walk,(suffix),faster,#,#,you,walk,faster,(particle),#,wait,you,wait,to a point that,want to,sleep,(particle),#,#
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二筒,又,見到,隻,雞,，,佢哋,諗住,玩,跳舞,比賽,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ji6-Tung4,jau6,gin3-dou2,zek3,gai1,#,keoi5-dei6,nam2-zyu6,waan2,tiu3-mou5,bei2-coi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookies,also,see,(measure),chicken,#,they,intend to,play,dance,competition,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你哋,睇到,二筒,笑,得,噉,開心,，,就,知,佢,贏,咗,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5-dei6,tai2-dou2,Ji6-Tung4,siu3,dak1,gam3,hoi1-sam1,#,zau6,zi1,keoi5,jeng4,zo2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,see,Cookies,laugh,(suffix),in this way,happy,#,then,know,it,win,-ed,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三萬,見到,二筒,返,咗,嚟,、,瞓,咗,喺度,。,三萬,諗住,去,同,二筒,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,
Saam1-Maan6,gin3-dou2,Ji6-Tung4,faan1,zo2,lai4,#,fan3,zo2,hai2-dou6,#,Saam1-Maan6,nam2-zyu6,heoi3,tung4,Ji6-Tung4,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Treeman,see,Cookies,back,-ed,come,#,sleep,-ed,right here,#,Treeman,intend to,go,with,Cookies,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-zi1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unexpectedly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,想,同,我,玩,啊,？,等,你,捉到,我,先,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,soeng2,tung4,ngo5,waan2,aa4,#,dang2,nei5,zuk1-dou2,ngo5,sin1,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,want to,with,me,play,(particle),#,wait,you,catch,me,first,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
