and then,#,Aa Small,again,send,-ed,Aa Big,to go,one,(measure),very,dark,-,cave,there,#,it,ask,#,#,this,(measure),is or isn't,you,home,#,#,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,有,好多,蝙蝠,飛,咗,過嚟,，,阿大,好,驚,噉,飛,走,。,跟住,講,：,「,唔係,啊,，,呢度,係,蝙蝠,嘅,屋企,啊,！,我哋,不如,去,其他,地方,睇睇,。,」,,,,,,,,
dat6-jin4,#,jau5,hou2-do1,pin1-fuk1,fei1,zo2,gwo3-lai2,#,Aa3-Daai6,hou2,geng1,gam2,fei1,zau2,#,gan1-zyu6,gong2,#,#,m4-hai6,aa3,#,ni1-dou6,hai6,pin1-fuk1,ge3,uk1-kei2,aa3,#,ngo5-dei6,bat1-jyu4,heoi3,kei4-taa1,dei6-fong1,tai2-tai2,#,#,,,,,,,,
suddenly,#,there are,many,bats,fly,-ed,come here,#,Aa Big,very,afraid,in this way,fly,away,#,and then,say,#,#,no,(particle),#,here,is,bat, 's,home,(particle),#,we,how about,go to,other,places,to see,#,#,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,佢哋,去,咗,最後,一,個,地方,，,阿細,問,：,「,噉,呢度,係唔係,你,屋企,啊,？,」,阿大,好,開心,話,：,「,係,喇,，,呢度,係,我,屋企,！,」,,,,,,,,,,
zi1-hau6,keoi5-dei6,heoi3,zo2,zeoi3-hau6,jat1,go3,dei6-fong1,#,Aa3-Sai3,man6,#,#,gam2,ni1-dou6,hai6-m4-hai6,nei5,uk1-kei2,aa3,#,#,Aa3-Daai6,hou2,hoi1-sam1,waa6,#,#,hai6,laa3,#,ni1-dou6,hai6,ngo5,uk1-kei2,#,#,,,,,,,,,,
after,they,go to,-ed,final,one,(measure),place,#,Aa Big,ask,#,#,then,here,is or isn't,you,home,(particle),#,#,Aa Big,very,happy,say,#,#,yes,(particle),#,here,is,I,home,#,#,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,好,開心,，,對住,阿細,講,：,「,多謝,你,送,我,返,屋企,啊,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Daai6,hou2,hoi1-sam1,#,deoi3-zyu6,Aa3-Sai3,gong2,#,#,do1-ze6,nei5,sung3,ngo5,faan1,uk1-kei2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Big,very,happy,#,towards,Aa Small,say,#,#,thank,you,send,me,to return,home,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,而家,識,返,屋企,喇,。,佢,成日,出去,揾,阿細,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-Daai6,ji4-gaa1,sik1,faan1,uk1-kei2,laa3,#,keoi5,sing4-jat6,ceot1-heoi3,wan2,Aa3-Sai3,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa Big,now,know,to return,home,(particle),#,it,always,go out,to find,Aa Small,play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
