#,I,still,is,not,trust,#,I,know,you,will,one,wrong,again,wrong,#,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,
要,我,信,你,都,得,，,畀,你,個,password,我,，,再,唔係,你,揾,第二,個,。,」,,
jiu3,ngo5,seon3,nei5,dou1,dak1,#,bei2,nei5,go3,password,ngo5,#,zoi3,m4-hai6,nei5,wan2,dai6-ji6,go3,#,#,,
want,I,trust,you,also,okay,#,give,you,(measure),password,I,#,or else,is not,you,find,second,(measure),#,#,,
[2i],,,,,,,,,,,,,,,,,,,,,,
女仔,冇,咗,可以,再,揾,，,尊嚴,冇,咗,就,冇,咗,。,你,想,揀,邊個,？,,,,
neoi5-zai2,mou5,zo2,ho2-ji5,zoi3,wan2,#,zyun1-jim4,mou5,zo2,zau6,mou5,zo2,#,nei5,soeng2,gaan2,bin1-go3,#,,,,
girl,have lost,-en,can,again,find,#,dignity,have lost,-en,then,have lost,-en,#,you,want to,pick out,which,#,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,
我,出去,食飯,，,拎,個,飯,盒,出去,坐,下,公園,。,,,,,,,,,,
ngo5,ceot1-heoi3,sik6-faan6,#,ling1,go3,faan6,hap2,ceot1-heoi3,co5,haa2,gung1-jyun2,#,,,,,,,,,,
I,get out,to eat meal,#,take,(measure),meal,box,to get out,to sit,a little bit,park,#,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,
諗住,飲,個,靚,湯,，,天空,又,落雨,。,,,,,,,,,,,,,
nam2-zyu6,jam2,go3,leng3,tong1,#,tin1-hung1,jau6,lok6-jyu5,#,,,,,,,,,,,,,
thinking about,drink,(measure),good-looking,soup,#,sky,again,rain,#,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,
拎,住,飯,盒,跑,去,廁所,，,入面,人,又,滿,。,,,,,,,,,,
ling1,zyu6,faan6,hap2,paau2,heoi3,ci3-so2,#,jap6-min6,jan4,jau6,mun5,#,,,,,,,,,,
take,-ing,meal,box,to run,to,toilet,#,inside,people,again,full,#,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,
唔,食,晒,個,飯,，,又,對,自己,個,肚,唔住,。,,,,,,,,,,
m4,sik6,saai3,go3,faan6,#,jau6,deoi3,zi6-gei2,go3,tou5,m4-zyu6,#,,,,,,,,,,
not,eat,all,(measure),meal,#,again,treat,oneself,(measure),tummy,not good,#,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,
雨水,送,飯,，,我,就,當,係,浪漫,。,,,,,,,,,,,,,
jyu5-seoi2,sung3,faan6,#,ngo5,zau6,dong6,hai6,long6-maan6,#,,,,,,,,,,,,,
rain water,eat with,meal,#,I,then,treat as,is,romantic,#,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,
一,個,兩,個,三,個,四,個,，,「,Stop,！,去,下,一,枱,。,」,,,,,
jat1,go3,loeng5,go3,saam1,go3,sei3,go3,#,#,Stop,#,heoi3,haa6,jat1,toi4,#,#,,,,,
one,(measure),two,(measure),three,(measure),four,(measure),#,#,Stop,#,go,next,one,table,#,#,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,
我,話,我,想,同,個,靚女,搭,枱,，,佢,唔,睬,我,。,原來,要,四,個,坐,一,枱,，
ngo5,waa6,ngo5,soeng2,tung4,go3,leng3-neoi2,daap3,toi2,#,keoi5,m4,coi2,ngo5,#,jyun4-loi4,jiu3,sei3,go3,zo5,jat1,toi4,#
I,say,I,want to,with,(measure),pretty girl,to share,table,#,he / she,not,respond,I,#,it turns out,need,four,(measure),to sit,one,table,#
[4c],,,,,,,,,,,,,,,,,,,,,,
到,今日,，,一,個,兩,個,又,下,一,枱,。,,,,,,,,,,,
dou3,gam1-jat6,#,jat1,go3,loeng5,go3,jau6,haa6,jat1,toi4,#,,,,,,,,,,,
till,today,#,one,(measure),two,(measure),again,next,one,table,#,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,
原來,成日,改,，,我,不如,帶,張,摺,枱,。,,,,,,,,,,,,
jyun4-loi4,sing4-jat6,goi2,#,ngo5,bat1-jyu4,daai3,zoeng1,zip3,toi2,#,,,,,,,,,,,,
it turns out,all the time,change,#,I,how about,bring,(measure),folding,table,#,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,
我,望,住,佢,，,佢,望,住,我,，,大家,眼,望,望,。,,,,,,,,
ngo5,mong6,zyu6,keoi5,#,keoi5,mong6,zyu6,ngo5,#,daai6-gaa1,ngaan5,mong6,mong6,#,,,,,,,,
I,stare,-ing,he / she,#,he / she,stare,-ing,I,#,everyone,eye,look,look,#,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,
我,笑,佢,又,笑,，,我,喊,佢,又,喊,。,佢,係唔係,鍾意,我,？,,,,,,
ngo5,siu3,keoi5,jau6,siu3,#,ngo5,haam3,keoi5,jau6,haam3,#,keoi5,hai6-m4-hai6,zung1-ji3,ngo5,#,,,,,,
I,laugh,he / she,also,laugh,#,I,cry,he / she,also,cry,#,he / she,is or isn't,like,I,#,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,
哎吔,，,乜,原來,係,鏡,仔,哥哥,！,,,,,,,,,,,,,,
ai1-jaa3,#,mat1,jyun4-loi4,hai6,geng3,zai2,go4-go1,#,,,,,,,,,,,,,,
Oh!,#,what,it turns out,is,mirror,little,elder brother,#,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,
我,問,爸爸,咩,叫做,靚女,。,,,,,,,,,,,,,,,,
ngo5,man6,baa4-baa1,me1,giu3-zou6,leng3-neoi2,#,,,,,,,,,,,,,,,,
I,ask,father,what,is called,pretty girl,#,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,
爸,：,有,兩,隻,眼,、,兩,隻,耳,、,一,個,口,一,個,鼻,嘅,就,係,靚女,。,
baa1,#,jau5,loeng5,zek3,ngaan5,#,loeng5,zek3,ji5,#,jat1,go3,hau2,jat1,go3,bei6,ge3,zau6,hai6,leng3-neoi2,#,
Dad,#,have,two,(measure),eye,#,two,(measure),ear,#,one,(measure),mouth,one,(measure),nose,(linker),then,is,pretty girl,#,
[6c],,,,,,,,,,,,,,,,,,,,,,
我,：,噉,媽媽,咪,夜晚,靚,日頭,唔,靚,囉,？,,,,,,,,,,,
ngo5,#,gam2,maa4-maa1,mai6,je6-maan5,leng3,jat6-tau2,m4,leng3,lo1,#,,,,,,,,,,,
I,#,then,mother,then,night,pretty,daytime,not,pretty,(particle),#,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,
爸,：,冇,可能,，,你,媽媽,係,我,揀,嘅,，,日頭,夜晚,都,係,咁,靚,。,,,,
baa1,#,mou5,ho2-nang4,#,nei5,maa4-maa1,hai6,ngo5,gaan2,ge3,#,jat6-tau2,je6-maan5,dou1,hai6,gam3,leng3,#,,,,
Dad,#,not,possible,#,you,mother,is,I,pick out,(particle),#,daytime,night,also,is,so,pretty,#,,,,
[6e],,,,,,,,,,,,,,,,,,,,,,
我,：,但係,佢,日頭,係,四眼,喎,。,,,,,,,,,,,,,,
ngo5,#,daan6-hai6,keoi5,jat6-tau2,hai6,sei3-ngaan5,wo3,#,,,,,,,,,,,,,,
I,#,but,she,daytime,is,four-eye (wearing glasses),(particle),#,,,,,,,,,,,,,,
[6f],,,,,,,,,,,,,,,,,,,,,,
爸,：,四眼,唔,計,。,,,,,,,,,,,,,,,,,
baa1,#,sei3-ngaan5,m4,gai3,#,,,,,,,,,,,,,,,,,
Dad,#,four-eye (wearing glasses),not,count,#,,,,,,,,,,,,,,,,,
[6g],,,,,,,,,,,,,,,,,,,,,,
我,：,噉,三眼仔,、,八,眼,蜘蛛,、,複,眼,嘅,蜜蜂,呢,？,,,,,,,,
ngo5,#,gam2,saam1-ngaan5-zai2,#,baat3,ngaan5,zi1-zyu1,#,fuk1,ngaan5,ge3,mat6-fung1,ne1,#,,,,,,,,
I,#,then,(Little Green Man from Toy Story),#,eight,eye,spider,#,complex,eye,(linker),bee,(particle),#,,,,,,,,
[6h],,,,,,,,,,,,,,,,,,,,,,
爸,：,唔係,人,嘅,唔,計,。,,,,,,,,,,,,,,,
baa1,#,m4-hai6,jan4,ge3,m4,gai3,#,,,,,,,,,,,,,,,
Dad,#,is not,human,(linker),not,count,#,,,,,,,,,,,,,,,
[6i],,,,,,,,,,,,,,,,,,,,,,
我,：,呢啲,唔,計,，,嗰啲,唔,計,，,唔明,！,,,,,,,,,,,
ngo5,#,ni1-di1,m4,gai3,#,go2-di1,m4,gai3,#,m4-ming4,#,,,,,,,,,,,
I,#,these,not,count,#,those,not,count,#,not understand,#,,,,,,,,,,,
[6j],,,,,,,,,,,,,,,,,,,,,,
爸,：,……,,,,,,,,,,,,,,,,,,,,
baa1,#,#,,,,,,,,,,,,,,,,,,,,
Dad,#,#,,,,,,,,,,,,,,,,,,,,
