「,如果,我,對,腳,好,長,好,長,，,我,咪,行,一陣,就,到,學校,囉,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyu4-gwo2,ngo5,deoi3,goek3,hou2,coeng4,hou2,coeng4,#,ngo5,mai6,haang4,jat1-zan6,zau6,dou3,hok6-haau6,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,if,I,pair of,feet,very,long,very,long,#,I,then,walk,a while,then,arrive,school,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,如果,我,對,手,好,長,好,長,，,我,咪,唔使,起身,都,拎,到,櫃,入面,嘅,衫,囉,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyu4-gwo2,ngo5,deoi3,sau2,hou2,coeng4,hou2,coeng4,#,ngo5,mai5,m4-sai2,hei2-san1,dou1,ling1,dou2,gwai6,jap6-min6,ge3,saam1,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,if,I,pair of,hands,very,long,very,long,#,I,then,don't need to,get up,also,take,can,cabinet,inside,-,clothes,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,如果,我,個,胃,好,大,好,大,，,我,咪,食,到,好多,阿媽,嘅,飯,囉,！,我,最,鍾意,食,！,」,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyu4-gwo2,ngo5,go3,wai6,hou2,daai6,hou2,daai6,#,ngo5,mai6,sik6,dou2,hou2-do1,aa3-maa1,ge3,faan6,lo1,#,ngo5,zeoi3,zung1-ji3,sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
#,if,I,(measure),stomach,very,big,very,big,#,I,then,eat,can,many,Mum,-,meals,(particle),#,I,the most,like,to eat,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,如果,我,有,大,肚腩,，,約,埋,朋友,一齊,玩,！,佢哋,可以,喺,我,個,肚,度,跳,嚟,跳,去,！,」,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyu4-gwo2,ngo5,jau5,daai6,tou5-naam2,#,joek3,maai4,pang4-jau5,jat1-cai4,waan2,#,keoi5-dei6,ho2-ji5,hai2,ngo5,go3,tou5,dou6,tiu3,lai4,tiu3,heoi3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
#,if,I,have,big,tummy,#,date,(suffix),friends,together,to play,#,they,can,at,I,(measure),tummy,there,jump,come,jump,go,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,如果,我,有,大,耳仔,，,靠,對,耳仔,唔使,睇,，,我,可以,靜靜噉,聽下,雀仔,聲,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyu4-gwo2,ngo5,jau5,daai6,ji5-zai2,#,kaau3,deoi3,ji5-zai2,m4-sai2,tai2,#,ngo5,ho2-ji5,zing6-zing2-gam2,teng1-haa5,zoek3-zai2,seng1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,if,I,have,big,ears,#,depend on,pair of,ears,don't need to,look,#,I,can,quietly,hear,birds,sound,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果,我 ⋯⋯,阿媽,：,「,阿十,，,你,出門口,未,啊,？,換,衫,啦,！,」,我,：,「,知,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gwo2,ngo5,aa3-maa1,#,#,Aa3-Sap6,#,nei5,ceot1-mun4-hau2,mei6,aa3,#,wun6,saam1,laa1,#,#,ngo5,#,#,zi1,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,I,Mum,#,#,Ah Ten,#,you,go out,yet,(particle),#,change,clothes,(particle),#,#,I,#,#,know,already,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,嬲,喇,！,係噉先啦,！,我,要,去,學校,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,nau1,laa3,#,hai6-gam2-sin1-laa1,#,ngo5,jiu3,heoi3,hok6-haau6,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,angry,already,#,Talk to you later,#,I,have to,go to,school,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
