有,一個,箱,，,一路,都,冇,打開,過,。,Mom,話,呢,箱,係,書,同,VCD,。,
jau5,jat1-go3,soeng1,#,jat1-lou6,dou1,mou5,daa2-hoi1,gwo3,#,Mom,waa6,nei1,soeng1,hai6,syu1,tung4,VCD,#,
there is,one,box,#,while,also,don't have,open,-ed,#,Mom,say,this,box,is,book,and,VCD,#,
[4a],,,,,,,,,,,,,,,,,,,
Mom,打開,箱,，,佢,話,：,「,呢,隻,VCD,嘅,歌手,係,我,最,鍾意,嘅,。,」
Mom,daa2-hoi1,soeng1,#,keoi5,waa6,#,#,nei1,zek3,VCD,ge3,go1-sau2,hai6,ngo5,zeoi3,zung1-ji3,ge3,#,#
Mom,open,box,#,she,say,#,#,this,(measure),VCD,('s),singer,is,my,most,favourite,('s),#,#
[4b],,,,,,,,,,,,,,,,,,,
「,呢,首,歌,我,好鍾意,，,叫,『,春,夏,秋,冬,』,」,,,,,
#,nei1,sau2,go1,ngo5,hou2-zung1-ji3,#,giu3,#,ceon1,haa6,cau1,dung1,#,#,,,,,
#,this,(measure),song,I,like a lot,#,call,#,spring,summer,autumn,winter,#,#,,,,,
[4c],,,,,,,,,,,,,,,,,,,
「,呢,部,戲,喺,你,家鄉,拍,，,叫,《,阿飛正傳,》,。,」,,,,,
#,nei1,bou6,hei3,hai2,nei5,gaa1-hoeng1,paak3,#,giu3,#,aa3-fei1-zing3-zyun2,#,#,#,,,,,
#,this,(measure),movie,is,you,hometown,shoot,#,call,#,Days of Being Wild,#,#,#,,,,,
[5a],,,,,,,,,,,,,,,,,,,
呢,本,書,有,好多,詩,，,係,一個,好叻,嘅,詩人,寫,嘅,。,,,,,
nei1,bun2,syu1,jau5,hou2-do1,si1,#,hai6,jat1-go3,hou2-lek1,ge3,si1-jan4,se2,ge3,#,,,,,
this,(measure),book,have,many,poem,#,is,one,very clever,('s),poet,write,('s),#,,,,,
[5b],,,,,,,,,,,,,,,,,,,
其中,一,首,叫,「,鄉,愁,」,。,,,,,,,,,,,
kei4-zung1,jat1,sau2,giu3,#,hoeng1,sau4,#,#,,,,,,,,,,,
among,one,(measure),call,#,home,sick,#,#,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,
MOM,讀,首,詩,出嚟,。,,,,,,,,,,,,,,
Mom,duk6,sau2,si1,ceot1-lai4,#,,,,,,,,,,,,,,
Mom,read,(measure),poem,out,#,,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,
聽,完,之後,，,我,諗起,我,家鄉,,,,,,,,,,,,
teng1,jyun4,zi1-hau6,#,ngo5,nam2-hei2,ngo5,gaa1-hoeng1,,,,,,,,,,,,
listen,finished,after,#,I,think of,my,hometown,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,
十,年,前,，,鄉,愁,係,呂宋,島,，,,,,,,,,,,
sap6,nin4,cin4,#,hoeng1,sau4,hai6,leoi5-sung3,dou2,#,,,,,,,,,,
ten,year,ago,#,home,sick,is,Luzon,island,#,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,
我,喺呢度,，,屋企,喺嗰度,。,,,,,,,,,,,,,,
ngo5,hai2-ni1-dou6,#,uk1-kei2,hai2-go2-dou6,#,,,,,,,,,,,,,,
I,am here,#,home,over there,#,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,
嚟,香港,之後,，,鄉,愁,係,Jolibee,，,,,,,,,,,,,
lai4,hoeng1-gong2,zi1-hau6,#,hoeng1,sau4,hai6,Jolibee,#,,,,,,,,,,,
come,Hong Kong,after,#,home,sick,is,Jolibee,#,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,
我,喺呢度,，,朋友,喺嗰度,。,,,,,,,,,,,,,,
ngo5,hai2-ni1-dou6,#,pang4-jau5,hai2-go2-dou6,#,,,,,,,,,,,,,,
I,am here,#,friend,over there,#,,,,,,,,,,,,,,
[6e],,,,,,,,,,,,,,,,,,,
而家,呢,，,鄉,愁,係,有,好多,細路仔,笑,聲,嘅,屋,，,,,,,,
ji4-gaa1,ne1,#,hoeng1,sau4,hai6,jau5,hou2-do1,sai3-lou6-zai2,siu3,seng1,ge3,uk1,#,,,,,,
now,this,#,home,sick,is,have,many,children,laugh,sound,('s),house,#,,,,,,
[6f],,,,,,,,,,,,,,,,,,,
我,喺呢度,，,笑,聲,喺嗰度,。,,,,,,,,,,,,,
ngo5,hai2-ni1-dou6,#,siu3,seng1,hai2-go2-dou6,#,,,,,,,,,,,,,
I,am here,#,laugh,sound,over there,#,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,
我,好,鐘意,呢,首,詩,，,呢,本,書,。,,,,,,,,,
ngo5,hou2,zung1-ji3,nei1,sau2,si1,#,nei1,bun2,syu1,#,,,,,,,,,
I,very,like,this,(measure),poem,#,this,(measure),book,#,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,
Mom,話,：,「,送,俾,你,吖,，,其他,嗰啲,幫,我,放,返,上,書架,吖,！,」
Mom,waa6,#,#,sung3,bei2,nei5,aa1,#,kei4-taa1,go2-di1,bong1,ngo5,fong3,faan1,soeng5,syu1-gaa2,aa1,#,#
Mom,say,#,#,give,to,you,(particle),#,other,those,help,me,put,back,up,bookshelf,(particle),#,#
[8a],,,,,,,,,,,,,,,,,,,
喺,呢,本,書,我,揾,到,我嘅,根,，,,,,,,,,,,
hai2,nei1,bun2,syu1,ngo5,wan2,dou2,ngo5-ge3,gan1,#,,,,,,,,,,
at,this,(measure),book,I,find,to,my,root,#,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,
唔知,Mom,揾,唔,揾,到,呢,？,,,,,,,,,,,,
m4-zi1,Mom,wan2,m4,wan2,dou2,ne1,#,,,,,,,,,,,,
don't know,Mom,find,not,find,to,(particle),#,,,,,,,,,,,,
