si4-gaan3,gwo3,dak1,hou2,faai3,#,zung1-jyu1,dou3-zo2,je6-maan5,ge3,jin1-faa1,biu2-jin2,laa3,#,di1,jin1-faa1,tou4-on3,hou2-ci5,jat1-do2-do2,faa1,gam2,#,hou2-do1,ngaan4-sik1,#,hou2,zing1-coi2,aa3,#,,,,,,,,,,,,,,,,
time,pass,(suffix),very,fast,#,at last,arrived,night,-,fireworks,performance,(particle),#,those,fireworks,design,looks like,stems of,flower,in this way,#,many,colours,#,very,excellent,(particle),#,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
睇睇下,，,有,人,拍,妮妮,個,頭,。,抬,頭,一望,，,原來,係,爸爸,同,哥哥,呀,！,哥哥,拎住,妮妮,最,鍾意,食,嘅,爆谷,，,話,要,同,妮妮,分享,。,,,,,,,,,,
tai2-tai2-haa5,#,jau5,jan4,paak3,Nei4-Nei4,go3,tau4,#,toi4,tau4,jat1-mong6,#,jyun4-loi4,hai6,baa4-baa1,tung4,go4-go1,aa3,#,go4-go1,ling1-zyu6,Nei4-Nei4,zeoi3,zung1-ji3,sik6,ge3,baau3-guk1,#,waa6,jiu3,tung4,Nei4-Nei4,fan1-hoeng2,#,,,,,,,,,,
watched and watched,#,there are,people,hit,Nini,(measure),head,#,raise,head,to take a look,#,it turns out,is,father,and,elder brother,(particle),#,elder brother,holding,Nini,the most,like,to eat,-,popcorn,#,say,want to,with,Nini,share,#,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,多謝,哥哥,。,」,大家,好,開心,噉,一邊,食,爆谷,，,一邊,睇,燦爛,嘅,煙花,。,,,,,,,,,,,,,,,,,,,,,,,,,,
#,do1-ze6,go4-go1,#,#,daai6-gaa1,hou2,hoi1-sam1,gam2,jat1-bin1,sik6,baau3-guk1,#,jat1-bin1,tai2,caan3-laan6,ge3,jin1-faa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,thank you,elder brother,#,#,everyone,very,happy,in this way,while,eat,popcorn,#,while,watch,magnificent,-,fireworks,#,,,,,,,,,,,,,,,,,,,,,,,,,,
