dat6-jin4,#,keoi5,lei4-jyun5,gin3-dou2,wu4,deoi3-min6,jau5,je5,juk1,gan2,#,jyu1-si6,keoi5,fong3,heng1,goek3-bou6,#,zing6-zing2-gai1,gam2,haang4,gwo3-heoi3,#,soeng2,tai2,haa5,hai6-me1,lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,she,from far,saw,lake,opposite,have,thing,move,-ing,#,so,she,put,light,footstep,#,sneaky,-ly,walk,over,#,want to,look,a bit,is what,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,步,、,兩,步,、,三,步,——,Saru,距離,目標,越嚟越近,……,終於,，,Saru,睇到,呢,隻,郁,緊,嘅,嘢,係咩,嚟,喇,：,原來,係,一,隻,小小,梅花鹿,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,bou6,#,loeng5,bou6,#,saam1,bou6,#,Saru,keoi5-lei4,muk6-biu1,jyut6-lei4-jyut6-kan5,#,zung1-jyu1,#,Saru,tai2-dou2,nei1,zek3,juk1,gan2,ge3,je5,hai6-me1,lei4,laa3,#,jyun4-loi4,hai6,jat1,zek3,siu2-siu2,mui4-faa1-luk2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,step,#,two,step,#,three,step,#,Saru,from,target,nearer and nearer,#,finally,#,Saru,saw,this,(measure),move,-ing,(linker),thing,is what,(particle),(particle),#,it turns out,is,one,(measure),little,spotted deer,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
身形,細小,嘅,梅花鹿,喺,湖,邊,低頭,飲,水,。,Saru,望,下,周圍,，,想,睇,下,佢,嘅,爸爸,媽媽,喺唔喺,附近,，,但,就,連,疑似,係,梅花鹿,嘅,身影,都,唔見,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san1-jing4,sai3-siu2,ge3,mui4-faa1-luk2,hai2,wu4,bin1,dai1-tau4,jam2,seoi2,#,Saru,mong6,haa5,zau1-wai4,#,soeng2,tai2,haa5,keoi5,ge3,baa4-baa1,maa4-maa1,hai2-m4-hai2,fu6-gan6,#,daan6,zau6,lin4,ji4-ci5,hai6,mui4-faa1-luk2,ge3,san1-jing2,dou1,m4-gin3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
body,tiny,(linker),spotted deer,at,lake,side,lower one's head,drink,water,#,Saru,look,a bit,surrounding,#,want,to look,a bit,she,’s,father,mother,is or isn't,nearby,#,but,then,even,suspected,is,spotted deer,(linker),shadow,"all, also",cannot see,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小小,梅花鹿,飲,完,水,，,抬起,頭,就,見到,Saru,喺,隔籬,望住,佢,。,但,奇怪,嘅,係,，,呢,隻,小小,梅花鹿,冇,好似,其他,小動物,噉,，,見到,陌生人,就,驚驚青青,噉,逃走,，,而,係,好,安靜,噉,企,喺度,望住,Saru,。,,,,,,,,,,,,,,,,,,,
siu2-siu2,mui4-faa1-luk2,jam2,jyun4,seoi2,#,toi4-hei2,tau4,zau6,gin3-dou2,Saru,hai2,gaak3-lei4,mong6-zyu6,keoi5,#,daan6,kei4-gwaai3,ge3,hai6,#,nei1,zek3,siu2-siu2,mui4-faa1-luk2,mou5,hou2-ci5,kei4-taa1,siu2-dung6-mat6,gam2,#,gin3-dou2,mak6-sang1-jan4,zau6,geng1-geng1-ceng1-ceng1,gam2,tou4-zau2,#,ji4,hai6,hou2,on1-zing6,gam2,kei5,hai2-dou6,mong6-zyu6,Saru,#,,,,,,,,,,,,,,,,,,,
little,spotted deer,drink,finish,water,#,raise,head,then,see,Saru,at,next to,staring,she,#,but,strange,(linker),is,#,this,(measure),little,spotted deer,don't have,seems,other,little animals,in that way,#,see,strangers,then,skittish,-ly,flee,#,and,is,very,quiet,-ly,stand,right here,staring,Saru,#,,,,,,,,,,,,,,,,,,,
[1k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,慢慢行,近,，,輕輕,伸手,摸,咗,佢,一下,。,小小,梅花鹿,不但,冇,反抗,，,仲,好似,好,享受,添,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,maan6-maan2-hang4,kan5,#,heng4-heng1,san1-sau2,mo2,zo2,keoi5,jat1-haa5,#,siu2-siu2,mui4-faa1-luk2,bat1-daan6,mou5,faan2-kong3,#,zung6,hou2-ci5,hou2,hoeng2-sau6,tim1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,slowly walk,close,#,softly,give hand,touch,-en,it,once,#,little,spotted deer,not only,don't have,resist,#,even,seems,very,enjoy,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間,嚟,到,黃昏,，,Saru,要,返屋企,喇,。,「,拜拜,！,」,佢,同,小小,梅花鹿,講,完,就,轉身,離開,。,行行,下,，,身後面,傳,嚟,好,輕,嘅,腳步,聲,，,Saru,擰轉,身,一,望,：,原來,隻,小,鹿,一直,跟住,佢,！,,,,,,,,,,,,,,,,,
si4-gaan3,lei4,dou3,wong4-fan1,#,Saru,jiu3,faan1-uk1-kei2,laa3,#,#,baai1-baai3,#,#,keoi5,tung4,siu2-siu2,mui4-faa1-luk2,gong2,jyun4,zau6,zyun3-san1,lei4-hoi1,#,hong4-hong4,haa5,#,san1-hau6-min6,cyun4,lei4,hou2,heng1,ge3,goek3-bou6,seng1,#,Saru,ning6-zyun3,san1,jat1,mong6,#,jyun4-loi4,zek3,siu2,luk2,jat1-zik6,gan1-zyu6,keoi5,#,,,,,,,,,,,,,,,,,
time,come,to,dusk,#,Saru,need to,go home,(particle),#,#,bye bye,#,#,she,to,little,spotted deer,say,finish,then,turn around,to leave,#,walk,a bit,#,behind,pass,come,very,light,(linker),footstep,sound,#,Saru,turn around,body,once,look,#,it turns out,(measure),little,deer,keep on,follow,she,#,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,問,：,「,你,點解,要,跟住,我,？,你,爸爸,媽媽,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,man6,#,#,nei5,dim2-gaai2,jiu3,gan1-zyu6,ngo5,#,nei5,baa4-baa1,maa4-maa1,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,ask,#,#,you,why,need to,follow,I,#,you,father,mother,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小,鹿,唔識,講嘢,，,梗係,答,唔到,佢,呢個,問題,啦,！,Saru,想,帶,佢,返屋企,先,，,之後,再,諗,辦法,幫,佢,揾,屋企人,；,但係,佢,知道,媽媽,一定,唔,畀,佢,噉,做,，,噉,點算,好,？,,,,,,,,,,,,,,,,,,,,,,,
siu2,luk2,m4-sik1,gong2-je5,#,gang2-hai6,daap3,m4-dou2,keoi5,nei1-go3,man6-tai4,laa1,#,Saru,soeng2,daai3,keoi5,faan1-uk1-kei2,sin1,#,zi1-hau6,zoi3,nam2,baan6-faat3,bong1,keoi5,wan2,uk1-kei2-jan4,#,daan6-hai6,keoi5,zi1-dou3,maa4-maa1,jat1-ding6,m4,bei2,keoi5,gam2,zou6,#,gam2,dim2-syun3,hou2,#,,,,,,,,,,,,,,,,,,,,,,,
little,deer,don't know,speaking,#,of course,reply,cannot,she,this,question,(particle),#,Saru,want to,bring,it,go home,first,#,after,again,think,way,to help,it,find,family,#,but,she,know,mother,surely,not,allow,she,in this way,to do,#,then,what to do,well,#,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,諗起,屋企,後面,嘅,倉庫,，,嗰度,冇乜,人,入去,，,可以,暫時,將,佢,安置,喺,嗰度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,nam2-hei3,uk1-kei2,hau6-min6,ge3,cong1-fu3,#,go2-dou6,mou5-mat1,jan4,jap6-heoi3,#,ho2-ji5,zaam6-si4,zoeng1,keoi5,on1-zi3,hai2,go2-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,think of,home,behind,(linker),warehouse,#,there,rarely to no,people,enter,#,can,temporarily,take,it,accommodate,at,there,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就係噉,過,咗,幾,日,，,Saru,如常,同,佢,啲,同學,道別,之後,，,就,即刻,去,附近,啲,草叢,摘,新鮮,青草,返屋企,，,然後,書包,都,未,放低,就,衝,去,倉庫,餵,小,鹿,——,點知,呢,一,幕,畀,跟,喺,佢,後面,嘅,同學仔,見到,晒,！,,,,,,,,,,,,,,
zau6-hai6-gam2,gwo3,zo2,gei2,jat6,#,Saru,jyu4-soeng4,tung4,keoi5,di1,tung4-hok6,dou6-bit6,zi1-hau6,#,zau6,zik1-hak1,heoi3,fu6-gan6,di1,cou2-cung4,zaak6,san1-sin1,ceng1-cou2,faan1-uk1-kei2,#,jin4-hau6,syu1-baau1,dou1,mei6,fong3-dai1,zau6,cung1,heoi3,cong1-fu3,wai3,siu2,luk2,#,dim2-zi1,nei1,jat1,mok6,bei2,gan1,hai2,keoi5,hau6-min6,ge3,tung4-hok6-zai2,gin3-dou2,saai3,#,,,,,,,,,,,,,,
Just like that,pass,-en,several,day,#,Saru,as usual,to,she,’s,schoolmate,say goodbye,after,#,then,immediately,go,nearby,those,bush,pick,fresh,green grass,to go home,#,then,schoolbag,"all, also",not yet,put down,then,rush,to go,warehouse,feed,little,deer,#,unexpectedly,this,one,scene,by,follow,at,she,behind,(linker),little schoolmate,saw,all,#,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,啲,同學仔,見,Saru,呢,幾,日,都,趕住,返屋企,噉,，,又,唔,同,佢哋,玩,，,湖,邊,又,唔見,人,，,就,好,好奇,佢,喺度,忙,緊,乜,。,終於,今日,，,佢哋,忍唔住,偷偷,跟蹤,Saru,，,至,會,發現,Saru,嘅,秘密,。,,,,,,,,,,,,,,,,,
jyun4-loi4,di1,tung4-hok6-zai2,gin3,Saru,nei1,gei2,jat6,dou1,gon2-zyu6,faan1-uk1-kei2,gam2,#,jau6,m4,tung4,keoi5-dei6,waan2,#,wu4,bin1,jau6,m4-gin3,jan4,#,zau6,hou2,hou3-kei4,keoi5,hai2-dou6,mong4,gan2,mat1,#,zung1-jyu1,gam1-jat6,#,keoi5-dei6,jan2-m4-zyu6,tau1-tau1,gan1-zung1,Saru,#,zi3,wui5,faat3-jin6,Saru,ge3,bei3-mat6,#,,,,,,,,,,,,,,,,,
it turns out,those,little schoolmate #,see,Saru,this,several,day,"all, also",rushing,to go home,in that way,#,again,don't,with,they,play,#,lake,side,again,cannot see,person,#,then,really,curious,she,right here,busy,-ing,what,#,finally,today,#,they,cannot help,secretly,follow,Saru,#,then,will,find out,Saru,’s,secret,#,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,見到,倉庫,企,滿,晒,佢,啲,同學,，,一時之間,唔知,點,反應,。,呢個,時候,，,同學,David,開口,：,「,原來,你,呢,幾,日,唔,同,我哋,玩,，,又,趕住,返屋企,係,因為,佢,！,」,Saru,好,唔好意思,噉,答,：,「,我,見,佢,揾唔到,屋企人,，,又,好似,好,可憐,噉,跟住,我,，,我,至,會,……,」
Saru,gin3-dou2,cong1-fu3,kei5,mun5,saai3,keoi5,di1,tung4-hok6,#,jat1-si4-zi1-gaan1,m4-zi1,dim2,faan2-jing3,#,nei1-go3,si4-hau6,#,tung4-hok6,David,hoi1-hau2,#,#,jyun4-loi4,nei5,nei1,gei2,jat6,m4,tung4,ngo5-dei6,waan2,#,jau6,gon2-zyu6,faan1-uk1-kei2,hai6,jan1-wai6,keoi5,#,#,Saru,hou2,m4-hou2-ji3-si1,gam2,daap3,#,#,ngo5,gin3,keoi5,wan2-m4-dou2,uk1-kei2-jan4,#,jau6,hou2-ci5,hou2,ho2-lin4,gam2,gan1-zyu6,ngo5,#,ngo5,zi3,wui5,#,#
Saru,saw,warehouse,stand,full,all,she,’s,schoolmate,#,Within that short time,don't know,how,to react,#,this,time,#,schoolmate,David,opens mouth,#,#,it turns out,you,this,several,day,don't,with,we,to play,#,also,rushing,to go home,is,because #,it,#,#,Saru,very,embarrassed,-ly,reply,#,#,I,saw,it,cannot find,family,#,also,seems,very,pitiful,that way,follow,I,#,I,then,will,#,#
[Line 38],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,同,其他,同學,互望,咗,一下,，,就話,：,「,隻,鹿仔,咁,可愛,，,不如,我哋,一齊,同,佢,玩,，,噉,佢,咪,仲,開心,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,tung4,kei4-taa1,tung4-hok6,wu6-mong6,zo2,jat1-haa5,#,zau6-waa6,#,#,zek3,luk2-zai2,gam3,ho2-oi3,#,bat1-jyu4,ngo5-dei6,jat1-cai4,tung4,keoi5,waan2,#,gam2,keoi5,mai5,zung6,hoi1-sam1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,and,other,schoolmate,look at each other #,-en,once,#,then say,#,#,(measure),little dear,so,cute,#,how about,we,together,with,it,play,#,then,it,may,even,happy,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,笑,得,好,開心,噉,話,：,「,好,呀,，,一齊,吖,！,不過,你哋,要,幫,我,保守,秘密,喎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,siu3,dak1,hou2,hoi1-sam1,gam2,waa6,#,#,hou2,aa3,#,jat1-cai4,aa1,#,bat1-gwo3,nei5-dei6,jiu3,bong1,ngo5,bou2-sau2,bei3-mat6,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,laugh,(suffix),very,happy,-ly,say,#,#,good,(particle),#,together,(particle),#,however,you (plural),need to,help,I,keep,secret,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇問題,！,我哋,仲,可以,幫,佢,揾,下,附近,有冇,梅花鹿,添,！,」,同學仔,都,拍,晒,心口,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mou5-man6-tai4,#,ngo5-dei6,zung6,ho2-ji5,bong1,keoi5,wan2,haa5,fu6-gan6,jau5-mou5,mui4-faa1-luk2,tim1,#,#,tung4-hok6-zai2,dou1,paak3,saai3,sam1-hau2,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no problem,#,we,even,can,help,it,find,a bit,nearby,have or haven't,spotted deer,(particle),#,#,little schoolmate #,"all, also",hit,all,chest,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希望,小,鹿,可以,快啲,揾,返,屋企人,，,回歸,大自然,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hei1-mong6,siu2,luk2,ho2-ji5,faai3-di1,wan2,faan1,uk1-kei2-jan4,#,wui4-gwai1,daai6-zi6-jin4,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hope,little,deer,can,faster,find,back,family,#,return,nature,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
