keoi5,hai2-dou6,#,zi4-zi4,#,#,#,zi4-zi4,#,gam2-joeng2,cou4-zyu6,ngo5,#,,,,,,,,
it,right here,#,Buzz Buzz!,#,#,#,Buzz Buzz!,#,in this way,disturb,me,#,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,
之後,，,我,又,轉,下,個,身,，,試下,瞓覺,。,,,,,,,,,
zi1-hau6,#,ngo5,jau6,zyun3,haa5,go3,san1,#,si3-haa5,fan3-gaau3,#,,,,,,,,,
after,#,I,again,turn,a bit,(measure),body,#,try to,sleep,#,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,
真係,唔開心,啊,！,又,有,人,喺度,「,咚,」,、,「,咚,」,噉樣,嘈住,我,。,,
zan1-hai6,m4-hoi1-sam1,aa3,#,jau6,jau5,jan4,hai2-dou6,#,dung1,#,#,#,dung1,#,gam2-joeng2,cou4-zyu6,ngo5,#,,
really,unhappy,(particle),#,again,there is,someone,right here,#,Dong!,#,#,#,Dong!,#,in this way,disturb,me,#,,
[7b],,,,,,,,,,,,,,,,,,,,
我,瞓,唔到,。,,,,,,,,,,,,,,,,,
ngo5,fan3,m4-dou2,#,,,,,,,,,,,,,,,,,
I,sleep,cannot,#,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,
「,啷啷,」,、,「,啷啷,」,！,呢,次,又,係,邊個,嘈住,我,啊,？,,,,
#,long1-long1,#,#,#,long1-long1,#,#,ni1,ci3,jau6,hai6,bin1-go3,cou4-zyu6,ngo5,aa3,#,,,,
#,Tring Tring!,#,#,#,Tring Tring!,#,#,this,time,again,is,who,disturb,me,(particle),#,,,,
[9],,,,,,,,,,,,,,,,,,,,
出面,有,人,踩,單車,！,佢,喺度,撳,緊,單車,上面,個,鐘,。,,,,,,
ceot1-min6,jau5,jan4,caai2,daan1-ce1,#,keoi5,hai2-dou6,gam6,gan2,daan1-ce1,soeng6-min6,go3,zung1,#,,,,,,
outside,there is,someone,ride,bicycle,#,he,right here,press,-ing,bicycle,above,(measure),bell,#,,,,,,
[10],,,,,,,,,,,,,,,,,,,,
媽媽,走,過嚟,，,佢,問,我,：,「,小歌,，,乜,你,未,瞓,咩,？,」,,,
maa4-maa1,zau2,gwo3-lai4,#,keoi5,man6,ngo5,#,#,Siu2-go1,#,mat1,nei5,mei6,fan3,me1,#,#,,,
mother,walk,come over,#,she,ask,me,#,#,Siu-go,#,what,you,not yet,sleep,(particle),#,#,,,
[11a],,,,,,,,,,,,,,,,,,,,
我,望住,媽媽,，,對,眼,大一大,。,我,用,對,眼,同,媽媽,講,：,,,,,
ngo5,mong6-zyu6,maa4-maa1,#,deoi3,ngaan5,daai6-jat1-daai6,#,ngo5,jung6,deoi3,ngaan5,tung4,maa4-maa1,gong2,#,,,,,
I,look at,mother,#,pair of,eyes,very big,#,I,use,pair of,eyes,with,mother,say,#,,,,,
[11b],,,,,,,,,,,,,,,,,,,,
「,我,都,想,瞓,啊,！,不過,出面,好,嘈,，,好多,聲音,，,我,點,瞓,啊,？,」
#,ngo5,dou1,soeng2,fan3,aa3,#,bat1-gwo3,ceot1-min6,hou2,cou4,#,hou2-do1,sing1-jam1,#,ngo5,dim2,fan3,aa3,#,#
#,I,also,want to,sleep,(particle),#,but,outside,very,noisy,#,many,sounds,#,I,how,sleep,(particle),#,#
[12a],,,,,,,,,,,,,,,,,,,,
「,鈴鈴,」,、,「,滋滋,」,、,「,咚,」,、,「,啷啷,」,！,,,,,
#,ling1-ling1,#,#,#,zi4-zi4,#,#,#,dung1,#,#,#,long1-long1,#,#,,,,,
#,Ding Dong!,#,#,#,Buzz Buzz!,#,#,#,Dong!,#,#,#,Tring Tring!,#,#,,,,,
[12b],,,,,,,,,,,,,,,,,,,,
我,向住,邊,邊,，,都,一樣,畀,啲,聲,嘈住,。,,,,,,,,,
ngo5,hoeng3-zyu6,bin1,bin1,#,dou1,jat1-joeng6,bei2,di1,seng1,cou4-zyu6,#,,,,,,,,,
I,face,which,side,#,all,the same,by,those,sounds,disturb,#,,,,,,,,,
