after,have,one,(measure),wise man,go,-en,find,this,Gei,fellow countryman,#,to,he,say,#,#,sky,is,by,air,that,to constitute,#,this,world,everwhere,"all, also",have,air,#,human beings,have to,survive,#,every day,"all, also",need to,breath,#,human beings,every day,at,air,among,activity,#,is not,one,(measure),very,ordinary,(linker),matter,(particle),#,you,why need to,afraid,(measure),sky,will,collapse,down,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杞,國人,聽,咗,之後,，,覺得,好,有,道理,，,稍為,安心,咗,少少,。,但係,佢,又,即刻,諗,到,另一,個,問題,。,佢,問,：,「,噉,天上面,嘅,太陽,、,月亮,、,星星,，,佢哋,唔,會,跌,落嚟,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gei2,gwok3-jan4,teng1,zo2,zi1-hau6,#,gok3-dak1,hou2,jau5,dou6-lei5,#,saau2-wai4,on1-sam1,zo2,siu2-siu2,#,daan6-hai6,keoi5,jau6,zik1-hak1,nam2,dou3,ling6-jat1,go3,man6-tai4,#,keoi5,man6,#,#,gam2,tin1-soeng6-min6,ge3,taai3-joeng4,#,jyut6-loeng6,#,sing1-sing1,#,keoi5-dei6,m4,wui5,dit3,lok6-lai4,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gei,fellow countryman,listen,-en,after,#,feel,very,have,principle,#,a little bit,reassured,-en,a bit,#,but,he,again,immediately,think,(suffix),another,(measure),question,#,he,ask,#,#,then,in the sky,(linker),sun,#,moon,#,star,#,they,not,will,fall,down,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智者,答,：,「,計我話,,,，,天上面,嘅,太陽,、,月亮,、,星星,，,呢啲,通通,都係,氣體,，,氣體,又,點,會,跌,落嚟,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3-ze2,daap3,#,#,gai3-ngo5-waa6,,,#,tin1-soeng6-min6,ge3,taai3-joeng4,#,jyut6-loeng6,#,sing1-sing1,#,ni1-di1,tung1-tung1,dou1-hai6,hei3-tai2,#,hei3-tai2,jau6,dim2,wui5,dit3,lok6-lai4,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wise man,reply,#,#,"I would say,",#,#,#,in the sky,(linker),sun,#,moon,#,star,#,these,all,also are,gas,#,gas,again,how,will,fall,down,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,話,：,「,噉,我,都,安心,啲,。,」,但係,佢,又,即刻,擔心,其他,嘢,：,「,如果,大地,冧,咗,落去,，,噉,又,點算,好,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,waa6,#,#,gam2,ngo5,dou1,on1-sam1,di1,#,#,daan6-hai6,keoi5,jau6,zik1-hak1,daam1-sam1,kei4-taa1,je5,#,#,jyu4-gwo2,daai6-dei6,lam3,zo2,lok6-heoi3,#,gam2,jau6,dim2-syun3,hou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,say,#,#,then,I,"all, also",reassured,a bit,#,#,but,he,again,immediately,worry about,other,thing,#,#,if,the earth,collapse,-en,down,#,then,again,what to do,well,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智者,話,：,「,大地,基本,係,由,泥土,所,組成,，,呢個,世界,周圍,都係,泥土,。,人類,要,生活,，,日日,都,要,行路,。,人類,日日,喺,泥土,上面,活動,，,唔係,一,件,好,平常,嘅,事,咩,？,你,使乜,驚,個,地,會,冧,落去,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3-ze2,waa6,#,#,daai6-dei6,gei1-bun2,hai6,jau4,nai4-tou2,so2,zou2-sing4,#,nei1-go3,sai3-gaai3,zau1-wai4,dou1-hai6,nai4-tou2,#,jan4-leoi6,jiu3,sang1-wut6,#,jat6-jat6,dou1,jiu3,haang4-lou6,#,jan4-leoi6,jat6-jat6,hai2,nai4-tou2,soeng6-min6,wut6-dung6,#,m4-hai6,jat1,gin6,hou2,ping4-soeng4,ge3,si6,me1,#,nei5,sai2-mat1,geng1,go3,dei6,wui5,lam3,lok6-heoi3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wise man,say,#,#,the earth,basically,is,by,soil,that,to constitute,#,this,world,surrounding,also are,soil,#,human beings,have to,live,#,every day,"all, also",have to,walk,#,human beings,every day,at,soil,above,activity,#,is not,one,(measure),very,ordinary,(linker),matter,(particle),#,you,why need to,afraid,(measure),land,will,collapse,down,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智者,答,完,之後,，,佢,先,明白,自己,嘅,擔心,實在,係,多餘,，,即刻,開心,到,笑,出嚟,！,之後,佢,有,返,胃口,食嘢,，,夜晚,瞓覺,都,冇,再,失眠,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3-ze2,daap3,jyun4,zi1-hau6,#,keoi5,sin1,ming4-baak6,zi6-gei2,ge3,daam1-sam1,sat6-zoi6,hai6,do1-jyu4,#,zik1-hak1,hoi1-sam1,dou3,siu3,ceot1-lai4,#,zi1-hau6,keoi5,jau5,faan1,wai6-hau2,sik6-je5,#,je6-maan5,fan3-gaau3,dou1,mou5,zoi3,sat1-min4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wise man,reply,finish,after,#,he,then,understand,oneself,(linker),worry,really,is,unnecessary,#,immediately,happy,to,laugh,out,#,after,he,have,back,appetite,to eat food,#,night,sleep,"all, also",don't have,again,insomnia,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話說,又,有,一個,主人家,開,party,，,準備,咗,豐盛,嘅,晚餐,同埋,美,酒,。,當中,有,位,客人,特別,細膽,，,見到,杯,入面,有,一,條,蛇,，,就,好,驚,，,唔,敢,飲,。,但係,主人家,特登,準備,咗,咁,多,靚,酒,佳餚,，,咁,有,誠意,，,客人,唔,敢,唔,飲,呢,杯,酒,，,於是,就,唂,一,聲,吞,咗,杯,酒,落,肚,。,,,,,,,,,,,,,,,,,,,,,,
waa6-syet3,jau6,jau5,jat1-go3,zyu2-jan4-gaa1,hoi1,party,#,zeon2-bei6,zo2,fung1-sing6,ge3,maan5-caan1,tung4-maai4,mei5,zau2,#,dong1-zung1,jau5,wai2,haak3-jan4,dak6-bit6,sai3-daam2,#,gin3-dou2,bui1,jap6-min6,jau5,jat1,tiu4,se4,#,zau6,hou2,geng1,#,m4,gam2,jam2,#,daan6-hai6,zyu2-jan4-gaa1,dak6-dang1,zeon2-bei6,zo2,gam3,do1,leng3,zau2,gaai1-ngaau4,#,gam3,jau5,sing4-ji3,#,haak3-jan4,m4,gam2,m4,jam2,nei1,bui1,zau2,#,jyu1-si6,zau6,kut4,jat1,seng1,tan1,zo2,bui1,zau2,lok6,tou5,#,,,,,,,,,,,,,,,,,,,,,,
It's said that,again,have,one (measure),host,host,party,#,prepare,-en,rich,(linker),dinner,and,beautiful,wine,#,in between,have,(measure),guest,especially,timid,#,saw,cup,inside,have,one,(measure),snake,#,thus,very,afraid,#,not,dare,to drink,#,but,host,deliberately,prepare,-en,so,much,beautiful,wine,delicacy,#,so,have,sincerity,#,guest,not,dare,not,to drink,this,cup,wine,#,so,then,(sound),one,sound,swallow,-en,cup,wine,down,tummy,#,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客人,返,到,自己,屋企,，,當日,就,覺得,肚,好,痛,，,又,食,唔,落,飯,。,主人家,見,佢,病,咗,，,就,去,探,佢,，,睇,下,佢,做咩,病,咗,。,客人,喊,住,話,：,「,我,食,你,餐,飯,嗰陣,，,有,條,蛇,入,咗,我,個,杯,，,但係,我,有理冇理,一,啖,飲,晒,杯,酒,！,而家,條,蛇,肯定,瓹,咗,入,我,個,胃,，,我,就嚟,病,死,喇,！,」,,,,,,,,,,,
haak3-jan4,faan1,dou3,zi6-gei2,uk1-kei2,#,dong1-jat6,zau6,gok3-dak1,tou5,hou2,tung3,#,jau6,sik6,m4,lok6,faan6,#,zyu2-jan4-gaa1,gin3,keoi5,beng6,zo2,#,zau6,heoi3,taam3,keoi5,#,tai2,haa5,keoi5,zou6-me1,beng6,zo2,#,haak3-jan4,haam3,zyu6,waa6,#,#,ngo5,sik6,nei5,caan1,faan6,go2-zan6,#,jau5,tiu4,se4,jap6,zo2,ngo5,go3,bui1,#,daan6-hai6,ngo5,jau5-lei5-mou5-lei5,jat1,daam6,jam2,saai3,bui1,zau2,#,ji4-gaa1,tiu4,se4,hang2-ding6,gyun1,zo2,jap6,ngo5,go3,wai6,#,ngo5,zau6-lei4,beng6,sei2,laa3,#,#,,,,,,,,,,,
guest,return,to,oneself,home,#,that day,then,feel,tummy,very,painful,#,again,eat,not,down,meal,#,host,see,he,sick,-en,#,then,go,visit,he,#,see,a bit,he,why,sick,-en,#,guest,cry,-ing,say,#,#,I,eat,you,(measure),meal,that time,#,have,(measure),snake,enter,-en,I,(measure),cup,#,but,I,regardless,one,(measure),drink,all,cup,wine,#,now,(measure),snake,definitely,crawl into,-en,into,I,(measure),stomach,#,I,about to,sick,to die,(particle),#,#,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主人家,安慰,咗,佢,一陣,，,就,返,到,自己,屋企,。,佢,諗,咗,好,耐,：,自己,住,咗,咁,耐,，,都,未,見,過,有,蛇,，,冇,理由,有,條,蛇,走,入去,杯,酒,度,㗎,？,之後,佢,抬頭,一,望,，,見到,自己,收藏,嘅,弓,——,佢,突然,明白,晒,！,客人,杯,酒,入面,條,蛇,，,其實,係,把,弓,嘅,倒影,。,主人家,即刻,同,客人,講,返,件,事,，,客人,聽到,，,即刻,就,病好,喇,，,仲,可以,落,牀,食飯,添,！
zyu2-jan4-gaa1,on1-wai3,zo2,keoi5,jat1-zan6,#,zau6,faan1,dou3,zi6-gei2,uk1-kei2,#,keoi5,nam2,zo2,hou2,noi6,#,zi6-gei2,zyu6,zo2,gam3,noi6,#,dou1,mei6,gin3,gwo3,jau5,se4,#,mou5,lei5-jau4,jau5,tiu4,se4,zau2,jap6-heoi3,bui1,zau2,dou6,gaa3,#,zi1-hau6,keoi5,toi4-tau4,jat1,mong6,#,gin3-dou2,zi6-gei2,sau1-cong4,ge3,gung1,#,keoi5,dat6-jin4,ming4-baak6,saai3,#,haak3-jan4,bui1,zau2,jap6-min6,tiu4,se4,#,kei4-sat6,hai6,baa2,gung1,ge3,dou2-jing2,#,zyu2-jan4-gaa1,zik1-hak1,tung4,haak3-jan4,gong2,faan1,gin6,si6,#,haak3-jan4,teng1-dou2,#,zik1-hak1,zau6,beng6-hou2,laa3,#,zung6,ho2-ji5,lok6,cong4,sik6-faan6,tim1,#
Host,comfort,-en,he,a while,#,then,return,to,oneself,home,#,he,think,-en,very,long time,#,oneself,live,-en,so,long time,#,"all, also",not yet,see,-ed,have,snake,#,no,reason,have,(measure),snake,go,into,(measure),wine,there,(particle),#,after,he,look up,once,look,#,saw,oneself,collected,(linker),bow,#,he,suddenly,understand,all,#,guest,cup,wine,inside,(measure),snake,#,actually,is,(measure),bow,’s,reflection,#,host,immediately,to,guest,say,back,(measure),matter,#,guest,heard,#,immediately,then,recover from illness,(particle),#,even,can,move down from,bed,to eat meat,(particle),#
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所以,小朋友,，,唔好,成日,自己,嚇,自己,，,話唔定,你,而家,驚,緊,嘅,嘢,，,大個,咗,就,發現,其實,一啲,都,唔,恐怖,呢,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-ji5,siu2-pang4-jau5,#,m4-hou2,sing4-jat6,zi6-gei2,haak3,zi6-gei2,#,waa6-m4-ding6,nei5,ji4-gaa1,geng1,gan2,ge3,je5,#,daai6-go3,zo2,zau6,faat3-jin6,kei4-sat6,jat1-di1,dou1,m4,hung2-bou3,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therefore,children,#,do not,always,oneself,frighten,oneself,#,perhaps,you,now,afraid,-ing,(linker),thing,#,grow up,-en,then,find out,actually,a bit,"all, also",not,scary,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
