(measure),boy,then,walk away,-en,#,pass,-en,three,(measure),hour,#,no,again,appear,already,#,she,get up,#,prepare,to walk,out,restaurant,#,I,see,her,face,on,still have,many,tear,#,and then,#,I,move forward,to give,-en,(measure),tissue paper,her,#,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔該,晒,你,。,」,係,佢,第一,句,同,我,講,嘅,説話,。,佢,轉身,走,，,行,出,咗,間,餐廳,。,,,,,,,,,,,,,,,,,,,
#,m4-goi1,saai3,nei5,#,#,hai6,keoi5,dai6-jat1,geoi3,tung4,ngo5,gong2,ge3,syut3-waa6,#,keoi5,zyun3-san1,zau2,#,haang4,ceot1,zo2,gaan1,caan1-teng1,#,,,,,,,,,,,,,,,,,,,
#,Thanks,all,you,#,#,is,her,first,sentence,with,me,to say,(linker),dialog,#,she,turn around,to leave,#,walk,out,-en,(measure),restaurant,#,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔,知,點解,，,見到,佢,喊,，,我,個,心,有,少少,痛,。,係咪,好,傻,？,,,,,,,,,,,,,,,,,,,,,,,,,,
m4,zi1,dim2-gaai2,#,gin3-dou2,keoi5,haam3,#,ngo5,go3,sam1,jau5,siu2-siu2,tung3,#,hai6-mai6,hou2,so4,#,,,,,,,,,,,,,,,,,,,,,,,,,,
not,know,why,#,see,her,cry,#,my,(measure),heart,have,a bit,pain,#,isn't it,very,silly,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二,次,，,喺,餐廳,隔離,間,7-11,見到,佢,。,佢,喺度,叮,緊,嘢食,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ji6,ci3,#,hai2,caan1-teng1,gaak3-lei4,gaan1,caat1-sap6-yat1,gin3-dou2,keoi5,#,keoi5,hai2-dou6,ding1,gan2,je5-sik6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second,time,#,at,restaurant,nearby,(measure),7-11,see,her,#,she,right here,reheat,-ing,food,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,對,佢,笑,咗,一,笑,，,點,一,點,頭,。,唔,知,佢,記,唔,記,得,我,呢,。,,,,,,,,,,,,,,,,,,,,,,
ngo5,deoi3,keoi5,siu3,zo2,jat1,siu3,#,dim2,jat1,dim2,tau4,#,m4,zi1,keoi5,gei3,m4,gei3,dak1,ngo5,ne1,#,,,,,,,,,,,,,,,,,,,,,,
I,towards,her,smile,-en,one,smile,#,nod,one,nod,head,#,not,know,she,remember,not,remember,can,me,(particle),#,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,拎,住,個,杯麪,，,諗住,行,去,俾,錢,。,「,十五,個,八,吖,。,」,「,哎呀,，,我,唔記得,帶,銀包,。,」,,,,,,,,,,,,,,,,,
ngo5,ling1,zyu6,go3,bui1-min6,#,nam2-zyu6,haang4,heoi3,bei2,cin2,#,#,sap6-ng5,go3,baat3,aa1,#,#,#,aai1-aa3,#,ngo5,m4-gei3-dak1,daai3,ngan4-baau1,#,#,,,,,,,,,,,,,,,,,
I,take,-ing,(measure),cup noodle,#,thinking about,to walk,to go,to give,money,#,#,fifteen,(measure),eighty cent,(particle),#,#,#,Ouch!,#,I,forget,to bring,wallet,#,#,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,八達通,吖,。,」,「,嘟,！,」,佢,幫,我,俾,咗,錢,。,「,一,人,幫,返,一,次,。,」,佢,笑,住,噉,講,。,,,,,,,,,,,,,,
#,baat3-daat6-tung1,aa1,#,#,#,dyut1,#,#,keoi5,bong1,ngo5,bei2,zo2,cin2,#,#,jat1,jan4,bong1,faan1,jat1,ci3,#,#,keoi5,siu3,zyu6,gam2,gong2,#,,,,,,,,,,,,,,
#,Octopus Card,(particle),#,#,#,beep,#,#,she,help,me,to give,-en,money,#,#,one,person,help,in return,one,time,#,#,she,smile,-ing,like,to say,#,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,佢,笑,起上嚟,，,係,咁,靚,。,「,唔該,晒,你,。,」,係,我,第一,句,同,佢,講,嘅,説話,。,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,keoi5,siu3,hei2-soeng5-lai4,#,hai6,gam3,leng3,#,#,m4-goi1,saai3,nei5,#,#,hai6,ngo5,dai6-jat1,geoi3,tung4,keoi5,gong2,ge3,syut3-waa6,#,,,,,,,,,,,,,,,,,,,,
it turns out,she,smile,the way,#,is,so,beautiful,#,#,Thanks,all,you,#,#,is,my,first,sentence,with,her,to say,(linker),dialog,#,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第三,次,見到,佢,，,係,喺,小巴,站,度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-saam1,ci3,gin3-dou2,keoi5,#,hai6,hai2,siu2-baa1,zaam6,dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third,time,see,her,#,is,at,minibus,stop,place,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,Hi,。,」,「,係,你,呀,？,」,「,上次,唔該,晒,你,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#,#,#,#,hai6,nei5,aa4,#,#,#,soeng6-ci3,m4-goi1,saai3,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hi,#,#,#,is,you,(particle),#,#,#,last time,Thanks,all,you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,十五,個,八,，,小,意思,啦,。,」,「,你,出,港島,？,」,「,係,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,
#,sap6-ng5,go3,baat3,#,siu2,ji3-si3,laa1,#,#,#,nei5,ceot1,gong2-dou2,#,#,#,hai6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,
#,fifteen,(measure),eighty cent,#,small,deal,(particle),#,#,#,you,go out to,Hong Kong Island,#,#,#,yes,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,次,我哋,並,肩,坐,，,車,程,二十,分鐘,。,我,知,佢,個,名,叫,阿心,，,同埋,佢,個,電話,號碼,。,,,,,,,,,,,,,,,,,,,
go2,ci3,ngo5-dei6,bing6,gin1,co5,#,ce1,cing4,ji6-sap6,fan1-zung1,#,ngo5,zi1,keoi5,go3,meng2,giu3,aa3-sam1,#,tung4-maai4,keoi5,go3,din6-waa2,hou6-maa5,#,,,,,,,,,,,,,,,,,,,
that,time,we,side by side,shoulder,sit,#,car,journey,twenty,minute,#,I,know,her,(measure),name,is called,Ah-Sum,#,and,her,(measure),telephone,number,#,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,話,：,「,到,站,喇,，,拜拜,。,得閒,call,我,吖,。,」,我,以為,我哋,之間,嘅,緣份,可以,一路,延續,落去,。,,,,,,,,,,,,,,,,,,
aa3-sam1,waa6,#,#,dou3,zaam6,laa3,#,baai1-baai3,#,dak1-haan4,#,ngo5,aa1,#,#,ngo5,ji5-wai4,ngo5-dei6,zi1-gaan1,ge3,jyun4-fan6,ho2-ji5,jat1-lou6,jin4-zuk6,lok6-heoi3,#,,,,,,,,,,,,,,,,,,
Ah-Sum,say,#,#,arrive,stop,(particle),#,bye bye,#,free,call,me,(particle),#,#,I,think,us,between,(linker),predestined relationship,can,all the way,to continue,to move on,#,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,，,一,場,大,雨,，,令到,寫,喺,我,手掌,心,嘅,電話,號碼,甩,晒,色,。,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-zi1,#,jat1,coeng4,daai6,jyu5,#,ling6-dou3,se2,hai2,ngo5,sau2-zoeng2,sam1,ge3,din6-waa2,hou6-maa5,lat1,saai3,sik1,#,,,,,,,,,,,,,,,,,,,,,,,,,
unexpectedly,#,one,(measure),big,rain,#,make,written,at,my,palm,centre,’s,telephone,number,to fall off,all,colour,#,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
係,幾多,號,呢,？,模糊,嘅,記憶,，,撞,咗,好,幾,次,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai6,gei2-do1,hou6,ne1,#,mou4-wu4,ge3,gei3-jik1,#,zong6,zo2,hou2,gei2,ci3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,what,number,(particle),#,not clear,(linker),memory,#,wild guess,-en,very,several,time,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,喂,，,發記,。,」,「,我,想,揾,阿心,。,」,「,冇,阿心,吖,。,濾水,芯,就,有,。,」,,,,,,,,,,,,,,,,,,,,,
#,wai2,#,faat3-gei3,#,#,#,ngo5,soeng2,wan2,aa3-sam1,#,#,#,mou2,aa3-sam1,aa1,#,leoi6-seoi2,sam1,zau6,jau5,#,#,,,,,,,,,,,,,,,,,,,,,
#,Hello,#,Faat-Gei,#,#,#,I,want,to find,Ah-Sum,#,#,#,no,Ah-Sum,(particle),#,water filtration,cartridge,as a result,have,#,#,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,喂,。,」,「,我,想,揾,阿心,。,」,「,打,錯,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai2,#,#,#,ngo5,soeng2,wan2,aa3-sam1,#,#,#,daa2,co3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hello,#,#,#,I,want,to find,Ah-Sum,#,#,#,dial,wrong,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿心,吖,唔該,。,」,「,"Sorry,",I,beg,your,pardon.,」,「,"Oh,",sorry.,,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aa3-sam1,aa1,m4-goi1,#,#,#,#,#,#,#,#,#,#,#,#,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ah-Sum,(particle),Thanks,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,，,我,冇,再,撞,過,阿心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,#,ngo5,mou2,zoi3,zong6,gwo3,aa3-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
then,#,I,no,again,meet,already,Ah-Sum,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八,年,後,，,我,去,咗,屋企,附近,間,小學,教書,，,做,咗,二,年,A,班,嘅,班主任,。,,,,,,,,,,,,,,,,,,,,,,,
baat3,nin4,hau6,#,ngo5,heoi3,zo2,uk1-kei2,fu6-gan6,gaan1,siu2-hok6,gaau3-syu1,#,zou6,zo2,ji6,nin4,#,baan1,ge3,baan1-zyu2-jam6,#,,,,,,,,,,,,,,,,,,,,,,,
eight,year,later,#,I,go,-en,home,nearby,(measure),primary school,teaching,#,do,-en,two,year,A,class,’s,class teacher,#,,,,,,,,,,,,,,,,,,,,,,,
[23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,努力,工作,，,一路,都,冇,拍拖,。,而,阿心,呢個,人,，,一路,都,記,喺,我,心,入面,。,,,,,,,,,,,,,,,,,,,,,,,
ngo5,nou5-lik6,gung1-zok3,#,jat1-lou6,dou1,mou2,paak3-to1,#,ji4,aa3-sam1,nei1-go3,jan4,#,jat1-lou6,dou1,gei3,hai2,ngo5,sam1,jap6-min6,#,,,,,,,,,,,,,,,,,,,,,,,
I,try my best,to work,#,all the way,all,no,romantic relationship,#,and,Ah-Sum,this one,person,#,all the way,also,remember,at,my,heart,inside,#,,,,,,,,,,,,,,,,,,,,,,,
[24],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
某,日,，,學校,家長,日,。,有,個,熟悉,嘅,身,影,出現,喺,課室,出面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
mau5,jat6,#,hok6-haau6,gaa1-zoeng2,jat6,#,jau5,go3,suk6-sik1,ge3,san1,jing2,ceot1-jin6,hai2,fo3-sat1,ceot1-min6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
certain,day,#,school,parents,day,#,have,(measure),familiar,(linker),body,shadow,appear,at,classroom,outside,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,你,？,」,「,咦,，,好,耐,冇,見,。,你,幾好,嘛,？,」,係,阿心,。,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6,nei5,#,#,#,ji2,#,hou2,noi6,mou2,gin3,#,nei5,gei2-hou2,maa3,#,#,hai6,aa3-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,
#,is,you,#,#,#,Look!,#,very,long time,no,see,#,you,quite good,(particle),#,#,is,Ah-Sum,#,,,,,,,,,,,,,,,,,,,,,,,,
[26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,個,仔,上堂,乖唔乖,呀,？,」,「,都,…,都,乖,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,go3,zai2,soeng5-tong4,gwaai1-m4-gwaai1,aa3,#,#,#,dou1,#,dou1,gwaai1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,My,(measure),son,attend class,well-behaved or not,(particle),#,#,#,also,#,also,well-behaved,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
估,唔到,會,噉,撞,返,佢,。,阿心,冇,乜,點,變,，,笑,起上嚟,都,係,咁,靚,。,,,,,,,,,,,,,,,,,,,,,,,,
gu2,m4-dou2,wui5,gam2,zong6,faan1,keoi5,#,aa3-sam1,mou2,mat1,dim2,bin3,#,siu3,hei2-soeng5-lai4,dou1,hai6,gam3,leng3,#,,,,,,,,,,,,,,,,,,,,,,,,
guess,cannot,will,like,meet,back,her,#,Ah-Sum,no,what,how,change,#,smile,the way,also,is,so,beautiful,#,,,,,,,,,,,,,,,,,,,,,,,,
[28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔該,晒,你,，,睇住,我,個,仔,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-goi1,saai3,nei5,#,tai2-zyu6,ngo5,go3,zai2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Thanks,all,you,#,look after,my,(measure),son,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,句,「,唔該,晒,你,」,，,同,八,年,前,嗰,句,比,，,感覺,唔同,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,
nei1,geoi3,#,m4-goi1,saai3,nei5,#,#,tung4,baat3,nin4,cin4,go2,geoi3,bei2,#,gam2-gok3,m4-tung4,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,
This,sentence,#,Thanks,all,you,#,#,with,eight,year,before,that,sentence,compare,#,feeling,different,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,
[30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔使客氣,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-sai2-haak3-hei3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,You're welcome,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,呢個,名,，,或者,係,時候,放低,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-sam1,nei1-go3,meng2,#,waak6-ze2,hai6,si4-hau6,fong3-dai1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ah-Sum,this,name,#,maybe,is,time,to put down,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
