花貓,住,喺,琦琦,屋企,，,鍾意,日日,朝早,落,街,玩,，,晏晝,又,搭𨋢,上嚟,。,,,,,,,,,
faa1-maau1,zyu6,hai2,kei4-kei2,uk1-kei2,#,zung1-ji3,jat6-jat6,ziu1-zou2,lok6,gaai1,waan2,#,aan3-zau3,jau6,daap3-lip1,soeng5-lai4,#,,,,,,,,,
kitty,live,at,Kay,home,#,to like,every day,morning,to go down,street,to play,#,afternoon,again,take lift,come up,#,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,
花貓,今日,同埋,隻,老鼠,一齊,入嚟,屋企,，,老鼠,喺,佢,個,口,入面,。,佢,想,送,老鼠,俾,琦琦,一,家人,。,,
faa1-maau1,gam1-jat6,tung4-maai4,zek3,lou5-syu2,jat1-cai4,jap6-lai4,uk1-kei2,#,lou5-syu2,hai2,keoi5,go3,hau2,jap6-min6,#,keoi5,soeng2,sung3,lou5-syu2,bei2,kei4-kei2,jat1,gaa1-jan4,#,,
kitty,today,and,(measure),mouse,together,come in,home,#,mouse,at,it,(measure),mouth,inside,#,it,to want,to send,mouse,to,Kay,one,family,#,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,
花貓,行,到,入,廳,，,見到,媽媽,，,細細聲,叫,︰,「,喵,……,喵,……,」,,,,,,,,,
faa1-maau1,haang4,dou3,jap6,teng1,#,gin3-dou2,maa4-maa1,#,sai3-sai3-seng1,giu3,#,#,meu1,#,meu1,#,#,,,,,,,,,
kitty,to walk,to,to enter,living room,#,saw,mother,#,small and low voice,to shout,#,#,meow,#,meow,#,#,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,隻,老鼠,喺,佢,個,口,度,跳,出嚟,。,,,,,,,,,,,,,,,,
go2,zek3,lou5-syu2,hai2,keoi5,go3,hau2,dou6,tiu3,ceot1-lai4,#,,,,,,,,,,,,,,,,
that,(measure),mouse,at,it,(measure),mouth,place,to jump,out,#,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,驚,到,飛,咗,上,張,枱,上面,。,老鼠,驚,到,跑,咗,入,個,櫃,下面,。,,,,,,,
maa4-maa1,geng1,dou3,fei1,zo2,soeng5,zoeng1,toi2,soeng6-min6,#,lou5-syu2,geng1,dou3,paau2,zo2,jap6,go3,gwai6,haa6-min6,#,,,,,,,
mother,afraid,to,fly,-en,up,(measure),table,above,#,mouse,afraid,to,run,-en,in,(measure),cabinet,below,#,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,
花貓,呢,？,去,咗,張,牀,上面,瞓覺,。,,,,,,,,,,,,,,,,,
faa1-maau1,ne1,#,heoi3,zo2,zoeng1,cong4,soeng6-min6,fan3-gaau3,#,,,,,,,,,,,,,,,,,
kitty,(particle),#,to go,-en,(measure),bed,above,to sleep,#,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,︰,「,琦琦,，,你,一定,要,幫,我,揾,隻,老鼠,出嚟,。,」,,,,,,,,,,
maa4-maa1,waa6,#,#,kei4-kei2,#,nei5,jat1-ding6,jiu3,bong1,ngo5,wan2,zek3,lou5-syu2,ceot1-lai4,#,#,,,,,,,,,,
mother,to say,#,#,Kay,#,you,sure,need to,to help,I,to find,(measure),mouse,out,#,#,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,
琦琦,點點頭,。,琦琦,一啲,都,唔,驚,。,,,,,,,,,,,,,,,,,,
kei4-kei2,dim2-dim2-tau4,#,kei4-kei2,jat1-di1,dou1,m4,geng1,#,,,,,,,,,,,,,,,,,,
Kay,to nod,#,Kay,a bit,"all, also",not,afraid,#,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,
佢,諗,咗,一,諗,，,打開,大門口,，,又,唔,俾,花貓,瞓,。,,,,,,,,,,,,
keoi5,nam2,zo2,jat1,nam2,#,daa2-hoi1,daai6-mun4-hau2,#,jau6,m4,bei2,faa1-maau1,fan3,#,,,,,,,,,,,,
she,to think,-en,one,think,#,to open,door,#,again,not,allow,kitty,to sleep,#,,,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,
花貓,轉,入去,個,櫃,下面,。,而家,個,櫃,下面,好,嘈,呀,！,,,,,,,,,,,,
faa1-maau1,zyun2,jap6-heoi3,go3,gwai6,haa6-min6,#,ji4-gaa1,go3,gwai6,haa6-min6,hou2,cou4,aa3,#,,,,,,,,,,,,
kitty,to turn,in,(measure),cabinet,below,#,now,(measure),cabinet,below,very,noisy,(particle),#,,,,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,
「,吱,！,吱,！,」,「,喵,！,喵,！,」,,,,,,,,,,,,,,,
#,zi1,#,zi1,#,#,#,meu1,#,meu1,#,#,,,,,,,,,,,,,,,
#,squeak,#,squeak,#,#,#,meow,#,meow,#,#,,,,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠,跑,咗,出,大門口,，,花貓,冇,跟住,跑,出去,。,「,花貓,，,你,真係,叻,！,」,琦琦,摸,下,佢,個,頭,。
lou5-syu2,paau2,zo2,ceot1,daai6-mun4-hau2,#,faa1-maau1,mou5,gan1-zyu6,paau2,ceot1-heoi3,#,#,faa1-maau1,#,nei5,zan1-hai6,lek1,#,#,kei4-kei2,mo2,haa5,keoi5,go3,tau4,#
mouse,to run,-en,out,door,#,kitty,don't have,follow,to run,out,#,#,kitty,#,you,really,smart,#,#,Kay,to pet,a bit,it,(measure),head,#
