[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河狸,築,巢,記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ho4-lei2,zuk1,caau4,gei3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaver,build,nest,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河狸,係,一,種,可以,用,尖銳,牙齒,咬,斷,樹枝,、,喺,河流,起,水壩,居住,嘅,小動物,。,故事,就,發生,喺,一,條,平靜,休閒,嘅,河流,上面,。,艾迦,係,呢,條,村,裡面,最,年幼,嘅,河狸,，,由,細,到,大,，,爸爸,都,教,佢,樂於助人,嘅,精神,，,因為,噉,，,每當,佢,見到,有,人,需要,幫助,，,佢,都會,義不容辭,去,幫手,。,有一日,，,新,鄰居,波特,為咗,起,水壩,一事,好,煩惱,，,因為,條,河流,咁,大,，,以,佢,一個人,嘅,力量,實在,太,困難,喇,。,艾迦,知道,呢個,情況,，,就,好,熱心,噉,去,幫,佢,手,。,艾迦,：,「,不如,等,我,幫,你,吖,？,」,波特,：,「,嘩,，,真係,？,會唔會,麻煩,到,你,呀,？,」,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾迦,挨住,嗰個,位,嘅,樹枝,突然,斷,開,，,成,個,水壩,都,因為,承托,力,唔,夠,而,散開,晒,——,波特,嘅,新,屋,就係噉,，,喺,一日,之內,起,好,，,但,又,喺,一日,之間,消失,……,望住,自己,新,起,嘅,屋,俾,水,沖,走,，,波特,非常,唔,開心,，,於是,同,艾迦,游,返去,下游,，,執,返,晒,啲,樹枝,，,打算,重新,起,過,條,水壩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaai6-gaa1,aai1-zyu6,go2-go3,wai2,ge3,syu6-zi1,dat6-jin4,tyun5,hoi1,#,sing4,go3,seoi2-baa3,dou1,jan1-wai6,sing4-tok3,lik6,m4,gau3,ji4,saan3-hoi1,saai3,#,bo1-dak6,ge3,san1,uk1,zau6-hai6-gam2,#,hai2,jat1-jat6,zi1-noi6,hei2,hou2,#,daan6,jau6,hai2,jat1-jat6,zi1-gaan1,siu1-sat1,#,mong6-zyu6,zi6-gei2,san1,hei2,ge3,uk1,bei2,seoi2,cung1,zau2,#,bo1-dak6,fei1-soeng4,m4,hoi1-sam1,#,jyu1-si6,tung4,ngaai6-gaa1,jau4,faan1-heoi3,haa6-jau4,#,zap1,faan1,saai3,di1,syu6-zi1,#,daa2-syun3,cung4-san1,hei2,gwo3,tiu4,seoi2-baa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco,lean on,that,place,(linker),branch,suddenly,break,open,#,whole,(measure),dam,"all, also",because,support,strength,not,enough,and,scatter,all,#,Potter,’s,new,house,in this way,#,at,one day,within,build,well,#,but,again,at,one day,between,disappear,#,staring,oneself,newly,built,(linker),house,by,water,rinse,away,#,Potter,very,not,happy,#,so,with,Rocco,swim,back to,downstream,#,pick up,back,all,the,branch,#,plan,again,to build,again,(measure),dam,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就,喺,呢個,時候,，,波特,喺,下游,發現,頭先,斷,開,嗰,枝,樹枝,，,呢,枝,樹枝,又,短,又,幼,，,根本,唔,適合,拎,嚟,起,水壩,，,而,呢,枝,樹枝,，,正正,係,艾迦,幫,佢,執,返嚟,嘅,。,於是,佢,好,嬲,噉,捉住,艾迦,問,：,「,呢,枝,嘢,係咪,你,拎,返嚟,㗎,？,」,艾迦,就,答,佢,：,「,係呀,，,咩事,？,」,波特,確認,咗,件,事,之後,，,即刻,破口大罵,：,「,就係,因為,你,呢,枝,樹枝,，,個,水壩,先,會,冧,咋,！,」,艾迦,啞口無言,。,呢個,時候,，,佢,諗起,爸爸,嘅,教導,：,做人,只要,誠心,道歉,，,一定,會,得到,對方,原諒,。,於是,艾迦,同,波特,講,：,「,對唔住,呀,，,我,唔知,件,事,會,搞,成,噉,㗎,……,」
zau6,hai2,nei1-go3,si4-hau6,#,bo1-dak6,hai2,haa6-jau4,faat3-jin6,tau4-sin1,tyun5,hoi1,go2,zi1,syu6-zi1,#,ni1,zi1,syu6-zi1,jau6,dyun2,jau6,jau3,#,gan1-bun2,m4,sik1-hap6,ling1,lei4,hei2,seoi2-baa3,#,ji4,nei1,zi1,syu6-zi1,#,zing3-zing3,hai6,ngaai6-gaa1,bong1,keoi5,zap1,faan1-lei4,ge3,#,jyu1-si6,keoi5,hou2,nau1,gam2,zuk1-zyu6,ngaai6-gaa1,man6,#,#,nei1,zi1,je5,hai6-mai6,nei5,ling1,faan1-lei4,gaa3,#,#,ngaai6-gaa1,zau6,daap3,keoi5,#,#,hai6-aa3,#,me1-si6,#,#,bo1-dak6,kok3-jing6,zo2,gin6,si6,zi1-hau6,#,zik1-hak1,po3-hau2-daai6-maa6,#,#,zau6-hai6,jan1-wai6,nei5,nei1,zi1,syu6-zi1,#,go3,seoi2-baa3,sin1,wui5,lam1,zaa3,#,#,ngaai6-gaa1,aa2-hau2-mou4-jin4,#,nei1-go3,si4-hau6,#,keoi5,nam2-hei3,baa4-baa1,ge3,gaau3-dou6,#,zou6-jan4,zi2-jiu3,sing4-sam1,dou6-hip3,#,jat1-ding6,wui5,dak1-dou3,deoi3-fong1,jyun4-loeng6,#,jyu1-si6,ngaai6-gaa1,tung4,bo1-dak6,gong2,#,#,deoi3-m4-zyu6,aa3,#,ngo5,m4-zi1,gin6,si6,wui5,gaau2,sing4,gam2,gaa3,#,#
just,at,this one,time,#,Potter,at,downstream,find out,just now,break,open,that,(measure),branch,#,this,(measure),branch,also,short,also,thin,#,in the first place,not,suitable,take,to,build,dam,#,and,this,(measure),branch,#,exactly,is,Rocco,help,he,pick up,back,(linker),#,so,he,very,angry,-ly,catching,Rocco,to ask,#,#,this,(measure),thing,is or isn't,you,take,back,(particle),#,#,Rocco,then,reply,he,#,#,yes,#,what's the matter,#,#,Potter,affirm,-en,(measure),matter,after,#,immediately,shout abuse,#,#,that is,because,you,this,(measure),branch,#,(measure),dam,then,will,collapse,(particle),#,#,Rocco,be speechless,#,this,time,#,he,think of,father,’s,teaching,#,to conduct oneself,so long as,sincerely,apologise,#,surely,will,gain,other party,forgiveness,#,so,Rocco,to,Potter,say,#,#,Sorry!,(particle),#,I,don't know,(measure),matter,will,make,become,in this way,(particle),#,#
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波特,唔,原諒,艾迦,，,仲,好,嬲,噉,話,以後,都,唔想,再,見到,佢,！,傷心,嘅,艾迦,強忍,眼淚,，,不停,游,呀,游,，,游,呀,游,，,終於,返,到,屋企,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo1-dak6,m4,jyun4-loeng6,ngaai6-gaa1,#,zung6,hou2,nau1,gam2,waa6,ji5-hau6,dou1,m4-soeng2,zoi3,gin3-dou2,keoi5,#,soeng1-sam1,ge3,ngaai6-gaa1,koeng6-jan2,ngaan5-leoi6,#,bat1-ting4,jau4,aa3,jau4,#,jau4,aa3,jau4,#,zung1-jyu1,faan1,dou3,uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potter,not,forgive,Rocco,#,even,very,angry,-ly,say,afterwards,"all, also",don't want,again,see,he,#,sad,(linker),Rocco,choke back,tear,#,without stop,swim,(particle),swim,#,swim,(particle),swim,#,finally,back,to,home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,見到,佢,對,眼,紅,晒,，,就,問,佢,發生,咩事,。,滿,肚,委屈,嘅,艾迦,就,話,：,「,爸爸,，,你,又話,道歉,就,會,得到,人,原諒,嘅,？,點解,我,同,波特,道歉,，,佢,唔,原諒,我,？,」,爸爸,聽,完,之後,，,靜,咗,一陣,，,然後,好,温柔,噉,望住,艾迦,，,細細聲,問,佢,：,「,嗱,，,你,話,畀,爸爸,聽,成,件,事,係,點,先,。,」,於是,艾迦,一五一十,噉,講,俾,爸爸,聽,。,爸爸,聽,完,，,就,同,艾迦,講,：,「,艾迦,，,爸爸,係咪,教,過,你,，,做,錯,事,要,誠心,向,人,道歉,？,」,艾迦,：,「,係,呀,。,」,爸爸,：,「,噉,你,又,知唔知,，,點解,做,錯,事,要,道歉,吖,？,」,,,
baa4-baa1,gin3-dou2,keoi5,deoi3,ngaan5,hung4,saai3,#,zau6,man6,keoi5,faat3-sang1,me1-si6,#,mun5,tou5,wai2-wat1,ge3,ngaai6-gaa1,zau6,waa6,#,#,baa4-baa1,#,nei5,jau6-waa6,dou6-hip3,zau6,wui5,dak1-dou2,jan4,jyun4-loeng6,ge2,#,dim2-gaai2,ngo5,tung4,bo1-dak6,dou6-hip3,#,keoi5,m4,jyun4-loeng6,ngo5,#,#,baa4-baa1,teng1,jyun4,zi1-hau6,#,zing6,zo2,jat1-zan6,#,jin4-hau6,hou2,wan1-jau4,gam2,mong6-zyu6,ngaai6-gaa1,#,sai3-sai3-seng1,man6,keoi5,#,#,naa4,#,nei5,waa6,bei2,baa4-baa1,teng1,seng4,gin6,si6,hai6,dim2,sin1,#,#,jyu1-si6,ngaai6-gaa1,jat1-ng5-jat1-sap6,gam2,gong2,bei2,baa4-baa1,teng1,#,baa4-baa1,teng1,jyun4,#,zau6,tung4,ngaai6-gaa1,gong2,#,#,ngaai6-gaa1,#,baa4-baa1,hai6-mai6,gaau3,gwo3,nei5,#,zou6,co3,si6,jiu3,sing4-sam1,hoeng3,jan4,dou6-hip3,#,#,ngaai6-gaa1,#,#,hai6,aa3,#,#,baa4-baa1,#,#,gam2,nei5,jau6,zi1-m4-zi1,#,dim2-gaai2,zou6,co3,si6,jiu3,dou6-hip3,aa3,#,#,,,
father,saw,he,pair,eyes,red,all,#,then,ask,he,happen,what matter,#,full,tummy,to feel wronged,(linker),Rocco,then,say,#,#,father,#,you,said before,apologise,then,will,gain,people,forgiveness,(particle),#,why,I,to,Potter,apologise,#,he,not,forgive,I,#,#,father,hear,finish,after,#,quiet,-en,a while,#,then,very,gentle,-ly,staring,Rocco,#,small and low voice,ask,he,#,#,(particle),#,you,tell,to,father,hear,whole,(measure),matter,is,how,first,#,#,so,Rocco,in full details,-ly,tell,to,father,hear,#,father,hear,finish,#,then,to,Rocco,say,#,#,Rocco,#,father,is or isn't,teach,-ed,you,#,do,wrong,matter,need,sincerely,towards,people,to apologise,#,#,Rocco,#,#,yes,(particle),#,#,father,#,#,then,you,also,know or not,#,why,do,wrong,matter,need,to apologise,(particle),#,#,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾迦,聽,完,之後,，,成,個人,呆,晒,，,因為,佢,從來,冇,諗,過,呢,樣,嘢,。,爸爸,見到,艾迦,滿,臉,疑惑,，,就,繼續,講,：,「,道歉,係,因為,你,做,錯,事,，,帶,咗,麻煩,畀,對方,。,爸爸,成日,都,同,你,講,，,道歉,唔係,一,件,羞恥,嘅,事,，,而,係,表現,你,係,一個,勇於,承擔,過錯,嘅,人,，,係咪,？,」,艾迦,點點頭,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaai6-gaa1,teng1,jyun4,zi1-hau6,#,sing4,go3-jan4,ngoi4,saai3,#,jan1-wai6,keoi5,cung4-loi4,mou5,nam2,gwo3,nei1,joeng6,je5,#,baa4-baa1,gin3-dou2,ngaai6-gaa1,mun5,lim3,ji4-waak6,#,zau6,gai3-zuk6,gong2,#,#,dou6-hip3,hai6,jan1-wai6,nei5,zou6,co3,si6,#,daai3,zo2,maa4-faan4,bei2,deoi3-fong1,#,baa4-baa1,sing4-jat6,dou1,tung4,nei5,gong2,#,dou6-hip3,m4-hai6,jat1,gin6,sau1-ci2,ge3,si6,#,ji4,hai6,biu2-jin6,nei5,hai6,jat1-go3,jung5-jyu1,sing4-daam1,gwo3-co3,ge3,jan4,#,hai6-mai6,#,#,ngaai6-gaa1,dim2-dim2-tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco,hear,finish,after,#,whole,person,stunned,all,#,because,he,always,don't have,think,-ed,this,kind,thing,#,father,saw,Rocco,full,face,feel uncertain,#,then,continue,to say,#,#,apologise,is,because,you,do,wrong,matter,#,bring,-en,trouble,to,other party,#,father,always,"all, also",to,you,say,#,apologise,is not,one,(measure),shameful,(linker),matter,#,and,is,perform,you,is,one,eager to,undertake,fault,(linker),person,#,isn't it,#,#,Rocco,nod,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,又,繼續,講,：,「,之不過,呢,，,道歉,唔,一定,會,得到,對方,原諒,㗎,喎,。,因為,對方,可能,當下,嘅,情緒,未,平靜,到,落嚟,，,所以,仍然,好,嬲,你,。,而且,道歉,係,有,技巧,㗎,。,你,要,令,對方,知道,你,做,錯,咩事,，,道歉,嗰陣,要,望住,對方,，,噉,先,有,誠意,㗎嘛,！,」,艾迦,諗,咗,諗,，,恍然大悟,。,然後,就,話,：,「,我,知,喇,！,就,好似,爸爸,你,成日,同,媽媽,道歉,一樣,！,如果,你,唔知,自己,做,錯,啲,咩,，,媽媽,就,會,繼續,嬲,你,！,」,爸爸,好,尷尬,噉,回應,：,「,細聲,少少,，,細聲,少少,……,」,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,jau6,gai3-zuk6,gong2,#,#,zi1-bat1-gwo3,ne1,#,dou6-hip3,m4,jat1-ding6,wui5,dak1-dou2,deoi3-fong1,jyun4-loeng6,gaa3,wo3,#,jan1-wai6,deoi3-fong1,ho2-nang4,dong1-haa6,ge3,cing4-seoi5,mei6,ping4-zing6,dou2,lok6-lai4,#,so2-ji5,jing4-jin4,hou2,nau1,nei5,#,ji4-ce2,dou6-hip3,hai6,jau5,gei6-haau2,gaa3,#,nei5,jiu3,ling6,deoi3-fong1,zi1-dou3,nei5,zou6,co3,me1-si6,#,dou6-hip3,go2-zan2,jiu3,mong6-zyu6,deoi3-fong1,#,gam2,sin1,jau5,sing4-ji3,gaa1-maa3,#,#,ngaai6-gaa1,nam2,zo2,nam2,#,fong2-jin4-daai6-ng6,#,jin4-hau6,zau6,waa6,#,#,ngo5,zi1,laa3,#,zau6,hou2-ci5,baa4-baa1,nei5,sing4-jat6,tung4,maa4-maa1,dou6-hip3,jat1-joeng6,#,jyu4-gwo2,nei5,m4-zi1,zi6-gei2,zou6,co3,di1,me1,#,maa4-maa1,zau6,wui5,gai3-zuk6,nau1,nei5,#,#,baa4-baa1,hou2,gaam3-gaai3,gam2,wui4-jing3,#,#,sai3-seng1,siu2-siu2,#,sai3-seng1,siu2-siu2,#,#,,,,,,,,,,,,,,,,,,,,,,,,
