neighbour,heard,Saiweng,’s,speaking,#,"all, also",feel,amusing,#,(measure),horse,lose,-en,#,obviously,is,one,(measure),bad matter,#,but,Saiweng,then,feel,is,one,(measure),good matter,#,very,obvious,is,comfort,oneself,#,therefore,everyone,"all, also",didn't,take,Saiweng,’s,word,take seriously,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,幾,個月,，,嗰,隻,蕩失路,嘅,老,馬,竟然,跑,返嚟,，,仲,帶,埋,另一,隻,馬,！,於是,，,鄰居,又,一齊,嚟,向,塞翁,道賀,，,仲,讚,佢,唔見,馬,嗰陣,好,有,遠見,。,不過,今次,塞翁,反而,好,憂心,：,「,唉,，,我,無啦啦,多,咗,隻,馬,，,當然,係,一,件,好,事,，,但係,話唔定,佢,會,帶,嚟,壞,結果,呢,？,」,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,gei2,go3-jyut6,#,go2,zek3,dong6-sat1-lou6,ge3,lou5,maa5,ging2-jin4,paau2,faan1-lei4,#,zung6,daai3,maai4,ling6-jat1,zek3,maa5,#,jyu1-si6,#,leon4-geoi1,jau6,jat1-cai4,lei4,hoeng3,coi3-jung1,dou6-ho6,#,zung6,zaan3,keoi5,m4-gin3,maa5,go2-zan2,hou2,jau5,jyun5-gin3,#,bat1-gwo3,gam1-ci3,coi3-jung1,faan2-ji4,hou2,jau1-sam1,#,#,aai1,#,ngo5,mou4-laa1-laa1,do1,zo2,zek3,maa5,#,dong1-jin4,hai6,jat1,gin6,hou2,si6,#,daan6-hai6,waa6-m4-ding6,keoi5,wui5,daai3,lei4,waai6,git3-gwo2,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,
pass,-en,several,month(s),#,that,(measure),lost,(linker),old,horse,to one's surprise,run,come back,#,even,bring,also,another,(measure),horse,#,so,#,neighbour,again,together,come,towards,Saiweng,congratulate,#,even,praise,he,lose,horse,that time,very,have,foresight,#,however,this time,Saiweng,turn it around and,very,worried,#,#,Sigh!,#,I,with no reason,gain,-en,(measure),horse,#,certainly,is,one,(measure),good,matter,#,but,maybe,it,will,bring,come,bad,result,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鄰居,聽到,塞翁,嘅,説話,，,都,覺得,奇怪,，,多,咗,隻,馬,，,可以,係,咩,壞事,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leon4-geoi1,teng1-dou2,coi3-jung1,ge3,syut3-waa6,#,dou1,gok3-dak1,kei4-gwaai3,#,do1,zo2,zek3,maa5,#,ho2-ji5,hai6,me1,waai6-si6,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neighbour,heard,Saiweng,’s,speaking,#,"all, also",feel,strange,#,gain,-en,(measure),horse,#,can,be,what,bad matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞翁,屋企,無啦啦,多,咗,隻,馬,，,佢,個,仔,非常,開心,，,於是,成日,騎,住,隻,馬,周圍,走,。,終於,有一日,，,個,仔,得意忘形,，,竟然,喺,馬,背,上面,跌,咗,落嚟,，,仲,跌,傷,咗,一,隻,腳,，,自此,行,唔到,路,。,善良,嘅,鄰居,知道,之後,，,即刻,過嚟,塞翁,屋企,慰問,。,不過,，,塞翁,都係,講,同一,句,説話,：,「,我,個,仔,跌,斷,隻,腳,，,當然,係,一,件,壞事,，,但,之後,話唔定,會,帶,嚟,好,結果,呢,？,」
coi3-jung1,uk1-kei2,mou4-laa1-laa1,do1,zo2,zek3,maa5,#,keoi5,go3,zai2,fei1-soeng4,hoi1-sam1,#,jyu1-si6,seng4-jat6,ke4,zyu6,zek3,maa5,zau1-wai4,zau2,#,zung1-jyu1,jau5-jat1-jat6,#,go3,zai2,dak1-ji3-mong4-jing4,#,ging2-jin4,hai2,maa5,bui3,soeng6-min6,dit3,zo2,lok6-lei4,#,zung6,dit3,soeng1,zo2,jat1,zek3,goek3,#,zi6-ci2,haang4,m4-dou2,lou6,#,sin6-loeng4,ge3,leon4-geoi1,zi1-dou3,zi1-hau6,#,zik1-hak1,gwo3-lei4,coi3-jung1,uk1-kei2,wai3-man6,#,bat1-gwo3,#,coi3-jung1,dou1-hai6,gong2,tung4-jat1,geoi3,syut3-waa6,#,#,ngo5,go3,zai2,dit3,tyun5,zek3,goek3,#,dong1-jin4,hai6,jat1,gin6,waai6-si6,#,daan6,zi1-hau6,waa6-m4-ding6,wui5,daai3,lei4,hou2,git3-gwo2,ne1,#,#
Saiweng,home,with no reason,gain,-en,(measure),horse,#,he,(measure),son,very,happy,#,so,all the time,ride,-ing,(measure),horse,around,go,#,eventually,one day,#,(measure),son,get carried away,#,to one's surprise,at,horse,back,above,fall,-en,down,#,even,fall,injure,-en,one,(measure),leg,#,since then,walk,cannot,road,#,kind-hearted,(linker),neighbour,know,after,#,immediately,come over,Saiweng,home,to condole,#,however,#,Saiweng,also is,say,same,sentence,speaking,#,#,I,(measure),son,fall,break,(measure),leg,#,certainly,is,one,(measure),bad matter,#,but,afterwards,maybe,will,bring,come,good,result,(particle),#,#
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鄰居,聽到,塞翁,嘅,説話,，,都,覺得,佢,亂咁,講嘢,。,大家,都,唔明白,，,佢,個,仔,跌,斷,咗,隻,腳,，,點,會,係,好事,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leon4-geoi1,teng1-dou2,coi3-jung1,ge3,syut3-waa6,#,dou1,gok3-dak1,keoi5,lyun6-gam3,gong2-je5,#,daai6-gaa1,dou1,m4-ming4-baak6,#,keoi5,go3,zai2,dit3,tyun5,zo2,zek3,goek3,#,dim2,wui5,hai6,hou2-si6,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neighbour,heard,Saiweng,’s,speaking,#,"all, also",feel,he,thoughtlessly,speak,#,everyone,"all, also",not understand,#,he,(measure),son,fall,break,-en,(measure),leg,#,how,will,is,good matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,過,咗,一,年,，,敵軍,入侵,塞翁,嘅,國家,，,國家,要,所有,身強力壯,嘅,青年,去,打仗,，,結果,十,個,士兵,有,九,個,陣亡,。,而,塞翁,個,仔,因為,行,唔到,路,，,唔使,去,打仗,，,兩,父子,至,逃,過,呢,場,生離死別,嘅,災難,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau6,gwo3,zo2,jat1,nin4,#,dik6-gwan1,jap6-cam1,coi3-jung1,ge3,gwok3-gaa1,#,gwok3-gaa1,jiu3,so2-jau5,san1-koeng4-lik6-zong3,ge3,cing1-nin4,heoi3,daa2-zoeng3,#,git3-gwo2,sap6,go3,si6-bing1,jau5,gau2,go3,zan6-mong4,#,ji4,coi3-jung1,go3,zai2,jan1-wai6,haang4,m4-dou2,lou6,#,m4-sai2,heoi3,daa2-zoeng3,#,loeng5,fu6-zi2,zi3,tou4,gwo3,nei1,coeng4,sang1-lei4-sei2-bit6,ge3,zoi1-naan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again,pass,-en,one,year,#,enemy troops,invade,Saiweng,’s,country,#,country,need ,all,strong and able-bodied,(linker),youth,to go,on war,#,eventually,ten,(measure),soldier,have,nine,(measure),die in battle,#,and,Saiweng,(measure),son,because,walk,cannot,road,#,no need,to go,fight in war,#,two,father and son,then,escape,pass,this,(measure),part forever due to death,(linker),catastrophe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,故事,已經,流傳,咗,千,幾,二,千,年,，,為,嘅,係,要,話,畀,我哋,知,，,人世間,嘅,好事,同,壞事,唔係,絕對,嘅,——,有啲,時候,，,壞事,會,帶,嚟,好,嘅,結果,，,而,好事,都會,帶,嚟,壞,嘅,結果,。,凡事,要,睇,兩,面,，,唔好,只,著眼,於,一時,嘅,得失,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,gu3-si6,ji5-ging1,lau4-cyun4,zo2,cin1,gei2,ji6,cin1,nin4,#,wai6,ge3,hai6,jiu3,waa6,bei2,ngo5-dei6,zi1,#,jan4-sai3-gaan1,ge3,hou2-si6,tung4,waai6-si6,m4-hai6,zyut6-deoi3,ge3,#,jau5-di1,si4-hau6,#,waai6-si6,wui5,daai3,lei4,hou2,ge3,git3-gwo2,#,ji4,hou2-si6,dou1-wui5,daai3,lei4,waai6,ge3,git3-gwo2,#,faan4-si6,jiu3,tai2,loeng5,min6,#,m4-hou2,zi2,zoek6-ngaan5,jyu1,jat1-si4,ge3,dak1-sat1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,story,already,pass around,-en,thousand,several,two,thousand,year,#,in order to,(linker),is,need to,tell,to,we,know,#,in the human world,(linker),good matter,and,wrong matter,is not,absolute,(particle),#,some,time,#,bad matter,will,bring,come,good,(linker),result,#,and,good matter,also will,bring,come,bad,(linker),result,#,in every matter,need to,look,two,side,#,do not,only,focus,on,short-term,(linker),gain and loss,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
