jin4-hau6,zau6,zau2,zo2,ceot1,mun4-hau2,#,,,,,,,,,,,,,,,,,,,
then,then,leave,-ed,out,door,#,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,
阿成,唔知,咩,事,，,埋咗張單,就,出去,揾,小明,。,,,,,,,,,,,,,,,
Aa3-sing4,m4-zi1,me1,si6,#,maai4-zo2-zoeng1-daan1,zau6,ceot1-heoi3,wan2,Siu2-ming4,#,,,,,,,,,,,,,,,
Ah Sing,don't know,what,matter,#,paid the bill,then,go out,to find,Siu Ming,#,,,,,,,,,,,,,,,
[2j],,,,,,,,,,,,,,,,,,,,,,,,,
阿成,話,﹕,「,喂,，,你,做咩,走咗去,啊,，,你,屋企,隻,貓,要,生,BB,關,你,減肥,咩事,啊,？,」,
Aa3-sing4,waa6,#,#,wai3,#,nei5,zou6-me1,zau2-zo2-heoi3,aa3,#,nei5,uk1-kei2,zek3,maau1,jiu3,saang1,bi4-bi1,gwaan1,nei5,gaam2-fei4,me1-si6,aa3,#,#,
Ah Sing,say,#,#,Hey!,#,you,why,went away,(particle),#,you,home,(measure),cat,need to,give birth,babies,related to,you,lose weight,how,(particle),#,#,
[2k],,,,,,,,,,,,,,,,,,,,,,,,,
小明,答,﹕,「,噉,我,減唔減肥,，,又,關,你,咩事,？,」,,,,,,,,,,,,
Siu2-ming4,daap6,#,#,gam2,ngo5,gaam2-m4-gaam2-fei4,#,jau6,gwaan1,nei5,me1-si6,#,#,,,,,,,,,,,,
Siu Ming,answer,#,#,then,I,lose weight or not,#,again,related to,you,how,#,#,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,
真,人,真,事,,,,,,,,,,,,,,,,,,,,,,
zan1,jan4,zan1,si6,,,,,,,,,,,,,,,,,,,,,,
true,people,true,matter,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,
有,一,個,好,出名,嘅,機場,，,每日,有,好多,班,飛機,升,降,。,,,,,,,,,,
jau5,jat1,go3,hou2,ceot1-meng2,ge3,gei1-coeng4,#,mui5-jat6,jau5,hou2-do1,baan1,fei1-gei1,sing1,gong3,#,,,,,,,,,,
have,one,(measure),very,famous,-,airport,#,every day,have,many,(measure),airplanes,go up,go down,#,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,
有,一,日,，,一,架,就嚟,起飛,嘅,A320,飛機,因為,壞,咗,，,要,維修,，,所以,起飛,時間,要,推遲,。,,
jau5,jat1,jat6,#,jat1,gaa3,zau6-lai4,hei2-fei1,ge3,ei1-saam1-ji6-ling4,fei1-gei1,jan1-wai6,waai6,zo2,#,jiu3,wai4-sau1,#,so2-ji5,hei2-fei1,si4-gaan3,jiu3,teoi1-ci4,#,,
have,one,day,#,one,(measure),soon,take off,-,A320,airplane,because,out of order,-ed,#,need to,fix,#,therefore,take off,time,need to,postpone,#,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,
乘客,都,拎,返,晒,啲,行李,落機,。,但係,咁啱,個,閘口,有,其他,機,要,用,，,,,,,,,
sing4-haak3,dou1,ling1,faan1,saai3,di1,hang4-lei5,lok6-gei1,#,daan6-hai6,gam3-ngaam1,go3,zaap6-hau2,jau5,kei4-taa1,gei1,jiu3,jung6,#,,,,,,,
passengers,all,take,back,all,those,baggages,to get off the airplane,#,but,coincidentally,(measure),gate,have,other,airplane,need to,use,#,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,
所以,機組工作人員,通知,乘客,先,到,15,號,閘,等,，,,,,,,,,,,,,,,,
so2-ji5,gei1-zou2-gung1-zok3-jan4-jyun4,tung1-zi1,sing4-haak3,sin1,dou3,sap6-ng5,hou6,zaap6,dang2,#,,,,,,,,,,,,,,,
therefore,cabin crew,notify,passengers,first,arrive,fifteen,number,gate,to wait,#,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,
直到,維修,完,就,會,再,叫,佢哋,上機,。,,,,,,,,,,,,,,,,
zik6-dou3,wai4-sau1,jyun4,zau6,wui5,zoi3,giu3,keoi5-dei6,soeng5-gei1,#,,,,,,,,,,,,,,,,
until,fix,finished,then,will,again,ask,them,aboard,#,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,
但係,當,大家,去到,15,號,閘,嘅,時候,，,,,,,,,,,,,,,,,,
daan6-hai6,dong1,daai6-gaa1,heoi3-dou3,sap6-ng5,hou6,zaap6,ge3,si4-hau6,#,,,,,,,,,,,,,,,,
but,when,everyone,arrived,fifteen,number,gate,-,time,#,,,,,,,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,
機場,又,廣播,15,號,閘,閘門,壞,咗,，,,,,,,,,,,,,,,,,
gei1-coeng4,jau6,gwong2-bo3,sap6-ng5,hou6,zaap6,zaap6-mun4,waai6,zo2,#,,,,,,,,,,,,,,,,
airport,again,broadcast,fifteen,number,gate,gate,out of order,-ed,#,,,,,,,,,,,,,,,,
[3i],,,,,,,,,,,,,,,,,,,,,,,,,
所有,由,15,號,閘,登機,嘅,班機,全部,改,晒,去,206,閘口,。,,,,,,,,,,,
so2-jau5,jau4,sap6-ng5,hou6,zaap6,dang1-gei1,ge3,baan1-gei1,cyun4-bou6,goi2,saai3,heoi3,ji6-ling4-luk6,zaap6-hau2,#,,,,,,,,,,,
all,from,fifteen,number,gate,aboard,-,flights,all,change,all,to,206,gate,#,,,,,,,,,,,
[3j],,,,,,,,,,,,,,,,,,,,,,,,,
因為,206,閘口,係,喺,二,號,客運大樓,，,所以,大家,要,搭,列車,過去,。,,,,,,,,,,
jan1-wai6,ji6-ling4-luk6,zaap6-hau2,hai6,hai2,ji6,hou6,haak3-wan6-daai6-lau4,#,so2-ji5,daai6-gaa1,jiu3,daap3,lit6-ce1,gwo3-heoi3,#,,,,,,,,,,
because,206,gate,is,at,two,number,terminal,#,therefore,everyone,need to,take,train,to go,#,,,,,,,,,,
[3k],,,,,,,,,,,,,,,,,,,,,,,,,
飛機,終於,整,好,，,所有,人,亦都,重新,上機,。,噉,空姐,就,做,個,機上,廣播,：,,,,,,,
fei1-gei1,zung1-jyu1,zing2,hou2,#,so2-jau5,jan4,jik6-dou1,cung4-san1,soeng5-gei1,#,gam2,hung1-ze2,zau6,zou6,go3,gei1-soeng5,gwong2-bo3,#,,,,,,,
airplane,at last,fix,good,#,all,people,also,again,aboard,#,then,flight attendants,then,do,(measure),in-flight,broadcast,#,,,,,,,
[3l],,,,,,,,,,,,,,,,,,,,,,,,,
「,咁,多,位,先生,女士,唔好意思,，,因為,機件,故障,嘅,關係,，,我哋,遲,咗,一,個,鐘,，,,,,,
#,gam3,do1,wai2,sin1-saang1,neoi5-si6,m4-hou2-ji3-si1,#,jan1-wai6,gei1-gin2,gu3-zoeng3,ge3,gwaan1-hai6,#,ngo5-dei6,ci4,zo2,jat1,go3,zung1,#,,,,,
#,so,many,(measure),gentlemen,ladies,Sorry!,#,because,parts,hitch,-,relation,#,we,late,-ed,one,(measure),hour,#,,,,,
[3m],,,,,,,,,,,,,,,,,,,,,,,,,
而且,因為,閘口,故障,嘅,關係,，,令,大家,跑,咗,唔少,地方,，,,,,,,,,,,,,
ji4-ce2,jan1-wai6,zaap6-hau2,gu3-zoeng3,ge3,gwaan1-hai6,#,ling6,daai6-gaa1,paau2,zo2,m4-siu2,dei6-fong1,#,,,,,,,,,,,,
and,because,gate,hitch,-,relation,#,make,everyone,run,-ed,not few,places,#,,,,,,,,,,,,
[3n],,,,,,,,,,,,,,,,,,,,,,,,,
提提,大家,呢,班,機,係,去,英國,倫敦,，,如果,你,上,錯,飛機,，,,,,,,,,,,
tai4-tai4,daai6-gaa1,ni1,baan1,gei1,hai6,heoi3,jing1-gwok3,leon4-deon1,#,jyu4-gwo2,nei5,soeng5,co3,fei1-gei1,#,,,,,,,,,,
remind,everyone,this,(measure),flight,is,go to,United Kingdom,London,#,if,you,get on,wrong,airplane,#,,,,,,,,,,
[3o],,,,,,,,,,,,,,,,,,,,,,,,,
請,你,立即,通知,空中服務員,。,」,,,,,,,,,,,,,,,,,,,
cing2,nei5,lap6-zik1,tung1-zi1,hung1-zung1-fuk6-mou6-jyun4,#,#,,,,,,,,,,,,,,,,,,,
please,you,right away,inform,flight attendants,#,#,,,,,,,,,,,,,,,,,,,
[3p],,,,,,,,,,,,,,,,,,,,,,,,,
我,個,位,近,機,門,，,我,見到,機長,急急腳,喺,駕駛房,走,出嚟,，,,,,,,,,,,
ngo5,go3,wai2,gan6,gei1,mun4,#,ngo5,gin3-dou2,gei1-zoeng2,gap1-gap1-goek3,hai2,gaa3-sai2-fong2,zau2,ceot1-lai4,#,,,,,,,,,,
I,(measure),seat,near,airplane,door,#,I,saw,captain,hurriedly,at,cockpit,walk,to come out,#,,,,,,,,,,
[3q],,,,,,,,,,,,,,,,,,,,,,,,,
一路,講,「,頂,，,原來,唔係,去,紐約,，,搞錯,咗,添,。,」,,,,,,,,,,,
jat1-lou6,gong2,#,ding2,#,jyun4-loi4,m4-hai6,heoi3,nau2-joek3,#,gaau2-co3,zo2,tim1,#,#,,,,,,,,,,,
while,say,#,Damn,#,it turns out,is not,to go,New York,#,make a mistake,-ed,(particle),#,#,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,
醫院,，,好多,醫生,都,好,緊張,，,,,,,,,,,,,,,,,,,,
ji1-jyun2,#,hou2-do1,ji1-sang1,dou1,hou2,gan2-zoeng1,#,,,,,,,,,,,,,,,,,,
hospital,#,many,doctors,also,very,nervous,#,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,
應該,係,有,一,個,大人物,受咗傷,，,嚟,緊,搶救,。,,,,,,,,,,,,,,
jing1-goi1,hai6,jau5,jat1,go3,daai6-jan4-mat2,sau6-zo2-soeng1,#,lai4,gan2,coeng2-gau3,#,,,,,,,,,,,,,,
should,is,have,one,(measure),important person,got injured,#,come,-ing,rescue,#,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,
成,間,醫院,上上下下,都,好,關心,呢,位,傷者,，,原來,係,司令,。,,,,,,,,,,,
sing4,gaan1,ji1-jyun2,soeng6-soeng6-haa6-haa6,dou1,hou2,gwaan1-sam1,ni1,wai2,soeng1-ze2,#,jyun4-loi4,hai6,si1-ling6,#,,,,,,,,,,,
the whole,(measure),hospital,each and every one,all,very,concerned about,this,(measure),the injured,#,it turns out,is,commander,#,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,
醫生,開完會,，,決定,由,小明,醫生,幫,司令,做,手術,。,,,,,,,,,,,,,,
ji1-sang1,hoi1-jyun4-wui5,#,kyut3-ding6,jau4,Siu2-ming4,ji1-sang1,bong1,si1-ling6,zou6,sau2-seot6,#,,,,,,,,,,,,,,
doctor,finished meeting,#,decide,by,Siu Ming,doctor,to help,commander,to do,surgery,#,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,
因為,小明,醫生,出名,冷靜,手勢,好,。,,,,,,,,,,,,,,,,,,
jan1-wai6,Siu2-ming4,ji1-sang1,ceot1-meng2,laang5-zing6,sau2-sai3,hou2,#,,,,,,,,,,,,,,,,,,
because,Siu Ming,doctor,famous for,calm,skills,good,#,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,
手術,開始,，,手術,室,外,保安,重重,，,似乎,係,怕,敵人,對,司令,不利,。,,,,,,,,,
sau2-seot6,hoi1-ci2,#,sau2-seot6,sat1,ngoi6,bou2-on1,cung4-cung4,#,ci5-fu4,hai6,paa3,dik6-jan4,deoi3,si1-ling6,bat1-lei6,#,,,,,,,,,
surgery,begin,#,surgery,room,outside,security,layer after layer,#,apparently,is,afraid,enemy,towards,commander,harmful,#,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,
小明,話,﹕,「,刀,！,」,,,,,,,,,,,,,,,,,,,
Siu2-ming4,waa6,#,#,dou1,#,#,,,,,,,,,,,,,,,,,,,
Siu Ming,say,#,#,knife,#,#,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,
助手,一,刀,插,落,小明,度,。,,,,,,,,,,,,,,,,,,
zo6-sau2,jat1,dou1,caap3,lok6,Siu2-ming4,dou6,#,,,,,,,,,,,,,,,,,,
assistant,one,knife,stab,into,Siu Ming,place,#,,,,,,,,,,,,,,,,,,
[4i],,,,,,,,,,,,,,,,,,,,,,,,,
助手,話,﹕,「,對唔住,，,我,係,間諜,。,我,唔可以,畀,你,救,返,你哋,嘅,司令,，,佢,一定,要,死,。,」
zo6-sau2,waa6,#,#,deoi3-m4-zyu6,#,ngo5,hai6,gaan3-dip6,#,ngo5,m4-ho2-ji5,bei2,nei5,gau3,faan1,nei5-dei6,ge3,si1-ling6,#,keoi5,jat1-ding6,jiu3,sei2,#,#
assistant,say,#,#,Sorry!,#,I,am,spy,#,I,cannot,let,you,save,back,you, 's,commander,#,he/she,sure,need to,die,#,#
[4j],,,,,,,,,,,,,,,,,,,,,,,,,
小明,就,答,﹕,「,我,頂,！,噉,你,插,佢,吖,！,插,我,做,咩,啊,！,」,,,,,
Siu2-ming4,zau6,daap3,#,#,ngo5,ding2,#,gam2,nei5,caap3,keoi5,aa1,#,caap3,ngo5,zou6,me1,aa3,#,#,,,,,
Siu Ming,then,answer,#,#,I,damn,#,then,you,stab,him/her,(particle),#,stab,me,do,what,(particle),#,#,,,,,
