however,tomorrow,go to,Disney,#,surely,very,fun,#,I,have to,hurry up,sleep,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,樂樂,，,好,起身,啦,！,媽媽,蒸,咗,你,最,鍾意,食,嘅,燒賣,做,早餐,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lok6-lok6,#,hou2,hei2-san1,laa1,#,maa4-maa1,zing1,zo2,nei5,zeoi3,zung1-ji3,sik6,ge3,siu1-maai2,zou6,zou2-caan1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Loki,#,better,get up,(particle),#,Mama,steam,-en,you,most,like,to eat,(linker),Shumai,for,breakfast,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,捽,眼,望,望,個,鐘,，,又係,九,點,半,，,兩,支,指針,睇落,好似,冇,郁,過,，,但,其實,個,天,已經,光,晒,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,zeot1,ngaan5,mong6,mong6,go3,zung1,#,jau6-hai6,gau2,dim2,bun3,#,loeng5,zi1,zi2-zam1,tai2-lok6,hou2-ci5,mou5,juk1,gwo3,#,daan6,kei4-sat6,go3,tin1,ji5-ging1,gwong1,saai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,rub,eye,look,look,(measure),clock,#,also is,nine,o'clock,half,#,two,(measure),pointer,look like,seem,don't have,move,-ed,#,but,actually,(measure),sky,already,bright,entirely,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,望住,個,鐘,，,望,到,頭,都,側,埋,，,覺得,時間,呢,樣,嘢,真係,好,神奇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,mong6-zyu6,go3,zung1,#,mong6,dou3,tau4,dou1,zak1,maai4,#,gok3-dak1,si4-gaan3,nei1,joeng6,je5,zan1-hai6,hou2,san4-kei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,staring,(measure),clock,#,look,till,head,"all, also",tilt,also,#,feel,time, ,kind of,thing,really,very,miraculous,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,好似,知,我,諗,咩,噉,望住,我,笑,：,「,傻豬,，,支,時針,係,行,完,一,圈,走,返,原,點,，,但係,喺,現實,世界,已經,過,咗,十二,個鐘,——,所以,而家,已經,係,朝早,九,點,半,喇,！,仲,唔,快啲,起身,刷牙,食,早餐,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,hou2-ci5,zi1,ngo5,nam2,me1,gam2,mong6-zyu6,ngo5,siu3,#,#,so4-zyu1,#,zi1,si4-zam1,hai6,haang4,jyun4,jat1,hyun1,zau2,faan1,jyun4,dim2,#,daan6-hai6,hai2,jin6-sat6,sai3-gaai3,ji5-ging1,gwo3,zo2,sap6-ji6,go3-zung1,#,so2-ji5,ji4-gaa1,ji5-ging1,hai6,ziu1-zou2,gau2,dim2,bun3,laa3,#,zung6,m4,faai3-di1,hei2-san1,caat3-ngaa4,sik6,zou2-caan1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mama,seems,know,I,think,what,that way,staring,I,laugh,#,#,silly bun,#,(measure),pointer (hour),is,walk,finish,one,circle,go,back,original,point,#,but,at,real,world,already,pass,-en,twelve,hour(s),#,therefore,now,already,is,morning,nine,o'clock,half,(particle),#,still,not,hurry up,get up,brush teeth,eat,breakfast,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時針,走,一,圈,就,過,咗,十二,個鐘,？,時間,，,你,去,咗,邊,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si4-zam1,zau2,jat1,hyun1,zau6,gwo3,zo2,sap6-ji6,go3-zung1,#,si4-gaan3,#,nei5,heoi3,zo2,bin1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pointer (hour),go,one,circle,then,pass,-en,twelve,hour(s),#,time,#,you,go,-en,where,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搭車,去,迪士尼,嗰陣,，,我,打醒十二分精神,望住,我,隻,錶,——,我,要,𥄫,實,支,時針,唔,畀,佢,走,得,咁,快,，,等,我,可以,玩,耐,啲,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daap3-ce1,heoi3,dik6-si6-nei4,go2-zan6,#,ngo5,daa2-seng2-sap6-ji6-fan1-zing1-san4,mong6-zyu6,ngo5,zek3,biu1,#,ngo5,jiu3,gap6,sat6,zi1,si4-zam1,m4,bei2,keoi5,zau2,dak1,gam3,faai3,#,dang2,ngo5,ho2-ji5,waan2,noi6,di1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take vehicle,to go,Disney,that time,#,I,try one's best to be alert,staring,I,(measure),watch,#,I,have to,stare,hard,(measure),hour hand,not,let,it,go,(suffix),so,fast,#,so that,I,can,play,long time,-er,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,望,呀,望,，,望,呀,望,——,好,慢,呀,，,佢,好似,冇,郁,過,噉,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,mong6,aa3,mong6,#,mong6,aa3,mong6,#,hou2,maan6,aa3,#,keoi5,hou2-ci5,mou5,juk1,gwo3,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,look,(particle),look,#,look,(particle),look,#,very,slow,(particle),#,it,looks like,don't have,move,-ed,that way,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
望,下,望,下,，,我,覺得,眼皮,越嚟越重,，,最後,一片,漆黑,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mong6,haa5,mong6,haa5,#,ngo5,gok3-dak1,ngaan5-pei4,jyut6-lai4-jyut6-cung5,#,zeoi3-hau6,jat1-pin3,cat1-hak1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
look,a bit,look,a bit,#,I,feel,eyelid,heavier and heavier,#,eventually,one (measure),darkness,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,我,再,擘,大,眼,嗰陣,，,支,時針,已經,唔經唔覺,行,咗,一,大,步,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dou3,ngo5,zoi3,maak3,daai6,ngaan5,go2-zan6,#,zi1,si4-zam1,ji5-ging1,m4-ging1-m4-gok3,haang4,zo2,jat1,daai6,bou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by the time,I,again,open,big,eye,that time,#,(measure),pointer (hour),already,while I am unaware,walk,-en,one,big,step,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間,，,你,去,咗,邊,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si4-gaan3,#,nei5,heoi3,zo2,bin1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,#,you,go,-en,where,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,仲,望,手錶,？,我哋,到,咗,喇,，,快啲,去,玩,啦,！,」,媽媽,又,催,我,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zung6,mong6,sau2-biu1,#,ngo5-dei6,dou3,zo2,laa3,#,faai3-di1,heoi3,waan2,laa1,#,#,maa4-maa1,jau6,ceoi1,ngo5,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,still,look,wristwatch,#,we,arrive,-en,(particle),#,hurry up,go to,play,(particle),#,#,Mama,again,hurry,I,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,我,玩,咗,旋轉木馬,、,Winnie,the,Pooh,、,小飛象,……,我,玩,得,太,開心,喇,，,開心,到,完全,唔記得,要,望,錶,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeoi3-hau6,ngo5,waan2,zo2,syun4-zyun2-muk6-maa5,#,Winnie,the,Pooh,#,siu2-fei1-zoeng6,#,ngo5,waan2,dak1,taai3,hoi1-sam1,laa3,#,hoi1-sam1,dou3,jyun4-cyun4,m4-gei3-dak1,jiu3,mong6,biu1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the end,I,play,-en,Merry-go-round,#,Winnie,the,Pooh,#,Dumbo,#,I,play,(suffix),too,happy,(particle),#,happy,to the extent,completely,forget,have to,look,watch,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反而,媽媽,比,我,勤力,，,佢,望,錶,：,「,咦,，,乜,兩,點,嗱,，,我哋,食,啲,嘢,先,繼續,玩,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faan2-ji4,maa4-maa1,bei2,ngo5,kan4-lik6,#,keoi5,mong6,biu1,#,#,ji2,#,mat1,loeng5,dim2,naa4,#,ngo5-dei6,sik6,di1,je5,sin1,gai3-zuk6,waan2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on the contrary,Mama,compared to,I,diligent,#,she,look,watch,#,#,Look!,#,how is it,two,o'clock,(particle),#,we,eat,some,thing,then,continue,to play,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吓,？,！,！,！,乜,時間,過,得,咁,快,嘅,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haa2,#,#,#,#,mat1,si4-gaan3,gwo3,dak1,gam3,faai3,ge2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what?,#,#,#,#,how is it,time,pass,(suffix),so,fast,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,，,點解,時間,會,過,得,咁,快,，,佢,去,咗,邊,？,佢,係咪,俾,鐘錶,啲,指針,妖怪,食,咗,？,」,我,忍唔住,一輪嘴,將,我,嘅,煩惱,同,猜測,話晒,畀,媽媽,聽,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,maa4-maa1,#,dim2-gaai2,si4-gaan3,wui5,gwo3,dak1,gam3,faai3,#,keoi5,heoi3,zo2,bin1,#,keoi5,hai6-mai6,bei2,zung1-biu1,di1,zi2-zam1,jiu2-gwaai3,sik6,zo2,#,#,ngo5,jan2-m4-zyu6,jat1-leon2-zeoi2,zoeng1,ngo5,ge3,faan4-nou5,tung4,caai1-cak1,waa6-saai3,bei2,maa4-maa1,teng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Mama,#,why,time,will,pass,(suffix),so,fast,#,it,go,-en,where,#,it,is or isn't,by,clock and watch,’s,pointer,monster,eat,-en,#,#,I,cannot resist,blabbering,take,I,’s,worries,and,guess,tell all,to,Mama,to listen,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,聽,完,先,係,呆,一,呆,，,然後,笑,到,見,牙,唔見,眼,：,「,嘩,哈哈哈,，,傻豬,，,你,諗,咗,去,邊,呀,？,鐘錶,係,我哋,用嚟,睇,時間,嘅,工具,嚟,，,有啲,唔,準,嘅,，,會,行,得,快,咗,或,慢,咗,。,但,真正,嘅,時間,係,一,分,一,秒,噉,流逝,，,唔,會,話,走,得,快,咗,或,慢,咗,。,時間,過,得,快,或,慢,，,係,人,嘅,主觀,感覺,嚟,。,」
maa4-maa1,teng1,jyun4,sin1,hai6,ngoi4,jat1,ngoi4,#,jin4-hau6,siu3,dou3,gin3,ngaa4,m4-gin3,ngaan5,#,#,waa1,haa1-haa1-haa1,#,so4-zyu1,#,nei5,nam2,zo2,heoi3,bin1,aa3,#,zung1-biu1,hai6,ngo5-dei6,jung6-lai4,tai2,si4-gaan3,ge3,gung1-geoi6,lai4,#,jau5-di1,m4,zeon2,ge3,#,wui5,haang4,dak1,faai3,zo2,waak6,maan6,zo2,#,daan6,zan1-zing3,ge3,si4-gaan3,hai6,jat1,fan1,jat1,miu5,gam2,lau4-sai6,#,m4,wui5,waa6,zau2,dak1,faai3,zo2,waak6,maan6,zo2,#,si4-gaan3,gwo3,dak1,faai3,waak6,maan6,#,hai6,jan4,ge3,zyu2-gun1,gam2-gok3,lai4,#,#
Mama,listen,finish,first,is,dumbfounded,one,dumbfounded,#,then,laugh,to,see,tooth,not see,eye,#,#,Wow!,(laughter),#,silly bun,#,you,think,-en,to,where,(particle),#,clock and watch,is,we,used for,look,time,(linker),tool,(particle),#,a bit,not,accurate,(linker),#,will,walk,(suffix),fast,-en,or,slow,-en,#,but,true,(linker),time,is,one,minute,one,second,-ly,fleet (time),#,not,will,say,go,(suffix),fast,-en,or,slow,-en,#,time,pass,(suffix),fast,or,slow,#,is,people,(linker),subjective,feeling,(particle),#,#
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,停,咗,停,，,稍為,收起,笑容,再,開口,：,「,不過,有,樣,嘢,你,講,得,啱,，,就係,時間,係,一去不復返,嘅,，,挽留,唔到,亦,揾,唔,返,——,我哋,唯一,可以,做,嘅,，,就係,好好,珍惜,當下,，,唔好,虛,度,光陰,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,ting4,zo2,ting4,#,saau2-wai4,sau1-hei2,siu3-jung4,zoi3,hoi1-hau2,#,#,bat1-gwo3,jau5,joeng6,je5,nei5,gong2,dak1,ngaam1,#,zau6-hai6,si4-gaan3,hai6,jat1-heoi3-bat1-fau6-faan2,ge3,#,waan5-lau4,m4-dou2,jik6,wan2,m4,faan1,#,ngo5-dei6,wai4-jat1,ho2-ji5,zou6,ge3,#,zau6-hai6,hou2-hou2,zan1-sik1,dong1-haa5,#,m4-hou2,heoi1,dou6,gwong1-jam1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mama,pause,-en,pause,#,a little bit,cease,smile,again,open one's mouth,#,#,however,have,kind of,thing,you,say,(suffix),correct,#,which is,time,is,once gone never come back,(particle),#,hold on to,cannot,also,find,not,back,#,we,only,can,do,(linker),#,which is,well,treasure,present,#,do not,idly,pass,time,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,似,明,非,明,噉,望住,媽媽,，,佢,就話,：,「,就,好似,我哋,今日,嚟,到,迪士尼,，,你,會,希望,點樣,度過,喺,呢度,嘅,時間,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,ci5,ming4,fei1,ming4,gam2,mong6-zyu6,maa4-maa1,#,keoi5,zau6-waa6,#,#,zau6,hou2-ci5,ngo5-dei6,gam1-jat6,lai4,dou3,dik6-si6-nei4,#,nei5,wui5,hei1-mong6,dim2-joeng2,dou6-gwo3,hai2,nei1-dou6,ge3,si4-gaan3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
