媽媽,話,，,香蕉,未,熟,嗰陣時,係,綠色,，,熟,咗,之後,就係,黃色,，,呢個,時候,阿木,大嗌,一,句,：,「,食,嗰陣時,就係,白色,！,」,爸爸,媽媽,又,笑,得,好,開心,，,連,果園,嘅,導賞員,叔叔,都,笑,埋一份,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,waa6,#,hoeng1-ziu1,mei6,suk6,go2-zan6-si4,hai6,luk6-sik1,#,suk6,zo2,zi1-hau6,zau6-hai6,wong4-sik1,#,nei1-go3,si4-hau6,aa3-muk6,daai6-aai3,jat1,geoi3,#,#,sik6,go2-zan6-si4,zau6-hai6,baak6-sik1,#,#,baa4-baa1,maa4-maa1,jau6,siu3,dak1,hou2,hoi1-sam1,#,lin4,gwo2-jyun4,ge3,dou6-soeng2-jyun4,suk1-suk1,dou1,siu3,maai4-jat1-fan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,say,#,banana,not yet,mature,that time,is,green,#,mature,-en,after,then is,yellow,#,this (measure),time,Arden,shout,one,sentence,#,#,eat,that time,then is,white,#,#,father,mother,again,laugh,(suffix),very,happily,#,even,orchard,’s,tour guide,uncle,also,laugh,together,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
導賞員,叔叔,話,，,香蕉,好,適合,喺,温暖,潮濕,嘅,地方,生長,，,香港,就,最,啱,啦,！,除咗,呢個,果園,之外,，,香港,仲有,其他,農民,會,種,香蕉,，,而,喺,好似,大帽山,噉,嘅,郊野,地區,，,仲,會,有,野生,嘅,蕉,𠻹,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dou6-soeng2-jyun4,suk1-suk1,waa6,#,hoeng1-ziu1,hou2,sik1-hap6,hai2,wan1-nyun5,ciu4-sap1,ge3,dei6-fong1,sang1-zoeng2,#,hoeng1-gong2,zau6,zeoi3,ngaam1,laa3,#,ceoi4-zo2,nei1-go3,gwo2-jyun4,zi1-ngoi6,#,hoeng1-gong2,zung6-jau5,kei4-taa1,nung4-man4,wui5,zung3,hoeng1-ziu1,#,ji4,hai2,hou2-ci5,daai6-mou6-saan1,gam2,ge3,gaau1-je5,dei6-keoi1,#,zung6,wui5,jau5,je5-saang1,ge3,ziu1,tim1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tour guide,uncle,say,#,banana,very,suitable,at,warm,moist,(linker),place,to grow,#,Hong Kong,then,most,suitable,(particle),#,except,this (measure),orchard,except,#,Hong Kong,still have,other,farmers,will,plant,banana,#,and,at,just like,Tai Mo Shan,in that way,(linker),countryside,area,#,even,will,have,wild,(linker),banana,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行,下,行,下,，,就,去,到,下一個,區,，,呢邊,種,嘅,全部,都係,橙,橙,黃,黃,嘅,生果,，,係,咩,嚟,㗎,？,爸爸,話,，,呢啲,就係,阿木,最,鍾意,食,嘅,木瓜,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haang4,haa5,haang4,haa5,#,zau6,heoi3,dou3,haa6-jat1-go3,keoi1,#,nei1-bin1,zung3,ge3,cyun4-bou6,dou1-hai6,caang2,caang2,wong4,wong4,ge3,saang1-gwo2,#,hai6,me1,lai4,gaa3,#,baa4-baa1,waa6,#,nei1-di1,zau6-hai6,aa3-muk6,zeoi3,zung1-ji3,sik6,ge3,muk6-gwaa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walk,a bit,walk,a bit,#,then,go ,to,next,area,#,this side,plant,(linker),all,also is,orange,orange,yellow,yellow,(linker),fruit,#,is,what,(particle),(particle),#,father,say,#,these,then is,Arden,most,like,to eat,(linker),papaya,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
導賞員,叔叔,話,，,木瓜,有,好,豐富,嘅,營養,，,而,好少,人,知,嘅,係,，,香港,周圍,都係,木瓜,樹,，,數量,仲有,成,35萬,棵,咁,多,！,雖然,阿木,唔係,好,知道,35萬,即係,幾多,，,但,總之,就係,好多,好多,啦,！,香港,有,咁,多,木瓜,樹,，,除咗,因為,香港,氣候,好,適合,種,木瓜,之外,，,亦都,因為,木瓜,有,好多,種子,，,可以,種,到,好多,木瓜,樹,。,,,,,,,,,,,,
dou6-soeng2-jyun4,suk1-suk1,waa6,#,muk6-gwaa1,jau5,hou2,fung1-fu3,ge3,jing4-joeng5,#,ji4,hou2-siu2,jan4,zi1,ge3,hai6,#,hoeng1-gong2,zau1-wai4,dou1-hai6,muk6-gwaa1,syu6,#,sou3-loeng6,zung6-jau5,seng4,saam1-sap6-ng5-maan6,po1,gam3,do1,#,seoi1-jin4,aa3-muk6,m4-hai6,hou2,zi1-dou3,saam1-sap6-ng5-maan6,zik1-hai6,gei2-do1,#,daan6,zung2-zi1,zau6-hai6,hou2-do1,hou2-do1,laa1,#,hoeng1-gong2,jau5,gam3,do1,muk6-gwaa1,syu6,#,ceoi4-zo2,jan1-wai6,hoeng1-gong2,hei3-hau6,hou2,sik1-hap6,zung3,muk6-gwaa1,zi1-ngoi6,#,jik6-dou1,jan1-wai6,muk6-gwaa1,jau5,hou2-do1,zung2-zi2,#,ho2-ji5,zung3,dou2,hou2-do1,muk6-gwaa1,syu6,#,,,,,,,,,,,,
tour guide,uncle,say,#,papaya,have,very,rich,(linker),nutrition,#,and,few,people,know,(linker),is,#,Hong Kong,surrounding,also is,papaya,tree,#,quantity,still have,almost,"350,000",(measure),so,many,#,although,Arden,is not,very,know,"350,000",that means,how many,#,but,in a word,which is,many,many,(particle),#,Hong Kong,have,so,many,papaya,tree,#,except,because,Hong Kong,climate,very,suitable,plant,papaya,except,#,also,because,papaya,have,many,seed,#,can,plant,(suffix),many,papaya,tree,#,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,阿木,又,加把口,：,「,係,啊,！,我,食,親,木瓜,都,要,『,吐,吐,吐,』,㗎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,aa3-muk6,jau6,gaa1-baa2-hau2,#,#,hai6,aa3,#,ngo5,sik6,can1,muk6-gwaa1,dou1,jiu3,#,tou3,tou3,tou3,#,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this (measure),time,#,Arden,again,chime in,#,#,is,(particle),#,I,eat,whenever,papaya,"all, also",need to,#,spit,spit,spit,#,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之前,聽,其他,小朋友,講,，,如果,吞,咗,啲,木瓜,核,落,肚,，,就,會,喺,肚,入面,生,返,木瓜,樹,出嚟,。,所以,每,次,食,木瓜,，,阿木,都,一定,會,好,認真,噉,吐,晒,啲,核,出嚟,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-cin4,teng1,kei4-taa1,siu2-pang4-jau5,gong2,#,jyu4-gwo2,tan1,zo2,di1,muk6-gwaa1,wat6,lok6,tou5,#,zau6,wui5,hai2,tou5,jap6-min6,saang1,faan1,muk6-gwaa1,syu6,ceot1-lei4,#,so2-ji5,mui5,ci3,sik6,muk6-gwaa1,#,aa3-muk6,dou1,jat1-ding6,wui5,hou2,jing6-zan1,gam2,tou3,saai3,di1,wat6,ceot1-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before,hear,other,child,say,#,if,swallow,-en,some,papaya,seed,down to,tummy,#,then,will,at,tummy,inside,grow,back,papaya,tree,out,#,therefore,every,time,eat,papaya,#,Arden,"all, also",surely,will,very,serious,-ly,spit,all,those,seed,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然間,，,阿木,畀,前面,嘅,樹,吸引,住,，,仲,主動,問,導賞員,叔叔,嗰啲,係,乜嘢,嚟,——,原來,眼前,呢啲,就係,椰子,樹,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4-gaan1,#,aa3-muk6,bei2,cin4-min6,ge3,syu6,kap1-jan5,zyu6,#,zung6,zyu2-dung6,man6,dou6-soeng2-jyun4,suk1-suk1,go2-di1,hai6,mat1-je5,lei4,#,jyun4-loi4,ngaan5-cin4,nei1-di1,zau6-hai6,je4-zi2,syu6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,Arden,by,front,(linker),tree,attract,-ing,#,even,actively,ask,tour guide,uncle,those,is,what,(particle),#,it turns out,before one's eyes,these,then is,coconut,tree,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好似,木瓜,同,香蕉,噉,，,椰子,樹,都係,好,適合,種,喺,香港,呢,一,種,亞熱帶,地區,。,「,喺,唔同,時間,收割,嘅,椰子,仲有,唔同,用途,：,如果,喺,椰子,最,細個,嗰陣,收割,，,就係,我哋,平時,見到,嘅,椰皇,，,通常,用嚟,整,甜品,——,」,「,例如,椰皇,燉,蛋白,！,」,阿木,即刻,搶答,。,導賞員,叔叔,笑,住,讚,阿木,聰明,，,然後,繼續,解釋,：,「,如果,等,多,一個,禮拜,先,收割,，,椰皇,就,會,變做,椰青,。,」
hou2-ci5,muk6-gwaa1,tung4,hoeng1-ziu1,gam2,#,je4-zi2,syu6,dou1-hai6,hou2,sik1-hap6,zung3,hai2,hoeng1-gong2,nei1,jat1,zung2,aa3-jit6-daai3,dei6-keoi1,#,#,hai2,m4-tung4,si4-gaan3,sau1-got3,ge3,je4-zi2,zung6-jau5,m4-tung4,jung6-tou4,#,jyu4-gwo2,hai2,je4-zi2,zeoi3,sai3-go3,go2-zan6,sau1-got3,#,zau6-hai6,ngo5-dei6,ping4-si4,gin3-dou2,ge3,je4-wong4,#,tung1-soeng4,jung6-lei4,zing2,tim4-ban2,#,#,#,lai6-jyu4,je4-wong4,dan6,daan2-baak6,#,#,aa3-muk6,zik1-hak1,coeng2-daap3,#,dou6-soeng2-jyun4,suk1-suk1,siu3,zyu6,zaan3,aa3-muk6,cung1-ming4,#,jin4-hau6,gai3-zuk6,gaai2-sik1,#,#,jyu4-gwo2,dang2,do1,jat1-go3,lai5-baai3,sin1,sau1-got3,#,je4-wong4,zau6,wui5,bin3-zou6,je4-ceng1,#,#
just like,papaya,and,banana,in that way,#,coconut,tree,also is,very,suitable,plant,at,Hong Kong,this,one,type,subtropical,area,#,#,at,different,time,harvest,(linker),coconut,even have,different,use,#,if,at,coconut,most,young,that time,to harvest,#,then is,we,usually,see,(linker),young coconut,#,usually,used for,making,dessert,#,#,#,for example,young coconut,simmer,egg white,#,#,Arden,immediately,answer swiftly,#,tour guide,uncle,laugh,-ing,praise,Arden,smart,#,then,continue,to explain,#,#,if,wait,more,one (measure),week,then,harvest,#,young coconut,then,will,become,green coconut,#,#
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,即係,婆婆,平時,去,果欄,買,畀,你,飲,嗰啲,椰青,啊,。,」,媽媽,補充,一,句,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zik1-hai6,po4-po2,ping4-si4,heoi3,gwo2-laan1,maai5,bei2,nei5,jam2,go2-di1,je4-ceng1,aa3,#,#,maa4-maa1,bou2-cung1,jat1,geoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,that means,grandmother,usually,go,fruit market,to buy,to,you,to drink,those,green coconut,(particle),#,#,mother,supplement,one,sentence,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,椰青,入面,有,好多,椰汁,，,又,甜,又,解渴,，,仲有,好多,營養,𠻹,！,再,等,耐,啲,，,椰青,就,會,變做,成熟,嘅,椰子,，,到時,就,可以,用嚟,煲湯,或者,整,椰,奶,㗎喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,je4-ceng1,jap6-min6,jau5,hou2-do1,je4-zap1,#,jau6,tim4,jau6,gaai2-hot3,#,zung6-jau5,hou2-do1,jing4-joeng5,tim1,#,zoi3,dang2,noi6,di1,#,je4-ceng1,zau6,wui5,bin3-zou6,sing4-suk6,ge3,je4-zi2,#,dou3-si4,zau6,ho2-ji5,jung6-lei4,bou1-tong1,waak6-ze2,zing2,je4,naai5,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,green coconut,inside,have,many,coconut water,#,also,sweet,also,satiate one's thirst,#,even have,many,nutrition,(particle),#,again,wait,long time,more,#,green coconut,then,will,become,mature,(linker),coconut,#,by that time,then,can,used for,cook soup,or,make,coconut,milk,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
導賞員,叔叔,仲,話,，,原來,香港,市區,有,一個,地方,種,咗,好多,椰子,樹,，,嗰度,就係,黃大仙,嘅,摩士,公園,。,摩士,公園,入面,有,個,棕櫚,園,，,種,咗,廿二,種,唔同,種類,嘅,棕櫚,樹,，,其中,就,有,四,種,唔同,嘅,椰子,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
