就,係噉,，,今年,冬天,，,夏兒,做,咗,「,燕子,媽媽,」,，,幫手,睇,燕子,，,仲,揾,埋,媽媽,幫手,整,張,好,細,、,但,好,厚,嘅,被,仔,畀,燕子,保,暖,。,,,,,,,,,,,,,,,
zau6,hai6-gam2,#,gam1-nin2,dung1-tin1,#,haa6-ji4,zou6,zo2,#,jin3-zi2,maa4-maa1,#,#,bong1-sau2,tai2,jin3-zi2,#,zung6,wan2,maai4,maa4-maa1,bong1-sau2,zing2,zoeng1,hou2,sai3,#,daan6,hou2,hau5,ge3,pei5,zai2,bei2,jin3-zi2,bou2,nyun5,#,,,,,,,,,,,,,,,
then,keep doing,#,this year,winter,#,Hailey,to do,-ed,#,swallow,mother,#,#,to help,to look after,swallow,#,even,to find,-ed,mother,to help,to make,(measure),very,small,#,but,very,thick,-,blanket,little,to give,swallow,to keep,warm,#,,,,,,,,,,,,,,,
[Line 18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就,喺,媽媽,好,緊張,噉,整,被,嘅,時候,，,夏兒,問,：,「,媽媽,！,燕子,嘅,屋企人,出年,先,返嚟,，,噉,佢,咪,好,驚,囉,？,」,,,,,,,,,,,,,,,,,,,,,,
zau6,hai2,maa4-maa1,hou2,gan2-zoeng1,gam2,zing2,pei5,ge3,si4-hau6,#,haa6-ji4,man6,#,#,maa4-maa1,#,jin3-zi2,ge3,uk1-kei2-jan4,ceot1-nin2,sin1,faan1-lai4,#,gam2,keoi5,mai6,hou2,geng1,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,
then,at,mother,very,nervous,in this way,to make,blanket,-,time,#,Hailey,to ask,#,#,mother,#,swallow,s,family,next year,then,to come back,#,then,it,may,very,afraid,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,
[Line 19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,雖然,燕子,會,好,驚,，,但,佢,知道,屋企人,一定,會,返嚟,揾,佢,，,所以,唔,會,唔,開心,嘅,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,waa6,#,#,seoi1-jin4,jin3-zi2,wui5,hou2,geng1,#,daan6,keoi5,zi1-dou3,uk1-kei2-jan4,jat1-ding6,wui5,faan1-lai4,wan2,keoi5,#,so2-ji5,m4,wui5,m4,hoi1-sam1,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,to say,#,#,although,swallow,will,very,afraid,#,but,it,to know,family,sure,will,to come back,to find,it,#,therefore,not,will,not,happy,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,就,好似,喺,外地,忙,於,工作,嘅,爸爸,、,同埋,我,嘅,好,朋友,小花,，,佢哋,一,年,會,返嚟,一,次,，,所以,我,都,唔,會,唔,開心,噉樣,？,」,,,,,,,,,,,,,,,,,,
#,zau6,hou2-ci5,hai2,ngoi6-dei6,mong4,jyu1,gung1-zok3,ge3,baa4-baa1,#,tung4-maai4,ngo5,ge3,hou2,pang4-jau5,siu2-faa1,#,keoi5-dei6,jat1,nin4,wui5,faan1-lai4,jat1,ci3,#,so2-ji5,ngo5,dou1,m4,wui5,m4,hoi1-sam1,gam2-joeng2,#,#,,,,,,,,,,,,,,,,,,
#,then,seems,at,foreign land,busy,at,work,-,father,#,and,I,s,good,friend,Little Faa,#,they,one,year,will,to come back,one,time,#,therefore,I,also,not,will,not,happy,then,#,#,,,,,,,,,,,,,,,,,,
[Line 21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,摸,住,夏兒,頭髮,，,話,：,「,冇錯,，,因為,佢哋,知道,呢度,先,係,屋企,，,佢哋,一定,會,返嚟,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,mo2,zyu6,haa6-ji4,tau4-faat3,#,waa6,#,#,mou5-co3,#,jan1-wai6,keoi5-dei6,zi1-dou3,nei1-dou6,sin1,hai6,uk1-kei2,#,keoi5-dei6,jat1-ding6,wui5,faan1-lai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,to feel,-ing,Hailey,hair,#,to say,#,#,alright,#,because,they,to know,here,first,is,home,#,they,sure,will,to come back,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話,咁,快,就,到,春天,喇,！,爸爸,同,小花,都,返,咗,嚟,，,仲,同,夏兒,一齊,行山,。,夏兒,見,燕子,嘅,傷,好返,晒,，,就,放,咗,佢,，,佢,即刻,飛,上,天,同,其他,雀仔,一齊,玩,。,,,,,,,,
waa6,gam3,faai3,zau6,dou3,ceon1-tin1,laa3,#,baa4-baa1,tung4,siu2-faa1,dou1,faan1,zo2,lai4,#,zung6,tung4,haa6-ji4,jat1-cai4,haang4-saan1,#,haa6-ji4,gin3,jin3-zi2,ge3,soeng1,hou2-faan1,saai3,#,zau6,fong3,zo2,keoi5,#,keoi5,zik1-hak1,fei1,soeng5,tin1,tung4,kei4-taa1,zoek3-zai2,jat1-cai4,waan2,#,,,,,,,,
to say,so,fast,as a result,to,spring,already,#,father,and,Little Faa,also,to return,-ed,to come,#,still,and,Hailey,together,to hike,#,Hailey,see,swallow,s,wound,recover,all,#,then,to release,-ed,it,#,it,immediately,to fly,go up,sky,with,other,bird,together,to play,#,,,,,,,,
[Line 23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然,夏兒,條,村,已經,冇乜,人,住,，,但,夏兒,相信,啲,村民,都,係,同,佢,一樣,，,覺得,：,「,始終,都,係,返,返去,最,熟悉,嘅,屋企,、,喺,最,愛,嘅,家人,身邊,，,先,最,開心,自在,！,」,,,,,,,,
seoi1-jin4,haa6-ji4,tiu4,cyun1,ji5-ging1,mou5-mat1,jan4,zyu6,#,daan6,haa6-ji4,soeng1-seon3,di1,cyun1-man4,dou1,hai6,tung4,keoi5,jat1-joeng6,#,gok3-dak1,#,#,ci2-zung1,dou1,hai6,faan1,faan1-heoi3,zeoi3,suk6-sik1,ge3,uk1-kei2,#,hai2,zeoi3,oi3,ge3,gaa1-jan4,san1-bin1,#,sin1,zeoi3,hoi1-sam1,zi6-zoi6,#,#,,,,,,,,
although,Hailey,(measure),village,already,have not really,human,to live,#,but,Hailey,believe,some,villager,also,is,with,she,the same,#,to feel,#,#,after all,all,is,to return,to go back,most,familiar,-,home,#,at,most,love,-,family member,side,#,then,most,happy,comfortable,#,#,,,,,,,,
