我,問,：,「,噉,點解,唔係,叫做,咖,茶,，,或者,奶,啡,，,而,係,鴛鴦,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,man6,#,#,gam2,dim2-gaai2,m4-hai6,giu3-zou6,gaa3,caa4,#,waak6-ze2,naai5,fe1,#,ji4,hai6,jyun1-joeng1,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to ask,#,#,then,why,is not,to be called,cof-,tea,#,either,milk,-ffee,#,and,is,coffee with milk tea,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爹哋,話,：,「,鴛鴦,本身,係,一,種,生活,喺,水,上,嘅,鳥,類,。,佢哋,有,個,特別,嘅,地方,，,就,係,男仔,同,女仔,個,樣,完全,唔同,，,男,嘅,五顏六色,，,女,嘅,灰灰暗暗,，,睇落去,冇挐冇掕,，,但係,佢哋,又,會,成日,一雙一對,噉,生活,。,就,好似,咖啡,同,奶茶,，,佢哋,顏色,、,味道,完全,唔同,，,但係,加,埋,一齊,就,會,變成,好,好味,嘅,嘢飲,。,有啲,人,仲,話,，,鴛鴦,係,香港,人,發明,嘅,嘢飲,嚟,！,」
de1-di4,waa6,#,#,jyun1-joeng1,bun2-san1,hai6,jat1,zung2,sang1-wut6,hai2,seoi2,soeng5,ge3,niu5,leoi6,#,keoi5-dei6,jau5,go3,dak6-bit6,ge3,dei6-fong1,#,zau6,hai6,naam4-zai2,tung4,neoi5-zai2,go3,joeng2,jyun4-cyun4,m4-tung4,#,naam4,ge3,ng5-ngaan4-luk6-sik1,#,neoi2,ge3,fui1-fui1-am3-am3,#,tai2-lok6-heoi3,mou5-laa1-mou5-leng3,#,daan6-hai6,keoi5-dei6,jau6,wui5,sing4-jat6,jat1-soeng1-jat1-deoi3,gam2,sang1-wut6,#,zau6,hou2-ci5,gaa3-fe1,tung4,naai5-caa4,#,keoi5-dei6,ngaan4-sik1,#,mei6-dou6,jyun4-cyun4,m4-tung4,#,daan6-hai6,gaa1,maai4,jat1-cai4,zau6,wui5,bin3-sing4,hou2,hou2-mei6,ge3,je5-jam2,#,jau5-di1,jan4,zung6,waa6,#,jyun1-joeng1,hai6,hoeng1-gong2,jan4,faat3-ming4,ge3,je5-jam2,lai4,#,#
daddy,to say,#,#,coffee with milk tea,itself,is,one,type,to live,at,water,above,(linker),bird,kind,#,they,have,(measure),special,(linker),place,#,then,is,boy,and,girl,(measure),appearance,complete,different,#,male,(linker),colourful,#,daughter,(linker),ashy and dark,#,to look at it,have no relation,#,but,they,again,will,always,one pair,-ly,to live,#,then,seems,coffee,and,milk tea,#,they,colour,#,taste,complete,different,#,but,to add,with,together,then,will,become,very,tasty,(linker),drinks,#,some,people,still,to say,#,coffee with milk tea,is,Hong Kong,people,invention,(linker),drinks,(particle),#,#
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,話,：,「,我,明白,啦,。,噉,我,同,坐,隔籬,位,嘅,同學,都,係,鴛鴦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,waa6,#,#,ngo5,ming4-baak6,laa3,#,gam2,ngo5,tung4,zo6,gaak3-lei4,wai2,ge3,tung4-hok6,dou1,hai6,jyun1-joeng1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to say,#,#,I,understand,(particle),#,then,I,and,to sit,next to,seat,(linker),schoolmate,also,is,coffee with milk tea,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,見到,媽咪,喺度,偷,笑,。,佢,細細聲,噉,問,我,：,「,你,隔籬,個,同學,係,點樣,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,gin3-dou2,maa1-mi4,hai2-dou6,tau1,siu3,#,keoi5,sai3-sai3-seng1,gam2,man6,ngo5,#,#,nei5,gaak3-lei4,go3,tung4-hok6,hai6,dim2-joeng2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to see,mommy,right here,secretly,to laugh,#,she,low voice,-ly,to ask,I,#,#,you,next to,(measure),schoolmate,is,how,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,話,：,「,佢,係,今,個,學期,轉,校,過,嚟,嘅,插班生,。,佢,頭髮,攣,攣,哋,，,五官,同,我哋,好,唔同,，,膚,色,都,同,我哋,大部份,同學,唔,一樣,，,好似,外國,人,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,waa6,#,#,keoi5,hai6,gam1,go3,hok6-kei4,zyun3,haau6,gwo3,lai4,ge3,caap3-baan1-saang1,#,keoi5,tau4-faat3,lyun1,lyun1,dei2,#,ng5-gun1,tung4,ngo5-dei6,hou2,m4-tung4,#,fu1,sik1,dou1,tung4,ngo5-dei6,daai6-bou6-fan6,tung4-hok6,m4,jat1-joeng6,#,hou2-ci5,ngoi6-gwok3,jan4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to say,#,#,she,is,this,(measure),semester,to turn,school,to pass,to come,(linker),transfer student,#,she,hair,curly,curly,a bit,#,facial features,and,"we, us",very,different,#,skin,colour,"all, also",and,"we, us",vast majority,schoolmate,not,the same,#,seems,foreign country,people,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,雖然,我哋,兩個,嘅,外表,好,唔同,，,但,我哋,每日,喺,學校,都,會,一齊,好,開心,噉,上堂,、,一齊,放,小息,、,一齊,玩,。,好多,老師,見到,我哋,兩個,，,都,話,我哋,係,『,孖,公仔,』,。,但係,我,而家,可以,話,返,畀,老師,知,，,我哋,唔,係,孖,公仔,，,我哋,仲係,一,杯,鴛鴦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,seoi1-jin4,ngo5-dei6,loeng5-go3,ge3,ngoi6-biu2,hou2,m4-tung4,#,daan6,ngo5-dei6,mui5-jat6,hai2,hok6-haau6,dou1,wui5,jat1-cai4,hou2,hoi1-sam1,gam2,soeng5-tong4,#,jat1-cai4,fong3,siu2-sik1,#,jat1-cai4,waan2,#,hou2-do1,lou5-si1,gin3-dou2,ngo5-dei6,loeng5-go3,#,dou1,waa6,ngo5-dei6,hai6,#,maa1,gung1-zai2,#,#,daan6-hai6,ngo5,ji4-gaa1,ho2-ji5,waa6,faan1,bei2,lou5-si1,zi1,#,ngo5-dei6,m4,hai6,maa1,gung1-zai2,#,ngo5-dei6,zung6-hai6,jat1,bui1,jyun1-joeng1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,although,"we, us",two,‘s,appearance,very,different,#,but,"we, us",every day,at,school,"all, also",will,together,very,happy,-ly,attend class,#,together,to have,recess,#,together,to play,#,many,teacher,to see,"we, us",two,#,"all, also",to say,"we, us",is,#,double,doll,#,#,but,I,now,can,to say,back,to give,teacher,to know,#,"we, us",not,is,double,doll,#,"we, us",still,one,cup,coffee with milk tea,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,聽到,我,噉,講,，,就,嗌,侍應,哥哥,過,嚟,，,點,咗,一,杯,熱,「,兒童,鴛鴦,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,teng1-dou2,ngo5,gam2,gong2,#,zau6,aai3,si6-jing3,go4-go1,gwo3,lai4,#,dim2,zo2,jat1,bui1,jit6,#,ji4-tung4,jyun1-joeng1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,to hear,I,in this way,to say,#,then,to ask,waiter,elder brother,to pass,to come,#,order,-en,one,cup,hot,#,child,coffee with milk tea,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,又,話,：,「,鴛鴦,本身,有,咖啡因,，,唔,啱,小朋友,飲,。,但係,兒童,鴛鴦,就,冇,嘅,。,下次,約,埋,你,隔籬,位,同學,一齊,嚟,茶餐廳,食,嘢,，,等,我,請,佢,飲,杯,兒童,鴛鴦,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,jau6,waa6,#,#,jyun1-joeng1,bun2-san1,jau5,gaa3-fe1-jan1,#,m4,ngaam1,siu2-pang4-jau5,jam2,#,daan6-hai6,ji4-tung4,jyun1-joeng1,zau6,mou5,ge3,#,haa6-ci3,joek3,maai4,nei5,gaak3-lei4,wai2,tung4-hok6,jat1-cai4,lai4,caa4-caan1-teng1,sik6,je5,#,dang2,ngo5,ceng2,keoi5,jam2,bui1,ji4-tung4,jyun1-joeng1,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,again,to say,#,#,coffee with milk tea,itself,have,caffeine,#,not,suitable,child,to drink,#,but,child,coffee with milk tea,then,don't have,(particle),#,next time,to invite,with,you,next to,seat,schoolmate,together,to come,Hong Kong-style cafe,to eat,thing,#,to wait,I,treat,she,to drink,cup,child,coffee with milk tea,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
