luckily,Earth,have,one,group of,very,brave,(linker),fighter,#,they,know,giant dragon,plan,to eat,-en,moon,#,therefore,deliberately,fly,up to,outer space,to stop,it,#,they,know,giant dragon,very,dangerous,#,once,go,unnecessarily,have,to return,#,but,in order to,protect,moon,#,make,people of the world,can,continue,at,dark night,among,see,moonlight,and,keep,Earth,(linker),normal,orbiting,#,they,determine,have to,defeat,giant dragon,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,佢哋,離遠,見到,巨龍,嘅,時候,，,發現,巨龍,已經,拎,住,個,月亮,要,送,入,口,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-zi1,keoi5-dei6,lei4-jyun5,gin3-dou2,geoi6-lung4,ge3,si4-hau6,#,faat3-jin6,geoi6-lung4,ji5-ging1,ling1,zyu6,go3,jyut6-loeng6,jiu3,sung3,jap6,hau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unexpectedly,they,from afar,saw,giant dragon,(linker),time,#,find out,giant dragon,already,take,-ing,(measure),moon,have to,send,into,mouth,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,弊,喇,！,趕唔切,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,bai6,laa3,#,gon2-m4-cit3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,big trouble,(particle),#,cannot make it,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企,喺,窗,前,嘅,戰士,好,沮喪,，,覺得,而家,做,咩,都,於事無補,。,好多,人,都,好,灰心,失望,，,有,戰士,甚至,開始,喊,起上嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei5,hai2,coeng1,cin4,ge3,zin3-si6,hou2,zeoi2-song3,#,gok3-dak1,ji4-gaa1,zou6,me1,dou1,jyu1-si6-mou4-bou2,#,hou2-do1,jan4,dou1,hou2,fui1-sam1,sat1-mong6,#,jau5,zin3-si6,sam6-zi3,hoi1-ci2,haam3,hei2-soeng5-lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stand,at,window,front,(linker),fighter,very,upset,#,feel,now,do,whatever,"all, also",cannot mend the dire situation,#,many,people,"all, also",very,frustrated,disappointed,#,have,fighter,even,start,cry,begin to,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,未,遲,㗎,！,大家,千祈,唔好,放棄,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mei6,ci4,gaa3,#,daai6-gaa1,cin1-kei4,m4-hou2,fong3-hei3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,not yet,late,(particle),#,everyone,definitely,do not,give up,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,呢個,時候,，,有,一個人,大聲,噉,鼓勵,大家,要,堅持,。,佢,將,太空船,嘅,速度,推到,最,盡,，,然後,一口氣,對準,巨龍,個,口,射出,好多,個,遠,距離,火球,！,火球,係,呢,班,戰士,帶,嚟,專門,對付,巨龍,嘅,武器,，,因為,佢哋,知道,巨龍,最,怕,火,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,ni1-go3,si4-hau6,#,jau5,jat1-go3-jan4,daai6-seng1,gam2,gu2-lai6,daai6-gaa1,jiu3,gin1-ci4,#,keoi5,zoeng1,taai3-hung1-syun4,ge3,cuk1-dou6,teoi1-dou3,zeoi3,zeon6,#,jin4-hau6,jat1-hau2-hei3,deoi3-zeon2,geoi6-lung4,go3,hau2,se6-ceot1,hou2-do1,go3,jyun5,keoi5-lei4,fo2-kau4,#,fo2-kau4,hai6,ni1,baan1,zin3-si6,daai3,lai4,zyun1-mun4,deoi3-fu6,geoi6-lung4,ge3,mou5-hei3,#,jan1-wai6,keoi5-dei6,zi1-dou3,geoi6-lung4,zeoi3,paa3,fo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,this (measure),time,#,have,one person,loud,-ly,encourage,everyone,have to ,persist,#,he,take,spaceship,(linker),speed,push to,most,all or limit,#,then,in one breath,aim at,giant dragon,(measure),mouth,shoot,many,(measure),far,distance,fireball,#,fireball,at,this,group of,fighter,bring,to come,specially,to cope with,giant dragon,(linker),weapon,#,because,they,know,giant dragon,most,afraid of,fire,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
擘,大,口,準備,食,月亮,嘅,巨龍,，,就係噉,吞,埋,戰士,射,嚟,嘅,火球,。,火球,喺,巨龍,個,肚,入面,熊熊,燃燒,，,巨龍,全身,都,好,痛,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maak3,daai6,hau2,zeon2-bei6,sik6,jyut6-loeng6,ge3,geoi6-lung4,#,zau6-hai6-gam2,tan1,maai4,zin3-si6,se6,lai4,ge3,fo2-kau4,#,fo2-kau4,hai2,geoi6-lung4,go3,tou5,jap6-min6,hung4-hung4,jin4-siu1,#,geoi6-lung4,cyun4-san1,dou1,hou2,tung3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,big,mouth,ready to,eat,moon,(linker),giant dragon,#,just like that,swallow,also,fighter,shoot,come,(linker),fireball,#,fireball,at,giant dragon,(measure),tummy,inside,blazing,burn,#,giant dragon,whole body,"all, also",very,painful,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,，,巨龍,頂唔順,要,嘔,返,肚,入面,啲,火球,出嚟,，,於是,就,連,之前,吞吞埋埋,嘅,月亮,同,其他,星球,都,嘔,埋,……,嘔,完,火球,之後,，,巨龍,一身,鬆,晒,。,不過,望住,一,班,奮勇,嘅,戰士,，,佢,唔,敢,再,食,月球,，,唯有,敗走,。,就係噉,，,呢,班,戰士,成功,打敗,巨龍,，,保護,月亮,同,其他,星球,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,#,geoi6-lung4,ding2-m4-seon6,jiu3,au2,faan1,tou5,jap6-min6,di1,fo2-kau4,ceot1-lai4,#,jyu1-si6,zau6,lin4,zi1-cin4,tan1-tan1-maai4-maai4,ge3,jyut6-loeng6,tung4,kei4-taa1,sing1-kau4,dou1,au2,maai4,#,au2,jyun4,fo2-kau4,zi1-hau6,#,geoi6-lung4,jat1-san1,sung1,saai3,#,bat1-gwo3,mong6-zyu6,jat1,baan1,fan5-jung5,ge3,zin3-si6,#,keoi5,m4,gam2,zoi3,sik6,jyut6-kau4,#,wai4-jau5,baai6-zau2,#,zau6-hai6-gam2,#,ni1,baan1,zin3-si6,sing4-gung1,daa2-baai6,geoi6-lung4,#,bou2-wu6,jyut6-loeng6,tung4,kei4-taa1,sing1-kau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finally,#,giant dragon,cannot withstand,have to,vomit,back,tummy,inside,those,fireball,out,#,so,then,even,before,swallowed,(linker),moon,and,other,planet,"all, also",vomit,also,#,vomit,finish,fireball,after,#,giant dragon,all over the body,relax,all,#,however,staring,one,group of,brave,(linker),fighter,#,it,not,dare,again,eat,moon,#,can only,lose and retreat,#,just like that,#,this,group of,fighter,succeed,to defeat,giant dragon,#,protect,moon,and,other,planet,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
與此同時,，,津津,、,樂仔,、,小文,依然,喺,公園,玩,緊,。,佢哋,完全,唔,知道,太空,發生,緊,咩事,，,亦,唔,知道,佢哋,好,想,見到,嘅,月亮,差啲,就,消失,。,入夜,之後,，,佢哋,好似,往年,噉,開開心心,賞月,。,其實,佢哋,可以,安心,賞月,，,係,因為,有,一,班,戰士,喺,遙遠,嘅,他方,為,佢哋,戰鬥,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu5-ci2-tung4-si4,#,zeon1-zeon1,#,lok6-zai2,#,siu2-man4,ji1-jin4,hai2,gung1-jyun2,waan2,gan2,#,keoi5-dei6,jyun4-cyun4,m4,zi1-dou3,taai3-hung1,faat3-sang1,gan2,me1-si6,#,jik6,m4,zi1-dou3,keoi5-dei6,hou2,soeng2,gin3-dou2,ge3,jyut6-loeng6,caa1-di1,zau6,siu1-sat1,#,jap6-je6,zi1-hau6,#,keoi5-dei6,hou2-ci5,wong5-nin2,gam2,hoi1-hoi1-sam1-sam1,soeng2-jyut2,#,kei4-sat6,keoi5-dei6,ho2-ji5,on1-sam1,soeng2-jyut2,#,hai6,jan1-wai6,jau5,jat1,baan1,zin3-si6,hai2,jiu4-jyun5,ge3,taa1-fong1,wai6,keoi5-dei6,zin3-dau3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at the same time,#,Meena,#,Somu,#,Raju,still,at,park,play,-ing,#,they,completely,not,know,outer space,happen,-ing,what matter,#,also,not,know,they,very,want to,see,(linker),moon,almost,then,disappear,#,nightfall,after,#,they,seems,the past years,that way,happily,watch moon,#,actually,they,can,reassured,watch moon,#,is,because,have,one,group of,fighter,at,distant,(linker),other place,for,they,fight,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十,年,之後,，,津津,、,樂仔,、,小文,已經,長大,。,佢哋,識到,一個,哥哥,，,佢,將,巨龍,食,月,嘅,故事,講,咗,畀,佢哋,聽,，,佢哋,先,知道,原來,發生,過,噉,嘅,事,。,呢,位,哥哥,，,就係,當年,鼓勵,佢,班,戰士,同伴,唔好,放棄,嘅,人,。,十,年,後,，,太空,又,有,巨龍,出現,。,今次,嗰,位,哥哥,已經,唔,可以,再,出戰,，,不過,取而代之,嘅,，,係,繼承,佢,志向,嘅,後人,，,津津,、,樂仔,同,小文,就係,其中,一份子,！,相信,呢,顆,守護,地球,嘅,熱心,，,係,會,好似,火炬,一樣,，,一,棒,一,棒,噉,傳承,落去,，,永遠,不,滅,。
sap6,nin4,zi1-hau6,#,zeon1-zeon1,#,lok6-zai2,#,siu2-man4,ji5-ging1,zoeng2-daai6,#,keoi5-dei6,sik1-dou2,jat1-go3,go4-go1,#,keoi5,zoeng1,geoi6-lung4,sik6,jyut6,ge3,gu3-si6,gong2,zo2,bei2,keoi5-dei6,teng1,#,keoi5-dei6,sin1,zi1-dou3,jyun4-loi4,faat3-sang1,gwo3,gam2,ge3,si6,#,ni1,wai2,go4-go1,#,zau6-hai6,dong1-nin4,gu2-lai6,keoi5,baan1,zin3-si6,tung4-bun6,m4-hou2,fong3-hei3,ge3,jan4,#,sap6,nin4,hau6,#,taai3-hung1,jau6,jau5,geoi6-lung4,ceot1-jin6,#,gam1-ci3,go2,wai2,go4-go1,ji5-ging1,m4,ho2-ji5,zoi3,ceot1-zin3,#,bat1-gwo3,ceoi2-ji4-doi6-zi1,ge3,#,hai6,gai3-sing4,keoi5,zi3-hoeng3,ge3,hau6-jan4,#,zeon1-zeon1,#,lok6-zai2,tung4,siu2-man4,zau6-hai6,kei4-zung1,jat1-fan6-zi2,#,soeng1-seon3,ni1,fo2,sau2-wu6,dei6-kau4,ge3,jit6-sam1,#,hai6,wui5,hou2-ci5,fo2-geoi6,jat1-joeng6,#,jat1,paang5,jat1,paang5,gam2,cyun4-sing4,lok6-heoi3,#,wing5-jyun5,bat1,mit6,#
ten,year,after,#,Meena,#,Somu,#,Raju,already,grow up,#,they,met,one (measure),elder brother,#,he,take,giant dragon,eat,moon,(linker),story,tell,-en,to,they,to listen,#,they,then,know,it turns out,happen,-ed,such,(linker),matter,#,this,(measure),elder brother,#,which is,in those years,encourage,he,group of,fighter,companion,do not,give up,(linker),person,#,ten,year,after,#,outer space,again,have,giant dragon,appear,#,this time,that,(measure),elder brother,already,not,can,again,join the fight,#,however,to replace,(linker),#,is,inherit,he,ambition,(linker),descendants,#,Meena,#,Somu,and,Raju,which is,among,one of them,#,believe,this,(measure),guard,Earth,(linker),passionate heart,#,is,will,seems,torch,the same,#,one,(measure),one,(measure),in that way,pass on,down,#,forever,don't,extinguish,#
