maa4-maa1,waa6,#,#,bat1-jyu4,nei5,si3-haa5,man6,jan4,laa1,#,zi1-hau6,jat1-ding6,jiu3,tung4,jan4,gong2,m4-goi1,aa3,#,#,,,,,,
mother,to say,#,#,how about,you,to try,to ask,person,(particle),#,after,sure,should,with,people,to say,thanks,(particle),#,#,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,
我,見到,有,個,女人,坐,喺,張,櫈,上面,，,於是,行,去,問,佢,：,,,,,,,,,,
ngo5,gin3-dou2,jau5,go3,neoi5-jan2,co5,hai2,zoeng1,dang3,soeng6-min6,#,jyu1-si6,haang4,heoi3,man6,keoi5,#,,,,,,,,,,
I,to see,have,(measure),woman,to sit,at,(measure),chair,above,#,so,to walk,to go,to ask,she,#,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔好意思,啊,姨姨,，,你,知,唔,知道,點,去,香城,大廈,？,」,,,,,,,,,,,,
#,m4-hou2-ji3-si1,aa3,ji1-ji1,#,nei5,zi1,m4,zi1-dou3,dim2,heoi3,hoeng1-sing4,daai6-haa6,#,#,,,,,,,,,,,,
#,excuse me,(particle),auntie,#,you,to know,not,to know,how,to go,Heung Sing,building,#,#,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,諗,咗,一陣,，,答,我,：,「,妹妹,，,你,先,喺,呢度,向,嗰,邊,行,，,行,到,公園,門口,轉,右,，
ji1-ji1,nam2,zo2,jat1-zan6,#,daap3,ngo5,#,#,mui4-mui2,#,nei5,sin1,hai2,ni1-dou6,hoeng3,go2,bin1,haang4,#,haang4,dou3,gung1-jyun4,mun4-hau2,zyun3,jau6,#
auntie,to think,-ed,a while,#,to reply,I,#,#,younger sister,#,you,first,at,here,towards,that,side,to walk,#,to walk,to,park,doorway,to turn,right,#
[12],,,,,,,,,,,,,,,,,,,,,,,,,,
一路,行,，,去,到,街市,嗰度,。,街市,對面,就,係,喇,。,」,,,,,,,,,,,,
jat1-lou6,haang4,#,heoi3,dou3,gaai1-si5,go2-dou6,#,gaai1-si5,deoi3-min6,zau6,hai6,laa3,#,#,,,,,,,,,,,,
while,to walk,#,to go,to,wet market,there,#,wet market,opposite,then,is,(particle),#,#,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,
記得,點,行,之後,，,我,大聲,同,姨姨,講,：,「,唔該,晒,姨姨,！,」,,,,,,,,,,
gei3-dak1,dim2,haang4,zi1-hau6,#,ngo5,daai6-seng1,tung4,ji1-ji1,gong2,#,#,m4-goi1,saai3,ji1-ji1,#,#,,,,,,,,,,
to remember,how,to walk,after,#,I,loudly,to,auntie,to say,#,#,thanks,all,auntie,#,#,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,
姨姨,摸,摸,我,個,頭,，,同,我,講,：,「,唔使客氣,。,不過,我,係,姐姐,嚟,㗎,，,唔係,姨姨,啊,！,」,
ji1-ji1,mo2,mo2,ngo5,go3,tau4,#,tung4,ngo5,gong2,#,#,m4-sai2-haak3-hei3,#,bat1-gwo3,ngo5,hai6,ze4-ze1,lai4,gaa3,#,m4-hai6,ji1-ji1,aa3,#,#,
auntie,to feel,to feel,my,(measure),head,#,to,me,to say,#,#,You're welcome,#,but,I,am,elder sister,(particle),(particle),#,not is,auntie,(particle),#,#,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,喺,隔籬,，,自己,一個,喺度,笑,。,,,,,,,,,,,,,,,,,,
maa4-maa1,hai2,gaak3-lei4,#,zi6-gei2,jat1-go3,hai2-dou6,siu3,#,,,,,,,,,,,,,,,,,,
mother,at,next to,#,oneself,one (measure),at here,to laugh,#,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,笑,，,跟住,姐姐,都,喺度,笑,。,點解,佢哋,喺度,笑,嘅,？,,,,,,,,,,,,
maa4-maa1,siu3,#,gan1-zyu6,ze4-ze1,dou1,hai2-dou6,siu3,#,dim2-gaai2,keoi5-dei6,hai2-dou6,siu3,ge2,#,,,,,,,,,,,,
mother,to laugh,#,and then,elder sister,also,at here,laugh,#,why,they,at here,to laugh,(particle),#,,,,,,,,,,,,
