Dad,’s,back,a bit,curved,#,because,he,all the time,have to,sit,at,(measure),very,small,(measure),(linker),circle,folding chair,above,to do,buy and sell,give change,(linker),task/effort,#,actually,Dad,"all, also",can be considered,tall and big,#,but,because,he,(measure),back,curved,-en,#,make,he,short,-en,entire,segment,#,I,all the time,right here,think,#,if,Dad,can,stand,back,straight,(measure),waist,#,he,will,compared to,that one,Fat Boy Ming,’s,old man (dad),tall,at least,whole,(measure),head,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肥仔明,係,我,今年,嘅,同班,同學,。,原來,佢,住,喺,我,屋企,附近,。,我,好,討厭,佢,。,佢,成日,同,陳明坤,、,李志傑,一齊,笑,我,係,「,鹹濕仔,」,。,我,當然,知道,點解,佢哋,會,噉樣,笑,我,。,但係,，,我,比,佢哋,都,正人君子,啊,。,我,間中,會,一個人,幫,阿爸,睇下,報紙檔,，,等,佢,可以,去,隔籬,個,投注站,買,馬仔,。,如果,嗰陣時,肥仔明,佢哋,經過,，,噉,我,就,慘,喇,。,佢哋,會,喺,檔口,前,不停,噉,笑,我,，,話,我,鹹濕仔,喺度,賣,鹹濕,書,，,直到,佢哋,見到,我,阿爸,喺,冇,幾,遠,行,返嚟,，,佢哋,先,即刻,跑,走,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fei4-zai2-ming4,hai6,ngo5,gam1-nin2,ge3,tung4-baan1,tung4-hok6,#,jyun4-loi4,keoi5,zyu6,hai2,ngo5,uk1-kei2,fu6-gan6,#,ngo5,hou2,tou2-jim3,keoi5,#,keoi5,seng4-jat6,tung4,can4-ming4-kwan1,#,lei2-zi3-git6,jat1-cai4,siu3,ngo5,hai6,#,haam4-sap1-zai2,#,#,ngo5,dong1-jin4,zi1-dou3,dim2-gaai2,keoi5-dei6,wui5,gam2-joeng2,siu3,ngo5,#,daan6-hai6,#,ngo5,bei2,keoi5-dei6,dou1,zing3-jan4-gwan1-zi2,aa3,#,ngo5,gaan3-zung1,wui5,jat1-go3-jan4,bong1,aa3-baa4,tai2-haa5,bou3-zi2-dong3,#,dang2,keoi5,ho2-ji5,heoi3,gaak3-lei4,go3,tau4-zyu3-zaam6,maai5,maa5-zai2,#,jyu4-gwo2,go2-zan6-si4,fei4-zai2-ming4,keoi5-dei6,ging1-gwo3,#,gam2,ngo5,zau6,caam2,laa3,#,keoi5-dei6,wui5,hai2,dong3-hau2,cin4,bat1-ting4,gam2,siu3,ngo5,#,waa6,ngo5,haam4-sap1-zai2,hai2-dou6,maai6,haam4-sap1,syu1,#,zik6-dou3,keoi5-dei6,gin3-dou2,ngo5,aa3-baa4,hai2,mou5,gei2,jyun5,haang4,faan1-lei4,#,keoi5-dei6,sin1,zik1-hak1,paau2,zau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat Boy Ming,is,I,this year,(linker),same class,schoolmate,#,it turns out,he,live,at,I,home,nearby,#,I,very,hate,he,#,he,all the time,together with,Chan Ming Kwan,#,Lee Chi Kit,together,mock,I,is,#,lustful guy,#,#,I,of course,know,why,they,will,in this way,mock,I,#,but,#,I,compared to,they,"all, also",morally upright,(particle),#,I,sometimes,will,alone,help,Dad,look after a bit,newsstand,#,so that,he,can,go to,neighboring,(measure),betting branch,to buy,horse racing,#,if,at that time,Fat Boy Ming,they,pass by,#,then,I,then,miserable,(particle),#,they,will,at,stall,front,without stop,this way,mock,I,#,say,I,lustful guy,right here,sell,lustful,book,#,until,they,see,I,Dad,at,not,quite,far,walk,come back,#,they,then,immediately,run,away,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,當然,知道,阿爸,做嘢,好,辛苦,，,辛苦,到,天,未,光,就,要,爬,起身,﹔,辛苦,到,對,手,都,黑,晒,，,個,背脊,又,彎,埋,。,阿爸,賣,嗰啲,雜誌,都,只係,為咗,揾,多啲,錢,，,我,知道,。,所以,，,我,都,唔,敢,話,俾,佢,同,阿媽,聽,我,成日,因為,噉,俾,啲,同學,恥笑,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,dong1-jin4,zi1-dou3,aa3-baa4,zou6-je5,hou2,san1-fu2,#,san1-fu2,dou3,tin1,mei6,gwong1,zau6,jiu3,paa4,hei2-san1,#,san1-fu2,dou3,deoi3,sau2,dou1,hak1,saai3,#,go3,bui3-zek3,jau6,waan1,maai4,#,aa3-baa4,maai6,go2-di1,zaap6-zi3,dou1,zi2-hai6,wai6-zo2,wan2,do1-di1,cin2,#,ngo5,zi1-dou3,#,so2-ji5,#,ngo5,dou1,m4,gam2,waa6,bei2,keoi5,tung4,aa3-maa1,teng1,ngo5,seng4-jat6,jan1-wai6,gam2,bei2,di1,tung4-hok6,ci2-siu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,of course,know,Dad,work,very,hard,#,hard,to the extent,sky,not yet,bright,then,have to,crawl,to get up,#,hard,to the extent,pair of,hand,"all, also",black,all,#,(measure),back,again,curved,also,#,Dad,sell,those,magazine,"all, also",just only,in order to,earn,more,money,#,I,know,#,therefore,#,I,"all, also",not,dare,to say,to,he,and,Mum,to listen,I,all the time,because,this,by,those,schoolmate,mock,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,星期,作文,堂,，,又,要,寫,「,我,的,爸爸,」,。,黃老師,話,，,年級,唔同,，,寫,嘅,題目,即使,一樣,，,都會,有,唔,一樣,嘅,內容,同埋,深度,。,老師,叫,我哋,喺,屋企,預備,一下,，,小心,觀察,，,過,幾,日,就,喺,堂上,寫,篇,關於,父親,嘅,文章,。,落,咗,堂,之後,，,我,返去,報紙檔,幫,阿爸,手,睇檔,。,有時候,，,我,會,故意,將,啲,報紙,分散,啲,噉,擺,，,用,佢哋,覆蓋,住,嗰啲,雜誌,。,但係,，,用,報紙,遮掩,其實,都,唔係,好,得,，,因為,有時,報紙,啲,圖片,都,好,恐怖,。,不過,，,阿爸,好,快,就,會,發覺,呢啲,遮遮掩掩,。,然後,，,佢,會,鬧,我,點解,要,顧客,自己,揾,佢哋,要,嘅,嘢,，,又,鬧,我,點解,唔,收拾,好,個,檔口,。,噉,阿爸,又,唔,會,鬧,得,好,惡,，,我,都會,乖乖,噉,幫,佢,收拾,返,，,將,我,之前,覆,上去,雜誌,嗰啲,報紙,疊,好,。,於是,，,雜誌,女郎,嗰啲,近乎,冇,着,衫,嘅,身體,同,報章,上,嘅,血漿,又,重現,眼前,。,其實,，,雜誌,報章,上,啲,文字,，,我,都,唔係,完全,明白,，,好多時,都,唔係,好,知,佢,講,乜,。,只係,見到,嗰啲,影像,，,已經,覺得,好,唔舒服,，,但,又,感到,好,好奇,。,,,,,,,,,,,,,,,,,,,,,,
ni1-go3,sing1-kei4,zok3-man2,tong4,#,jau6,jiu3,se2,#,ngo5,dik1,baa4-baa1,#,#,wong4-lou5-si1,waa6,#,nin4-kap1,m4-tung4,#,se2,ge3,tai4-muk6,zik1-si2,jat1-joeng6,#,dou1-wui5,jau5,m4,jat1-joeng6,ge3,noi6-jung4,tung4-maai4,sam1-dou6,#,lou5-si1,giu3,ngo5-dei6,hai2,uk1-kei2,jyu6-bei6,jat1-haa5,#,siu2-sam1,gun1-caat3,#,gwo3,gei2,jat6,zau6,hai2,tong4-soeng6,se2,pin1,gwaan1-jyu1,fu6-can1,ge3,man4-zoeng1,#,lok6,zo2,tong4,zi1-hau6,#,ngo5,faan1-heoi3,bou3-zi2-dong3,bong1,aa3-baa4,sau2,tai2-dong3,#,jau5-si4-hau6,#,ngo5,wui5,gu3-ji3,zoeng1,di1,bou3-zi2,fan1-saan3,di1,gam2,baai2,#,jung6,keoi5-dei6,fuk1-koi3,zyu6,go2-di1,zaap6-zi3,#,daan6-hai6,#,jung6,bou3-zi2,ze1-jim2,kei4-sat6,dou1,m4-hai6,hou2,dak1,#,jan1-wai6,jau5-si4,bou3-zi2,di1,tou4-pin2,dou1,hou2,hung2-bou3,#,bat1-gwo3,#,aa3-baa4,hou2,faai3,zau6,wui5,faat3-gok3,ni1-di1,ze1-ze1-jim2-jim2,#,jin4-hau6,#,keoi5,wui5,naau6,ngo5,dim2-gaai2,jiu3,gu3-haak3,zi6-gei2,wan2,keoi5-dei6,jiu3,ge3,je5,#,jau6,naau6,ngo5,dim2-gaai2,m4,sau1-sap6,hou2,go3,dong3-hau2,#,gam2,aa3-baa4,jau6,m4,wui5,naau6,dak1,hou2,ok3,#,ngo5,dou1-wui5,gwaai1-gwaai1,gam2,bong1,keoi5,sau1-sap6,faan1,#,zoeng1,ngo5,zi1-cin4,fuk1,soeng5-heoi3,zaap6-zi3,go2-di1,bou3-zi2,daap6,hou2,#,jyu1-si6,#,zaap6-zi3,neoi5-long4,go2-di1,gan6-fu4,mou5,zoek3,saam1,ge3,san1-tai2,tung4,bou3-zoeng1,soeng6,ge3,hyut3-zoeng1,jau6,cung4-jin6,ngaan5-cin4,#,kei4-sat6,#,zaap6-zi3,bou3-zoeng1,soeng6,di1,man4-zi6,#,ngo5,dou1,m4-hai6,jyun4-cyun4,ming4-baak6,#,hou2-do1-si4,dou1,m4-hai6,hou2,zi1,keoi5,gong2,mat1,#,zi2-hai6,gin3-dou2,go2-di1,jing2-zoeng6,#,ji5-ging1,gok3-dak1,hou2,m4-syu1-fuk6,#,daan6,jau6,gam2-dou3,hou2,hou3-kei4,#,,,,,,,,,,,,,,,,,,,,,,
