[1],,,,,,,,,,,,,,
呢,個,係,阿樂,，,佢,嘅,頭髮,好,長,，,要,剪,喇,。
[14a],,,,,,,,,,,,,,
「,人人,都,有,啲,嘢,，,同,你,一樣,，,同,你,唔一樣,。
#,jan4-jan4,dou1,jau5,di1,je5,#,tung4,nei5,jat1-joeng6,#,tung4,nei5,m4-jat1-joeng6,#
#,every person,all,have,some,thing,#,with,you,the same,#,with,you,not the same,#
[14b],,,,,,,,,,,,,,
老師,個個,同學,都,愛,，,明唔明白,啊,？,」,,,,,
lou5-si1,go3-go3,tung4-hok6,dou1,oi3,#,ming4-m4-ming4-baak6,aa3,#,#,,,,,
teacher,every,classmate,all,love,#,understand or not understand,(particle),#,#,,,,,
[15],,,,,,,,,,,,,,
同學,仔,都,拍手,，,大聲,笑,。,,,,,,,
tung4-hok6,zai2,dou1,paak3-sau2,#,daai6-seng1,siu3,#,,,,,,,
classmates,little,all,clap hands,#,loudly,laugh,#,,,,,,,
