「,可能,真係,一,隻,小,恐龍,。,」,小娟,都,噉樣,認為,。,阿樂,就話,：,「,傻瓜,，,佢,係,一,隻,雀,BB,嚟,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ho2-nang4,zan1-hai6,jat1,zek3,siu2,hung2-lung4,#,#,siu2-gyun1,dou1,gam2-joeng2,jing6-wai4,#,aa3-lok6,zau6-waa6,#,#,so4-gwaa1,#,keoi5,hai6,jat1,zek3,zoek3,bi4-bi1,lei4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,possible,really is,one,(measure),small,dinosaur,#,#,June,"all, also",in this way,believe,#,Luke,then say,#,#,Silly,#,it,is,one,(measure),bird,baby,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇,可能,，,雀仔,會,叫,㗎嘛,！,白鴿,係,咕咕,叫,、,麻雀,吱吱,叫,、,烏鴉,呀呀,叫,，,如果,佢,係,一,隻,雀仔,，,邊,可能,會,咁,靜,？,」,小娟,唔,相信,。,,,,,,,,,,,,,,,,,,,,,,,
#,mou5,ho2-nang4,#,zoek3-zai2,wui5,giu3,gaa1-maa3,#,baak6-gaap3,hai6,gu1-gu1,giu3,#,maa4-zoek2,zi1-zi1,giu3,#,wu1-aa1,aa1-aa1,giu3,#,jyu4-gwo2,keoi5,hai6,jat1,zek3,zoek3-zai2,#,bin1,ho2-nang4,wui5,gam3,zing6,#,#,siu2-gyun1,m4,soeng1-seon3,#,,,,,,,,,,,,,,,,,,,,,,,
#,not,possible,#,little bird,will,chirp,(particle),#,pigeon,is,(sound),chirp,#,sparrow,(sound),chirp,#,crow,(sound),chirp,#,if,it,is,one,(measure),little bird,#,how,possible,will,so,quiet,#,#,June,not,believe,#,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,知唔知,人,係,點樣,學識,用,語言,嚟,表達,自己,？,」,阿樂,問,。,小娟,同,小明,都,搖頭,。,阿樂,解釋,：,「,人類,係,有,人,教,先,識,得,講嘢,，,而,雀仔,係,用,歌聲,去,表達,自己,嘅,，,話唔定,隻,雀仔,係,因為,冇,人,教,，,所以,先,未,識,叫,呢,？,」
#,zi1-m4-zi1,jan4,hai6,dim2-joeng2,hok6-sik1,jung6,jyu5-jin4,lei4,biu2-daat6,zi6-gei2,#,#,aa3-lok6,man6,#,siu2-gyun1,tung4,siu2-ming4,dou1,jiu4-tau4,#,aa3-lok6,gaai2-sik1,#,#,jan4-leoi6,hai6,jau5,jan4,gaau3,sin1,sik1,dak1,gong2-je5,#,ji4,zoek3-zai2,hai6,jung6,go1-sing1,heoi3,biu2-daat6,zi6-gei2,ge3,#,waa6-m4-ding6,zek3,zoek3-zai2,hai6,jan1-wai6,mou5,jan4,gaau3,#,so2-ji5,sin1,mei6,sik1,giu3,ne1,#,#
#,know or not,human,is,how to,learn,to use,language,to,express,oneself,#,#,Luke,ask,#,June,and,Mike,"all, also",shake head,#,Luke,explain,#,#,human beings,is,have,people,to teach,then,know,(suffix),speaking,#,and,little bird,is,use,singing voice,to,express,oneself,(particle),#,perhaps,(measure),little bird,is,because,no,people,teach,#,therefore,then,not yet,know,chirp,(particle),#,#
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小娟,聽,完,之後,好,擔心,：,「,如果,佢,唔識,得,唱歌,表達,自己,，,就,唔,可以,同,同伴,溝通,，,噉,佢,會,好,孤獨,㗎喎,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-gyun1,teng1,jyun4,zi1-hau6,hou2,daam1-sam1,#,#,jyu4-gwo2,keoi5,m4-sik1,dak1,coeng3-go1,biu2-daat6,zi6-gei2,#,zau6,m4,ho2-ji5,tung4,tung4-bun6,kau1-tung1,#,gam2,keoi5,wui5,hou2,gu1-duk6,gaa3-wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,listen,finish,after,very,worried,#,#,if,it,don't know,(suffix),sing song,to express,oneself,#,then,not,can,with,companion,to communicate,#,this way,it,will,very,lonely,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,小娟,、,小明,同,阿樂,實行,「,救救,雀仔,行動,」,，,決心,要,教,識,呢,隻,雀仔,唱歌,。,佢哋,用,棉花,同,紙盒,造,咗,一,張,牀,，,然後,裝,住,隻,雀仔,去,學,唱歌,嘅,地方,—,音樂,中心,。,,,,,,,,,,,,,,,
jyu1-si6,#,siu2-gyun1,#,siu2-ming4,tung4,aa3-lok6,sat6-hang4,#,gau3-gau3,zoek3-zai2,hang4-dung6,#,#,kyut3-sam1,jiu3,gaau3,sik1,nei1,zek3,zoek3-zai2,coeng3-go1,#,keoi5-dei6,jung6,min4-faa1,tung4,zi2-hap2,zou6,zo2,jat1,zoeng1,cong4,#,jin4-hau6,zong1,zyu6,zek3,zoek3-zai2,heoi3,hok6,coeng3-go1,ge3,dei6-fong1,#,jam1-ngok6,zung1-sam1,#,,,,,,,,,,,,,,,
so,#,June,#,Mike,and,Luke,carry out,#,save,little bird,action,#,#,determined to,have to,teach,know,this,(measure),little bird,to sing song,#,they,use,cotton,and,paper box,make,-en,one,(measure),bed,#,then,carry,-ing,(measure),little bird,to go,learn,to sing song,(linker),place,#,music,centre,#,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呼,、,呼,……,」,有,人,喺度,吹,長笛,，,然後,係,小號,、,鋼琴,、,小提琴,、,結他,……,佢哋,帶,雀仔,去,上,唔同,嘅,音樂,堂,，,每,次,都,問,：,「,雀仔,雀仔,，,呢,把,係咪,你,嘅,歌聲,呀,？,」,,,,,,,,,,,,,
#,fu1,#,fu1,#,#,jau5,jan4,hai2-dou6,ceoi1,coeng4-dek2,#,jin4-hau6,hai6,siu2-hou6,#,gong3-kam4,#,siu2-tai4-kam4,#,git3-taa1,#,keoi5-dei6,daai3,zoek3-zai2,heoi3,soeng5,m4-tung4,ge3,jam1-ngok6,tong4,#,mui5,ci3,dou1,man6,#,#,zoek3-zai2,zoek3-zai2,#,nei1,baa2,hai6-mai6,nei5,ge3,go1-sing1,aa3,#,#,,,,,,,,,,,,,
#,(sound),#,(sound),#,#,have,people,right here,play,flute,#,then,is,trumpet,#,piano,#,violin,#,guitar,#,they,bring,little bird,to,attend,different,(linker),music,class,#,every,time,"all, also",ask,#,#,little bird,little bird,#,this,(measure),is or isn't,you,’s,singing voice,(particle),#,#,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,，,雀仔,依然,好,安靜,，,粒聲唔出,噉,望住,大家,。,小娟,好,失望,，,但,仍然,堅持,同,雀仔,講,：,「,唔使,擔心,，,我哋,一定,會,幫,你,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,#,zoek3-zai2,ji1-jin4,hou2,on1-zing6,#,nap1-seng1-m4-ceot1,gam2,mong6-zyu6,daai6-gaa1,#,siu2-gyun1,hou2,sat1-mong6,#,daan6,jing4-jin4,gin1-ci4,tung4,zoek3-zai2,gong2,#,#,m4-sai2,daam1-sam1,#,ngo5-dei6,jat1-ding6,wui5,bong1,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,little bird,still,very,quiet,#,not making a sound,-ly,staring,everyone,#,June,very,disappointed,#,however,still,persist,to,little bird,say,#,#,no need,to worry,#,we,surely,will,help,you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,又,叫,又,唱,，,仲,用,媽媽,部,電話,播放,唔同,鈴聲,，,每,次,都,問,：,「,雀仔,雀仔,，,呢,把,係咪,你,嘅,歌聲,呀,？,」,雀仔,依然,好,安靜,。,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,jau6,giu3,jau6,coeng3,#,zung6,jung6,maa4-maa1,bou6,din6-waa2,bo3-fong3,m4-tung4,ling4-sing1,#,mui5,ci3,dou1,man6,#,#,zoek3-zai2,zoek3-zai2,#,nei1,baa2,hai6-mai6,nei5,ge3,go1-sing1,aa3,#,#,zoek3-zai2,ji1-jin4,hou2,on1-zing6,#,,,,,,,,,,,,,,,,,,,,,,,,,
they,also,shout,also,sing,#,even,use,mother,(measure),telephone,play,different,ringtone,#,every,time,"all, also",ask,#,#,little bird,little bird,#,this,(measure),is or isn't,you,’s,singing voice,(particle),#,#,little bird,still,very,quiet,#,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咕,……,」,小明,個,肚,餓,到,打,鼓,。,原來,佢哋,為咗,雀仔,，,連,午餐,都,唔記得,食,。,但係,佢哋,都,繼續,行動,：,「,雀仔,雀仔,，,呢,把,係咪,你,嘅,歌聲,呀,？,」,雀仔,依然,好,安靜,。,,,,,,,,,,,,,,,,
#,gu1,#,#,siu2-ming4,go3,tou5,ngo6,dou3,daa2,gu2,#,jyun4-loi4,keoi5-dei6,wai6-zo2,zoek3-zai2,#,lin4,ng5-caan1,dou1,m4-gei3-dak1,sik6,#,daan6-hai6,keoi5-dei6,dou1,gai3-zuk6,hang4-dung6,#,#,zoek3-zai2,zoek3-zai2,#,nei1,baa2,hai6-mai6,nei5,ge3,go1-sing1,aa3,#,#,zoek3-zai2,ji1-jin4,hou2,on1-zing6,#,,,,,,,,,,,,,,,,
#,(particle),#,#,Mike,(measure),tummy,hungry,to the extent that,play,drum,#,it turns out,they,in order to,little bird,#,even,lunch,"all, also",forget,to eat,#,but,they,"all, also",continue,action,#,#,little bird,little bird,#,this,(measure),is or isn't,you,’s,singing voice,(particle),#,#,little bird,still,very,quiet,#,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叮噹,、,叮噹,！,」,唔通,雀仔,嘅,歌聲,係,門鐘,聲,？,佢哋,周圍,㩒,鐘,，,但,雀仔,依然,好,安靜,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding1-dong3,#,ding1-dong3,#,#,m4-tung1,zoek3-zai2,ge3,go1-sing1,hai6,mun4-zung1,seng1,#,keoi5-dei6,zau1-wai4,gam6,zung1,#,daan6,zoek3-zai2,ji1-jin4,hou2,on1-zing6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding dong,#,ding dong,#,#,could it be,little bird,(linker),singing voice,is,door bell,sound,#,they,surrounding,press,bell,#,but,little bird,still,very,quiet,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔通,，,「,救救,雀仔,行動,」,要,宣告,失敗,？,小明,好,灰心,噉,問,：,「,我哋,仲,可以,點,做,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-tung1,#,#,gau3-gau3,zoek3-zai2,hang4-dung6,#,jiu3,syun1-gou3,sat1-baai6,#,siu2-ming4,hou2,fui1-sam1,gam2,man6,#,#,ngo5-dei6,zung6,ho2-ji5,dim2,zou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
could it be,#,#,save,little bird,action,#,have to,declare,failure,#,Mike,very,despair,-ly,ask,#,#,we,still,can,how,to do,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我哋,不如,試,下,帶,佢,去,揾,Miss,Chan,。,」,小娟,提議,。,於是,佢哋,帶,住,最後,一絲,希望,去,教員室,揾,生物,老師,Miss,Chan,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5-dei6,bat1-jyu4,si3,haa5,daai3,keoi5,heoi3,wan2,Miss,Chan,#,#,siu2-gyun1,tai4-ji5,#,jyu1-si6,keoi5-dei6,daai3,zyu6,zeoi3-hau6,jat1-si1,hei1-mong6,heoi3,gaau3-jyun4-sat1,wan2,sang1-mat6,lou5-si1,Miss,Chan,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,we,how about,try,a bit,bring,it,to go,find,Miss,Chan,#,#,June,propose,#,so,they,bring,-ing,last,one (measure),hope,to go,staff room,to find,Biology,teacher,Miss,Chan,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,發生,咩事,？,做咩,咁,唔,開心,噉,嘅,？,」,Miss,Chan,關心,噉,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,faat3-sang1,me1-si6,#,zou6-me1,gam3,m4,hoi1-sam1,gam2,ge2,#,#,Miss,Chan,gwaan1-sam1,gam2,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you (plural),happen,what matter,#,why,so,not,happy,this way,(particle),#,#,Miss,Chan,concerned,-ly,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小娟,答,：,「,我哋,揾到,隻,雀仔,，,但係,雀仔,揾,唔到,自己,嘅,歌聲,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-gyun1,daap3,#,#,ngo5-dei6,wan2-dou2,zek3,zoek3-zai2,#,daan6-hai6,zoek3-zai2,wan2,m4-dou2,zi6-gei2,ge3,go1-sing1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,reply,#,#,we,found,(measure),little bird,#,but,little bird,find,cannot,oneself,’s,singing voice,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,好,唔,開心,噉,講,：,「,明明,我哋,已經,周圍,都,揾,過,晒,——,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,hou2,m4,hoi1-sam1,gam2,gong2,#,#,ming4-ming4,ngo5-dei6,ji5-ging1,zau1-wai4,dou1,wan2,gwo3,saai3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,very,not,happy,-ly,say,#,#,obviously,we,already,surrounding,"all, also",find,-ed,entirely,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,但係,佢,都,仲係,粒聲唔出,……,」,阿樂,都,忍唔住,大,喊,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daan6-hai6,keoi5,dou1,zung6-hai6,nap1-seng1-m4-ceot1,#,#,aa3-lok6,dou1,jan2-m4-zyu6,daai6,haam3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,but,it,"all, also",still,not making a sound,#,#,Luke,"all, also",cannot resist,big,cry,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss,Chan,同,大家,講,：,「,你哋,有,噉,嘅,心,，,又,已經,盡,晒,力,去,幫,隻,雀仔,，,已經,好好,㗎喇,。,而且,雀仔,佢,仲有,你哋,，,係咪,？,你哋,唔會,因為,佢,唔識,唱歌,而,離開,佢,，,係咪,？,」,大家,都,大力,點頭,：,「,當然,唔會,！,」,,,,,
Miss,Chan,tung4,daai6-gaa1,gong2,#,#,nei5-dei6,jau5,gam2,ge3,sam1,#,jau6,ji5-ging1,zeon6,saai3,lik6,heoi3,bong1,zek3,zoek3-zai2,#,ji5-ging1,hou2-hou2,gaa3-laa3,#,ji4-ce2,zoek3-zai2,keoi5,zung6-jau5,nei5-dei6,#,hai6-mai6,#,nei5-dei6,m4-wui5,jan1-wai6,keoi5,m4-sik1,coeng3-go1,ji4,lei4-hoi1,keoi5,#,hai6-mai6,#,#,daai6-gaa1,dou1,daai6-lik6,dim2-tau4,#,#,dong1-jin4,m4-wui5,#,#,,,,,
Miss,Chan,to,everyone,say,#,#,you (plural),have,this way,(linker),heart,#,also,already,pay,all,effort,to,help,(measure),little bird,#,already,very good,(particle),#,and that,little bird,it,still have,you (plural),#,is or isn't,#,you (plural),will not,because,it,don't know,sing song,and,leave,it,#,is or isn't,#,#,everyone,"all, also",great strength,nod,#,#,certainly,will not,#,#,,,,,
[15a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,！,我哋,一於,畀,啲,耐性,陪,隻,雀仔,啦,！,」,小明,問,Miss,Chan,要,咗,個,麪包,，,準備,喺,長期,作戰,之前,食,啲,嘢,墊肚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,#,ngo5-dei6,jat1-jyu1,bei2,di1,noi6-sing3,pui4,zek3,zoek3-zai2,laa1,#,#,siu2-ming4,man6,Miss,Chan,jiu3,zo2,go3,min6-baau1,#,zeon2-bei6,hai2,coeng4-kei4,zok3-zin3,zi1-cin4,sik6,di1,je5,din6-tou5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,good,#,we,let's,give,some,patience,accompany,(measure),little bird,(particle),#,#,Mike,ask,Miss,Chan,need,-en,(measure),bread,#,prepare,at,long term,fight,before,eat,some,thing,slightly fill tummy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而,未,餓,嘅,小娟,就,同,雀仔,講,：,「,嗱,雀仔,雀仔,，,你,打開,耳仔,，,如果,聽到,有,你,鍾意,嘅,聲音,，,你,就,將,佢,變成,你,嘅,歌聲,，,我哋,會,同,你,一齊,唱,，,好冇,？,」,「,嘶,——,」,,,,,,,,,,,,,
