[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,答,：,「,咩,都,可以,，,我,要,食,好多,好多,，,煮,多啲,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,daap3,#,#,me1,dou1,ho2-ji5,#,ngo5,jiu3,sik6,hou2-do1,hou2-do1,#,zyu2,do1-di1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,to reply,#,#,what,also,can,#,I,to want,to eat,many,many,#,cook,more,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,問,：,「,你哋,食,唔,食,得,晒,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,man6,#,#,nei5-dei6,sik6,m4,sik6,dak1,saai3,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,to ask,#,#,you (plural),to eat,not,to eat,okay,all,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,答,：,「,食,唔,晒,咪,掉,咗,佢,囉,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,daap3,#,#,sik6,m4,saai3,mai6,diu6,zo2,keoi5,lo1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,to reply,#,#,to eat,not,all,don't,to fall,-ed,it,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,有,少少,嬲,噉,話,：,「,你哋,唔,可以,噉,諗,㗎,，,我哋,唔,可以,浪,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,jau5,siu2-siu2,nau1,gam2,waa6,#,#,nei5-dei6,m4,ho2-ji5,gam2,nam2,gaa3,#,ngo5-dei6,m4,ho2-ji5,long6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,have,a bit,angry,then,to say,#,#,you (plural),not,can,then,to think,(particle),#,we,not,can,wave,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,都,未,講,完,，,媽咪,就,開,咗,門,，,一,開門,，,有,陣,味,傳,咗,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,dou1,mei6,gong2,jyun4,#,maa1-mi4,zau6,hoi1,zo2,mun4,#,jat1,hoi1-mun4,#,jau5,zan6,mei6,cyun4,zo2,ceot1-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,all,not yet,to say,finish,#,mommy,then,to open,-ed,door,#,one,to open the door,#,have,(measure),taste,pass on,-ed ,to come out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,笑,住,問,：,「,發生,咩,事,呀,？,好,臭,呀,，,就,嚟,俾,佢,臭,暈,，,係唔係,有,人,放屁,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,siu3,zyu6,man6,#,#,faat3-sang1,me1,si6,aa4,#,hou2,cau3,aa3,#,zau6,lai4,bei2,keoi5,cau3,wan4,#,hai6-m4-hai6,jau5,jan4,fong3-pei3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,to laugh,to live,to ask,#,#,to happen,what,matter,(particle),#,very,smelly,(particle),#,as a result,to come,to give,it,smelly,dizzy,#,is it,have,human,fart,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家,都,搖頭,，,似,係,喺,屋企,入面,傳,出嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1,dou1,jiu4-tau4,#,ci5,hai6,hai2,uk1-kei2,jap6-min6,cyun4,ceot1-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,"all, also",to shake head,#,to be similar,is,at,home,inside,pass on,to come out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,先,發現,件,事,有啲,嚴重,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,sin1,faat3-jin6,gin6,si6,jau5-di1,jim4-zung6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,first,to find out,(measure),matter,a bit,serious,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,好,緊張,噉,話,：,「,大家,快,幫手,揾,，,睇下,發生,咩,事,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,hou2,gan2-zoeng1,gam2,waa6,#,#,daai6-gaa1,faai3,bong1-sau2,wan2,#,tai2-haa5,faat3-sang1,me1,si6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,very,nervous,then,to say,#,#,everyone,fast,to help,to find,#,to look,to happen,what,matter,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,去,咗,睡,房,揾,，,不過,冇,發現,，,阿大,就,入,咗,廁所,揾,，,都,係,冇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa1-mi4,heoi3,zo2,seoi6,fong2,wan2,#,bat1-gwo3,mou5,faat3-jin6,#,aa3-daai2,zau6,jap6,zo2,ci3-so2,wan2,#,dou1,hai6,mou5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommy,to go,-ed,sleep,room,to find,#,only,don't have,to find out,#,David,as a result,to enter,-ed,toilet,to find,#,also,is,don't have,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,就,去,咗,飯,廳,揾,，,越,揾,，,家姐,個,肚,就,越,響,，,因為,佢,真係,好,肚餓,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,zau6,heoi3,zo2,faan6,teng1,wan2,#,jyut6,wan2,#,gaa1-ze1,go3,tou5,zau6,jyut6,hoeng2,#,jan1-wai6,keoi5,zan1-hai6,hou2,tou5-ngo6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,as a result,to go,-ed,meal,hall,to find,#,more,to find,#,elder sister,(measure),tummy,then,more,sound,#,because,she,really,very,hungry,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,就,入,咗,廚房,，,咩,都,發現,唔到,，,佢,開始,有啲,擔心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,zau6,jap6,zo2,cyu4-fong2,#,me1,dou1,faat3-jin6,m4-dou2,#,keoi5,hoi1-ci2,jau5-di1,daam1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,then,to enter,-ed,kitchen,#,what,also,to find out,cannot,#,he,to begin,a bit,to worry about,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,阿爸,大叫,一,聲,：,「,喺,雪櫃,，,陣,味,喺,嗰度,傳,出嚟,㗎,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,aa3-baa4,daai6-giu3,jat1,seng1,#,#,hai2,syut3-gwai6,#,zan6,mei6,hai2,go2-dou6,cyun4,ceot1-lai4,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all at once,#,Dad,shout,one,sound,#,#,at,refrigerator,#,(measure),taste,at,there,pass on,to come out,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 24],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿媽,就,話,：,「,噉,快啲,打開,雪櫃,望下,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-maa1,zau6,waa6,#,#,gam2,faai3-di1,daa2-hoi1,syut3-gwai6,mong6-haa5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mum,as a result,to say,#,#,then,faster,to open,refrigerator,to look,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿媽,就,去,咗,開,雪櫃,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-maa1,zau6,heoi3,zo2,hoi1,syut3-gwai6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mum,as a result,to go,-ed,to open,refrigerator,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿媽,一,打開,道,雪櫃,門,，,即刻,想,暈,，,想,叫,大家,唔好,過,嚟,，,但係,阿大,同,家姐,已經,跑,咗,過,嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-maa1,jat1,daa2-hoi1,dou6,syut3-gwai6,mun4,#,zik1-hak1,soeng2,wan4,#,soeng2,giu3,daai6-gaa1,m4-hou2,gwo3,lai4,#,daan6-hai6,aa3-daai2,tung4,gaa1-ze1,ji5-ging1,paau2,zo2,gwo3,lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mum,one,to open,road,refrigerator,door,#,at once,to want,dizzy,#,to want,to call,everyone,do not,to pass,to come,#,but,David,and,elder sister,already,to run,-ed,to pass,to come,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,大叫,：,「,救命,呀,！,我哋,係咪,俾,臭,味,怪獸,攻擊,呀,？,好,臭,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,daai6-giu3,#,#,gau3-meng6,aa3,#,ngo5-dei6,hai6-mai6,bei2,cau3,mei6,gwaai3-sau3,gung1-gik1,aa4,#,hou2,cau3,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,shout,#,#,Help!,(particle),#,we,is or isn't,to give,smelly,taste,monster,to attack,(particle),#,very,smelly,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,望,真,少少,，,原來,係,雪櫃,冇,插,到,電,，,搞,到,啲,食物,冇,雪,住,，,所以,全部,變,壞,晒,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,mong6,zan1,siu2-siu2,#,jyun4-loi4,hai6,syut3-gwai6,mou5,caap3,dou3,din6,#,gaau2,dou3,di1,sik6-mat6,mou5,syut3,zyu6,#,so2-ji5,cyun4-bou6,bin3,waai6,saai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,to look,TRUE,a bit,#,it turns out,is,refrigerator,don't have,to insert,to,electricity,#,to do,to,some,food,don't have,freeze,(suffix),#,therefore,all,to change,bad,all,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,話,：,「,唔緊要,啦,，,煮,熟,咗,都,可以,食,嘅,，,我,好,肚餓,，,我,好,想,食,蛋,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,waa6,#,#,m4-gan2-jiu3,laa1,#,zyu2,suk6,zo2,dou1,ho2-ji5,sik6,ge3,#,ngo5,hou2,tou5-ngo6,#,ngo5,hou2,soeng2,sik6,daan2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,to say,#,#,doesn't matter,(particle),#,cook,cooked,-ed,also,can,to eat,of,#,I,very,hungry,#,I,very,to want,to eat,egg,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 33],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,即刻,話,：,「,梗係,唔得,，,食物,壞,咗,就,唔,食,得,，,食,咗,好容易,病,㗎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,zik1-hak1,waa6,#,#,gang2-hai6,m4-dak1,#,sik6-mat6,waai6,zo2,zau6,m4,sik6,dak1,#,sik6,zo2,hou2-jung4-ji6,beng6,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,at once,to say,#,#,of course,not okay,#,food,bad,-ed,as a result,not,to eat,okay,#,to eat,-ed,easy,get sick,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,有,一,隻,雞蛋,跌,咗,落,地下,，,又,多,一陣,臭,味,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,jau5,jat1,zek3,gai1-daan2,dit3,zo2,lok6,dei6-haa5,#,jau6,do1,jat1-zan6,cau3,mei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all at once,have,one,(measure),egg,to fall,-ed,down,ground,#,again,many,a while,smelly,taste,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 36],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,驚,到,跑,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,ging1,dou3,paau2,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,afraid,to,to run,to leave,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,好,唔,開心,噉,講,咗,一,句,：,「,噉,我哋,掉,晒,佢,喇,，,唉,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,hou2,m4,hoi1-sam1,gam2,gong2,zo2,jat1,geoi3,#,#,gam2,ngo5-dei6,diu6,saai3,keoi5,laa3,#,aai1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,very,not,happy,then,to say,-ed,one,sentence,#,#,then,we,to throw away,all,it,(particle),#,Sigh!,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 39],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,好奇,噉,問,：,「,阿爸,，,做咩,咁,唔,開心,嘅,？,食物,，,我,成日,食,唔,晒,啲,嘢食,，,都,掉,晒,㗎,喇,，,更,何況,仲要,係,壞,咗,嘅,嘢食,，,反正,我哋,有錢,，,可以,再,買,」,。,,,,,,,,,,,
aa3-daai2,hou3-kei4,gam2,man6,#,#,aa3-baa4,#,zou6-me1,gam3,m4,hoi1-sam1,ge3,#,sik6-mat6,#,ngo5,sing4-jat6,sik6,m4,saai3,di1,je5-sik6,#,dou1,diu6,saai3,gaa3,laa3,#,gang3,ho4-fong3,zung6-jiu3,hai6,waai6,zo2,ge3,je5-sik6,#,faan2-zing3,ngo5-dei6,jau5-cin2,#,ho2-ji5,zoi3,maai5,#,#,,,,,,,,,,,
David,curious,-ly,to ask,#,#,Dad,#,why,so,not,happy,of,#,food,#,I,always,to eat,not,all,some,food,#,also,to throw away,all,(particle),(particle),#,even more,to let alone,even,is,bad,-ed,-,food,#,anyhow,we,rich,#,can,again,to buy,#,#,,,,,,,,,,,
[Line 41],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,搖搖頭,講,：,「,係,，,我哋,係,有錢,可以,買,食物,，,但,我哋,都,唔,可以,浪費,食物,。,你,知,唔,知,依,個,世界,其實,仲有,好多,人,係,冇,嘢食,㗎,？,你哋,已經,好,幸福,㗎,喇,。,每,一樣,食物,都,係,得來不易,，,所以,我哋,要,更加,應該,珍惜,。
aa3-baa4,jiu4-jiu4-tau4,gong2,#,#,hai6,#,ngo5-dei6,hai6,jau5-cin2,ho2-ji5,maai5,sik6-mat6,#,daan6,ngo5-dei6,dou1,m4,ho2-ji5,long6-fai3,sik6-mat6,#,nei5,zi1,m4,zi1,ji1,go3,sai3-gaai3,kei4-sat6,zung6-jau5,hou2-do1,jan4,hai6,mou5,je5-sik6,gaa3,#,nei5-dei6,ji5-ging1,hou2,hang6-fuk1,gaa3,laa3,#,mui5,jat1-joeng6,sik6-mat6,dou1,hai6,dak1-loi4-bat1-ji6,#,so2-ji5,ngo5-dei6,jiu3,gang3-gaa1,jing1-goi1,zan1-sik1,#
Dad,to shake head,to say,#,#,is,#,we,is,rich,can,to buy,food,#,but,"we, us",also,not,can,waste,food,#,you,to know,not,to know,this,(measure),world,actually,still have,many,human,is,don't have,food,(particle),#,you (plural),already,very,happy,(particle),(particle),#,every,single,food,all,is,not easy to obtain,#,therefore,we,need to,more,should,to treasure,#
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,同,家姐,聽,完,都,點點頭,：,「,我,明白,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,tung4,gaa1-ze1,teng1,jyun4,dou1,dim2-dim2-tau4,#,#,ngo5,ming4-baak6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,and,elder sister,to hear,finish,also,to nod,#,#,I,clear,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 44],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,講,:,「,阿爸,，,不如,我哋,將,多餘,而,我哋,又,食,唔,晒,嘅,食物,捐,俾,食物,銀行,吖,，,又,唔使,浪費,食物,，,又,可以,幫,到,有,需要,嘅,人,。,」,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,gong2,#,#,aa3-baa4,#,bat1-jyu4,ngo5-dei6,zoeng1,do1-jyu4,ji4,ngo5-dei6,jau6,sik6,m4,saai3,ge3,sik6-mat6,gyun1,bei2,sik6-mat6,ngan4-hong4,aa1,#,jau6,m4-sai2,long6-fai3,sik6-mat6,#,jau6,ho2-ji5,bong1,dou3,jau5,seoi1-jiu3,ge3,jan4,#,#,,,,,,,,,,,,,,,,,,,,
elder sister,to say,#,#,Dad,#,how about,we,to take,unnecessary,and,we,again,to eat,not,all,-,food,donate,to give,food,bank,(particle),#,again,no need,waste,food,#,again,can,to help,(suffix),have,need,-,human,#,#,,,,,,,,,,,,,,,,,,,,
[Line 45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,好,開心,噉,點點頭,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,hou2,hoi1-sam1,gam2,dim2-dim2-tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,very,happy,then,to nod,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
