zik6-dou3,jau5-jat1-jat6,#,keoi5,jyu6-soeng5,jat1-go3,ze4-ze1,#,nei1-go3,ze4-ze1,hou2,leng3,#,siu3,dak1,hou2,tim4,#,zung6-jau5,jat1,baa2,leng3,seng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
until,one day,#,she,met,one,older girl,#,this (measure),older girl,very,pretty,#,laugh,(suffix),very,sweet,#,even have,one,(measure),beautiful,voice,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿欣,問,佢,可唔可以,講,故仔,畀,佢,聽,，,姐姐,笑,住,話,可以,，,仲,問,返,阿欣,想,聽,咩,故仔,。,阿欣,就,話,咩,故仔,都,想,聽,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jan1,man6,keoi5,ho2-m4-ho2-ji5,gong2,gu2-zai2,bei2,keoi5,teng1,#,ze4-ze1,siu3,zyu6,waa6,ho2-ji5,#,zung6,man6,faan1,Aa3-jan1,soeng2,teng1,me1,gu2-zai2,#,Aa3-jan1,zau6,waa6,me1,gu2-zai2,dou1,soeng2,teng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanny,ask,her,can or cannot,tell,story,to,her,to listen,#,older girl,laugh,-ing,say,can,#,even,ask,back,Yanny,want,to listen,what,story,#,Yanny,then,say,what,story,"all, also",want,to listen,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,佢哋,坐低,，,一個,講,故,，,一個,聽,故,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gan1-zyu6,keoi5-dei6,co5-dai1,#,jat1-go3,gong2,gu2,#,jat1-go3,teng1,gu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and then,they,sit down,#,one,tell,story,#,one,listen,story,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講,完,幾,個,故仔,之後,，,本身,喺,隔籬,玩,緊,嘅,小朋友,見到,阿欣,好,開心,噉,聽,故仔,，,覺得,好,好奇,，,就,走,晒,埋嚟,一齊,聽,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong2,jyun4,gei2,go3,gu2-zai2,zi1-hau6,#,bun2-san1,hai2,gaak3-lei4,waan2,gan2,ge3,siu2-pang4-jau5,gin3-dou2,Aa3-jan1,hou2,hoi1-sam1,gam2,teng1,gu2-zai2,#,gok3-dak1,hou2,hou3-kei4,#,zau6,zau2,saai3,maai4-lei4,jat1-cai4,teng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
say,finish,several,(measure),story,after,#,originally,at,beside,play,-ing,(linker),children,see,Yanny,very,happy,this way,listen,story,#,feel,very,curious,#,then,go,all,come over,together,listen,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姐姐,講,完,一個,又,一個,故仔,，,埋嚟,聽,佢,講,故仔,嘅,人,越嚟越多,。,原來,佢,講,嘅,故仔,全部,都,同,佢哋,住,緊,嘅,地方,有關,——,雖然,佢哋,住,咗,喺度,好,耐,，,佢哋,唔知,嘅,事,都,仲有,好多,——,好彩,有,姐姐,，,佢哋,先,可以,發現,同,重拾,返,呢啲,大大小小,嘅,軼事,。,,,,,,
ze4-ze1,gong2,jyun4,jat1-go3,jau6,jat1-go3,gu2-zai2,#,maai4-lei4,teng1,keoi5,gong2,gu2-zai2,ge3,jan4,jyut6-lei4-jyut6-do1,#,jyun4-loi4,keoi5,gong2,ge3,gu2-zai2,cyun4-bou6,dou1,tung4,keoi5-dei6,zyu6,gan2,ge3,dei6-fong1,jau5-gwaan1,#,seoi1-jin4,keoi5-dei6,zyu6,zo2,hai2-dou6,hou2,noi6,#,keoi5-dei6,m4-zi1,ge3,si6,dou1,zung6-jau5,hou2-do1,#,hou2-coi2,jau5,ze4-ze1,#,keoi5-dei6,sin1,ho2-ji5,faat3-jin6,tung4,cung4-sap6,faan1,nei1-di1,daai6-daai6-siu2-siu2,ge3,jat6-si6,#,,,,,,
older girl,tell,finish,one,again,one,story,#,come over,to listen,her,tell,story,(linker),people,more and more,#,it turns out,she,tell,(linker),story,entirely,"all, also",to,they,live,-ing,(linker),place,related,#,although,they,live,-en,right here,very,long time,#,they,don't know,(linker),matter,"all, also",still have,many,#,luckily,have,older girl,#,they,then,can,find out,and,pick up,back,these,big and small,(linker),anecdote/story,#,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,，,阿欣,同,其他,小朋友,日日,都,嚟,聽,姐姐,講,故仔,。,去到,後來,，,佢哋,唔止,聽,故,，,仲,學,埋,點樣,講,故,！,大家,講,故,嘅,時候,都,會,加,唔同,嘢,，,所以,個個,講,嘅,故仔,都,唔同,。,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,#,Aa3-jan1,tung4,kei4-taa1,siu2-pang4-jau5,jat6-jat6,dou1,lei4,teng1,ze4-ze1,gong2,gu2-zai2,#,heoi3-dou3,hau6-loi4,#,keoi5-dei6,m4-zi2,teng1,gu2,#,zung6,hok6,maai4,dim2-joeng2,gong2,gu2,#,daai6-gaa1,gong2,gu2,ge3,si4-hau6,dou1,wui5,gaa1,m4-tung4,je5,#,so2-ji5,go3-go3,gong2,ge3,gu2-zai2,dou1,m4-tung4,#,,,,,,,,,,,,,,,,,,,,,,
afterward,#,Yanny,and,other,children,every day,"all, also",come,to listen,older girl,tell,story,#,until,later,#,they,not only,listen,story,#,even,learn,also,how to,tell,story,#,everyone,tell,story,(linker),time,"all, also",will,add,different,thing,#,therefore,each,tell,(linker),story,"all, also",different,#,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,傳,十,，,十,傳,百,，,好,快,連,啲,大人,都,聽到,佢哋,嘅,故仔,。,啲,大人,而家,先,知,原來,喺,佢哋,忙,緊,嘅,時候,，,喺,小朋友,中間,已經,興起,咗,講,故,聽,故,嘅,潮流,！,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,cyun4,sap6,#,sap6,cyun4,baak3,#,hou2,faai3,lin4,di1,daai6-jan4,dou1,teng1-dou2,keoi5-dei6,ge3,gu2-zai2,#,di1,daai6-jan4,ji4-gaa1,sin1,zi1,jyun4-loi4,hai2,keoi5-dei6,mong4,gan2,ge3,si4-hau6,#,hai2,siu2-pang4-jau5,zung1-gaan1,ji5-ging1,hing1-hei2,zo2,gong2,gu2,teng1,gu2,ge3,ciu4-lau4,#,,,,,,,,,,,,,,,,,,,,,,,,,
one,pass on,ten,#,ten,pass on,hundred,#,very,soon,even,those,adult,"all, also",listen,they,’s,story,#,those,adult,now,then,know,it turns out,at,they,busy,-ing,(linker),time,#,at,children,among,already,spring up,-en,tell,story,listen,story,(linker),trend,#,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冇幾耐,，,佢哋,都,好似,啲,小朋友,噉,，,開始,聽,更,多,人,嘅,故仔,，,仲,同,其他,人,講,自己,嘅,故仔,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mou5-gei2-noi6,#,keoi5-dei6,dou1,hou2-ci5,di1,siu2-pang4-jau5,gam2,#,hoi1-ci2,teng1,gang3,do1,jan4,ge3,gu2-zai2,#,zung6,tung4,kei4-taa1,jan4,gong2,zi6-gei2,ge3,gu2-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before long,#,they,"all, also",be similar,those,children,this way,#,begin,to listen,even more,many,people,(linker),story,#,even,to,other,people,say,oneself,(linker),story,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漸漸,噉,，,呢個,地方,啲人,放慢,手上,嘅,工作,，,花,多,咗,時間,停低,聽,故,講,故,。,個個人,都,開心,咗,好多,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zim6-zim2,gam2,#,nei1-go3,dei6-fong1,di1-jan4,fong3-maan6,sau2-soeng6,ge3,gung1-zok3,#,faa1,do1,zo2,si4-gaan3,ting4-dai1,teng1,gu2,gong2,gu2,#,go3-go3-jan4,dou1,hoi1-sam1,zo2,hou2-do1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gradually,this way,#,this (measure),place,(measure) people,slow down,at hand,(linker),work,#,spend,more,-en,time,stop,listen,story,tell,story,#,everyone,"all, also",happy,-en,a lot,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,市長,就,唔係,咁,開心,喇,——,因為,佢,覺得,啲人,做嘢,慢,咗,！,佢,即刻,叫,晒,啲,高官,嚟,開會,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,si5-zoeng2,zau6,m4-hai6,gam3,hoi1-sam1,laa3,#,jan1-wai6,keoi5,gok3-dak1,di1-jan4,zou6-je5,maan6,zo2,#,keoi5,zik1-hak1,giu3,saai3,di1,gou1-gun1,lei4,hoi1-wui2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,mayor,then,is not,so,happy,(particle),#,because,he,feel,those people,work,slow,-en,#,he,immediately,ask,all,those,high official,come,to hold a meeting,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,諗,咗,好,耐,，,都,諗,唔明,點解,啲人,做嘢,會,慢,咗,咁,多,。,過,咗,好,耐,之後,，,佢哋,終於,諗通,，,原因,係,阿欣,同,姐姐,搞到,大家,掛住,聽,故,講,故,而,冇,心,做嘢,！,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,nam2,zo2,hou2,noi6,#,dou1,nam2,m4-ming4,dim2-gaai2,di1-jan4,zou6-je5,wui5,maan6,zo2,gam3,do1,#,gwo3,zo2,hou2,noi6,zi1-hau6,#,keoi5-dei6,zung1-jyu1,nam2-tung1,#,jyun4-jan1,hai6,Aa3-jan1,tung4,ze4-ze1,gaau2-dou3,daai6-gaa1,gwaa3-zyu6,teng1,gu2,gong2,gu2,ji4,mou5,sam1,zou6-je5,#,,,,,,,,,,,,,,,,,,,,,,,,,
they,think,-en,very,long time,#,still,think,not understand,why,(measure) people,work,will,slow,-en,so,much,#,pass,-en,very,long time,after,#,they,at last,figured out,#,reason,is,Yanny,and,older girl,make,everyone,miss,listen,story,tell,story,and,don't have,heart,work,#,,,,,,,,,,,,,,,,,,,,,,,,,
[15a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,叫,咗,阿欣,同,姐姐,嚟,問話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,giu3,zo2,Aa3-jan1,tung4,ze4-ze1,lei4,man6-waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,ask,-en,Yanny,and,older girl,come,questioning,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,點解,要,講,咁,多,故仔,，,搞到,啲人,掛住,聽,故仔,唔,做嘢,？,」,市長,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,dim2-gaai2,jiu3,gong2,gam3,do1,gu2-zai2,#,gaau2-dou3,di1-jan4,gwaa3-zyu6,teng1,gu2-zai2,m4,zou6-je5,#,#,si5-zoeng2,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you (plural),why,want,to tell,so,many,story,#,cause,(measure) people,attend to,listen,story,not,work,#,#,mayor,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿欣,見到,呢度,啲人,全部,都,好,嬲,噉,望住,佢,，,就,好,驚,噉,捉住,姐姐,隻,手,，,細細聲,話,：,「,我哋,只不過,講,返,自己,喺,呢個,地方,嘅,成長,經歷,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-jan1,gin3-dou2,nei1-dou6,di1-jan4,cyun4-bou6,dou1,hou2,nau1,gam2,mong6-zyu6,keoi5,#,zau6,hou2,geng1,gam2,zuk1-zyu6,ze4-ze1,zek3,sau2,#,sai3-sai3-seng1,waa6,#,#,ngo5-dei6,zi2-bat1-gwo3,gong2,faan1,zi6-gei2,hai2,nei1-go3,dei6-fong1,ge3,sing4-zoeng2,ging1-lik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanny,see,here,(measure) people,entirely,"all, also",very,angry,this way,staring,her,#,then,very,afraid,this way,holding tightly,older girl,(measure),hand,#,softly,say,#,#,we,"just, only",tell,back,oneself,at,this (measure),place,(linker),grow up,experience,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姐姐,接住,話,：,「,大家,都,將,自己,嘅,故事,講,出嚟,，,先,會,知道,呢個,地方,發生,過,咩,事,，,然後,更加,鍾意,呢個,地方,。,市長,咁,想,知道,大家,點解,咁,鍾意,講,故仔,，,不如,試下,出街,聽下,大家,嘅,故仔,？,話唔定,你,聽,完,，,都,會,想,講下,自己,嘅,故仔,，,做,個,講,故,人,呢,？,」
ze4-ze1,zip3-zyu6,waa6,#,#,daai6-gaa1,dou1,zoeng1,zi6-gei2,ge3,gu3-si6,gong2,ceot1-lei4,#,sin1,wui5,zi1-dou3,nei1-go3,dei6-fong1,faat3-sang1,gwo3,me1,si6,#,jin4-hau6,gang3-gaa1,zung1-ji3,nei1-go3,dei6-fong1,#,si5-zoeng2,gam3,soeng2,zi1-dou3,daai6-gaa1,dim2-gaai2,gam3,zung1-ji3,gong2,gu2-zai2,#,bat1-jyu4,si3-haa5,ceot1-gaai1,teng1-haa5,daai6-gaa1,ge3,gu2-zai2,#,waa6-m4-ding6,nei5,teng1,jyun4,#,dou1,wui5,soeng2,gong2-haa5,zi6-gei2,ge3,gu2-zai2,#,zou6,go3,gong2,gu2,jan4,ne1,#,#
older girl,continue,say,#,#,everyone,"all, also",take,oneself,(linker),story,tell,come out,#,then,will,know,this (measure),place,happen,already,what,matter,#,then,more,like,this (measure),place,#,mayor,so,want,to know,everyone,why,so,like,tell,story,#,how about,try,go out,listen,everyone,’s,story,#,maybe,you,listen,finish,#,"all, also",will,want,tell,oneself,’s,story,#,do,(measure),tell,story,person,(particle),#,#
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一個,月,後,，,市長,又,叫,阿欣,同,姐姐,嚟,。,不過,呢次,唔係,問話,，,而,係,要,佢哋,聽,市長,講,故仔,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1-go3,jyut6,hau6,#,si5-zoeng2,jau6,giu3,Aa3-jan1,tung4,ze4-ze1,lei4,#,bat1-gwo3,nei1-ci3,m4-hai6,man6-waa6,#,ji4,hai6,jiu3,keoi5-dei6,teng1,si5-zoeng2,gong2,gu2-zai2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one (measure),month,later,#,mayor,again,ask,Yanny,and,older girl,to come,#,however,this time,is not,questioning,#,but,is,want,them,to listen,mayor,tell,story,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
