Raji,decide to,ignore,(measure),little bird,#,oneself,continue,to eat,#,as,she,take,biscuit,to put,into,mouth,that moment,#,little bird,suddenly,rush,towards,Raji,#,in one bite,bite,away,she,at hand,piece of,biscuit,#,Raji,watch while stunned,-ly,staring,oneself,(measure),hand,#,then,know,piece of,biscuit,lose,-en,#,she,once,turn around,head,#,see,(measure),little bird,already,biting,she,piece of,biscuit,fly,to,very,far,very,far,#,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,唔,甘心,自己,嘅,食物,畀,佢,搶,走,，,即刻,去,追,雀仔,！,雖然,雀仔,飛,得,快,，,但,Raji,都,跑,得,唔,慢,！,為咗,塊,餅乾,，,Raji,追,到,天腳底,都,要,追,到,隻,雀仔,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,m4,gam1-sam1,zi6-gei2,ge3,sik6-mat6,bei2,keoi5,coeng2,zau2,#,zik1-hak1,heoi3,zeoi1,zoek3-zai2,#,seoi1-jin4,zoek3-zai2,fei1,dak1,faai3,#,daan6,Raji,dou1,paau2,dak1,m4,maan6,#,wai6-zo2,faai3,beng2-gon1,#,Raji,zeoi1,dou3,tin1-goek3-dai2,dou1,jiu3,zeoi1,dou2,zek3,zoek3-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,not,willing to accept,oneself,’s,food,by,it,snatch,away,#,immediately,go,chase,little bird,#,although,little bird,fly,(suffix),fast,#,but,Raji,"all, also",run,(suffix),not,slow,#,for the sake of,piece of,biscuit,#,Raji,chase,to,end of the world,"all, also",have to,chase,(suffix),(measure),little bird,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咪,走,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mai5,zau2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,don't,go,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,一邊,追,，,一邊,大叫,。,雀仔,原本,以為,自己,已經,得手,，,聽到,Raji,嘅,叫聲,後,，,先,發現,原來,Raji,一直,追,住,佢,。,為咗,唔,俾,佢,追,到,，,雀仔,決定,再,飛,高,啲,，,飛,快,啲,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,jat1-bin1,zeoi1,#,jat1-bin1,daai6-giu3,#,zoek3-zai2,jyun4-bun2,ji5-wai4,zi6-gei2,ji5-ging1,dak1-sau2,#,teng1-dou2,Raji,ge3,giu3-seng1,hau6,#,sin1,faat3-jin6,jyun4-loi4,Raji,jat1-zik6,zeoi1,zyu6,keoi5,#,wai6-zo2,m4,bei2,keoi5,zeoi1,dou2,#,zoek3-zai2,kyut3-ding6,zoi3,fei1,gou1,di1,#,fei1,faai3,di1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,on one hand,chase,#,on one hand,shout,#,little bird,originally,think,oneself,already,succeed,#,heard,Raji,’s,call,after,#,then,find out,it turns out,Raji,keep on,chase,-ing,it,#,in order to,not,by,she,chase,(suffix),#,little bird,decide to,again,fly,high,-er,#,fly,fast,-er,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,雀仔,飛,得,太,快,，,唔,小心,撞,到,啲,建築物,！,香港,有,好多,高樓大廈,，,雀仔,飛,嘅,時候,，,一個,唔,小心,就,好,易,撞,親,。,雀仔,撼,到,個,頭,，,暈,一,暈,，,喺,高空,直,墮,——,Raji,見,佢,就嚟,跌,中,Salim,，,即刻,叫,Salim,小心,！,,,,,,,,,,,,,,,,,,,
dim2-zi1,zoek3-zai2,fei1,dak1,taai3,faai3,#,m4,siu2-sam1,zong6,dou2,di1,gin3-zuk1-mat6,#,hoeng1-gong2,jau5,hou2-do1,gou1-lau4-daai6-haa6,#,zoek3-zai2,fei1,ge3,si4-hau6,#,jat1-go3,m4,siu2-sam1,zau6,hou2,ji6,zong6,can1,#,zoek3-zai2,ham2,dou2,go3,tau4,#,wan4,jat1,wan4,#,hai2,gou1-hung1,zik6,do6,#,Raji,gin3,keoi5,zau6-lai4,dit3,zung3,Salim,#,zik1-hak1,giu3,Salim,siu2-sam1,#,,,,,,,,,,,,,,,,,,,
unexpectedly,little bird,fly,(suffix),too,fast,#,not,careful,hit,(suffix),some,building,#,Hong Kong,have,many,high-rise buildings,#,little bird,fly,(linker),time,#,once,not,careful,then,very,easy,hit,get hurt,#,little bird,bump,(suffix),(measure),head,#,faint,one,faint,#,at,sky,straight,fall,#,Raji,see,it,almost,fall,to hit,Salim,#,immediately,call,Salim,careful,#,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,Salim,掛住,踩單車,，,聽,唔到,Raji,叫,佢,！,砰,一,聲,，,雀仔,撞,低,咗,Salim,，,Salim,部,單車,都,撞,爛,埋,，,而且,兩個,都,受,咗,傷,。,雀仔,起,返,身,之後,，,突然,發惡,噉,不停,撞,Salim,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,Salim,gwaa3-zyu6,caai2-daan1-ce1,#,teng1,m4-dou2,Raji,giu3,keoi5,#,paang1,jat1,seng1,#,zoek3-zai2,zong6,dai1,zo2,Salim,#,Salim,bou6,daan1-ce1,dou1,zong6,laan6,maai4,#,ji4-ce2,loeng5-go3,dou1,sau6,zo2,soeng1,#,zoek3-zai2,hei2,faan1,san1,zi1-hau6,#,dat6-jin4,faat3-ok3,gam2,bat1-ting4,zong6,Salim,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,Salim,focus on,ride bicycle,#,hear,cannot,Raji,call,he,#,(sound),one,sound,#,little bird,hit,down,-en,Salim,#,Salim,(measure),bicycle,"all, also",hit,broken,also,#,and that,two,"all, also",get,-en,injured,#,little bird,stand up,back,body,after,#,suddenly, enraged,-ly,without stop,hit,Salim,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,怪事,就,發生,喇,！,雀仔,個,樣,變,得,越嚟越,兇暴,，,身體,都,越,變,越,大,，,由,細細隻,嘅,雀仔,變成,一,隻,好,強壯,嘅,巨,鳥,！,Salim,話,佢,睇開,卡通片,，,知道,好多,角色,喺,嬲,嘅,時候,都會,變,得,特別,兇猛,強悍,！,佢,同,Raji,都,好,驚,，,唔知,點算,。,,,,,,,,,,,,,,,,
zi1-hau6,gwaai3-si6,zau6,faat3-sang1,laa3,#,zoek3-zai2,go3,joeng2,bin3,dak1,jyut6-lai4-jyut6,hung1-bou6,#,san1-tai2,dou1,jyut6,bin3,jyut6,daai6,#,jau4,sai3-sai3-zek3,ge3,zoek3-zai2,bin3-sing4,jat1,zek3,hou2,koeng4-zong3,ge3,geoi6,niu5,#,Salim,waa6,keoi5,tai2-hoi1,kaa1-tung1-pin2,#,zi1-dou3,hou2-do1,gok3-sik1,hai2,nau1,ge3,si4-hau6,dou1-wui5,bin3,dak1,dak6-bit6,hung1-maang5,koeng4-hon5,#,keoi5,tung4,Raji,dou1,hou2,geng1,#,m4-zi1,dim2-syun3,#,,,,,,,,,,,,,,,,
after,strange thing,then,happen,(particle),#,little bird,(measure),apperance,change,(suffix),more and more,fierce,#,body,"all, also",more,to change,more,big,#,by,small and little,(linker),little bird,become,one,(measure),very,strong,(linker),giant,bird,#,Salim,say,he,has watched,cartoon,#,know,many,role,at,angry,(linker),time,also will,change,(suffix),specially,violent,tough,#,he,and,Raji,also,very,afraid,#,don't know,what to do,#,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,巨,鳥,冇,再,理,佢哋,，,而,係,即刻,飛,走,咗,。,Raji,同,Salim,都,唔知,佢,會,飛,去,邊,，,擔心,佢,會,傷,到,其他,人,，,所以,都,追,住,佢,。,巨,鳥,飛,到,一個,市集,，,呢度,有,好多,人,，,好,熱鬧,。,巨,鳥,不斷,向,周圍,衝撞,，,現場,一片,混亂,。,因為,巨,鳥,動作,太,快,，,市集,啲人,都,阻止,唔到,佢,。
daan6-hai6,geoi6,niu5,mou5,zoi3,lei5,keoi5-dei6,#,ji4,hai6,zik1-hak1,fei1,zau2,zo2,#,Raji,tung4,Salim,dou1,m4-zi1,keoi5,wui5,fei1,heoi3,bin1,#,daam1-sam1,keoi5,wui5,soeng1,dou2,kei4-taa1,jan4,#,so2-ji5,dou1,zeoi1,zyu6,keoi5,#,geoi6,niu5,fei1,dou3,jat1-go3,si5-zaap6,#,nei1-dou6,jau5,hou2-do1,jan4,#,hou2,jit6-naau6,#,geoi6,niu5,bat1-dyun6,hoeng3,zau1-wai4,cung1-zong6,#,jin6-coeng4,jat1-pin3,wan6-lyun6,#,jan1-wai6,geoi6,niu5,dung6-zok3,taai3,faai3,#,si5-zaap6,di1-jan4,dou1,zo2-zi2,m4-dou2,keoi5,#
but,giant,bird,don't have,again,pay attention to,they,#,and,is,immediately,fly,away,-en,#,Raji,and,Salim,"all, also",don't know,it,will,fly,to,where,#,worry about,it,will,hurt,(suffix),other,people,#,therefore,"all, also",chase,-ing,it,#,giant,bird,fly,to,one (measure),market,#,here,have,many,people,#,very,bustling,#,giant,bird,continuously,towards,surrounding,crash,#,current scene,one (measure),chaos,#,because,giant,bird,movement,too,fast,#,market,those people,"all, also",stop,cannot,it,#
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好彩,現場,有,一個,對,鳥類,深,有,研究,嘅,學者,，,佢,即刻,叫,現場,所有,人,冷靜,，,唔好,驚,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou2-coi2,jin6-coeng4,jau5,jat1-go3,deoi3,niu5-leoi6,sam1,jau5,jin4-gau3,ge3,hok6-ze2,#,keoi5,zik1-hak1,giu3,jin6-coeng4,so2-jau5,jan4,laang5-zing6,#,m4-hou2,geng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luckily,current scene,have,one (measure),to,avian,deep,have,research,(linker),scholar,#,he,immediately,call,current scene,all,people,calm down,#,do not,afraid,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,同,Salim,走,去,學者,身邊,，,想,聽,下,學者,有,咩,見解,。,學者,叫,大家,仔細,觀察,巨,鳥,嘅,行為,，,大家,先,留意,到,原來,巨,鳥,並冇,攻擊,人,，,只係,喺度,好,急切,噉,周圍,揾,食物,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,tung4,Salim,zau2,heoi3,hok6-ze2,san1-bin1,#,soeng2,teng1,haa5,hok6-ze2,jau5,me1,gin3-gaai2,#,hok6-ze2,giu3,daai6-gaa1,zi2-sai3,gun1-caat3,geoi6,niu5,ge3,hang4-wai4,#,daai6-gaa1,sin1,lau4-ji3,dou3,jyun4-loi4,geoi6,niu5,bing6-mou5,gung1-gik1,jan4,#,zi2-hai6,hai2-dou6,hou2,gap1-cit3,gam2,zau1-wai4,wan2,sik6-mat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,and,Salim,go,over,scholar,beside,#,want to,listen,a bit,scholar,have,what,view,#,scholar,call,everyone,carefully,observe,giant,bird,’s,behaviour,#,everyone,then,aware,(suffix),it turns out,giant,bird,did not,attack,people,#,just only,right here,very,urgent,-ly,surrounding,find,food,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,Raji,同,Salim,至,諗起,巨,鳥,之所以,咁,急,，,係,因為,佢,撞,跌,Salim,嘅,時候,，,整,爛,埋,塊,餅乾,，,而,佢,實在,太,肚餓,喇,，,所以,至,急住,過嚟,揾,食物,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,Raji,tung4,Salim,zi3,nam2-hei2,geoi6,niu5,zi1-so2-ji5,gam3,gap1,#,hai6,jan1-wai6,keoi5,zong6,dit3,Salim,ge3,si4-hau6,#,zing2,laan6,maai4,faai3,beng2-gon1,#,ji4,keoi5,sat6-zoi6,taai3,tou5-ngo6,laa3,#,so2-ji5,zi3,gap1-zyu6,gwo3-lei4,wan2,sik6-mat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,time,#,Raji,and,Salim,then,think of,giant,bird,the reason for,so,urgent,#,is,because,it,hit,fall,Salim,(linker),time,#,make,broken,also,piece of,biscuit,#,and,it,really,too,hungry,(particle),#,therefore,then,hurrying,come over,to find,food,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明白,晒,呢,一切,之後,，,Raji,趁,巨,鳥,食,緊,嘢,嘅,時候,，,突然,從,後,捉住,佢,！,「,你,唔好,再,喺度,搞,住,人哋,喇,！,你,嚟,我,屋企,，,我,請,你,食嘢,當,賠罪,啦,！,」,Raji,同,佢,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming4-baak6,saai3,nei1,jat1-cai3,zi1-hau6,#,Raji,can3,geoi6,niu5,sik6,gan2,je5,ge3,si4-hau6,#,dat6-jin4,cung4,hau6,zuk1-zyu6,keoi5,#,#,nei5,m4-hou2,zoi3,hai2-dou6,gaau2,zyu6,jan4-dei6,laa3,#,nei5,lei4,ngo5,uk1-kei2,#,ngo5,ceng2,nei5,sik6-je5,dong3,pui4-zeoi6,laa1,#,#,Raji,tung4,keoi5,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
understand,all,this,everything,after,#,Raji,take the (time),giant,bird,eat,-ing,thing,(linker),time,#,suddenly,from,back,catch,it,#,#,you,do not,again,right here,disturb,-ing,others,(particle),#,you,come,I,home,#,I,treat,you,to eat,as,amends,(particle),#,#,Raji,to,it,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知道,有,嘢食,之後,，,巨,鳥,即刻,冷靜,落嚟,，,仲,變,到,好,乖,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-dou3,jau5,je5-sik6,zi1-hau6,#,geoi6,niu5,zik1-hak1,laang5-zing6,lok6-lei4,#,zung6,bin3,dou3,hou2,gwaai1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
know,have,food,after,#,giant,bird,immediately,calm,down,#,even,change,to,very,well-behaved,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,Raji,帶,巨,鳥,去,佢,屋企,，,仲,請,佢,食,咗,餐,勁,嘅,，,巨,鳥,好,開心,！,大家,相處,一陣,之後,，,Raji,同,Salim,了解,到,佢,其實,本性,唔,壞,，,仲,好,温馴,聽話,添,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,Raji,daai3,geoi6,niu5,heoi3,keoi5,uk1-kei2,#,zung6,ceng2,keoi5,sik6,zo2,caan1,ging6,ge3,#,geoi6,niu5,hou2,hoi1-sam1,#,daai6-gaa1,soeng1-cyu5,jat1-zan6,zi1-hau6,#,Raji,tung4,Salim,liu5-gaai2,dou3,keoi5,kei4-sat6,bun2-sing3,m4,waai6,#,zung6,hou2,wan1-seon4,teng1-waa6,tim1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after,Raji,bring,giant,bird,to go,she,home,#,even,treat,it,eat,-en,meal,superb,(linker),#,giant,bird,very,happy,#,everyone,get along,a while,after,#,Raji,and,Salim,understand,(suffix),it,actually,nature,not,bad,#,even,very,tamed,obedient,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本來,Raji,想,留,巨,鳥,喺,屋企,養,，,但,巨,鳥,係,經過,基因,突變,嘅,罕見,動物,，,學者,擔心,佢,會,俾人,捉,去,做,研究,，,所以,佢哋,唯有,將,佢,放,歸,大自然,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bun2-loi4,Raji,soeng2,lau4,geoi6,niu5,hai2,uk1-kei2,joeng5,#,daan6,geoi6,niu5,hai6,ging1-gwo3,gei1-jan1,dat6-bin3,ge3,hon2-gin3,dung6-mat6,#,hok6-ze2,daam1-sam1,keoi5,wui5,bei2-jan4,zuk1,heoi3,zou6,jin4-gau3,#,so2-ji5,keoi5-dei6,wai4-jau5,zoeng1,keoi5,fong3,gwai1,daai6-zi6-jin4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originally,Raji,want to,keep,giant,bird,at,home,to keep,#,but,giant,bird,is,experienced,gene,mutation,(linker),rare,animal,#,scholar,worry about,it,will,by someone,catch,to,do,research,#,therefore,they,only,take,it,release,back to,nature,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔知,巨,鳥,而家,做,緊,咩,，,仲,有冇,餓,親,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4-zi1,geoi6,niu5,ji4-gaa1,zou6,gan2,me1,#,zung6,jau5-mou5,ngo6,can1,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't know,giant,bird,now,do,-ing,what,#,still,have or haven't,hungry,-ed,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
