wing6-ji4,#,ngo5,waan2,gau3,laa3,#,zyun2,jan4,waan2,laa1,#,zi3-ming4,tau4-sin1,waa6,tau4,wan4,dou1,mou5,dim2,waan2,gwo3,#,ngo5,heoi3,man6-haa5,keoi5,ji4-gaa1,waan2,m4,waan2,sin1,#,,,,,,,,,,,,,,,
Wing Yi,#,I,play,enough,already,#,change,someone,play,(particle),#,Chi Ming,just now,say,head,dizzy,also,have not,somehow,play,-ed,#,I,go,ask,him,now,play,not,play,first,#,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,穎兒,起身,揾,志明,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wing6-ji4,hei2-san1,wan2,zi3-ming4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wing Yi,get up,find,Chi Ming,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,志明,！,你,喺,邊,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing6-ji4,#,zi3-ming4,#,nei5,hai2,bin1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Yi,#,Chi Ming,#,you,at,where,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,廁所,門,開,咗,一半,，,穎兒,發現,志明,對,腳,瞓,咗,喺,地下,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ci3-so2,mun4,hoi1,zo2,jat1-bun3,#,wing6-ji4,faat3-jin6,zi3-ming4,deoi3,goek3,fan3,zo2,hai2,dei6-haa2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,toilet,door,open,-ed,half,#,Wing Yi,find,Chi Ming,pair,foot,lie,-ed,on,floor,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,（,推,門,）,（,踎,低,，,搖,志明,膊頭,）,喂,！,志明,！,你,冇事,吖嘛,？,聽唔聽到,我,講嘢,呀,？,喂,！,,,,,,,,,,,,,,,,,,,
wing6-ji4,#,#,teoi1,mun4,#,#,mau1,dai1,#,jiu4,zi3-ming4,bok3-tau4,#,wai3,#,zi3-ming4,#,nei5,mou5 si6,aa1-maa3,#,teng1-m4-teng1-dou2,ngo5,gong2-je5,aa3,#,wai3,#,,,,,,,,,,,,,,,,,,,
Wing Yi,#,#,push,door,#,#,squat,low,#,shake,Chi Ming,shoulder,#,Hey!,#,Chi Ming,#,you,alright,right?,#,can hear or not,me,speaking,(particle),#,hey!,#,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,志明,冇,回應,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zi3-ming4,mou5,wui4-jing3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Chi Ming,don't have,response,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,偉俊,聽到,叫聲,衝,入,廁所,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai5-zeon3,teng1-dou2,giu3-sing1,cung1,jap6,ci3-so2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wai Chun,hear,yell,rush,into,toilet,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,發生,咩事,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,faat3-sang1,me1-si6,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,happen,what,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,志明,暈,咗,呀,！,嗌,佢,冇,反應,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing6-ji4,#,zi3-ming4,wan4,zo2,aa3,#,aai3,keoi5,mou5,faan2-jing3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Yi,#,Chi Ming,faint,-ed,(particle),#,shout,him,don't have,reaction,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,（,踎,低,，,搖,志明,膊頭,）,志明,！,聽,唔,聽到,我哋,講嘢,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,#,mau1,dai1,#,jiu4,zi3-ming4,bok3-tau4,#,zi3-ming4,#,teng1,m4,teng1-dou2,ngo5-dei6,gong2-je5,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,#,squat,low,#,to shake,Chi Ming,shoulder,#,Chi Ming,#,to hear,not,to hear,us,speaking,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,偉俊,觀察,志明,胸口,起伏,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai5-zeon3,gun1-caat3,zi3-ming4,hung1-hau2,hei2-fuk6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wai Chun,observe,Chi Ming,chest,rise and fall,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,胸口,有,起伏,，,即係,有,呼吸,，,但係,叫,極,都,冇,反應,，,不如,打,999,叫,救護車,啦,，,同埋,打電話,俾,志明,媽媽,。,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,hung1-hau2,jau5,hei2-fuk6,#,zik1-hai6,jau5,fu1-kap1,#,daan6-hai6,giu3,gik6,dou1,mou5,faan2-jing3,#,bat1-jyu4,daa2,gau2-gau2-gau2,giu3,gau3-wu6-ce1,laa1,#,tung4-maai4,daa1-din6-waa2,bei2,zi3-ming4,maa4-maa1,#,,,,,,,,,,,,,,,,,,
Wai Chun,#,chest,has,rise and fall,#,that means,has,breathing,#,but,calling,no matter how,also,don't have,reaction,#,how about,call,999,call,ambulance,(particle),#,and,call on phone,to,Chi Ming,mother,#,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,（,點頭,）,（,打電話,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing6-ji4,#,#,dim2-tau4,#,#,daa1-din6-waa2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Yi,#,#,nod,#,#,call on phone,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,救護員,到場,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gau3-wu6-jyun4,dou3-coeng4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,paramedic,arrive at the scene,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,個,男仔,係,你哋,邊個,呀,？,屋企,有冇,大人,喺度,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,go3,naam4-zai2,hai6,nei5-dei6,bin1-go3,aa3,#,uk1-kei2,jau5-mou5,daai6-jan4,hai2-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paramedic,#,(measure),boy,is,you (plural),who,(particle),#,home,have-or-haven't,adult,right here,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,我哋,係,佢,嘅,朋友,。,而家,冇,大人,喺度,，,志明,媽媽,返,緊,嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,ngo5-dei6,hai6,keoi5,ge3,pang4-jau5,#,ji4-gaa1,mou5,daai6-jan4,hai2-dou6,#,zi3-ming4,maa4-maa1,faan2,gan2,lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,we,are,he,'s,friend,#,now,don't have,adult,right here,#,Chi Ming,mother,come,-ing,back,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,有冇,佢,身份證,喺度,呀,？,同,佢,登記,返,資料,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,jau5-mou5,keoi5,san1-fan6-zing3,hai2-dou6,aa3,#,tung4,keoi5,dang1-gei3,faan2,zi1-liu6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paramedic,#,have-or-haven't,his,identity card,right here,(particle),#,for,him,register,-,information,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,（,遞,上,身份證,）,有,呀,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,#,dai6,soeng5,san1-fan2-zing3,#,jau5,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,#,to hand over,go up,identity card,#,have,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,幾時,發現,佢,冇,咗,意識,㗎,？,最後,見到,佢,冇事,係,幾時,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,gei2-si4,faat3-jin6,keoi5,mou5,zo2,ji3-sik1,gaa3,#,zeoi3-hau6,gin3-dou2,keoi5,mou5-si6,hai6,gei2-si4,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paramedic,#,when,to find out,he,don't have,-ed,consciousness,(particle),#,at the end,to see,he,alright,is,when,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穎兒,：,頭先,五,點,我,推,門,入,廁所,發現,佢,瞓,咗,喺度,，,嗌,極,冇,反應,。,一個,鐘,之前,仲,同,緊,佢,打,緊,機,，,不過,玩,咗,陣,佢,話,有,少少,頭,暈,，,所以,去,咗,休息,。
wing6-ji4,#,tau4-sin1,ng5,dim2,ngo5,teoi1,mun4,jap6,ci3-so2,faat3-jin6,keoi5,fan3,zo2,hai2-dou6,#,aai3,gik6,mou5,faan2-jing3,#,jat1-go3,zung1,zi1-cin4,zung6,tung4,gan2,keoi5,daa2,gan2,gei1,#,bat1-gwo3,waan2,zo2,zan6,keoi5,waa6,jau5,siu2-siu2,tau4,wan4,#,so2-ji5,heoi3,zo2,jau1-sik1,#
Wing Yi,#,just now,five,o'clock,I,push,door,to enter,toilet,to find out,he,to sleep,-ed,right here,#,shout,very,don't have,reaction,#,one,hour,before,still,with,-ing,he,to play,-ing,machine,#,but,to play,-ed ,(measure),he,to say,have,a bit,head,dizzy,#,therefore,to go,-ed,take a break,#
[24],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,佢,有冇,咩,長期疾病,，,例如,糖尿病,、,心臟病,，,又,或者,貧血,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,keoi5,jau5-mou5,me1,coeng4-kei4-beng6-waan6,#,lai6-jyu4,tong4-niu6-beng6,#,sam1-zong6-beng6,#,jau6,waak6-ze2,pan4-hyut3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paramedic,#,he,have-or-haven't,any,chronic diseases,#,for example,diabetes,#,heart disease,#,also,or,anaemia,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,佢,有,貧血,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,keoi5,jau5,pan4-hyut3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,he,has,anaemia,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救護員,：,佢,平時,有冇,食,開,嘅,藥,㗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gau3-wu6-jyun4,#,keoi5,ping4-si4,jau5-mou5,sik6,hoi1,ge3,joek6,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paramedic,#,he,usually,have-or-haven't,to eat,to open,of,medicine,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,我,唔,知,佢,有冇,食,開,藥,，,要,問返,佢,媽媽,先,知,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,ngo5,m4,zi1,keoi5,jau5-mou5,sik6,hoi1,joek6,#,jiu3,man6-faan2,keoi5,maa4-maa1,sin1,zi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,I,not,know,he,has or not,eat,usually,medicine,#,need,ask,his,mother,then,know,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,救護員,將,志明,送,往,醫院,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gau3-wu6-jyun4,zoeng1,zi3-ming4,sung3,wong5,ji1-jyun2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,paramedic,take,Chi Ming,send,to,hospital,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,當,發現,有,人,倒卧,地上,，,胸口,有,起伏,，,有,呼吸,，,但,叫,佢,冇,反應,嘅,時候,，,應該,立即,揾,人,幫手,，,打,999,叫,救護車,，,通知,大人,，,救護員,到場,後,同,佢哋,交待,事發經過,。,,
wai5-zeon3,#,dong1,faat3-jin6,jau5,jan4,dou2-ngo6,dei6-soeng6,#,hung1-hau2,jau5,hei2-fuk6,#,jau5,fu1-kap1,#,daan6,giu3,keoi5,mou5,faan2-jing3,ge3,si4-hau6,#,jing1-goi1,lap6-zik1,wan2,jan4,bong1-sau2,#,daa2,gau2-gau2-gau2,giu3,gau3-wu6-ce1,#,tung1-zi1,daai6-jan4,#,gau3-wu6-jyun4,dou3-coeng4,hau6,tung4,keoi5-dei6,gaau1-doi6,si6-faat3-ging1-gwo3,#,,
Wai Chun,#,whenever,discover,have,person,lie,on the ground,#,chest,have,rise and fall,#,have,breathing,#,but,call,him,don't have,reaction,-,situation,#,should,immediately,find,someone,help,#,call,999,call,ambulance,#,give notice,adult,#,paramedic,arrive at the scene,after,with,them,explain,course of events,#,,
