偉俊,：,你,點,啊,？,（,望住,佢,個,頭,）,腫,晒,喎,，,我,去,問下,體育館,啲,人,有冇,冰袋,可以,敷下,先,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,nei5,dim2,aa3,#,#,mong6-zyu6,keoi5,go3,tau4,#,zung2,saai3,wo3,#,ngo5,heoi3,man6-haa5,tai2-juk6-gun2,di1,jan4,jau5-mou5,bing1-doi2,ho2-ji5,fu1-haa5,sin1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,you,how,(particle),#,#,staring,his,(measure),head,#,swollen,all,(particle),#,I,to go,to ask,sports centre,('s),people,have or haven't,ice pack,can,to apply,first,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,偉俊,攞,完,冰袋,返嚟,之後,，,用,毛巾,包住,冰袋,敷,喺,腫,嘅,位,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai5-zeon3,lo2,jyun4,bing1-doi2,faan1-lai4,zi1-hau6,#,jung6,mou4-gan1,baau1-zyu6,bing1-doi2,fu1,hai2,zung2,ge3,wai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wai Chun,to take,finish,ice pack,to come back,after,#,to use,towel,wrapping,ice pack,to apply,on,swollen,-,spot,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,我,打畀,你,家姐,，,睇下,佢,嚟唔嚟,到,接,你,走,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,ngo5,daa2-bei2,nei5,gaa1-ze1,#,tai2-haa5,keoi5,lai4-m4-lai4,dou2,zip3,nei5,zau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,I,to call,your,elder sister,#,to see,she,to come or not,able to,to pick up,you,to leave,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#-#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,係喎,志明,，,你,呢,次,考試,點,啊,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,hai6-wo3,zi3-ming4,#,nei5,ni1,ci3,haau2-si5,dim2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,oh right,Chi Ming,#,you,this,time,examination,how,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
志明,：,數學,唔,太,好,，,其他,都,OK,啦,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3-ming4,#,sou3-hok6,m4,taai3,hou2,#,kei4-taa1,dou1,ou1-kei1,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Ming,#,mathematics,not,too,good,#,other,all,okay,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,聽日,老師,話,要,帶,新,書,返,學校,，,記得,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,ting1-jat6,lou5-si1,waa6,jiu3,daai3,san1,syu1,faan1,hok6-haau6,#,gei3-dak1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,tomorrow,teacher,to say,need,to bring,new,book,to return,school,#,to remember,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,偉俊,不停,同,志明,傾計,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai5-zeon3,bat1-ting4,tung4,zi3-ming4,king1-gai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wai Chun,non-stop,with,Chi Ming,chat,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,你,家姐,到,咗,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,nei5,gaa1-ze1,dou3,zo2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,your,elder sister,arrive,-ed,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,：,你,個,頭,做咩,腫到,噉,啊,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,#,nei5,go3,tau4,zou6-me1,zung2-dou3,gam2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,#,your,(measure),head,why,swollen,in this way,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,志明,頭先,唔,小心,，,個,頭,撞到,場,邊,長櫈,，,已經,用,咗,冰袋,敷,腫,個,位,。,如果,返,到,屋企,，,志明,意識,唔,清醒,、,頭暈,、,頭昏腦脹,嘅話,，,就,打,999,去,醫院,啦,。,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,zi3-ming4,tau4-sin1,m4,siu2-sam1,#,go3,tau4,zong6-dou2,coeng4,bin1,coeng4-dang3,#,ji5-ging1,jung6,zo2,bing1-doi2,fu1,zung2,go3,wai2,#,jyu4-gwo2,faan2,dou3,uk1-kei2,#,zi3-ming4,ji3-sik1,m4,cing1-sing2,#,tau4-wan4,#,tau4-fan1-nou5-zoeng3,ge3-waa2,#,zau6,daa2,gau2-gau2-gau2,heoi3,ji1-jyun2,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,Chi Ming,just now,not,careful,#,(measure),head,hit,court,side,bench,#,already,to use,-ed (perfective),ice pack,to apply,swollen,(measure),spot,#,if,to return,-ed,home,#,Chi Ming,consciousness,not,clear-headed,#,dizzy,#,dizzy,if,#,as a result,to call,999,to go,hospital,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,：,唔該晒,你,啊,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,#,m4-goi1-saai3,nei5,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,#,Thanks,you,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,當,有,人,撞,親,個,頭,嘅,時候,，,應該,即刻,用,毛巾,或者,衫,包住,冰凍,嘅,嘢,敷,腫,起,嘅,位,，,噉樣,可以,冇咁,痛,同埋,消,腫,。,另外,，,應該,繼續,同,傷者,傾計,，,以,確保,佢,意識,清醒,，,如果,有,意識,唔,清醒,、,頭暈,、,頭昏腦脹,呢啲,情況,，,就,要,立即,打,999,去,醫院,睇下,。
wai5-zeon3,#,dong1,jau5,jan4,zong6,can1,go3,tau4,ge3,si4-hau6,#,jing1-goi1,zik1-hak1,jung6,mou4-gan1,waak6-ze2,saam1,baau1-zyu6,bing1-dung3,ge3,je5,fu1,zung2,hei2,ge3,wai2,#,gam2-joeng2,ho2-ji5,mou5-gam3,tung3,tung4-maai4,siu1,zung2,#,ling6-ngoi6,#,jing1-goi1,gai3-zuk6,tung4,soeng1-ze2,king1-gai2,#,ji5,kok3-bou2,keoi5,ji3-sik1,cing1-sing2,#,jyu4-gwo2,jau5,ji3-sik1,m4,cing1-sing2,#,tau4-wan4,#,tau4-fan1-nou5-zoeng3,ni1-di1,cing4-fong3,#,zau6,jiu3,lap6-zik1,daa2,gau2-gau2-gau2,heoi3,ji1-jyun2,tai2-haa5,#
Wai Chun,#,when,have,people,to hit,whenever,(measure),head,of,time,#,should,at once,to use,towel,or,clothes,wrapping,ice-cold,of,thing,to apply,swollen,up,of,spot,#,in this way,can,less,painful,and,reduce,swollen,#,in addition,#,should,to continue,with,wounded person,chat,#,to,to ensure,he / she,consciousness,clear-headed,#,if,have,consciousness,not,clear-headed,#,dizzy,#,dizzy,these,circumstance,#,as a result,need to,immediately,to call,999,to go,hospital,to see,#
