[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baak6-baak6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,屋企,有,一,隻,貓,，,爸爸,媽媽,叫,佢,做,白白,。,白白,係,一,隻,白色,嘅,貓,。,佢,係,女仔,嚟,，,同,我,唔一樣,，,我,係,男仔,。,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,成日,話,佢,好,鍾意,食,魚蛋,。,魚蛋,係,咩,嚟,㗎,？,雞仔,喺,雞蛋,出嚟,，,噉,魚仔,係唔係,喺,魚蛋,出嚟,？,我,問,家姐,，,家姐,唔睬,我,。,,,,,,,,,,,
gaa1-ze1,sing4-jat6,waa6,keoi5,hou2,zung1-ji3,sik6,jyu4-daan2,#,jyu4-daan2,hai6,me1,lai4,gaa3,#,gai1-zai2,hai2,gai1-daan2,ceot1-lai4,#,gam2,jyu2-zai2,hai6-m4-hai6,hai2,jyu4-daan2,ceot1-lai4,#,ngo5,man6,gaa1-ze1,#,gaa1-ze1,m4-coi2,ngo5,#,,,,,,,,,,,
elder sister,always,say,she,really,like,to eat,fish balls,#,fish balls,is,what,is,(particle),#,chick,in,egg,come out,#,in this way,small fish,is or is not,in,fish balls,come out,#,I,ask,elder sister,#,elder sister,don't respond,me,#,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白白,唔鍾意,食,菜,，,同,我,唔一樣,，,我,鍾意,食,菜,，,菜,好,好食,。,我,有,一,次,畀,幾,條,菜,白白,食,，,白白,食,咗,一,條,，,然後,即刻,唔食,。,,,,,,,
baak6-baak6,m4-zung1-ji3,sik6,coi3,#,tung4,ngo5,m4-jat1-joeng6,#,ngo5,zung1-ji3,sik6,coi3,#,coi3,hou2,hou2-sik6,#,ngo5,jau5,jat1,ci3,bei2,gei2,tiu4,coi3,baak6-baak6,sik6,#,baak6-baak6,sik6,zo2,jat1,tiu4,#,jin4-hau6,zik1-hak1,m4-sik6,#,,,,,,,
Snow White,don't like,to eat,vegetables,#,with,me,not the same,#,I,like,to eat,vegetables,#,vegetables,very,tasty,#,I,have,one,time,give,some,(measure),vegetables,Snow White,to eat,#,Snow White,eat,-ed,one,(measure),#,then,immediately,don't eat,#,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,話,我,曳,，,我,唔明,啊,。,點解,我,食,菜,，,爸爸,話,我,叻,；,白白,食,菜,，,爸爸,話,我,曳,？,,,,,,,,,,,,,,,,,,
baa4-baa1,waa6,ngo5,jai5,#,ngo5,m4-ming4,aa3,#,dim2-gaai2,ngo5,sik6,coi3,#,baa4-baa1,waa6,ngo5,lek1,#,baak6-baak6,sik6,coi3,#,baa4-baa1,waa6,ngo5,jai5,#,,,,,,,,,,,,,,,,,,
father,say,I,naughty,#,I,don't understand,(particle),#,why,I,eat,vegetables,#,father,say,I,brilliant,#,Snow White,eat,vegetables,#,father,say,I,naughty,#,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白白,唔鍾意,沖涼,，,同,我,一樣,，,我,都,唔鍾意,沖涼,。,我,唔,去,沖涼,，,媽媽,鬧,我,；,白白,唔沖涼,，,媽媽,唔鬧,佢,。,點解,嘅,？,白白,唔沖涼,都係,好,白,、,好,靚,，,我,好,鍾意,白白,。
baak6-baak6,m4-zung1-ji3,cung1-loeng4,#,tung4,ngo5,jat1-joeng6,#,ngo5,dou1,m4-zung1-ji3,cung1-loeng4,#,ngo5,m4,heoi3,cung1-loeng4,#,maa4-maa1,naau6,ngo5,#,baak6-baak6,m4-cung1-loeng4,#,maa4-maa1,m4-naau6,keoi5,#,dim2-gaai2,ge2,#,baak6-baak6,m4-cung1-loeng4,dou1-hai6,hou2,baak6,#,hou2,leng3,#,ngo5,hou2,zung1-ji3,baak6-baak6,#
Snow White,don't like,to take a shower,#,with,me,the same,#,I,also,don't like,to take a shower,#,I,don't,go,to take a shower,#,mother,scold,me,#,Snow White,don't take a shower,#,mother,don't scold,it,#,why,-,#,Snow White,don't take a shower,also,very,white,#,very,beautiful,#,I,really,like,Snow White,#
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白白,以前,好,細隻,，,同,我,一樣,。,白白,而家,好,肥,，,同,我,唔一樣,。,點解,白白,肥,咗,嘅,？,,,,,,,,,,,,,,,,,,,,,,
baak6-baak6,ji5-cin4,hou2,sai3-zek3,#,tung4,ngo5,jat1-joeng6,#,baak6-baak6,ji4-gaa1,hou2,fei4,#,tung4,ngo5,m4-jat1-joeng6,#,dim2-gaai2,baak6-baak6,fei4,zo2,ge2,#,,,,,,,,,,,,,,,,,,,,,,
Snow White,before,very,small,#,with,me,the same,#,Snow White,now,very,fat,#,with,me,not the same,#,why,Snow White,fat,-ed,-,#,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一,日,，,屋企,多,咗,幾,隻,好,細,好,細,嘅,貓仔,。,我,問,家姐,點解,，,家姐,話,白白,做,咗,媽媽,喇,。,,,,,,,,,,,,,,,,,
jau5,jat1,jat6,#,uk1-kei2,do1,zo2,gei2,zek3,hou2,sai3,hou2,sai3,ge3,maau1-zai2,#,ngo5,man6,gaa1-ze1,dim2-gaai2,#,gaa1-ze1,waa6,baak6-baak6,zou6,zo2,maa4-maa1,laa3,#,,,,,,,,,,,,,,,,,
there is,one,day,#,home,more,-ed,some,(measure),very,small,very,small,-,kittens,#,I,ask,elder sister,why,#,elder sister,say,Snow White,become,-ed,mother,(particle),#,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘩,！,白白,做,咗,媽媽,啊,，,我,好,鍾意,白白,同,白白,嘅,仔女,。,佢哋,叫,咩,名,好,？,,,,,,,,,,,,,,,,,,,,,,,
waa3,#,baak6-baak6,zou6,zo2,maa4-maa1,aa3,#,ngo5,hou2,zung1-ji3,baak6-baak6,tung4,baak6-baak6,ge3,zai2-neoi2,#,keoi5-dei6,giu3,me1,meng2,hou2,#,,,,,,,,,,,,,,,,,,,,,,,
Wow,#,Snow White,become,-ed,mother,(particle),#,I,really,like,Snow White,and,Snow White, 's,children,#,they,call,what,name,good,#,,,,,,,,,,,,,,,,,,,,,,,
