then,exactly,Internet,is what,(particle),#,let,I,slowly,to,you,say,(particle),#,(particle),#,forget,to introduce,oneself,#,I,am called,Little Web,#,do not,see,I,small,#,also,so,cute,#,then,underestimate,I,(particle),#,I,is,Internet,(linker),encyclopedia,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講,到,咩,係,互聯網,，,呢個,係,一個,好,大,好,大,嘅,問題,，,不過,我,會,試,下,用,最,簡單,嘅,方法,去,講下,。,互聯網,係,一個,好,大,好,大,嘅,虛擬,世界,，,係,由,世界,各地,成千上萬,部,電腦,組成,，,每,部,電腦,都,互相,連接,，,成為,一個,可以,互相,交流,嘅,網絡,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong2,dou3,me1,hai6,wu6-lyun4-mong5,#,nei1-go3,hai6,jat1-go3,hou2,daai6,hou2,daai6,ge3,man6-tai4,#,bat1-gwo3,ngo5,wui5,si3,haa5,jung6,zeoi3,gaan2-daan1,ge3,fong1-faat3,heoi3,gong2-haa5,#,wu6-lyun4-mong5,hai6,jat1-go3,hou2,daai6,hou2,daai6,ge3,heoi1-ji5,sai3-gaai3,#,hai6,jau4,sai3-gaai3,gok3-dei6,seng4-cin1-soeng5-maan6,bou6,din6-nou5,zou2-sing4,#,mui5,bou6,din6-nou5,dou1,wu6-soeng1,lin4-zip3,#,sing4-wai4,jat1-go3,ho2-ji5,wu6-soeng1,gaau1-lau4,ge3,mong5-lok3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
say,to,what,is,Internet,#,this (measure),is,one (measure),very,big,very,big,(linker),question,#,however,I,will,try,a bit,use,most,simple,(linker),method,to,talk,#,Internet,is,one (measure),very,big,very,big,(linker),virtual,world,#,is,by,world,everywhere,thousands upon thousands,(measure),computer,form,#,every,(measure),computer,"all, also",each other,connect,#,become,one (measure),can,each other,communicate,(linker),network,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
除咗,平日,見,慣,嘅,座枱,電腦,同,手提電腦,，,仲有,超級,電腦,。,座枱,電腦,就係,大大舊,、,放,喺,一個,固定,地方,嘅,，,而,手提電腦,就係,細,細,部,，,可以,帶,住,周圍,走,。,噉,咩,係,超級,電腦,呢,？,唔通,好似,電腦,界,嘅,超人,噉,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceoi4-zo2,ping4-jat6,gin3,gwaan3,ge3,zo6-toi2,din6-nou5,tung4,sau2-tai4-din6-nou5,#,zung6-jau5,ciu1-kap1,din6-nou5,#,zo6-toi2,din6-nou5,zau6-hai6,daai6-daai6-gau6,#,fong3,hai2,jat1-go3,gu3-ding6,dei6-fong1,ge3,#,ji4,sau2-tai4-din6-nou5,zau6-hai6,sai3,sai3,bou6,#,ho2-ji5,daai3,zyu6,zau1-wai4,zau2,#,gam2,me1,hai6,ciu1-kap1,din6-nou5,ne1,#,m4-tung1,hou2-ci5,din6-nou5,gaai3,ge3,ciu1-jan4,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
except,ordinary day,see,used to,(linker),desktop,computer,and,laptop,#,still have,super,computer,#,desktop,computer,which is,big and bulky,#,put,at,one (measure),fixed,place,(particle),#,and,laptop,which is,small,small,(measure),#,can,carry,-ing,around,go,#,then,what,is,super,computer,(particle),#,could it be,just like,computer,industry,(linker),superman,that way,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冇,錯,！,超級,電腦,就,好似,電腦,界,嘅,超人,噉,，,可以,做,平日,電腦,做,唔到,嘅,超,多,工作,。,你,可以,想像,平日,我哋,用,嘅,電腦,只係,夠,力,搬,一,箱,書,，,而,超級,電腦,就,可以,一,隻,手指,搬,十,萬,箱,書,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mou5,co3,#,ciu1-kap1,din6-nou5,zau6,hou2-ci5,din6-nou5,gaai3,ge3,ciu1-jan4,gam2,#,ho2-ji5,zou6,ping4-jat6,din6-nou5,zou6,m4-dou2,ge3,ciu1,do1,gung1-zok3,#,nei5,ho2-ji5,soeng2-zoeng6,ping4-jat6,ngo5-dei6,jung6,ge3,din6-nou5,zi2-hai6,gau3,lik6,bun1,jat1,soeng1,syu1,#,ji4,ciu1-kap1,din6-nou5,zau6,ho2-ji5,jat1,zek3,sau2-zi2,bun1,sap6,maan6,soeng1,syu1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't have,wrong,#,super,computer,then,is similar,computer,industry,(linker),superman,that way,#,can,do,ordinary day,computer,do,cannot,(linker),super,a lot,work,#,you,can,imagine,ordinary day,we,use,(linker),computer,just only,enough,power,move,one,box of,book,#,and,super,computer,then,can,one,(measure),finger,move,ten,ten thousands,box of,book,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而家,我哋,一,人,有,一,部,嘅,手提電話,，,功能,都,好似,一,部,小型,電腦,噉,，,可以,上網,揾,資料,，,又,可以,同,朋友,傾計,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji4-gaa1,ngo5-dei6,jat1,jan4,jau5,jat1,bou6,ge3,sau2-tai4-din6-waa2,#,gung1-nang4,dou1,hou2-ci5,jat1,bou6,siu2-jing4,din6-nou5,gam2,#,ho2-ji5,soeng5-mong5,wan2,zi1-liu2,#,jau6,ho2-ji5,tung4,pang4-jau5,king1-gai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
now,we,one,person,have,one,(measure),(linker),cell phone,#,function,also,similar to,one,(measure),mini,computer,that way,#,can, access the Internet,find,material,#,also,can,with,friend,chat,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢度,咁,多,唔同,種類,嘅,電腦,，,都,可以,通過,互聯網,互相,連繫,溝通,。,你,可以,舒舒服服,噉,攤,喺,張,牀,度,，,一邊,食,生果,，,一邊,上網,，,就,可以,知道,世界,各地,發生,嘅,事,——,移民,去,咗,美國,嘅,表姐,啱啱,畢咗業,，,去,秘魯,旅行,嘅,姨姨,同,羊駝,影,緊,相,，,媽媽,同,同事,一齊,去,咗,行山,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-dou6,gam3,do1,m4-tung4,zung2-leoi6,ge3,din6-nou5,#,dou1,ho2-ji5,tung1-gwo3,wu6-lyun4-mong5,wu6-soeng1,lin4-hai6,kau1-tung1,#,nei5,ho2-ji5,syu1-syu1-fuk6-fuk6,gam2,taan1,hai2,zoeng1,cong4,dou6,#,jat1-bin1,sik6,saang1-gwo2,#,jat1-bin1,soeng5-mong5,#,zau6,ho2-ji5,zi1-dou3,sai3-gaai3,gok3-dei6,faat3-sang1,ge3,si6,#,ji4-man4,heoi3,zo2,mei5-gwok3,ge3,biu2-ze2,ngaam1-ngaam1,bat1-zo2-jip6,#,heoi3,bei3-lou5,leoi5-hang4,ge3,ji1-ji1,tung4,joeng4-to4,jing2,gan2,soeng2,#,maa4-maa1,tung4,tung4-si6,jat1-cai4,heoi3,zo2,haang4-saan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
here,so,many,different,kind,(linker),computer,#,"all, also",can,through,Internet,each other,connect,to communicate,#,you,can,comfortable,-ly,lay ,at,(measure),bed,there,#,on one hand,eat,fruit,#,on one hand,get access to the Internet,#,then,can,know,world,everywhere,happen,(linker),matter,#,migrate,go,-en,USA,(linker),elder female cousin,just now,graduated,#,go,Peru,to travel,(linker),auntie,and,alpaca,take,-ing,photograph,#,mother,and,colleague,together,to go,-en,hiking,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相信,你,都,開始,明白,咩,係,互聯網,。,噉,問題,返,返嚟,，,究竟,咩,係,萬維網,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soeng1-seon3,nei5,dou1,hoi1-ci2,ming4-baak6,me1,hai6,wu6-lyun4-mong5,#,gam2,man6-tai4,faan1,faan1-lei4,#,gau3-ging2,me1,hai6,maan6-wai4-mong5,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
believe,you,"all, also",begin to,understand,what,is,Internet,#,then,question,come,back,#,exactly,what,is,World Wide Web,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首先,萬維網,係,由,好多,好多,嘅,「,網頁,」,組成,，,全球,公開,嘅,網頁,已經,超過,400,億,！,一個,網頁,入面,可以,有,好多,嘢,，,例如,相,啦,、,字,啦,、,片,啦,、,歌,啦,等等,。,呢啲,網頁,組合,埋,一齊,，,就係,「,網站,」,。,而,好多,網站,之間,組成,嘅,網絡,，,就係,我哋,啱啱,講,嘅,萬維網,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sau2-sin1,maan6-wai4-mong5,hai6,jau4,hou2-do1,hou2-do1,ge3,#,mong5-jip6,#,zou2-sing4,#,cyun4-kau4,gung1-hoi1,ge3,mong5-jip6,ji5-ging1,ciu1-gwo3,sei3-baak3,jik1,#,jat1-go3,mong5-jip6,jap6-min6,ho2-ji5,jau5,hou2-do1,je5,#,lai6-jyu4,soeng2,laa1,#,zi6,laa1,#,pin2,laa1,#,go1,laa1,dang2-dang2,#,nei1-di1,mong5-jip6,zou2-hap6,maai4,jat1-cai4,#,zau6-hai6,#,mong5-zaam6,#,#,ji4,hou2-do1,mong5-zaam6,zi1-gaan1,zou2-sing4,ge3,mong5-lok3,#,zau6-hai6,ngo5-dei6,ngaam1-ngaam1,gong2,ge3,maan6-wai4-mong5,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first of all,World Wide Web,is,by,many,many,(linker),#,web page,#,constitute,#,the whole world,open,(linker),web page,already,surpass,400,hundred million,#,one (measure),web page,inside,can,have,many,thing,#,for example,photograph,(particle),#,character,(particle),#,video,(particle),#,song,(particle),etc.,#,these,web page,combine,also,together,#,then is,#,web site,#,#,and,many,web site,between,form,(linker),network,#,then is,we,just now,say,(linker),World Wide Web,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而家,好多,人,都,用,緊,萬維網,，,因為,佢,真係,超級,好,用,。,佢,主要,可以,做到,兩,樣,嘢,：,第一,係,寄,電郵,，,一,秒鐘,就,可以,將,你,想,講,嘅,嘢,，,傳,去,十,萬,八,千,里,咁,遠,！,第二,就係,可以,揾嘢,，,上百,上億,嘅,知識,，,你,郁下,隻,手指,就,揾到,——,究竟,狐狸,係,點,叫,？,大笨象,瞓覺,係,企,定,趴低,？,貓頭鷹,點解,係,擘,大,眼,瞓覺,？,點解,公雞,每,朝,都,知醒,起身,？,如果,你,想,知,，,就,上網,揾,下,答案,啦,！
ji4-gaa1,hou2-do1,jan4,dou1,jung6,gan2,maan6-wai4-mong5,#,jan1-wai6,keoi5,zan1-hai6,ciu1-kap1,hou2,jung6,#,keoi5,zyu2-jiu3,ho2-ji5,zou6-dou2,loeng5,joeng6,je5,#,dai6-jat1,hai6,gei3,din6-jau4,#,jat1,miu5-zung1,zau6,ho2-ji5,zoeng1,nei5,soeng2,gong2,ge3,je5,#,cyun4,heoi3,sap6,maan6,baat3,cin1,lei5,gam3,jyun5,#,dai6-ji6,zau6-hai6,ho2-ji5,wan2-je5,#,soeng5-baak3,soeng5-jik1,ge3,zi3-sik1,#,nei5,juk1-haa5,zek3,sau2-zi2,zau6,wan2-dou2,#,gau3-ging2,wu4-lei4,hai6,dim2,giu3,#,daai6-ban6-zoeng6,fan3-gaau3,hai6,kei5,ding6,paa1-dai1,#,maau1-tau4-jing1,dim2-gaai2,hai6,maak3,daai6,ngaan5,fan3-gaau3,#,dim2-gaai2,gung1-gai1,mui5,ziu1,dou1,zi1-seng2,hei2-san1,#,jyu4-gwo2,nei5,soeng2,zi1,#,zau6,soeng5-mong5,wan2,haa5,daap3-on3,laa1,#
now,many,people,"all, also",use,-ing,World Wide Web,#,because,it,really,super,good,to use,#,it,mainly,can,able to do,two,kind,thing,#,first,is,send,e-mail,#,one,second,then,can,take,you,want to,say,(linker),thing,#,pass,to,ten,ten thousands,eight,thousand,mile,so,far,#,second,that is,can,search for things,#,hundreds of,hundreds of billions of,(linker),knowledge,#,you,move a little,(measure),finger,then,can find,#,exactly,fox,is,how,vocalise,#,elephant,sleep,is,stand,or,lie down,#,owl,why,is,open,big,eye,to sleep,#,why,rooster,every,morning,"all, also",can awake,to get up,#,if,you,want,to know,#,then, access the Internet,to find,a bit,answer,(particle),#
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以前,嘅,人,想,同,其他,國家,嘅,人,傾計,，,隨時,要,用,幾,個月,先,來回,到,一,封,信,。,而家,一,秒,間,就,做到,。,真係,郁下,手指,，,成,個,世界,都,喺,你,手,。,小朋友,，,有,咗,呢,樣,咁,犀利,嘅,工具,，,你,會,用,嚟,做,啲,咩,呢,？,不如,同,我,分享,下,吖,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji5-cin4,ge3,jan4,soeng2,tung4,kei4-taa1,gwok3-gaa1,ge3,jan4,king1-gai2,#,ceoi4-si4,jiu3,jung6,gei2,go3-jyut6,sin1,loi4-wui4,dou2,jat1,fung1,seon3,#,ji4-gaa1,jat1,miu5,gaan1,zau6,zou6-dou2,#,zan1-hai6,juk1-haa5,sau2-zi2,#,seng4,go3,sai3-gaai3,dou1,hai2,nei5,sau2,#,siu2-pang4-jau5,#,jau5,zo2,nei1,joeng6,gam3,sai1-lei6,ge3,gung1-geoi6,#,nei5,wui5,jung6,lei4,zou6,di1,me1,ne1,#,bat1-jyu4,tung4,ngo5,fan1-hoeng2,haa5,aa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before,(linker),people,want to,with,other,country,(linker),people,chat,#,at any moment,have to,use,several,month(s),then,back and forth,(suffix),one,(measure),letter,#,now,one,second,within,then,able to do,#,really,move a little,finger,#,whole,(measure),world,"all, also",at,you,hand,#,children,#,have,-en,this,kind,so,superb,(linker),tool,#,you,will,use,to,do,some,what,(particle),#,how about,with,I,share,a bit,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
