#,I,at,countryside,new,move,come,not long time,#,just now,come in,this,#,this,(measure),school,two,week,#,I,not,dare,to,other,little schoolmate,speak,#,speaking,#,I,afraid,they,say,I,bumpkin,#,look down on,I,these,countryside,come,(linker),person,#,#,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呀,！,」,突然,，,全部,同學,大叫,一,聲,，,原來,有,一,隻,毛毛蟲,躝,過,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aa3,#,#,dat6-jin4,#,cyun4-bou6,tung4-hok6,daai6-giu3,jat1,seng1,#,jyun4-loi4,jau5,jat1,zek3,mou4-mou4-cung4,laan1,gwo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(particle),#,#,suddenly,#,all,schoolmate,shout,one,sound,#,it turns out,have,one,(measure),caterpillar,crawl,pass,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,就,問,：,「,有冇,人,知道,毛毛蟲,大個,咗,會,變,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-si1,zau6,man6,#,#,jau5-mou5,jan4,zi1-dou3,mou4-mou4-cung4,daai6-go3,zo2,wui5,bin3,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,then,ask,#,#,have or haven't,people,know,caterpillar,grow up,-en,will,change to,what,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,乜,佢,會,變身,嘅,咩,？,」,全部,同學,都,你,眼,望,我,眼,，,冇人,識,答,呢,條,問題,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mat1,keoi5,wui5,bin3-san1,ge3,me1,#,#,cyun4-bou6,tung4-hok6,dou1,nei5,ngaan5,mong6,ngo5,ngaan5,#,mou5-jan4,sik1,daap3,nei1,tiu4,man6-tai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,what,it,will,change,(linker),(particle),#,#,all,schoolmate,"all, also",you,eye,look,I,eye,#,no one,know,answering,this,(measure),question,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,好,緊張,，,佢,知道,答案,啊,！,佢,諗,咗,一陣,，,終於,慢慢,舉手,話,：,「,老師,，,我,知道,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-faa1,hou2,gan2-zoeng1,#,keoi5,zi1-dou3,daap3-on3,aa3,#,keoi5,nam2,zo2,jat1-zan6,#,zung1-jyu1,maan6-maan2,geoi2-sau2,waa6,#,#,lou5-si1,#,ngo5,zi1-dou3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fala,very,nervous,#,she,know,answer,(particle),#,she,think,-en,a while,#,finally,slowly,raise hand,say,#,#,teacher,#,I,know,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,見,阿花,平時,咁,文靜,，,就,問,：,「,噉,答案,係,咩,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-si1,gin3,aa3-faa1,ping4-si4,gam3,man4-zing6,#,zau6,man6,#,#,gam2,daap3-on3,hai6,me1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,see,Fala,usually,so,gentle and quiet,#,then,ask,#,#,then,answer,is,what,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,答,：,「,係,蝴蝶,。,佢哋,變,咗,蝴蝶,之後,仲,會,識,飛,——,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-faa1,daap3,#,#,hai6,wu4-dip2,#,keoi5-dei6,bin3,zo2,wu4-dip2,zi1-hau6,zung6,wui5,sik1,fei1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fala,answer,#,#,is,butterfly,#,they,change,-en,butterfly,after,even,will,know,fly,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,真係,？,阿花,講,多啲,俾,我哋,知,吖,！,」,阿心,同學,問,阿花,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zan1-hai6,#,aa3-faa1,gong2,do1-di1,bei2,ngo5-dei6,zi1,aa1,#,#,aa3-sam1,tung4-hok6,man6,aa3-faa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,really,#,Fala,say,more,to,we,to know,(particle),#,#,Sammy,schoolmate,ask,Fala,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,慢慢,講,：,「,毛毛蟲,有,好多,毛毛,，,佢哋,最,鍾意,食,樹葉,。,到,佢哋,慢慢,長大,，,就,會,變成,蛹,，,最後,破,繭,而,出,，,就,會,變成,蝴蝶,。,」,,,,,,,,,,,,,,,
aa3-faa1,maan6-maan2,gong2,#,#,mou4-mou4-cung4,jau5,hou2-do1,mou4-mou1,#,keoi5-dei6,zeoi3,zung1-ji3,sik6,syu6-jip6,#,dou3,keoi5-dei6,maan6-maan2,zoeng2-daai6,#,zau6,wui5,bin3-sing4,jung2,#,zeoi3-hau6,po3,gaan2,ji4,ceot1,#,zau6,wui5,bin3-sing4,wu4-dip2,#,#,,,,,,,,,,,,,,,
Fala,slowly,say,#,#,caterpillar,have,many,fur,#,they,most,like,to eat,leaf,#,till,they,slowly,grow up,#,then,will,become,chrysalis,#,in the end,break,cocoon,and,go out,#,then,will,become,butterfly,#,#,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同學仔,聽到,都,話,神奇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung4-hok6-zai2,teng1-dou2,dou1,waa6,san4-kei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little schoolmate,heard,"all, also",say,miraculous,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,好,開心,，,佢,開始,慢慢,繼續,講,：,「,佢哋,仲有,好多,唔同,顏色,，,好,靚,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-faa1,hou2,hoi1-sam1,#,keoi5,hoi1-ci2,maan6-maan2,gai3-zuk6,gong2,#,#,keoi5-dei6,zung6-jau5,hou2-do1,m4-tung4,ngaan4-sik1,#,hou2,leng3,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fala,very,happy,#,she,begin,slowly,continue,to say,#,#,they,still have,many,different,colour,#,very,beautiful,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,都,接口,：,「,係呀,！,蝴蝶,有時,仲,好,鍾意,一齊,飛,去,公園,食嘢,，,嗰度,會,多啲,嘢食,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-si1,dou1,zip3-hau2,#,#,hai6-aa3,#,wu4-dip2,jau5-si4,zung6,hou2,zung1-ji3,jat1-cai4,fei1,heoi3,gung1-jyun2,sik6-je5,#,go2-dou6,wui5,do1-di1,je5-sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,"all, also",continue,#,#,yes,#,butterfly,sometimes,still,very,like,together,fly,to go,park,to eat,#,there,will,more,food,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,又,語重心長,噉,話,：,「,其實,我哋,同,毛毛蟲,一樣,，,每個,人,一,開始,都,係,毛毛蟲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-si1,jau6,jyu5-zung6-sam1-coeng4,gam2,waa6,#,#,kei4-sat6,ngo5-dei6,tung4,mou4-mou4-cung4,jat1-joeng6,#,mui5-go3,jan4,jat1,hoi1-ci2,dou1,hai6,mou4-mou4-cung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,again,sincere,-ly,say,#,#,actually,we,and,caterpillar,the same,#,every,person,once,begin,"all, also",is,caterpillar,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,有啲,人,細細個,就,好,有錢,，,有啲,人,嘅,屋企,就,冇,咁,有錢,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau5-di1,jan4,sai3-sai3-go3,zau6,hou2,jau5-cin2,#,jau5-di1,jan4,ge3,uk1-kei2,zau6,mou5,gam3,jau5-cin2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,some,peopl,young and small,then,very,rich,#,some,people,’s,home,then,don't have,so,rich,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,但,噉,唔,代表,你哋,將來,都會,一直,係,噉,：,到,你哋,大個仔,大個女,，,就,會,發現,其實,人,係,會,變,，,當,你哋,變,得,更,叻仔,叻女,，,嗰陣,就,係,你哋,破,繭,成,蝶,嘅,時候,喇,！,」,,,,,,
#,daan6,gam2,m4,doi6-biu2,nei5-dei6,zoeng1-loi4,dou1-wui5,jat1-zik6,hai6,gam2,#,dou3,nei5-dei6,daai6-go3-zai2,daai6-go3-neoi2,#,zau6,wui5,faat3-jin6,kei4-sat6,jan4,hai6,wui5,bin3,#,dong1,nei5-dei6,bin3,dak1,gang3,lek1-zai2,lek1-neoi2,#,go2-zan6,zau6,hai6,nei5-dei6,po3,gaan2,sing4,dip6,ge3,si4-hau6,laa3,#,#,,,,,,
#,but,then,not,represent,you (plural),future,will always,keep on,be,in this way,#,till,you (plural),big boy,big girl,#,then,will,find out,actually,peopl,is,will,change,#,as,you (plural),change,(suffix),even more,brillant boy,brillant girl,#,that time,then,is,you (plural),break,cocoon,to be,butterfly,(linker),time,(particle),#,#,,,,,,
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,聽,完,老師,嘅,一,番,話,，,再,望,一,望,眼前,嘅,蝴蝶,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-faa1,teng1,jyun4,lou5-si1,ge3,jat1,faan1,waa6,#,zoi3,mong6,jat1,mong6,ngaan5-cin4,ge3,wu4-dip2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fala,listen,finish,teacher,’s,one,(measure),word,#,again,look,one,look,before one's eyes,(linker),butterfly,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,都,想,有,改變,——,我,想,同,其他,同學,做,好朋友,……,但,首先,我,要,學,下,唔好,咁,在意,其他,人,嘅,眼光,……,」,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,dou1,soeng2,jau5,goi2-bin3,#,ngo5,soeng2,tung4,kei4-taa1,tung4-hok6,zou6,hou2-pang4-jau5,#,daan6,sau2-sin1,ngo5,jiu3,hok6,haa5,m4-hou2,gam3,zoi6-ji3,kei4-taa1,jan4,ge3,ngaan5-gwong1,#,#,,,,,,,,,,,,,,,,,,,,,,,
#,I,also,want to,have,change,#,I,want to,with,other,schoolmate,to be,good friends,#,but,first of all,I,need to,learn,a bit,do not,so,care about,other,people,’s,insight,#,#,,,,,,,,,,,,,,,,,,,,,,,
[12a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿心,佢哋,喺,另一邊,睇,緊,蝴蝶,，,阿花,就,行埋去,問,：,「,阿心,，,你哋,可唔可以,摻,埋,我,一齊,睇,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-sam1,keoi5-dei6,hai2,ling6-jat1-bin1,tai2,gan2,wu4-dip2,#,aa3-faa1,zau6,haang4-maai4-heoi3,man6,#,#,aa3-sam1,#,nei5-dei6,ho2-m4-ho2-ji5,cam1,maai4,ngo5,jat1-cai4,tai2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,they,at,another side,look,-ing,butterfly,#,Fala,then,go close,to ask,#,#,Sammy,#,you (plural),can or cannot,invite,also,I,together,to look,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,當然,可以,！,我哋,一齊,玩,吖,！,」,阿心,應,得,好,爽快,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dong1-jin4,ho2-ji5,#,ngo5-dei6,jat1-cai4,waan2,aa1,#,#,aa3-sam1,jing3,dak1,hou2,song2-faai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,certainly,can,#,we,together,play,(particle),#,#,Sammy,respond,(suffix),very,straightforward,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,佢哋,一齊,玩,咗,大半,日,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,keoi5-dei6,jat1-cai4,waan2,zo2,daai6-bun3,jat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,they,together,play,-en,half,day,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,大家,快啲,過嚟,集合,，,我哋,要,走,喇,！,阿花,、,阿心,！,快啲,埋嚟,，,等,緊,你哋,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daai6-gaa1,faai3-di1,gwo3-lai4,zaap6-hap6,#,ngo5-dei6,jiu3,zau2,laa3,#,aa3-faa1,#,aa3-sam1,#,faai3-di1,maai4-lai4,#,dang2,gan2,nei5-dei6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,everyone,faster,come over,assemble,#,we,need to,leave,(particle),#,Fala,#,Sammy,#,faster,come over,#,wait,-ing,you (plural),(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,！,」,阿心,應,完,就,拉,住,阿花,隻,手,問,：,「,我哋,做,個,好朋友,，,好唔好,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo3,#,#,aa3-sam1,jing3,jyun4,zau6,laai1,zyu6,aa3-faa1,zek3,sau2,man6,#,#,ngo5-dei6,zou6,go3,hou2-pang4-jau5,#,hou2-m4-hou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Okay,#,#,Sammy,respond,finish,then,pull,-ing,Fala,(measure),hand,ask,#,#,we,to be,(measure),good friends,#,good or not,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿花,細細聲,：,「,好,、,好,……,」,又,不停,點頭,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-faa1,sai3-sai3-seng1,#,#,hou2,#,hou2,#,#,jau6,bat1-ting4,dim2-tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fala,small and low voice,#,#,good,#,good,#,#,again,without stop,to nod,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
睇嚟,迎接,阿花,嘅,，,係,個,美麗,嘅,改變,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai2-lai4,jing4-zip3,aa3-faa1,ge3,#,hai6,go3,mei5-lai6,ge3,goi2-bin3,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seems,meet,Fala,(linker),#,is,(measure),beautiful,(linker),change,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
