[0],,,,,,,,,,,,,,,,,,,,,,,,
我,可以,做,啲,咩,？,,,,,,,,,,,,,,,,,,,
ngo5,ho2-ji5,zou6,di1,me1,#,,,,,,,,,,,,,,,,,,,
I,can,to do,some,what,#,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,
今日,唔使,返,學校,，,我,好,得閒,。,「,媽媽,，,我,有,乜嘢,可以,做,㗎,？,」,我,噉,問,。,
I,is or isn't,can,hit,drum,#,I,to hit,(suffix),not bad,(particle),#,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,踩,單車,？,我,啱啱,學,，,踩,得,唔,快,，,要,練習,多啲,。,,,,,,
ngo5,hai6-mai6,ho2-ji5,caai2,daan1-ce1,#,ngo5,ngaam1-ngaam1,hok6,#,caai2,dak1,m4,faai3,#,jiu3,lin6-zaap6,do1-di1,#,,,,,,
I,is or isn't,can,ride,bicycle,#,I,just now,to study,#,ride,(suffix),not,fast,#,want,to practise,more,#,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,着,下,件,新,衫,？,件,衫,顏色,好,靚,，,我,好,鍾意,㗎,。,,,,,
ngo5,hai6-mai6,ho2-ji5,zoek3,haa5,gin6,san1,saam1,#,gin6,saam1,ngaan4-sik1,hou2,leng3,#,ngo5,hou2,zung1-ji3,gaa3,#,,,,,
I,is or isn't,can,wear,once,the,new,clothes,#,the,clothes,colour,very,nice,#,I,very much,like,(particle),#,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,幫手,捲,毛冷,？,捲,好,佢,之後,，,用,起嚟,都,方便,啲,。,,,,,,,
ngo5,hai6-mai6,ho2-ji5,bong1-sau2,gyun2,mou4-laang1,#,gyun2,hou2,keoi5,zi1-hau6,#,jung6,hei2-lai4,dou1,fong1-bin6,di1,#,,,,,,,
I,is or isn't,can,help,roll up,knitting yarn,#,roll up,good,it,after,#,use,when,also,convenient,more,#,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,幫,啲,花,淋,水,？,太,耐,唔,淋,水,嘅話,，,啲,花,會,死,㗎,。,,,
ngo5,hai6-mai6,ho2-ji5,bong1,di1,faa1,lam4,seoi2,#,taai3,noi6,m4,lam4,seoi2,ge3-waa2,#,di1,faa1,wui5,sei2,gaa3,#,,,
I,is or isn't,can,help,the,flowers,pour,water,#,too,long time,not,pour,water,if,#,the,flowers,will,die,(particle),#,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,畀,啲,草,羊仔,食,？,我,仲,可以,畫畫,，,畫,下,大自然,。,,,,,,,
ngo5,hai6-mai6,ho2-ji5,bei2,di1,cou2,joeng4-zai2,sik6,#,ngo5,zung6,ho2-ji5,waak6-waa2,#,waak6,haa5,daai6-zi6-jin4,#,,,,,,,
I,is or isn't,can,to give,some,grass,little sheep,to eat,#,I,still,can,paint,#,paint,a bit,nature,#,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,
我,係咪,可以,放,紙鷂,？,只要,有,少少,風,，,紙鷂,就,會,飛,得,好,高,㗎喇,。,,,,,
ngo5,hai6-mai6,ho2-ji5,fong3,zi2-jiu2,#,zi2-jiu3,jau5,siu2-siu2,fung1,#,zi2-jiu2,zau6,wui5,fei1,dak1,hou2,gou1,gaa3-laa3,#,,,,,
I,is or isn't,can,fly,kite,#,so long as,have,a bit,wind,#,kite,then,will,fly,(suffix),very,high,(particle),#,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,
或者,我,自己,睇書,吖,。,我,最,鍾意,睇,笑話,，,會,一路,睇,一路,笑,。,,,,,,,
waak6-ze2,ngo5,zi6-gei2,tai2-syu1,aa1,#,ngo5,zeoi3,zung1-ji3,tai2,siu3-waa2,#,wui5,jat1-lou6,tai2,jat1-lou6,siu3,#,,,,,,,
or,I,oneself,read books,(particle),#,I,most,like,read,jokes,#,will,while,look,while,laugh,#,,,,,,,
