點知,班長,話,：,「,你,咪,就係,琴日,喺,草地,唱歌,嗰,個,人,？,首,歌,唔應該,噉,唱,㗎,。,」,,,,,,,,,,,,,,,,,,,,
dim2-zi1,baan1-zoeng2,waa6,#,#,nei5,mai6,zau6-hai6,kam4-jat6,hai2,cou2-dei2,coeng3-go1,go2,go3,jan2,#,sau2,go1,m4-jing1-goi1,gam2,coeng3,gaa3,#,#,,,,,,,,,,,,,,,,,,,,
unexpectedly,class monitor,say,#,#,you,is or isn't,just,yesterday,at,lawn,sing songs,that,(measure),person,#,(measure),song,should not,in this way,sing,(particle),#,#,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東東,以為,班長,想,笑,佢,，,嚇,到,面,都,青,埋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dung1-dung1,ji5-wai4,baan1-zoeng2,soeng2,siu3,keoi5,#,haak3,dou3,min6,dou1,ceng1,maai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony,think,class monitor,want to,tease,him,#,frighten,to,face,also,yellowish green,also,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班長,好,認真,噉,話,：,「,你,唱,得,咁,好聽,，,一個人,喺,草地,唱,真係,好,大嘥,，,應該,要,企,出嚟,唱,俾,多啲,人,聽,！,」,,,,,,,,,,,,
baan1-zoeng2,hou2,jing6-zan1,gam2,waa6,#,#,nei5,coeng3,dak1,gam3,hou2-teng1,#,jat1-go3-jan4,hai2,cou2-dei2,coeng3,zan1-hai6,hou2,daai6-saai1,#,jing1-goi1,jiu3,kei5,ceot1-lei4,coeng3,bei2,do1-di1,jan4,teng1,#,#,,,,,,,,,,,,
class monitor,very,serious,-ly,say,#,#,you,sing,(suffix),so,pleasant,#,alone,at,lawn,sing,really,very,wasteful,#,should,need to,stand,come out,to sing,to,more,people,to listen,#,#,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,吓,？,」,東東,𢲷,晒,頭,：,「,我,未,試,過,喺,人哋,面前,唱,完,一,首,歌,㗎,噃,——,」,,,,,,,,,,,,,,,,,,
#,haa2,#,#,dung1-dung1,ngaau1,saai3,tau4,#,#,ngo5,mei6,si3,gwo3,hai2,jan4-dei6,min6-cin4,coeng3,jyun4,jat1,sau2,go1,gaa3,bo3,#,#,,,,,,,,,,,,,,,,,,
#,what?,#,#,Tony,scratch,all,head,#,#,I,not yet,try,-ed,at,others,front,to sing,finished,one,(measure),song,(particle),(particle),#,#,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班長,話,：,「,你,琴日,咪,試,咗,囉,。,唔信,嘅話,，,聽,我,唱,返,你,首,飲歌,：,『,讓,——,我,——,閃,——,耀,——,』,⋯⋯,」,,,,,,,,,,
baan1-zoeng2,waa6,#,#,nei5,kam4-jat6,mai6,si3,zo2,lo1,#,m4-seon3,ge3-waa2,#,teng1,ngo5,coeng3,faan1,nei5,sau2,jam2-go1,#,#,joeng6,#,ngo5,#,sim2,#,jiu6,#,#,#,#,,,,,,,,,,
class monitor,say,#,#,you,yesterday,is or isn't,try,-en,(particle),#,not believe,if,#,listen,I,sing,back,you,(measure),favourite song,#,#,let,#,me,#,shi-,#,-ne,#,#,#,#,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東東,截住,班長,，,話,：,「,咪,再,笑,我,啦,！,其實,我,之前,都,試,過,一個人,企,喺,台,上,唱歌,㗎,，,但係,⋯⋯,,,,,,,,,,,,,,,
dung1-dung1,zit6-zyu6,baan1-zoeng2,#,waa6,#,#,mai5,zoi3,siu3,ngo5,laa1,#,kei4-sat6,ngo5,zi1-cin4,dou1,si3,gwo3,jat1-go3-jan4,kei5,hai2,toi4,soeng6,coeng3-go1,gaa3,#,daan6-hai6,#,,,,,,,,,,,,,,,
Tony,stop,class monitor,#,say,#,#,don't,again,tease,me,(particle),#,actually,I,before,also,try,-ed,alone,stand,at,stage,above,to sing song,(particle),#,but,#,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,望,住,台,上,嗰,盞,好,掁眼,嘅,大光燈,，,就,開始,係噉,標汗,，,仲,緊張,到,成,身,震,晒,，,入,唔到,個,拍子,……,」,,,,,,,,,,,,
#,ngo5,mong6,zyu6,toi4,soeng6,go2,zaan2,hou2,caang4-ngaan5,ge3,daai6-gwong1-dang1,#,zau6,hoi1-ci2,hai6-gam2,biu1-hon6,#,zung6,gan2-zoeng1,dou3,seng4,san1,zan3,saai3,#,jap6,m4-dou2,go3,paak3-zi2,#,#,,,,,,,,,,,,
#,I,stare,-ing,stage,above,that,(measure),very,dazzling,(linker),spotlight,#,then,begin,keep,sweating,#,even,nervous,to,the whole,body,shake,all,#,enter,cannot,(measure),beat,#,#,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班長,拍,晒,心口,話,：,「,噉,我,畀,暗號,你,，,提,你,幾時,入,，,咪,解決,到,囉,！,」,,,,,,,,,,,,,,,,,,,,
baan1-zoeng2,paak3,saai3,sam1-hau2,waa6,#,#,gam2,ngo5,bei2,am3-hou6,nei5,#,tai4,nei5,gei2-si4,jap6,#,mai5,gaai2-kyut3,dou2,lo1,#,#,,,,,,,,,,,,,,,,,,,,
class monitor,hit,all,chest,to say,#,#,then,I,give,secret signal,you,#,remind,you,when,to enter,#,then,resolve,can,(particle),#,#,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東東,諗,咗,一陣,，,覺得,要,畀,個,機會,自己,改變,，,就,報名,參加,校慶,表演,。,,,,,,,,,,,,,,,,,,,,,,,,,
dung1-dung1,nam2,zo2,jat1-zan6,#,gok3-dak1,jiu3,bei2,go3,gei1-wui6,zi6-gei2,goi2-bin3,#,zau6,bou3-meng2,caam1-gaa1,haau6-hing3,biu2-jin2,#,,,,,,,,,,,,,,,,,,,,,,,,,
Tony,think,-en,a while,#,feel,need to,give,(measure),chance,oneself,to change,#,then,apply,to join,school anniversary,performance,#,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
星期六,、,日,，,東東,特登,留,喺,屋企,，,對,住,空氣,、,幻想,前面,有,好多,觀眾,噉,唱歌,。,,,,,,,,,,,,,,,,,,,,,,
sing1-kei4-luk6,#,jat6,#,dung1-dung1,dak6-dang1,lau4,hai2,uk1-kei2,#,deoi3,zyu6,hung1-hei3,#,waan6-soeng2,cin4-min6,jau5,hou2-do1,gun1-zung3,gam2,coeng3-go1,#,,,,,,,,,,,,,,,,,,,,,,
Saturday,#,Sunday,#,Tony,deliberately,stay,at,home,#,face,-ing,air,#,imagine,front,have,many,audience,in this way,to sing songs,#,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,唱,得,越嚟越,大聲,，,仲,借,咗,班長,屋企,隻,羊,嚟,練習,上台,表演,。,唱,完,之後,，,東東,同,隻,羊,講,：,「,如果,你,想,繼續,聽,我,唱歌,，,就,講,啲,嘢,啦,。,」
keoi5,coeng3,dak1,jyut6-lai4-jyut6,daai6-seng1,#,zung6,ze3,zo2,baan1-zoeng2,uk1-kei2,zek3,joeng4,lai4,lin6-zaap6,soeng5-toi4,biu2-jin2,#,coeng3,jyun4,zi1-hau6,#,dung1-dung1,tung4,zek3,joeng4,gong2,#,#,jyu4-gwo2,nei5,soeng2,gai3-zuk6,teng1,ngo5,coeng3-go1,#,zau6,gong2,di1,je5,laa1,#,#
he,sing,(suffix),more and more,loud,#,even,borrow,-en,class monitor,home,(measure),goat,to,practice,to go on stage,to perform,#,sing,finished,after,#,Tony,with,(measure),goat,say,#,#,if,you,want to,continue,to listen,I,sing songs,#,then,say,some,thing,(particle),#,#
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隻,羊,一路,含,住,棵,草,，,一路,話,：,「,咩,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zek3,joeng4,jat1-lou6,ham4,zyu6,po1,cou2,#,jat1-lou6,waa6,#,#,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(measure),goat,while,keep in mouth,-ing,(measure),grass,#,while,say,#,#,meh,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
校慶,到,喇,，,啲,老師,、,家長,都,擁,晒,去,台,前,。,東東,冇,諗,過,會,有,咁,多,人,嚟,，,佢,企,喺,台,上面,，,個,心,開始,緊張,。,,,,,,,
haau6-hing3,dou3,laa3,#,di1,lou5-si1,#,gaa1-zoeng2,dou1,jung2,saai3,heoi3,toi4,cin4,#,dung1-dung1,mou5,nam2,gwo3,wui5,jau5,gam3,do1,jan4,lai4,#,keoi5,kei5,hai2,toi4,soeng6-min6,#,go3,sam1,hoi1-ci2,gan2-zoeng1,#,,,,,,,
school anniversary,arrive,(particle),#,those,teachers,#,parents,all,flood,all,to go,stage,front,#,Tony,haven't,think,-ed,will,have,so,many,people,to come,#,he,stand,at,stage,above,#,(measure),heart,begin,nervous,#,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,盞,熟口熟面,嘅,大光燈,突然,着,咗,，,仲,射住,東東,企,緊,嗰,個,位,。,,,,,,,,,,,,,,,,,,,,,,,,,,
go2,zaan2,suk6-hau2-suk6-min6,ge3,daai6-gwong1-dang1,dat6-jin4,zoek3,zo2,#,zung6,se6-zyu6,dung1-dung1,kei5,gan2,go2,go3,wai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,
that,(measure),looks familiar,(linker),spotlight,suddenly,on,-en,#,even,spot on,Tony,stand,-ing,that,(measure),place,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,死啦,！,」,東東,心諗,：,「,咁,多,人,睇,住,我,入,唔到,拍子,，,好,瘀,呀,！,」,,,,,,,,,,,,,,,,,,,,,
#,sei2-laa1,#,#,dung1-dung1,sam1-nam2,#,#,gam3,do1,jan4,tai2,zyu6,ngo5,jap6,m4-dou2,paak3-zi2,#,hou2,jyu2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,
#,Oh no!,#,#,Tony,think,#,#,so,many,people,look,-ing,I,enter,cannot,beat,#,very,embarrassing,(particle),#,#,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咩,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,meh,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東東,聽到,上面,有,聲,，,就,𩓥高頭,——,原來,班長,擒,咗,上,樹,！,佢,口噏噏,噉,打暗號,：,,,,,,,,,,,,,,,,,,,,,,,
dung1-dung1,teng1-dou2,soeng6-min6,jau5,seng1,#,zau6,ngok6-gou1-tau4,#,jyun4-loi4,baan1-zoeng2,kam4,zo2,soeng5,syu6,#,keoi5,hau2-ngap1-ngap1,gam2,daa2-am3-hou6,#,,,,,,,,,,,,,,,,,,,,,,,
Tony,heard,above,have,sound,#,then,to raise oneself's head,#,it turns out,class monitor,climb,-en,up,tree,#,he,murmur,-ly,tell the secret signal,#,,,,,,,,,,,,,,,,,,,,,,,
[8c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天空,海,闊,任,鳥,飛,，,小小,天地,跳飛機,⋯⋯,一,二,三,，,到你,！,,,,,,,,,,,,,,,,,,,,,,,,,,,
tin1-hung1,hoi2,fut3,jam6,niu5,fei1,#,siu2-siu2,tin1-dei6,tiu3-fei1-gei1,#,jat1,ji6,saam1,#,dou3-nei5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
the sky,sea,broad,allow,birds,to fly,#,little,world,play hopscotch,#,one,two,three,#,your turn,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東東,即刻,深,吸,一,口,氣,，,然後,大聲,唱,：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dung1-dung1,zik1-hak1,sam1,kap1,jat1,hau2,hei3,#,jin4-hau6,daai6-seng1,coeng3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony,immediately,deep,breathe in,one,(measure),breath,#,then,loudly,sing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讓,我,閃耀,，,讓,我,閃耀,，,讓,我,發出,光輝,將,個,世界,照,——,,,,,,,,,,,,,,,,,,,,,,,,,,,
joeng6,ngo5,sim2-jiu6,#,joeng6,ngo5,sim2-jiu6,#,joeng6,ngo5,faat3-ceot1,gwong1-fai1,zoeng1,go3,sai3-gaai3,ziu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
let,me,shine,#,let,me,shine,#,let,me,release,brilliance,to make,(measure),world,lighten,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
能,令,整個,世上,添,歡笑,，,如同,亮光,世上,照,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nang4,ling6,zing2-go3,sai3-soeng6,tim1,fun1-siu3,#,jyu4-tung4,loeng6-gwong1,sai3-soeng6,ziu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
able to,make,the entire,on earth,add,laughter,#,like,light,on earth,lighten,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東東,唱歌,嘅,時候,，,成,個,人,閃閃,發亮,，,閃亮,到,所有,觀眾,都,入,晒,迷,，,耳,邊,淨係,聽到,佢,把,聲,，,眼中,淨係,望,到,佢,一,個,……,,,,,,,,
dung1-dung1,coeng3-go1,ge3,si4-hau6,#,seng4,go3,jan4,sim2-sim2,faat3-loeng6,#,sim2-loeng6,dou3,so2-jau5,gun1-zung3,dou1,jap6,saai3,mai4,#,ji5,bin1,zing6-hai6,teng1-dou2,keoi5,baa2,seng1,#,ngaan5-zung1,zing6-hai6,mong6,dou2,keoi5,jat1,go3,#,,,,,,,,
Tony,sing songs,(linker),time,#,the whole,(measure),person,sparkling,shining,#,sparkling,to,all,audience,all,enter,all,attracted,#,ear,side,only,heard,he,(measure),voice,#,in the eye,only,see,can,he,one,(measure),#,,,,,,,,
