just when,Wendy,also,to want,to take,she,(measure),gift,out,that time,#,Katy,take,-en,one,(measure),scarf,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小吉,笑,住,問,：,「,係咪,好,靚,呀,？,係,我,自己,織,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-gat1,siu3,zyu6,man6,#,#,hai6-mai6,hou2,leng3,aa3,#,hai6,ngo5,zi6-gei2,zik1,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy,to laugh,-ing,to ask,#,#,is or isn't,very,beautiful,(particle),#,is,I,oneself,to weave,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,即刻,收,返,埋,自己,份,禮物,，,心,入面,有啲,驚訝,：,又,真係,幾,靚,喎,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,zik1-hak1,sau1,faan1,maai4,zi6-gei2,fan6,lai5-mat6,#,sam1,jap6-min6,jau5-di1,ging1-ngaa6,#,jau6,zan1-hai6,gei2,leng3,wo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,at once,collect,back,back,oneself,(measure),gift,#,heart,inside,a bit,surprised,#,again,really,quite,beautiful,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,就,攬,住,個,肚,笑,小吉,：,「,哈,！,笑死,我,喇,，,仲,衰,過,街邊,嘢,，,噉,嘅,嘢,送,畀,我,都,唔要,啦,！,」,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,zau6,laam2,zyu6,go3,tou5,siu3,Siu2-gat1,#,#,haa1,#,siu3-sei2,ngo5,laa3,#,zung6,seoi1,gwo3,gaai1-bin1,je5,#,gam2,ge3,je5,sung3,bei2,ngo5,dou1,m4-jiu3,laa1,#,#,,,,,,,,,,,,,,,,,,,,,
Wendy,then,to hug,-ing,(measure),tummy,to laugh,Katy,#,#,(laughter),#,to crack up,I,already,#,even,bad,-er,street side,thing,#,like this,(linker),thing,to give,to,I,also,do not want,(particle),#,#,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小吉,忍唔住,大聲,話,：,「,使唔使,噉,講嘢,呀,？,嬲,死,你,呀,！,」,跟住,就,好,嬲,噉,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-gat1,jan2-m4-zyu6,daai6-seng1,waa6,#,#,sai2-m4-sai2,gam2,gong2-je5,aa3,#,nau1,sei2,nei5,aa3,#,#,gan1-zyu6,zau6,hou2,nau1,gam2,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy,cannot help,loud,to say,#,#,really have to,in this way,to speak,(particle),#,angry,to death,you,(particle),#,#,and then,then,very,angry,-ly,to leave,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
留低,小雲,一個人,喺,屋,入面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau4-dai1,Siu2-wan4,jat1-go3-jan2,hai2,uk1,jap6-min6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to leave,Wendy,alone,at,house,inside,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二日,，,小雲,起身,返學,，,行,到,一半,，,發覺,唔記得,拎,手錶,，,即刻,跑,返去,拎,，,仲,因為,噉,而,遲到,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ji6-jat6,#,Siu2-wan4,hei2-san1,faan1-hok6,#,haang4,dou3,jat1-bun3,#,faat3-gok3,m4-gei3-dak1,ling1,sau2-biu1,#,zik1-hak1,paau2,faan1-heoi3,ling1,#,zung6,jan1-wai6,gam2,ji4,ci4-dou3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the next day,#,Wendy,to get up,to go to school,#,to walk,to,half,#,to realise,to forget,take,wristwatch,#,at once,to run,to go back,take,#,even,because,this,so,late,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
返,到,學校,，,小吉,一,見到,小雲,就,擰歪面,。,小雲,心諗,：,我,就,睇,你,一陣,會,唔,會,嚟,揾,我,食飯,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
faan1,dou3,hok6-haau6,#,Siu2-gat1,jat1,gin3-dou2,Siu2-wan4,zau6,ling6-me2-min6,#,Siu2-wan4,sam1-nam2,#,ngo5,zau6,tai2,nei5,jat1-zan6,wui5,m4,wui5,lai4,wan2,ngo5,sik6-faan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
to return,to,school,#,Katy,once,saw,Wendy,then,look the other way,#,Wendy,to think,#,I,then,to see,you,a while,will,not,will,to come,to find,I,to have meal,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,食飯,喇,，,但係,小吉,揾,咗,其他,同學,一齊,食,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,sik6-faan6,laa3,#,daan6-hai6,Siu2-gat1,wan2,zo2,kei4-taa1,tung4-hok6,jat1-cai4,sik6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at last,to have meal,(particle),#,but,Katy,to find,-en,other,schoolmate,together,to eat,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,望住,隻,手錶,，,有啲,眼濕濕,：,「,你,有,八,個,鐘,冇,同,我,講嘢,喇,！,仲要,嬲,到,幾時,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,mong6-zyu6,zek3,sau2-biu1,#,jau5-di1,ngaan5-sap1-sap1,#,#,nei5,jau5,baat3,go3,zung1,mou5,tung4,ngo5,gong2-je5,laa3,#,zung6-jiu3,nau1,dou3,gei2-si4,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,staring,(measure),wristwatch,#,a bit,tearful,#,#,you,have,eight,(measure),hour(s),don't have,with,I,to speak,already,#,still,angry,till,when,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
放學,喇,，,小雲,期待,小吉,揾,佢,一齊,返屋企,嘅,畫面,都係,冇,出現,。,小雲,一個人,返,到,屋企,，,睇住,隻,手錶,，,好,冇,心機,：,「,唉,！,又話,過嚟,一齊,玩,嘅,？,我哋,有,12,個,鐘,冇,傾偈,喇,！,」,,,,,
fong3-hok6,laa3,#,Siu2-wan4,kei4-doi6,Siu2-gat1,wan2,keoi5,jat1-cai4,faan1-uk1-kei2,ge3,waa2-min2,dou1-hai6,mou5,ceot1-jin6,#,Siu2-wan4,jat1-go3-jan2,faan1,dou3,uk1-kei2,#,tai2-zyu6,zek3,sau2-biu1,#,hou2,mou5,sam1-gei1,#,#,aai1,#,jau6-waa6,gwo3-lai4,jat1-cai4,waan2,ge2,#,ngo5-dei6,jau5,sap6-ji6,go3,zung1,mou5,king1-gai2,laa3,#,#,,,,,
after school,already,#,Wendy,to expect,Katy,to find,she,together,to go home,(linker),scene,also,don't have,to appear,#,Wendy,alone,to return,to,home,#,looking after,(measure),wristwatch,#,very,don't have,mood,#,#,Sigh!,#,it was said,to come over,together,to play,(particle),#,we,have,twelve,(measure),hour(s),don't have,to chat,already,#,#,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,小雲,開始,諗,：,「,我,係咪,過份,咗,呢,？,係咪,應該,道歉,？,面子,真係,咁,緊要,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwo3,zo2,jat1-zan6,#,Siu2-wan4,hoi1-ci2,nam2,#,#,ngo5,hai6-mai6,gwo3-fan6,zo2,ne1,#,hai6-mai6,jing1-goi1,dou6-hip3,#,min6-zi2,zan1-hai6,gam3,gan2-jiu3,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to pass,-en,a while,#,Wendy,to begin,to think,#,#,I,is or isn't,go too far,-en,(particle),#,is or isn't,should,to apologise,#,face,really,so,important,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,小雲,突然,諗起,啲,嘢,！,佢,即刻,揾,咗,條,木,梯,想,出去,，,但係,唔,夠,力,拎,。,咁啱,佢,細佬,喺,後面,，,佢,就,叫,細佬,：,「,細佬,，,過嚟,幫,家姐,搬,條,梯,出去,，,返嚟,請,你,食,蛋糕,！,」
ni1-go3,si4-hau6,#,Siu2-wan4,dat6-jin4,nam2-hei2,di1,je5,#,keoi5,zik1-hak1,wan2,zo2,tiu4,muk6,tai1,soeng2,ceot1-heoi3,#,daan6-hai6,m4,gau3,lik6,ling1,#,gam3-ngaam1,keoi5,sai3-lou2,hai2,hau6-min6,#,keoi5,zau6,giu3,sai3-lou2,#,#,sai3-lou2,#,gwo3-lai4,bong1,gaa1-ze1,bun1,tiu4,tai1,ceot1-heoi3,#,faan1-lai4,ceng2,nei5,sik6,daan6-gou1,#,#
this,moment,#,Wendy,all at once,think of,some,thing,#,she,at once,to find,-en,(measure),wood,stair,to want,to get out,#,but,not,enough,energy,take,#,coincidentally,she,younger brother,at,behind,#,she,then,to call,younger brother,#,#,younger brother,#,to come over,to help,elder sister,to move,(measure),stair,to get out,#,to come back,to treat,you,to eat,cake,#,#
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,流,晒,口水,話,：,「,收到,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sai3-lou2,lau4,saai3,hau2-seoi2,waa6,#,#,sau1-dou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
younger brother,to drool,all,saliva,to say,#,#,got it,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細佬,問,：,「,家姐,，,我哋,要,去,邊,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sai3-lou2,man6,#,#,gaa1-ze1,#,ngo5-dei6,jiu3,heoi3,bin1,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
younger brother,to ask,#,#,elder sister,#,"we, us",to need,to go,where,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,話,：,「,如果,冇,估,錯,，,佢,一定,係,去,咗,嗰度,！,跟,我,嚟,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,waa6,#,#,jyu4-gwo2,mou5,gu2,co3,#,keoi5,jat1-ding6,hai6,heoi3,zo2,go2-dou6,#,gan1,ngo5,lai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,to say,#,#,if,don't have,to guess,wrong,#,she,surely,is,to go,-en,there,#,follow,I,to come,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,嚟,到,一,個,公園,，,見到,小吉,坐,咗,喺,樹,上面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,lai4,dou3,jat1,go3,gung1-jyun2,#,gin3-dou2,Siu2-gat1,co5,zo2,hai2,syu6,soeng6-min6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,to come,to,one,(measure),park,#,saw,Katy,to sit,-en,at,tree,on top,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,記得,佢哋,次次,有,咩,唔,開心,都,會,嚟,呢度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,gei3-dak1,keoi5-dei6,ci3-ci3,jau5,me1,m4,hoi1-sam1,dou1,wui5,lai4,nei1-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,to remember,they,every time,have,what,not,happy,always,will,to come,here,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,喺,樹,下面,叫,咗,小吉,幾,次,，,小吉,都,冇,理,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,hai2,syu6,haa6-min6,giu3,zo2,Siu2-gat1,gei2,ci3,#,Siu2-gat1,dou1,mou5,lei5,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,at,tree,below,to call,-en,Katy,several,times,#,Katy,also,doesn't,care about,she,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,決定,先,爬,上,隔籬,棵,樹,。,佢,爬,嗰時,有,一下,差啲,甩,手,，,小吉,見到,好,緊張,，,好彩,有,小雲,細佬,喺,後面,捉住,佢,至,冇事,。,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,kyut3-ding6,sin1,paa4,soeng5,gaak3-lei4,po1,syu6,#,keoi5,paa4,go2-si2,jau5,jat1-haa5,caa1-di1,lat1,sau2,#,Siu2-gat1,gin3-dou2,hou2,gan2-zoeng1,#,hou2-coi2,jau5,Siu2-wan4,sai3-lou2,hai2,hau6-min6,zuk1-zyu6,keoi5,zi3,mou5-si6,#,,,,,,,,,,,,,,,,,,,,
Wendy,to decide,first,to climb,up,by the side,(measure),tree,#,she,to climb,at that time,have,once,almost,to loose,hand,#,Katy,to see,very,nervous,#,luckily,have,Wendy,younger brother,at,behind,catching,she,so,alright,#,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,嚟,到,樹,上面,，,小雲,同,細佬,將,條,梯,嘅,另一邊,擺,去,小吉,嗰度,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,lai4,dou3,syu6,soeng6-min6,#,Siu2-wan4,tung4,sai3-lou2,zoeng1,tiu4,tai1,ge3,ling6-jat1-bin1,baai2,heoi3,Siu2-gat1,go2-dou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at last,to come,to,tree,on top,#,Wendy,and,younger brother,to take,(measure),stair,(linker),the other side,put,to,Katy,there,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,大叫,：,「,小吉,，,我,有,嘢,想,同,你,講,，,你,等,我,，,我,依家,行,過嚟,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,daai6-giu3,#,#,Siu2-gat1,#,ngo5,jau5,je5,soeng2,tung4,nei5,gong2,#,nei5,dang2,ngo5,#,ngo5,ji1-gaa1,haang4,gwo3-lai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,shout,#,#,Katy,#,I,have,something,to want,to,you,to say,#,you,to wait,I,#,I,now,to walk,to come over,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小吉,即刻,話,：,「,傻,嘅,咩,！,唔好,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-gat1,zik1-hak1,waa6,#,#,so4,ge3,me1,#,m4-hou2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy,at once,to say,#,#,silly,(linker),(particle),#,do not,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,小雲,已經,慢慢行,緊,過去,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,Siu2-wan4,ji5-ging1,maan6-maan2-hang4,gan2,gwo3-heoi3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,Wendy,already,walk slowly,-ing,to go there,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有驚無險,，,小雲,終於,同,小吉,坐,返,埋,一齊,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-ging1-mou4-him2,#,Siu2-wan4,zung1-jyu1,tung4,Siu2-gat1,co5,faan1,maai4,jat1-cai4,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a close call,#,Wendy,at last,with,Katy,to sit,back,back,together,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小吉,唔知,好,嬲,定,笑,好,：,「,你,係咪,傻,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-gat1,m4-zi1,hou2,nau1,ding6,siu3,hou2,#,#,nei5,hai6-mai6,so4,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy,don't know,very,angry,or,to laugh,better,#,#,you,is or isn't,silly,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,話,：,「,我,知,你,一定,會,捉實,條,梯,嘅,！,同埋,琴日,對唔住,呀,……,其實,你,條,頸巾,好,靚,，,不過,因為,……,」,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,waa6,#,#,ngo5,zi1,nei5,jat1-ding6,wui5,zuk1-sat6,tiu4,tai1,ge3,#,tung4-maai4,kam4-jat6,deoi3-m4-zyu6,aa3,#,kei4-sat6,nei5,tiu4,geng2-gan1,hou2,leng3,#,bat1-gwo3,jan1-wai6,#,#,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,to say,#,#,I,to know,you,surely,will,to hold tight,(measure),stair,(particle),#,and,yesterday,sorry,(particle),#,actually,you,(measure),scarf,very,beautiful,#,but,because,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[15a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未,等,佢,講,完,，,小吉,突然,問,：,「,咦,！,你,戴,緊,嗰,隻,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mei6,dang2,keoi5,gong2,jyun4,#,Siu2-gat1,dat6-jin4,man6,#,#,ji2,#,nei5,daai3,gan2,go2,zek3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not yet,to wait,she,to say,finish,#,Katy,suddenly,to ask,#,#,Oh!,#,you,put on,-ing,that,(measure),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,畀,咗,佢,隻,手錶,小吉,睇,，,小吉,有啲,感動,：,「,估,唔到,你,仲,戴,住,我,幾年,前,送,畀,你,嘅,手錶,……,」,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,bei2,zo2,keoi5,zek3,sau2-biu1,Siu2-gat1,tai2,#,Siu2-gat1,jau5-di1,gam2-dung6,#,#,gu2,m4-dou2,nei5,zung6,daai3,zyu6,ngo5,gei2-nin4,cin4,sung3,bei2,nei5,ge3,sau2-biu1,#,#,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,to give,-en,she,(measure),wristwatch,Katy,to look,#,Katy,a bit,touched,#,#,to guess,cannot,you,still,put on,-ing,I,few years,before,to give,to,you,(linker),wristwatch,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[15c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,錶,上面,有,嚿,『,雲,』,，,更,重要,嘅,係,，,入面,有,我,同,你,嘅,合照,呀嘛,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,biu1,soeng6-min6,jau5,gau6,#,wan4,#,#,gang3,zung6-jiu3,ge3,hai6,#,jap6-min6,jau5,ngo5,tung4,nei5,ge3,hap6-ziu3,aa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,watch,on top,have,(measure),#,cloud,#,#,even more,important,(linker),is,#,inside,have,I,and,you,’s,group photo,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小雲,同,小吉,就係噉,你,一,句,我,一,句,，,和好,返,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siu2-wan4,tung4,Siu2-gat1,zau6-hai6-gam2,nei5,jat1,geoi3,ngo5,jat1,geoi3,#,wo4-hou2,faan1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,and,Katy,in this way,you,one,line,I,one,line,#,to make up,back,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
